dog,dog_id,condition,test_number,latency,opened_door
Kip,33,Reading,2,120,0
Kip,33,Food,3,120,0
Olive,34,Food,1,120,0
Olive,34,Distress,2,120,0
Olive,34,Reading,3,120,0
Fulana,35,Food,1,120,0
Fulana,35,Reading,2,120,0
Fulana,35,Distress,3,120,0
Jasmine,36,Distress,1,38.31,1
Jasmine,36,Reading,2,14.36,1
Jasmine,36,Food,3,3.25,1
Nay Nay,37,Distress,1,120,0
Nay Nay,37,Reading,2,120,0
Nay Nay,37,Food,3,120,0
Mori,38,Food,1,120,0
Mori,38,Distress,2,120,0
Mori,38,Reading,3,120,0
Milo*,39,NA,NA,NA,NA
Milo*,39,NA,NA,NA,NA
Milo*,39,NA,NA,NA,NA
Basquiat,40,Reading,1,120,0
Basquiat,40,Distress,2,120,0
Basquiat,40,Food,3,120,0
Henry,41,Distress,1,11.28,1
Henry,41,Food,2,115.4,1
Henry,41,Reading,3,54.87,1
Chip,42,Food,1,120,0
Chip,42,Distress,2,120,0
Chip,42,Reading,3,120,0
Eloise,43,Reading,1,5.17,1
Eloise,43,Distress,2,19.31,1
Eloise,43,Food,3,2.7,1
Kukkula,44,Food,1,120,0
Kukkula,44,Reading,2,120,0
Kukkula,44,Distress,3,120,0
Greta,45,Distress,1,120,0
Greta,45,Food,2,120,0
Greta,45,Reading,3,120,0
Kiba,46,Reading,1,120,0
Kiba,46,Distress,2,120,0
Kiba,46,Food,3,19.04,1
Daisy,47,Reading,1,120,0
Daisy,47,Distress,2,120,0
Daisy,47,Food,3,120,0
Auberon,48,Reading,1,120,0
Auberon,48,Food,2,120,0
Auberon,48,Distress,3,120,0
Oso,49,Food,1,120,0
Oso,49,Distress,2,120,0
Oso,49,Reading,3,120,0
Ticket,50,Food,1,120,0
Ticket,50,Reading,2,120,0
Ticket,50,Distress,3,120,0
Cody,51,Distress,1,66.32,1
Cody,51,Reading,2,120,0
Cody,51,Food,3,120,0
Leo,52,Distress,1,120,0
Leo,52,Reading,2,120,0
Leo,52,Food,3,120,0
Kira,53,Distress,1,120,0
Kira,53,Food,2,120,0
Kira,53,Reading,3,120,0
Puddy,54,Reading,1,17.12,1
Puddy,54,Food,2,4.65,1
Puddy,54,Distress,3,5.25,1
Zelda,55,Reading,1,120,0
Zelda,55,Food,2,120,0
Zelda,55,Distress,3,120,0
Izzi,56,Food,1,120,0
Izzi,56,Distress,2,8.22,1
Izzi,56,Reading,3,1.24,1
Barkley,57,Food,1,120,0
Barkley,57,Reading,2,120,0
Barkley,57,Distress,3,120,0
Almond*,58,NA,NA,NA,NA
Almond*,58,NA,NA,NA,NA
Almond*,58,NA,NA,NA,NA
Quest,59,Reading,1,6.78,1
Quest,59,Distress,2,13.54,1
Quest,59,Food,3,6.27,1
Quantico,60,Reading,1,120,0
Quantico,60,Distress,2,56.4,1
Quantico,60,Food,3,2.05,1
Vail,61,Food,1,64.91,1
Vail,61,Reading,2,17.82,1
Vail,61,Distress,3,0.73,1
Scout,62,Food,1,15.37,1
Scout,62,Reading,2,13.25,1
Scout,62,Distress,3,34.01,1
Dana,63,Distress,1,120,0
Dana,63,Reading,2,120,0
Dana,63,Food,3,13.03,1
Billy,64,Distress,1,107.74,1
Billy,64,Reading,2,49.53,1
Billy,64,Food,3,83.97,1
Mason,65,Distress,1,120,0
Mason,65,Food,2,120,0
Mason,65,Reading,3,120,0
Rosie,66,Reading,1,120,0
Rosie,66,Food,2,120,0
Rosie,66,Distress,3,120,0
Ozzy,67,Reading,1,27,1
Ozzy,67,Distress,2,31.87,1
Ozzy,67,Food,3,53.38,1
