id,ability,position,scored
o26rs734,9,5,Scored penalty
k63p6n4m,8,2,Scored penalty
35i3t7n8,6,5,Scored penalty
07rq2f28,5,5,Scored penalty
8l5d9721,9,1,Scored penalty
85r1rk6w,7,4,Scored penalty
4kc7i641,8,5,Scored penalty
6rc764p3,7,5,Scored penalty
451va820,7,3,Scored penalty
f8sd3o46,5,2,Scored penalty
l1now1ix,4,1,Scored penalty
59gy52a9,8,4,Scored penalty
fj836slc,9,5,Scored penalty
28nw5qv3,5,4,Scored penalty
5enekd13,9,2,Scored penalty
k82t8c5k,9,5,Scored penalty
g2yd5fa1,8,4,Scored penalty
9a103647,8,4,Scored penalty
p2i64526,7,5,Scored penalty
8f8k32is,5,4,Missed penalty
xd6f9906,6,4,Missed penalty
38nws454,9,1,Scored penalty
54pysfvn,6,4,Scored penalty
t38nn385,6,5,Scored penalty
ak36wl16,7,2,Scored penalty
er35829c,7,2,Scored penalty
t3qirr4v,9,3,Scored penalty
44u2tcfy,4,2,Scored penalty
5u6v8tvh,3,3,Scored penalty
f6gxhim6,8,5,Scored penalty
bb804q83,8,2,Scored penalty
36ft6y35,7,4,Scored penalty
1gcbps72,7,4,Scored penalty
63226255,7,3,Scored penalty
4h49lb1m,8,5,Scored penalty
ni6um7rn,3,3,Scored penalty
o6a6a17m,8,5,Scored penalty
36mkcqhs,7,4,Scored penalty
4q1gt8wo,8,1,Scored penalty
4o3ka5q1,8,5,Scored penalty
366njbf7,7,4,Scored penalty
f2wua2xv,6,2,Scored penalty
k2806f9d,8,4,Scored penalty
ry8h12b1,8,2,Missed penalty
ov591ni3,8,3,Scored penalty
k4fxhi61,6,3,Scored penalty
ee15s8or,8,4,Scored penalty
b17b5r47,8,5,Scored penalty
1wga35rj,7,1,Scored penalty
4a685996,9,5,Scored penalty
65d45kq1,8,3,Scored penalty
al61utab,8,1,Scored penalty
o3bs5bdj,8,4,Scored penalty
4k9433oi,8,4,Scored penalty
oun3ksuk,7,3,Missed penalty
49al01ab,9,5,Scored penalty
nig8jvx9,7,2,Scored penalty
81c1p4s3,9,5,Scored penalty
826k8v63,4,2,Scored penalty
c8jk52pr,8,2,Scored penalty
oa420ohh,8,2,Scored penalty
o7r282r4,8,5,Scored penalty
51ilkn8f,8,3,Scored penalty
87k1xj58,9,5,Scored penalty
plddn8n7,7,5,Scored penalty
otp3iu00,8,5,Missed penalty
1a72yg45,8,1,Scored penalty
nouljj6n,7,4,Scored penalty
l4tj1a0n,4,1,Scored penalty
fy8l516f,7,5,Scored penalty
17570sf5,6,4,Scored penalty
6rb21jg8,9,3,Scored penalty
m485dq5l,8,4,Scored penalty
t5is5ns4,6,2,Scored penalty
32593170,9,1,Scored penalty
51p82jq5,8,5,Scored penalty
8ha88qpe,8,3,Scored penalty
3bdsa4x1,8,2,Missed penalty
3lgbw4e1,7,3,Scored penalty
2oxi4jml,7,1,Scored penalty
q4b7usra,7,4,Scored penalty
m2609fxn,8,5,Scored penalty
cng863v8,9,3,Scored penalty
q79oeipv,8,2,Scored penalty
tpbe8023,5,1,Scored penalty
m3237gi6,7,4,Scored penalty
l852wqf4,8,5,Scored penalty
bnng2hn5,8,5,Scored penalty
584wif82,7,1,Scored penalty
3ca4bx52,4,4,Scored penalty
2579ckn1,3,3,Scored penalty
1a73g45x,8,1,Scored penalty
7w06j230,7,2,Scored penalty
j994xdfm,9,4,Scored penalty
1d538psh,9,2,Scored penalty
ycuir5o9,4,4,Missed penalty
dj37rrrb,3,3,Missed penalty
bef3dy8m,7,3,Scored penalty
7t283333,7,5,Scored penalty
43474tr5,8,3,Scored penalty
722j6o5a,6,4,Scored penalty
kefkiy3d,9,1,Scored penalty
t6pib7lf,9,1,Scored penalty
yt635no2,2,4,Scored penalty
8223k8p1,8,1,Scored penalty
42e1vp4k,8,2,Scored penalty
f29448m1,7,2,Scored penalty
3v213541,8,1,Scored penalty
l4oab2uj,6,3,Scored penalty
fsk9663g,3,1,Missed penalty
yt04380b,10,4,Scored penalty
88br5jl8,6,3,Scored penalty
r00d15q3,9,2,Scored penalty
e0o17033,8,1,Scored penalty
b23418gl,7,2,Scored penalty
s8btga7e,7,4,Scored penalty
35pe6xc9,7,1,Missed penalty
8793a3t2,7,1,Missed penalty
e61ly30j,9,5,Scored penalty
57b7n294,7,3,Scored penalty
bh8w7n1d,9,3,Scored penalty
8adp791f,3,5,Missed penalty
cy5xc14s,7,3,Missed penalty
ej77l1ry,7,2,Scored penalty
c635482o,9,4,Scored penalty
1q4uw4s3,9,2,Scored penalty
54yc3b0o,6,1,Scored penalty
tkka7tf4,8,2,Scored penalty
x63v32i6,7,3,Scored penalty
3c8xpou6,8,1,Scored penalty
4lw8o80v,7,5,Scored penalty
4875276j,4,2,Missed penalty
6fy3882j,6,2,Missed penalty
4v7f6emn,8,4,Scored penalty
9p6i8050,7,1,Scored penalty
e8ivy077,6,1,Scored penalty
pln877rn,7,1,Scored penalty
7xw55ju6,7,5,Scored penalty
34ceu77t,7,3,Scored penalty
x8kjo6w0,6,2,Missed penalty
71155el4,8,3,Scored penalty
68k66158,5,5,Scored penalty
hqrnot30,7,2,Scored penalty
5q83l5j1,6,4,Scored penalty
1v38hpr2,7,4,Scored penalty
fmoo7ows,8,1,Scored penalty
25fo23hm,8,1,Scored penalty
ktvs6kut,9,3,Scored penalty
w2366kie,9,1,Scored penalty
2fmkd92s,7,2,Scored penalty
9k8bi486,9,5,Scored penalty
c5265e59,9,4,Scored penalty
05f806yt,4,1,Scored penalty
j7o5fbq7,6,4,Scored penalty
m62cw1ft,7,2,Scored penalty
jo6847w1,7,1,Scored penalty
1i932pfs,6,5,Scored penalty
0t74lp56,5,3,Scored penalty
ye1e1770,9,2,Scored penalty
i5a7925b,3,4,Missed penalty
4w2j9w03,7,5,Scored penalty
pope1m69,8,2,Scored penalty
1i49pdk1,7,1,Scored penalty
l74urt3v,5,2,Scored penalty
miymyr67,8,1,Scored penalty
o7i7j6g8,9,5,Scored penalty
43fqe8b5,9,2,Scored penalty
btj3px90,6,4,Scored penalty
i8ad5gt7,8,1,Scored penalty
2278165h,9,3,Scored penalty
4fi3d8wt,7,1,Scored penalty
90s0m7gc,9,3,Scored penalty
u016175u,8,4,Scored penalty
1387hjf5,7,5,Scored penalty
1ots3642,6,3,Scored penalty
514e0ex8,9,5,Scored penalty
st64c37f,6,5,Scored penalty
ub4f8bun,9,3,Scored penalty
xiw2854y,6,1,Scored penalty
t7t58xw9,8,3,Scored penalty
q1h60667,6,5,Scored penalty
u492cfe7,10,5,Scored penalty
lo5knv5s,6,5,Scored penalty
37ql4so4,8,2,Scored penalty
ar7vn6p1,5,3,Scored penalty
3553c63x,6,4,Scored penalty
ctwryo9l,5,3,Scored penalty
52i4m55c,7,4,Scored penalty
8vl09i6n,9,2,Scored penalty
f361b38n,7,3,Scored penalty
233c84f6,6,3,Scored penalty
1ab1ei15,9,4,Scored penalty
5670hdxc,7,2,Scored penalty
46338d9w,6,4,Scored penalty
udp5qfch,7,1,Missed penalty
hv437g2a,9,4,Scored penalty
a1dm6nr7,8,2,Scored penalty
denlm8ti,5,4,Scored penalty
xaau7el9,3,4,Scored penalty
tts3wadu,7,3,Scored penalty
ff188247,8,4,Scored penalty
c9dvt114,6,2,Missed penalty
d4foe763,8,5,Scored penalty
u72y2x54,7,3,Scored penalty
4t2t3a93,9,5,Scored penalty
f7s1090p,7,2,Scored penalty
22q68e07,8,1,Scored penalty
1dr3egb3,9,3,Scored penalty
1t7w6411,6,4,Scored penalty
ltcc74bk,7,3,Scored penalty
g40kvoww,9,4,Scored penalty
23iu5qtj,9,4,Scored penalty
4383ji68,7,3,Scored penalty
0gij59d6,9,3,Scored penalty
362i44xh,6,1,Scored penalty
8lr41308,6,2,Scored penalty
6739u174,10,5,Scored penalty
1r86tic6,8,4,Scored penalty
2nq34nl7,6,1,Scored penalty
w5il983q,6,5,Scored penalty
63rr6j41,10,2,Scored penalty
j77d53jk,9,1,Scored penalty
e4e4g540,7,5,Scored penalty
em7940i1,6,5,Scored penalty
89qn85ig,7,5,Scored penalty
67t4x6oe,4,2,Missed penalty
t2df0pba,4,4,Missed penalty
61s85271,7,1,Scored penalty
b938m648,4,2,Missed penalty
u203j880,9,1,Scored penalty
t516qw18,8,4,Scored penalty
67mnm56i,5,4,Scored penalty
14v6sp1l,4,2,Scored penalty
218g4mif,9,3,Scored penalty
38yr91i1,6,4,Scored penalty
r8hi6746,10,1,Scored penalty
1chem6mg,8,5,Scored penalty
3rnpao1q,8,3,Scored penalty
28e331i2,8,3,Scored penalty
172l4o3n,7,4,Scored penalty
bg61f0io,8,2,Scored penalty
ab2glv82,7,1,Scored penalty
15kj605e,6,4,Scored penalty
x2fecsm1,9,1,Scored penalty
xu56rub0,4,5,Missed penalty
832y4b8u,5,2,Scored penalty
t33cttsf,6,2,Scored penalty
41c8wp62,8,5,Scored penalty
hac6u356,9,3,Scored penalty
2t2a005t,7,3,Scored penalty
1gs4y8m2,7,3,Scored penalty
5d5y034i,9,2,Scored penalty
ly2jm5re,6,4,Scored penalty
i4s075te,8,1,Scored penalty
mql9k5s2,7,4,Scored penalty
g82tx0a5,7,5,Scored penalty
5r19c7yv,7,4,Scored penalty
6qvrqp19,9,3,Scored penalty
873fuah3,4,2,Scored penalty
29ke8803,6,1,Scored penalty
3215e0p5,6,5,Scored penalty
0e1ouj0c,9,4,Scored penalty
mpfwyrs8,5,3,Scored penalty
y4016gt5,8,5,Scored penalty
m483u5kj,9,5,Scored penalty
p2c1i2yy,7,2,Scored penalty
jb58nop1,9,3,Scored penalty
lkk22ruu,8,2,Scored penalty
5871gc2m,8,5,Scored penalty
x6yf5cdn,8,2,Scored penalty
74xdnbu6,8,1,Scored penalty
o5012x51,9,3,Scored penalty
2bo08732,7,1,Scored penalty
1fudj32f,9,2,Scored penalty
c3tn3xm2,8,1,Scored penalty
d8u12bph,8,3,Scored penalty
2my7y744,5,1,Scored penalty
f7r11a27,3,2,Scored penalty
n1uhfup0,7,4,Scored penalty
ml2vt1xy,7,4,Scored penalty
p8pkj22a,7,4,Scored penalty
2w6u02xi,6,5,Scored penalty
7825wl6o,4,1,Scored penalty
58wo0he8,9,4,Scored penalty
8m06s728,6,4,Scored penalty
o60182n8,5,1,Missed penalty
tv1cgkt3,7,4,Scored penalty
n460fm0d,8,4,Scored penalty
7q3bie14,9,4,Scored penalty
2gg3n0a4,6,5,Scored penalty
b2y31hy5,6,4,Scored penalty
7nqhc793,7,4,Scored penalty
i8eq7565,8,1,Scored penalty
in3886b8,6,3,Missed penalty
j1w75y48,7,4,Scored penalty
v7x7v968,8,2,Missed penalty
syt55qbb,10,5,Scored penalty
511qeqa5,6,2,Scored penalty
x8nk3745,8,4,Scored penalty
81nahe2g,8,1,Scored penalty
t5254144,4,2,Scored penalty
lxm1y6v6,9,1,Scored penalty
25s4wpu3,6,4,Scored penalty
6b8xd855,9,4,Scored penalty
12wucosw,6,3,Scored penalty
lete361q,5,1,Scored penalty
9339153r,9,4,Scored penalty
2167ty03,4,5,Missed penalty
h4a28o24,2,4,Scored penalty
68un4y6m,5,5,Missed penalty
abg6ycem,8,4,Scored penalty
1q51kn53,4,4,Scored penalty
y6k6oc6o,7,1,Scored penalty
5n55h6nc,6,1,Scored penalty
2x3huuxi,9,4,Scored penalty
yvcf1a4a,4,5,Scored penalty
351220u2,6,4,Scored penalty
w0g9fjl7,7,3,Scored penalty
d3584s44,3,4,Missed penalty
of30u671,5,3,Missed penalty
hhyg35pu,7,2,Scored penalty
qkbc8a85,5,2,Scored penalty
5j4a00n6,8,1,Scored penalty
ul9i1wah,8,5,Scored penalty
pahsmb5u,6,1,Scored penalty
6jra5qbq,8,2,Scored penalty
dw7w70m7,7,1,Scored penalty
n52pwo4d,6,4,Scored penalty
kid7r6b4,7,3,Missed penalty
o2u3tg4w,6,4,Scored penalty
jj40p50h,6,2,Scored penalty
sp23twre,5,5,Missed penalty
43xrrqm3,5,3,Scored penalty
amc0655r,9,5,Scored penalty
71qpyo65,8,2,Scored penalty
37c2311v,7,2,Scored penalty
37f4916l,8,5,Scored penalty
1lxa9cmk,6,4,Missed penalty
q08xrgoe,8,5,Scored penalty
a67fpf70,9,5,Scored penalty
01esc1ce,8,4,Scored penalty
j8dq6213,8,1,Scored penalty
4d3k6113,6,5,Scored penalty
l8nc2121,6,3,Scored penalty
4lovv051,8,5,Scored penalty
04v1d6l0,6,3,Scored penalty
8y1gx5on,5,5,Scored penalty
192yn62w,8,5,Scored penalty
33726453,8,3,Scored penalty
qtl929rh,8,4,Scored penalty
05bda8h6,8,1,Scored penalty
769c4h5e,9,2,Scored penalty
bakr462d,5,5,Scored penalty
bhvx5m8a,4,2,Scored penalty
95qcow64,6,4,Scored penalty
k5692xeq,9,2,Scored penalty
81783y64,8,5,Scored penalty
8p9ywfrb,6,2,Scored penalty
8n48p1yr,7,2,Scored penalty
ut44851f,3,5,Scored penalty
a5b1f178,5,5,Scored penalty
8j3jii73,8,1,Scored penalty
wv07fo28,6,3,Scored penalty
2b27825c,6,4,Scored penalty
8ny6khm0,7,1,Scored penalty
pfq0v8qp,4,3,Missed penalty
27j8jx8b,7,2,Scored penalty
b75ct6eu,9,5,Scored penalty
22131e75,10,1,Scored penalty
5p85oig0,7,3,Scored penalty
7r2c58us,6,4,Scored penalty
fcgi92w8,6,2,Scored penalty
7g7q3q1g,8,5,Scored penalty
872p42wx,8,3,Scored penalty
q1ct4421,8,5,Scored penalty
979im675,6,3,Scored penalty
fph7lusl,8,2,Scored penalty
dgc43u13,9,2,Scored penalty
4i0hr7a8,9,5,Scored penalty
fo16wjko,5,3,Scored penalty
f17mtp65,8,2,Scored penalty
jvw1y73b,8,5,Scored penalty
top6e907,5,4,Scored penalty
826lr645,4,4,Scored penalty
k323kj2j,4,2,Scored penalty
wxj338so,9,5,Scored penalty
6qkrs7au,7,5,Scored penalty
p15wdcm7,8,1,Scored penalty
gdlu6f96,9,2,Scored penalty
dgw8d27n,6,3,Scored penalty
59rdb157,9,4,Scored penalty
1i3lw7b2,8,3,Scored penalty
534b57b4,8,5,Scored penalty
6r6l6e33,8,1,Scored penalty
5xn62r58,9,3,Scored penalty
52552055,9,5,Scored penalty
f71862t9,7,5,Scored penalty
4puot047,5,3,Scored penalty
67u77fra,9,5,Scored penalty
c6q02xvg,6,4,Missed penalty
p947dy4o,7,3,Scored penalty
ahemw152,5,2,Missed penalty
77lnk4yr,3,4,Missed penalty
71i14462,8,3,Scored penalty
a068m1d6,8,2,Scored penalty
53243h2y,9,4,Scored penalty
m2q4ow4l,10,5,Scored penalty
5r78twp1,8,5,Scored penalty
36ah0c25,6,3,Missed penalty
24ur1858,7,1,Scored penalty
8arsnv66,6,1,Scored penalty
3n32275o,8,1,Scored penalty
m502ic8j,8,5,Scored penalty
40xkr8x7,5,5,Missed penalty
6ly1c561,6,2,Scored penalty
kr6unsh9,5,2,Scored penalty
0260gtv7,8,5,Scored penalty
l8ai08g0,4,1,Scored penalty
b1619h10,9,3,Scored penalty
2blw66pg,6,5,Missed penalty
8ki1877g,10,1,Scored penalty
f86jk4lo,9,1,Scored penalty
o28bv77w,10,5,Scored penalty
8yiufs3q,4,1,Scored penalty
1k3bw6e0,7,1,Missed penalty
kdh3vjga,8,3,Scored penalty
39736s31,5,4,Missed penalty
ucjsiit1,5,2,Scored penalty
gm87jxcm,5,4,Scored penalty
52rsx15n,6,5,Missed penalty
8d55915f,7,2,Missed penalty
71425273,9,5,Scored penalty
d93312hp,6,1,Scored penalty
8spg5sbt,9,3,Scored penalty
7h8po24f,7,3,Scored penalty
13l72a6w,8,5,Scored penalty
012bq5gd,8,5,Scored penalty
4clj9x19,9,4,Scored penalty
a1b84r1s,7,2,Scored penalty
1a3jwt81,9,5,Scored penalty
l7vi6kdh,7,1,Scored penalty
h1916l7o,8,1,Scored penalty
03u61u07,6,4,Scored penalty
q8apxkgs,9,5,Scored penalty
75uwjj6b,6,3,Scored penalty
58mw7353,6,3,Scored penalty
0u6n8378,3,1,Scored penalty
3xa4h74i,5,3,Missed penalty
j7h1vcy8,7,1,Missed penalty
3ic828k8,8,1,Scored penalty
to7k1p79,8,1,Scored penalty
pu9e53k1,6,5,Missed penalty
1j1e53hf,5,2,Scored penalty
f8w55532,4,2,Scored penalty
d7t98ud4,6,4,Scored penalty
od57ny75,7,1,Scored penalty
4laeywc6,9,3,Scored penalty
o8bt2e3a,5,3,Scored penalty
aeq60xh2,6,2,Scored penalty
16ool5ly,10,2,Scored penalty
74h6ekmq,3,5,Missed penalty
5c6803vo,7,4,Scored penalty
ul0s476v,6,2,Missed penalty
1ehm8t5a,9,3,Scored penalty
m5r1ma3j,7,2,Scored penalty
8eubj6od,9,5,Scored penalty
86vsb7y6,5,4,Scored penalty
kf6l2r7o,8,5,Scored penalty
gwel3t9m,4,3,Scored penalty
wpp394n3,9,2,Scored penalty
6662l45w,8,5,Scored penalty
0b9po921,6,3,Missed penalty
f5025rkq,5,4,Scored penalty
8au10x72,5,5,Scored penalty
670915el,8,3,Scored penalty
m52b78s7,7,3,Scored penalty
n7b35hd4,7,3,Scored penalty
ir1q5i13,5,5,Scored penalty
p7tugr2i,8,5,Scored penalty
qso8rjx7,7,5,Scored penalty
a2nh4309,6,4,Scored penalty
n5dj714q,5,5,Scored penalty
3r66g3o5,7,4,Scored penalty
357251yx,8,2,Scored penalty
9g1g0vy6,5,5,Scored penalty
4mq7523s,8,4,Scored penalty
m294t796,7,2,Scored penalty
jq8r93x8,9,2,Scored penalty
k37210ud,8,1,Scored penalty
o22l68e2,7,4,Scored penalty
lnk17s9b,6,1,Scored penalty
6y4rnj0f,7,4,Scored penalty
18322476,6,5,Scored penalty
4dqw3c7r,7,5,Scored penalty
886x6juj,6,5,Scored penalty
x3h875oh,9,2,Scored penalty
g924i53u,7,2,Scored penalty
9o95y4o8,6,2,Scored penalty
56wa0p38,9,1,Scored penalty
661048p6,5,1,Scored penalty
lqv7t626,7,2,Missed penalty
nc20jao2,8,5,Scored penalty
1l35583b,10,2,Scored penalty
u5gg335q,9,2,Scored penalty
ys3wff76,9,4,Scored penalty
0xi15b2s,2,3,Missed penalty
6je34m5j,6,3,Scored penalty
d032x9jj,9,4,Scored penalty
u924ca28,5,1,Scored penalty
ltc7s214,4,2,Missed penalty
75x38237,5,5,Scored penalty
dn2134pn,9,4,Scored penalty
88074v57,8,4,Scored penalty
kuff151p,8,3,Scored penalty
y3qlg67l,6,4,Scored penalty
ll4e66y6,8,1,Scored penalty
lu3y48nu,8,1,Scored penalty
m28o07b8,6,4,Missed penalty
w968ya3m,7,5,Scored penalty
mm803fbv,8,2,Scored penalty
3s4l8349,8,2,Scored penalty
25d54h24,6,1,Scored penalty
f3h69sok,5,5,Scored penalty
ev575uky,9,5,Scored penalty
cib9kr1d,5,2,Scored penalty
h3v4wntn,6,1,Scored penalty
py8mjyn3,9,5,Scored penalty
68g9uj17,7,4,Scored penalty
9xi3d0hp,6,5,Scored penalty
14f64bgc,6,3,Scored penalty
71tl8c85,6,3,Scored penalty
9823io42,4,4,Scored penalty
28271ur8,7,4,Scored penalty
c859dwkd,7,3,Scored penalty
4vl69i4q,5,3,Scored penalty
3ewuge16,8,1,Scored penalty
4224pi43,5,5,Scored penalty
95dev6i3,3,4,Missed penalty
s662r7ik,8,4,Scored penalty
gt65lx6r,7,5,Scored penalty
d01y1261,8,1,Scored penalty
52u4lb25,9,1,Scored penalty
j7y35am6,5,1,Scored penalty
7xls89v7,7,3,Scored penalty
47962967,8,3,Scored penalty
2v66t0pd,9,5,Scored penalty
42lpx489,7,3,Scored penalty
347q246a,7,1,Scored penalty
79v34y99,9,2,Scored penalty
o987ke4e,8,4,Scored penalty
2s3x119v,8,4,Scored penalty
083g398b,7,2,Scored penalty
b7f516b6,4,4,Missed penalty
8jy31c86,8,3,Scored penalty
4f3e5m42,6,5,Scored penalty
q6g4jlm9,8,2,Scored penalty
iix7gno3,8,2,Scored penalty
o1hrf7e6,8,3,Scored penalty
c61hl825,8,1,Scored penalty
4qarr777,7,1,Scored penalty
1c71n8u8,10,5,Scored penalty
4vd68hjd,9,3,Scored penalty
8r65362b,7,5,Scored penalty
0kjrbb17,7,5,Scored penalty
noor3914,9,1,Scored penalty
436b60ql,6,3,Scored penalty
8ht5c1q6,9,5,Scored penalty
2ra92p2i,8,3,Scored penalty
3li36j2x,8,5,Scored penalty
b70o5k4a,8,2,Scored penalty
qh7wj285,8,2,Scored penalty
7t6yihtj,8,3,Scored penalty
6e326crp,7,4,Scored penalty
k1shoq0v,8,2,Scored penalty
xul76rm5,8,5,Scored penalty
dn3ks61t,8,4,Scored penalty
888m8998,5,4,Scored penalty
1j6v77km,4,5,Missed penalty
tfph6a44,2,4,Scored penalty
uck4o8i4,8,3,Scored penalty
98o7u57n,6,3,Scored penalty
baboa546,7,3,Scored penalty
1ci4eka7,6,3,Scored penalty
cc9a64hy,5,3,Scored penalty
wwx229q5,9,5,Scored penalty
1htk033k,7,5,Scored penalty
f14eejdy,4,3,Scored penalty
7osk345f,8,5,Scored penalty
7r1xtk2p,9,3,Scored penalty
w7oh83wo,8,1,Scored penalty
5196c27q,8,3,Scored penalty
4d89obdq,8,4,Scored penalty
l059dcm8,3,4,Missed penalty
971rvptg,9,1,Scored penalty
8btyea2j,8,3,Scored penalty
022ckoc2,9,1,Scored penalty
641dv4f5,10,5,Scored penalty
taa30u6y,7,1,Scored penalty
v8priaco,7,2,Scored penalty
dymn6xs5,5,1,Scored penalty
4u76l5ju,7,5,Scored penalty
uavd9ksh,6,1,Scored penalty
257b67ft,9,4,Scored penalty
33kkpd1m,6,5,Scored penalty
ccsl7ewc,9,3,Scored penalty
vs7p80bk,7,3,Scored penalty
394572b1,8,5,Scored penalty
v7k5w1sy,4,3,Missed penalty
f9m562eh,8,5,Scored penalty
7r0f66yu,4,4,Scored penalty
9108bv5x,7,3,Scored penalty
1vq27tj1,7,3,Scored penalty
gke3a4w6,7,3,Scored penalty
7b255gr6,8,2,Missed penalty
w125qt8u,7,3,Scored penalty
u5pevkat,6,4,Scored penalty
7w49y685,8,4,Scored penalty
o3t30pe3,8,3,Scored penalty
3v5itdv3,8,2,Scored penalty
wv3rnu24,7,1,Scored penalty
cb4q7328,7,5,Scored penalty
299l1j56,10,1,Scored penalty
1r83a1u1,7,5,Scored penalty
f63744k6,6,4,Scored penalty
g164wql8,9,3,Scored penalty
t144m1rs,7,3,Scored penalty
66b67932,7,4,Scored penalty
5oibtxl7,5,4,Scored penalty
8b256lwp,4,3,Scored penalty
o316nvd5,8,5,Scored penalty
2lf28ca5,6,5,Scored penalty
javk8bmh,7,1,Scored penalty
0r4ckw1v,9,3,Scored penalty
bawieusg,8,4,Scored penalty
873h8ut1,4,5,Scored penalty
7358922r,5,1,Scored penalty
6kc51k4p,8,3,Scored penalty
e3q5ny5v,7,3,Scored penalty
22x4f60j,7,3,Scored penalty
8no1f4kw,7,1,Scored penalty
4l4og4u6,10,3,Scored penalty
7q7n4l35,8,4,Scored penalty
6g1foi45,6,3,Scored penalty
s355bs5y,5,5,Missed penalty
y26mnow3,6,3,Scored penalty
102kk742,6,4,Scored penalty
7p206s7f,9,5,Scored penalty
85h56o0c,6,4,Scored penalty
