training,dance,interaction,observed,expected,ln_observed,ln_expected
1,1,1,48,61.56,3.871201010907891,4.120012308970678
1,1,1,48,61.56,3.871201010907891,4.120012308970678
1,1,1,48,61.56,3.871201010907891,4.120012308970678
1,1,1,48,61.56,3.871201010907891,4.120012308970678
1,1,1,48,61.56,3.871201010907891,4.120012308970678
1,1,1,48,61.56,3.871201010907891,4.120012308970678
1,1,1,48,61.56,3.871201010907891,4.120012308970678
1,1,1,48,61.56,3.871201010907891,4.120012308970678
1,1,1,48,61.56,3.871201010907891,4.120012308970678
1,1,1,48,61.56,3.871201010907891,4.120012308970678
1,1,1,48,61.56,3.871201010907891,4.120012308970678
1,1,1,48,61.56,3.871201010907891,4.120012308970678
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
1,0,0,114,100.44,4.736198448394496,4.609560534289384
