age,sex,stu_neurotic,stu_extro,stu_open,stu_agree,stu_consc,lec_neurotic,lec_extro,lec_open,lec_agree,lec_consc
18,Female,NA,NA,NA,57,NA,NA,NA,NA,NA,NA
18,Female,32,33,27,57,36,-30,NA,9,28,4
18,Female,24,41,NA,50,32,-24,NA,15,4,10
19,Female,15,34,37,50,25,-26,NA,9,19,15
18,Female,15,34,35,50,34,-26,NA,0,14,16
18,Female,25,38,20,45,58,-24,NA,9,2,23
19,Male,14,36,27,NA,34,-28,NA,17,23,17
18,Male,17,33,32,53,31,-27,NA,11,7,14
17,Male,10,38,26,52,39,-6,NA,17,18,19
18,Female,28,29,25,58,34,-17,NA,6,2,12
18,Female,19,35,23,46,30,-22,NA,-6,15,8
NA,Male,33,31,30,36,28,-24,NA,6,10,15
18,Male,41,30,37,43,34,-24,NA,13,18,22
18,Female,25,27,31,57,30,-24,NA,19,17,14
18,Female,25,30,19,50,31,-17,NA,11,2,10
18,Male,37,21,35,47,24,-29,NA,2,26,20
NA,Male,28,33,30,46,23,-24,NA,22,-3,20
18,Male,26,26,28,NA,25,0,NA,0,6,4
18,Female,24,41,NA,50,32,-1,NA,5,10,1
21,Female,34,28,36,42,30,-30,NA,16,-5,4
18,Female,25,27,31,55,30,-24,NA,9,2,23
18,Female,18,26,22,43,29,-6,NA,17,18,19
18,Female,12,26,29,45,34,-26,NA,9,19,15
18,Female,20,24,25,55,39,-24,NA,15,4,10
18,Female,18,26,22,43,29,-30,NA,28,8,17
18,Female,12,26,29,45,34,-19,NA,2,3,17
18,Male,26,26,28,NA,25,-1,NA,5,10,1
19,Female,33,27,33,60,38,-30,NA,10,15,11
18,Female,8,27,34,55,40,-26,NA,17,22,29
18,Female,25,30,19,50,31,-17,NA,11,2,10
17,Female,30,42,16,51,34,-26,NA,12,24,21
18,Female,25,30,19,50,31,-28,NA,17,23,17
20,Female,24,31,23,55,40,-30,NA,1,-4,23
18,Female,13,36,26,50,31,-30,NA,7,21,23
18,Female,30,29,40,59,43,-30,NA,26,25,18
19,Female,27,21,29,49,27,-22,NA,23,19,21
23,Female,14,32,21,57,35,-15,NA,0,15,23
NA,Female,17,33,28,41,33,-20,NA,9,20,21
18,Male,19,27,22,51,32,-17,NA,7,12,15
18,Male,17,34,31,49,29,-21,NA,11,14,NA
18,Female,26,36,28,41,29,-25,NA,2,8,-1
17,Female,15,38,33,53,38,-24,NA,12,13,19
19,Male,31,37,30,51,34,-16,NA,7,5,5
18,Female,30,33,24,36,23,-27,NA,9,17,15
18,Female,13,32,30,41,41,-23,NA,6,11,19
19,Female,22,37,28,55,34,-30,NA,13,17,26
20,Male,19,31,35,45,26,NA,NA,-3,NA,NA
16,Male,35,21,23,56,NA,8,NA,8,13,0
18,Male,10,38,40,50,32,-29,NA,25,19,15
18,Female,NA,NA,NA,49,NA,-30,NA,20,21,30
18,Female,20,37,30,41,30,-23,NA,2,10,17
18,Male,14,24,32,43,24,-17,NA,18,10,7
18,Female,27,39,24,42,32,-30,NA,NA,19,5
18,Male,20,NA,21,38,21,-11,NA,10,10,12
18,Female,18,31,23,50,NA,-16,NA,6,12,8
18,Female,16,35,26,49,29,-24,NA,5,-1,4
18,Female,31,37,22,53,32,-30,NA,16,23,24
17,Female,36,35,31,54,36,-30,NA,6,3,24
19,Male,15,31,36,45,24,-18,NA,17,1,7
18,Female,35,31,28,49,30,-25,NA,27,16,28
19,Female,18,42,35,49,31,-30,NA,19,21,14
18,Female,18,28,37,51,33,-19,NA,18,5,14
18,Female,32,27,27,54,24,-5,NA,17,13,11
18,Female,27,32,21,46,37,-21,NA,1,23,18
17,Female,21,38,23,49,32,-30,NA,8,1,19
17,Female,15,32,26,41,25,-20,NA,1,12,5
19,Male,10,36,23,48,32,-20,NA,17,19,16
18,Male,8,30,22,45,26,-25,NA,4,-5,8
18,Female,19,29,35,43,31,-26,NA,21,20,21
18,Female,25,28,25,38,28,-11,NA,20,22,25
19,Male,5,31,33,43,41,-28,NA,3,-3,23
18,Female,17,33,32,48,33,-30,NA,7,-1,22
18,Female,27,30,32,50,32,-18,NA,9,17,9
18,Female,16,34,31,46,34,-13,NA,6,17,20
20,Female,19,35,39,61,39,-24,NA,18,11,20
18,Female,13,30,25,51,39,-24,NA,1,-14,30
NA,Female,39,31,42,42,23,-20,NA,4,-6,-1
17,Male,36,23,29,41,23,-24,NA,3,1,15
19,Female,26,34,38,64,39,-27,NA,24,25,19
18,Female,14,39,41,57,37,-30,NA,25,-5,28
NA,Female,23,27,27,42,33,-30,NA,16,8,23
NA,Female,34,28,34,38,25,-28,NA,12,6,29
NA,Female,23,26,32,50,34,-24,NA,3,12,-6
18,Male,4,35,23,43,27,-13,NA,0,4,12
26,Female,25,28,33,49,35,-24,NA,16,3,16
NA,Female,20,34,29,60,42,-29,NA,20,17,26
18,Male,19,27,30,51,23,-24,NA,1,NA,9
18,Female,38,29,46,45,33,-24,NA,14,7,22
20,Male,6,33,39,34,20,-28,NA,12,-3,8
NA,Female,25,36,29,61,39,-29,NA,19,22,24
19,Male,7,38,33,62,42,-30,NA,19,12,24
NA,Male,26,32,36,44,28,-6,NA,10,0,13
18,Male,19,36,39,50,33,-17,NA,15,6,21
17,Male,36,23,29,41,23,-24,NA,3,1,15
18,Male,20,NA,21,38,21,-11,NA,10,10,12
18,Female,18,31,23,50,NA,-16,NA,6,12,8
17,Female,30,42,16,51,34,-26,NA,12,24,21
NA,Female,39,31,42,42,23,-20,NA,4,-6,-1
19,Female,27,21,29,49,27,-22,NA,23,19,21
23,Female,14,32,21,57,35,-15,NA,0,15,23
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Female,28,19,21,48,35,-29,16,-7,10,23
19,Female,20,28,32,46,28,-10,21,17,26,25
18,Female,34,22,28,25,7,-6,3,-1,1,10
24,Female,20,32,32,44,27,-18,8,6,5,18
18,Female,29,17,31,52,27,-25,20,8,-2,20
18,Female,32,29,26,47,33,-29,7,-4,12,28
18,Male,0,41,32,50,45,-30,9,9,9,16
18,Female,21,25,25,45,33,-17,11,5,13,16
22,Female,26,33,32,37,27,-3,7,14,6,12
17,Female,19,33,27,34,35,-23,11,-8,19,27
19,Female,20,17,36,54,38,-27,13,-2,1,26
19,Male,26,35,29,46,18,-27,28,NA,-7,-2
19,Female,37,17,35,47,18,-16,8,5,9,16
18,Female,30,34,31,44,32,-20,5,7,12,30
20,Female,19,36,28,50,36,-19,15,10,-6,15
18,Female,28,27,37,32,26,-22,12,12,11,5
19,Female,34,29,30,47,23,-23,12,12,14,30
19,Male,13,29,27,47,26,-4,3,4,15,16
19,Female,35,20,23,46,28,-30,16,3,10,14
18,Female,15,31,23,51,32,-21,8,-3,14,21
18,Female,14,23,31,54,33,-14,10,1,3,11
19,Female,32,32,42,36,16,-29,24,27,12,18
19,Male,10,39,37,44,34,-30,25,12,2,15
18,Female,23,34,26,45,34,-15,16,4,3,11
18,Female,26,28,35,50,36,-17,12,10,2,13
19,Female,24,25,22,63,32,-18,15,5,4,16
18,Female,23,31,22,58,41,-27,20,18,2,16
19,Female,34,26,31,58,28,-27,11,-1,13,23
18,Female,13,35,37,37,24,-30,2,3,-1,26
18,Female,28,5,28,27,24,-26,9,1,-1,9
18,Female,20,42,24,46,31,-29,14,2,-7,12
19,Female,21,37,33,57,43,-30,12,15,20,19
18,Female,25,24,19,54,39,-24,13,16,18,21
18,Female,14,32,24,50,36,-17,16,9,20,23
19,Female,27,23,27,55,26,-28,10,3,14,24
24,Male,40,19,37,59,41,-19,27,27,-6,15
20,Male,24,29,35,34,24,-21,12,19,12,19
18,Female,27,26,34,47,30,-25,7,8,4,16
18,Female,25,28,33,43,35,-21,4,-5,7,15
19,Male,24,29,24,52,32,-15,10,7,12,7
18,Female,14,36,23,51,28,-30,13,10,-7,17
18,Female,22,33,31,50,41,-20,14,3,-7,24
18,Female,23,41,14,50,37,-25,25,10,-1,4
19,Female,43,33,30,43,17,-11,11,3,6,15
19,Female,35,28,36,50,30,-21,5,7,-3,19
18,Female,34,30,40,52,23,-20,8,18,22,9
17,Female,37,33,36,42,21,-23,11,2,10,18
18,Male,24,29,44,43,24,-21,23,30,26,-8
18,Female,19,36,26,NA,25,-30,10,-5,1,15
19,Female,39,24,21,44,36,-22,2,-5,17,16
18,Female,28,36,30,50,39,-30,27,16,9,20
23,Male,24,23,37,47,15,NA,-6,-4,-2,15
18,Female,18,43,29,57,34,-20,20,10,7,20
18,Male,2,39,40,33,20,-18,22,20,6,6
20,Female,14,30,41,51,27,-20,18,14,-1,22
18,Female,22,30,34,51,36,-30,1,6,2,17
19,Female,29,27,32,38,26,-19,4,4,3,13
20,Female,28,34,22,47,31,-21,22,19,22,27
18,Female,15,29,31,54,33,-16,12,11,-2,7
20,Female,32,25,37,43,17,-30,10,10,-11,9
18,Female,29,29,29,41,31,-14,14,1,-8,18
19,Male,16,30,29,38,31,-27,14,6,4,23
20,Male,30,9,36,35,22,5,16,19,13,10
21,Male,2,35,29,53,42,-27,11,6,10,24
19,Female,33,21,15,50,29,-29,8,4,22,27
29,Female,19,31,30,47,36,-23,10,10,1,12
18,Female,22,26,30,48,28,-10,3,10,4,10
20,Male,29,20,39,37,21,-20,6,15,-6,-5
19,Female,37,18,32,47,31,-30,12,6,13,18
19,Female,20,26,22,49,32,-26,2,10,7,16
19,Female,21,31,32,51,39,-27,7,-1,11,26
18,Male,25,32,37,44,30,-27,18,19,26,3
19,Female,35,11,32,58,44,-26,9,2,11,NA
19,Female,40,21,29,50,26,-30,12,6,19,29
18,Female,33,26,30,40,26,-26,16,12,1,17
19,Female,41,26,26,56,31,-24,5,1,13,17
18,Female,20,40,31,58,41,-30,18,5,11,22
18,Female,11,32,28,45,36,-18,1,14,7,15
18,Female,21,27,35,46,28,-13,24,18,15,15
18,Female,29,31,28,53,29,-24,10,-3,0,25
19,Female,42,34,33,44,30,-25,0,10,9,17
18,Male,8,32,36,49,28,-24,13,7,15,20
20,Male,29,23,41,39,20,-21,-3,3,4,21
19,Female,39,21,41,45,33,-21,19,24,-3,15
17,Female,24,33,32,49,30,-29,16,1,11,16
18,Female,24,33,27,50,37,-28,20,12,1,24
20,Female,19,20,14,39,30,-25,10,6,17,20
24,Male,22,38,40,45,23,-30,3,-7,7,18
18,Female,33,29,27,35,21,-20,19,7,2,8
18,Male,2,34,38,44,28,-30,10,-1,9,19
18,Female,23,35,22,47,31,-30,14,7,18,23
19,Female,13,33,34,37,27,-19,12,3,0,14
18,Female,35,27,40,47,25,-24,8,25,7,26
19,Female,25,36,28,54,31,-18,14,10,3,26
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Female,20,25,30,44,32,-29,4,4,17,22
19,Female,19,38,29,41,33,-23,14,-1,-4,27
22,Female,27,26,26,51,38,-27,18,8,8,23
23,Female,13,23,30,60,44,-23,6,5,4,15
19,Female,19,34,39,55,31,-9,12,6,1,9
18,Male,23,26,23,51,25,-21,4,11,9,19
21,Female,11,28,29,54,39,-17,15,9,7,14
19,Female,16,35,28,43,29,-16,26,20,18,23
18,Male,22,18,24,41,19,-28,4,-9,0,17
33,Male,29,26,26,48,33,-27,10,2,-13,6
22,Female,24,33,27,51,42,-29,13,9,7,21
25,Female,27,25,33,38,28,-4,5,2,-4,10
NA,NA,24,30,31,38,33,0,4,-4,7,15
19,Female,20,31,32,48,33,-24,-3,1,1,12
40,Female,17,35,30,61,42,-30,6,4,-19,24
21,Male,19,11,32,27,14,-12,5,10,-6,21
2,Female,21,25,29,43,29,-27,14,14,2,12
26,Female,22,38,29,49,37,-23,13,18,1,-4
43,Female,28,31,27,45,30,-28,17,8,-2,13
20,Male,35,24,19,44,16,-26,12,4,8,18
21,Female,13,29,22,48,30,-30,20,16,-14,25
21,Female,24,33,28,50,34,-30,9,5,9,22
19,Female,25,31,25,55,34,-17,19,14,15,23
28,Female,12,34,30,38,35,-30,25,-5,-10,21
21,Female,15,27,27,44,23,-24,16,4,6,6
39,Female,10,36,28,50,39,-17,14,8,3,20
25,Male,30,30,42,41,34,-26,22,9,2,16
30,Female,37,28,21,40,29,NA,3,10,NA,NA
19,Female,31,31,26,52,25,-30,-1,13,-5,12
27,Male,15,31,40,46,36,-19,14,11,-5,13
27,Female,25,24,22,46,37,-27,10,12,22,26
22,Male,26,38,29,53,22,-28,7,-2,-6,15
27,Female,20,33,29,47,31,-26,7,-1,-3,14
24,Female,27,28,38,45,25,-24,21,14,-4,19
24,Female,19,31,24,57,42,-22,19,2,13,20
20,Female,20,24,31,55,28,-30,15,0,-14,29
19,Female,18,34,22,46,38,-22,12,4,5,4
20,Female,18,26,39,52,44,-28,17,9,4,23
21,Female,14,38,36,50,42,-30,4,16,9,16
19,Female,19,37,25,51,36,-26,17,19,21,24
22,Female,22,23,25,54,36,NA,NA,NA,NA,NA
39,Female,31,33,15,51,29,22,12,11,19,27
18,Male,26,33,19,56,37,-21,20,8,29,13
18,Female,40,35,31,51,24,-26,4,-10,-4,21
18,Female,27,45,23,55,36,NA,NA,NA,NA,NA
18,Female,21,33,31,53,41,-23,9,6,23,25
21,Male,20,27,26,55,24,10,17,12,19,18
32,Female,22,27,24,33,24,-6,18,18,17,18
22,Female,26,25,23,46,NA,-13,14,10,21,21
20,Female,20,31,25,37,26,-27,16,14,11,26
28,Male,25,20,22,51,24,4,10,13,1,13
18,Female,21,18,21,42,24,-30,13,20,5,26
18,Female,35,16,23,51,38,-22,7,6,22,16
18,Female,17,29,22,42,19,-18,7,-3,6,5
18,Female,27,33,27,47,30,-26,16,4,1,27
24,Female,16,27,30,53,31,-30,17,5,2,21
20,Female,24,26,28,50,31,-29,-5,-2,13,3
18,Female,26,18,18,42,24,-8,1,6,0,15
18,Male,23,19,23,41,24,-14,9,3,4,22
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Male,27,30,24,43,36,-30,13,-2,7,20
18,Female,36,27,20,43,26,NA,21,6,5,11
21,Male,3,34,38,49,32,-25,11,9,13,29
20,Female,9,35,25,52,32,-30,14,7,0,24
18,Male,17,39,33,32,17,-30,14,8,6,16
20,Female,28,33,21,47,31,-22,16,-5,-1,15
18,Male,28,27,20,41,23,-30,10,6,12,21
19,Male,14,35,34,38,25,-26,5,8,-3,16
20,Male,17,28,29,31,32,-25,18,3,NA,10
21,Female,27,31,27,43,30,-19,5,12,10,9
21,Female,24,25,22,48,33,-30,15,9,22,26
18,Female,36,27,30,53,36,-12,24,8,15,18
20,Female,36,17,28,47,39,-30,26,17,25,30
19,Male,24,28,18,46,35,-24,1,-9,25,30
20,Female,19,39,39,47,26,-14,10,5,-3,15
19,Male,21,19,29,54,42,-30,8,7,21,30
21,Female,37,28,30,46,29,-24,7,-10,26,24
20,Female,40,25,26,38,25,-30,6,5,2,26
19,Female,26,30,35,55,32,-16,11,5,9,23
20,Male,31,32,21,44,39,-18,10,-1,1,6
20,Male,14,36,22,33,19,-26,26,3,15,16
20,Male,10,31,36,35,24,-20,22,14,2,7
19,Female,16,25,23,39,38,-15,20,0,14,15
20,Female,24,32,34,49,36,-24,19,3,-5,26
20,Female,35,16,41,41,28,-29,17,2,2,8
20,Female,19,29,33,50,37,-30,24,5,23,17
18,Male,16,39,41,51,41,-30,23,20,0,18
19,Female,23,30,25,47,36,-13,24,13,16,16
19,Female,21,39,35,33,23,-19,23,13,5,-1
19,Female,44,18,28,67,34,-29,14,29,29,27
20,Female,27,27,30,29,24,-18,8,-3,-3,9
21,Female,40,23,33,50,40,-21,15,8,26,22
20,Female,29,33,35,41,30,-15,13,1,2,5
19,Male,21,30,19,47,36,-23,15,23,22,22
20,Female,18,42,34,50,35,-13,21,14,4,17
18,Male,19,25,31,41,30,-30,18,8,-4,23
23,Male,18,41,41,37,23,-30,17,3,16,26
21,Male,34,13,20,42,34,-11,20,11,8,12
18,Female,23,26,25,46,36,-30,13,9,-6,17
21,Female,27,30,24,39,31,-28,7,1,27,22
21,Female,8,43,31,52,32,-24,19,15,15,2
20,Male,8,29,21,56,35,-30,22,21,-3,12
21,Female,20,38,35,50,35,-29,15,15,15,13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Female,34,28,24,39,22,-29,0,-2,26,17
19,Female,36,26,18,NA,34,NA,17,6,2,8
19,Female,44,23,29,34,14,-19,22,19,20,15
20,Female,37,37,24,53,38,-30,7,-15,14,20
19,Female,20,24,24,43,34,-30,17,6,15,28
20,Female,23,36,24,41,32,-10,19,5,9,14
19,Male,17,37,22,28,19,-14,7,8,13,3
20,Female,15,46,18,37,35,-28,18,15,7,16
20,Female,39,38,26,31,12,-30,10,16,-12,20
30,Female,36,28,26,38,18,-29,25,23,8,18
20,Male,28,18,22,46,21,-20,18,13,22,20
21,Female,42,43,35,44,33,-20,23,13,19,26
21,Male,19,18,31,39,33,-30,13,8,7,30
19,Female,20,24,33,35,20,-22,18,7,-9,9
19,Female,30,25,28,43,30,-30,12,15,-6,20
19,Male,6,38,27,27,16,-16,11,9,-7,2
20,Female,12,41,27,36,31,-30,27,5,-2,19
19,Female,22,31,25,42,28,-30,12,17,0,20
20,Female,13,43,29,28,27,-24,28,24,14,29
20,Male,11,35,34,39,31,-30,11,1,-15,20
20,Male,24,28,36,35,9,-30,23,13,9,30
24,Male,22,31,30,42,22,-25,3,0,4,17
19,Female,32,28,30,44,26,-14,13,-9,3,27
19,Female,26,30,28,43,33,-27,7,-9,1,7
34,Male,21,33,40,54,35,-26,19,20,1,23
19,Male,8,33,31,39,25,-9,14,20,-3,-2
18,Female,34,20,20,48,22,-27,13,3,-6,18
20,Male,24,34,22,51,33,-24,19,3,7,20
20,Female,27,30,29,NA,29,-30,26,7,-21,18
18,Female,NA,NA,NA,31,NA,-22,28,26,22,23
18,Female,7,37,34,40,33,-30,13,3,-1,4
19,Female,22,29,27,NA,27,-22,28,16,23,21
19,Female,15,33,27,NA,26,-23,14,8,-3,2
23,Female,12,34,36,47,27,-28,13,5,9,13
19,Female,22,30,23,NA,23,-23,13,-3,9,13
20,Male,15,35,16,47,38,-22,14,6,22,21
21,Female,17,38,39,NA,29,-30,8,-3,20,23
20,Female,25,33,34,41,30,-22,0,-3,3,18
20,Female,25,31,25,40,28,-23,12,7,14,16
19,Female,31,33,28,52,29,-20,13,6,12,17
19,Female,34,20,22,53,36,-29,21,8,12,10
20,Female,36,38,28,56,35,-30,4,9,16,23
19,Female,16,31,26,43,33,-17,10,19,17,27
20,Female,14,41,27,33,25,-27,14,2,13,21
20,Female,19,31,25,44,30,-25,8,7,10,8
19,Female,20,31,32,32,26,-30,14,17,11,16
20,Female,27,25,21,33,28,-29,6,2,19,26
19,Female,29,24,21,43,27,-27,25,13,18,10
20,Female,29,28,33,41,25,-19,18,11,15,15
25,Female,37,20,32,40,29,-12,15,7,-4,15
19,Female,27,35,23,49,30,-29,6,2,NA,18
21,Female,25,26,31,45,34,-30,18,6,6,16
21,Female,15,33,24,34,25,-30,-4,1,-3,17
20,Male,32,20,31,45,25,-9,9,8,4,10
19,Female,24,30,27,50,30,-28,11,5,6,22
19,Male,39,33,42,40,13,-27,13,18,16,12
20,Male,10,32,30,46,35,-19,21,22,20,22
19,Female,30,27,23,51,37,-30,13,2,12,14
31,Female,28,25,34,29,30,-10,13,13,4,23
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Female,28,28,17,52,21,2,12,12,6,3
19,Female,24,29,25,36,29,-28,10,18,11,5
19,Female,30,34,23,45,25,-23,7,7,5,10
20,Female,28,30,31,41,31,-6,14,19,8,18
20,Male,26,31,32,44,17,-21,17,18,18,23
19,Male,24,32,25,46,22,-18,11,8,10,12
18,Female,36,33,39,44,26,-30,10,-3,5,4
19,Female,28,37,28,47,28,0,2,-4,0,0
19,Female,24,27,26,48,31,-25,12,11,12,5
18,Female,15,33,23,48,35,-24,5,8,10,12
19,Female,26,22,32,53,22,-30,7,15,14,16
19,Male,24,14,26,45,22,1,6,2,2,0
25,Male,26,29,33,43,23,-15,10,6,4,6
19,Female,13,33,28,39,29,-8,9,0,5,6
19,Female,20,33,27,48,34,8,15,16,15,16
22,Male,17,31,24,44,29,-30,14,-3,22,25
18,Female,28,35,34,39,18,-30,25,20,9,21
19,Female,25,30,25,36,25,-9,3,1,-5,-7
19,Female,NA,NA,NA,54,NA,-29,NA,23,15,26
25,Female,27,25,19,57,35,25,19,25,26,27
19,Male,21,33,26,54,25,-23,17,16,4,20
19,Female,24,27,29,49,20,-30,10,-7,17,9
21,Male,12,40,40,63,32,25,28,27,28,28
19,Female,NA,NA,NA,54,NA,4,6,2,2,1
21,Male,27,38,24,58,19,-8,16,14,7,9
20,Male,21,25,27,44,26,13,15,3,16,4
20,Male,23,31,21,51,29,-25,19,17,18,24
22,Female,24,26,23,59,24,0,13,8,12,22
19,Male,18,21,36,44,26,-12,11,1,7,8
22,Male,40,32,29,73,24,-18,26,16,19,27
19,Female,10,37,43,62,39,-23,16,20,-4,22
