id,strategy,looks,personality,date
m487l,Hard to get,Low,High,54
m487l,Hard to get,High,Average,92
m487l,Hard to get,Average,Average,71
m487l,Hard to get,Low,Average,58
m487l,Hard to get,High,Low,78
m487l,Hard to get,Average,Low,38
m487l,Hard to get,Low,Low,45
57v26,Hard to get,High,High,89
57v26,Hard to get,Average,High,86
57v26,Hard to get,Low,High,63
57v26,Hard to get,High,Average,80
57v26,Hard to get,Average,Average,73
57v26,Hard to get,Low,Average,49
57v26,Hard to get,High,Low,91
57v26,Hard to get,Average,Low,48
57v26,Hard to get,Low,Low,39
w363q,Normal,High,High,89
w363q,Normal,Average,High,91
w363q,Normal,Low,High,93
w363q,Normal,High,Average,88
w363q,Normal,Average,Average,65
w363q,Normal,Low,Average,54
w363q,Normal,High,Low,55
w363q,Normal,Average,Low,48
w363q,Normal,Low,Low,52
e5065,Normal,High,High,84
e5065,Normal,Average,High,90
e5065,Normal,Low,High,85
e5065,Normal,High,Average,95
e5065,Normal,Average,Average,70
e5065,Normal,Low,Average,60
e5065,Normal,High,Low,50
e5065,Normal,Average,Low,44
e5065,Normal,Low,Low,45
7kw62,Normal,High,High,99
7kw62,Normal,Average,High,100
7kw62,Normal,Low,High,89
7kw62,Normal,High,Average,80
7kw62,Normal,Average,Average,79
7kw62,Normal,Low,Average,53
7kw62,Normal,High,Low,51
7kw62,Normal,Average,Low,48
7kw62,Normal,Low,Low,44
4rjbx,Normal,High,High,86
4rjbx,Normal,Average,High,89
4rjbx,Normal,Low,High,83
4rjbx,Normal,High,Average,86
4rjbx,Normal,Average,Average,74
4rjbx,Normal,Low,Average,58
4rjbx,Normal,High,Low,52
4rjbx,Normal,Average,Low,48
4rjbx,Normal,Low,Low,47
kym4j,Normal,High,High,89
kym4j,Normal,Average,High,87
kym4j,Normal,Low,High,80
kym4j,Normal,High,Average,83
kym4j,Normal,Average,Average,74
kym4j,Normal,Low,Average,43
kym4j,Normal,High,Low,58
kym4j,Normal,Average,Low,50
kym4j,Normal,Low,Low,48
98h23,Normal,High,High,80
98h23,Normal,Average,High,81
98h23,Normal,Low,High,79
98h23,Normal,High,Average,86
98h23,Normal,Average,Average,59
98h23,Normal,Low,Average,47
98h23,Normal,High,Low,51
98h23,Normal,Average,Low,47
98h23,Normal,Low,Low,40
8xdj8,Normal,High,High,82
8xdj8,Normal,Average,High,92
8xdj8,Normal,Low,High,85
8xdj8,Normal,High,Average,81
8xdj8,Normal,Average,Average,66
8xdj8,Normal,Low,Average,47
8xdj8,Normal,High,Low,50
8xdj8,Normal,Average,Low,45
8xdj8,Normal,Low,Low,47
0l4rt,Normal,High,High,97
0l4rt,Normal,Average,High,69
0l4rt,Normal,Low,High,87
0l4rt,Normal,High,Average,95
0l4rt,Normal,Average,Average,72
0l4rt,Normal,Low,Average,51
0l4rt,Normal,High,Low,45
0l4rt,Normal,Average,Low,48
0l4rt,Normal,Low,Low,46
o8esu,Normal,High,High,95
o8esu,Normal,Average,High,92
o8esu,Normal,Low,High,90
o8esu,Normal,High,Average,98
o8esu,Normal,Average,Average,64
o8esu,Normal,Low,Average,53
o8esu,Normal,High,Low,54
o8esu,Normal,Average,Low,53
o8esu,Normal,Low,Low,45
2dm8c,Normal,High,High,95
2dm8c,Normal,Average,High,93
2dm8c,Normal,Low,High,96
2dm8c,Normal,High,Average,79
2dm8c,Normal,Average,Average,66
2dm8c,Normal,Low,Average,46
2dm8c,Normal,High,Low,52
2dm8c,Normal,Average,Low,39
2dm8c,Normal,Low,Low,47
