id,lighting,alcohol,rating
pphokx,Bright,6 pints,50
hlbulk,Dim,None,82
hlbulk,Bright,None,66
hlbulk,Dim,2 pints,68
hlbulk,Bright,2 pints,61
hlbulk,Dim,4 pints,22
hlbulk,Bright,4 pints,44
hlbulk,Dim,6 pints,43
hlbulk,Bright,6 pints,44
rhpvhr,Dim,None,64
rhpvhr,Bright,None,68
rhpvhr,Dim,2 pints,70
rhpvhr,Bright,2 pints,51
rhpvhr,Dim,4 pints,44
rhpvhr,Bright,4 pints,46
rhpvhr,Dim,6 pints,18
rhpvhr,Bright,6 pints,33
tfspuk,Dim,None,67
tfspuk,Bright,None,37
tfspuk,Dim,2 pints,55
tfspuk,Bright,2 pints,50
tfspuk,Dim,4 pints,31
tfspuk,Bright,4 pints,49
tfspuk,Dim,6 pints,13
tfspuk,Bright,6 pints,22
fheifc,Dim,None,81
fheifc,Bright,None,59
fheifc,Dim,2 pints,43
fheifc,Bright,2 pints,45
fheifc,Dim,4 pints,27
fheifc,Bright,4 pints,69
fheifc,Dim,6 pints,30
fheifc,Bright,6 pints,35
