id,strategy,time,success
192,Wish upon a star,Baseline,39
193,Wish upon a star,Baseline,45
194,Wish upon a star,Baseline,45
195,Wish upon a star,Baseline,45
196,Wish upon a star,Baseline,47
197,Wish upon a star,Baseline,49
198,Wish upon a star,Baseline,43
199,Wish upon a star,Baseline,46
200,Wish upon a star,Baseline,35
201,Wish upon a star,Baseline,48
202,Wish upon a star,Baseline,55
203,Wish upon a star,Baseline,55
204,Wish upon a star,Baseline,63
205,Wish upon a star,Baseline,61
206,Wish upon a star,Baseline,41
207,Wish upon a star,Baseline,63
208,Wish upon a star,Baseline,39
209,Wish upon a star,Baseline,50
210,Wish upon a star,Baseline,69
211,Wish upon a star,Baseline,54
212,Wish upon a star,Baseline,44
213,Wish upon a star,Baseline,46
214,Wish upon a star,Baseline,51
215,Wish upon a star,Baseline,54
216,Wish upon a star,Baseline,60
217,Wish upon a star,Baseline,45
218,Wish upon a star,Baseline,44
219,Wish upon a star,Baseline,47
220,Wish upon a star,Baseline,50
221,Wish upon a star,Baseline,43
222,Wish upon a star,Baseline,49
223,Wish upon a star,Baseline,55
224,Wish upon a star,Baseline,56
225,Wish upon a star,Baseline,61
226,Wish upon a star,Baseline,56
227,Wish upon a star,Baseline,58
228,Wish upon a star,Baseline,62
229,Wish upon a star,Baseline,29
230,Wish upon a star,Baseline,43
231,Wish upon a star,Baseline,39
232,Wish upon a star,Baseline,58
233,Wish upon a star,Baseline,43
234,Wish upon a star,Baseline,51
235,Wish upon a star,Baseline,46
236,Wish upon a star,Baseline,37
237,Wish upon a star,Baseline,54
238,Wish upon a star,Baseline,62
239,Wish upon a star,Baseline,52
240,Wish upon a star,Baseline,55
241,Wish upon a star,Baseline,26
242,Wish upon a star,Baseline,45
243,Wish upon a star,Baseline,45
244,Wish upon a star,Baseline,42
245,Wish upon a star,Baseline,39
246,Wish upon a star,Baseline,40
247,Wish upon a star,Baseline,54
248,Wish upon a star,Baseline,54
249,Wish upon a star,Baseline,41
250,Wish upon a star,Baseline,39
1,Hard work,5 years later,74
2,Hard work,5 years later,67
3,Hard work,5 years later,33
4,Hard work,5 years later,62
5,Hard work,5 years later,44
6,Hard work,5 years later,65
7,Hard work,5 years later,54
8,Hard work,5 years later,86
9,Hard work,5 years later,72
10,Hard work,5 years later,66
11,Hard work,5 years later,78
12,Hard work,5 years later,89
13,Hard work,5 years later,44
14,Hard work,5 years later,79
15,Hard work,5 years later,65
16,Hard work,5 years later,74
17,Hard work,5 years later,59
18,Hard work,5 years later,55
19,Hard work,5 years later,22
20,Hard work,5 years later,70
21,Hard work,5 years later,19
22,Hard work,5 years later,92
23,Hard work,5 years later,79
24,Hard work,5 years later,76
25,Hard work,5 years later,100
26,Hard work,5 years later,84
27,Hard work,5 years later,55
28,Hard work,5 years later,93
29,Hard work,5 years later,51
30,Hard work,5 years later,98
31,Hard work,5 years later,26
32,Hard work,5 years later,44
33,Hard work,5 years later,73
34,Hard work,5 years later,43
35,Hard work,5 years later,73
36,Hard work,5 years later,78
37,Hard work,5 years later,26
38,Hard work,5 years later,76
39,Hard work,5 years later,25
40,Hard work,5 years later,79
41,Hard work,5 years later,78
42,Hard work,5 years later,50
43,Hard work,5 years later,85
44,Hard work,5 years later,76
45,Hard work,5 years later,82
46,Hard work,5 years later,62
47,Hard work,5 years later,92
48,Hard work,5 years later,74
49,Hard work,5 years later,61
50,Hard work,5 years later,82
51,Hard work,5 years later,84
52,Hard work,5 years later,49
53,Hard work,5 years later,77
54,Hard work,5 years later,57
55,Hard work,5 years later,30
56,Hard work,5 years later,31
57,Hard work,5 years later,52
58,Hard work,5 years later,84
59,Hard work,5 years later,82
60,Hard work,5 years later,63
61,Hard work,5 years later,65
62,Hard work,5 years later,34
63,Hard work,5 years later,66
64,Hard work,5 years later,60
65,Hard work,5 years later,82
66,Hard work,5 years later,40
67,Hard work,5 years later,80
68,Hard work,5 years later,72
69,Hard work,5 years later,48
70,Hard work,5 years later,86
71,Hard work,5 years later,65
72,Hard work,5 years later,25
73,Hard work,5 years later,49
74,Hard work,5 years later,54
75,Hard work,5 years later,87
76,Hard work,5 years later,93
77,Hard work,5 years later,25
78,Hard work,5 years later,47
79,Hard work,5 years later,37
80,Hard work,5 years later,61
81,Hard work,5 years later,80
82,Hard work,5 years later,80
83,Hard work,5 years later,82
84,Hard work,5 years later,53
85,Hard work,5 years later,93
86,Hard work,5 years later,91
87,Hard work,5 years later,79
88,Hard work,5 years later,71
89,Hard work,5 years later,71
90,Hard work,5 years later,36
91,Hard work,5 years later,68
92,Hard work,5 years later,98
93,Hard work,5 years later,87
94,Hard work,5 years later,2
95,Hard work,5 years later,79
96,Hard work,5 years later,86
97,Hard work,5 years later,88
98,Hard work,5 years later,90
99,Hard work,5 years later,65
100,Hard work,5 years later,94
101,Hard work,5 years later,39
102,Hard work,5 years later,66
103,Hard work,5 years later,30
104,Hard work,5 years later,45
105,Hard work,5 years later,93
106,Hard work,5 years later,60
107,Hard work,5 years later,44
108,Hard work,5 years later,70
109,Hard work,5 years later,63
110,Hard work,5 years later,49
111,Hard work,5 years later,88
112,Hard work,5 years later,91
113,Hard work,5 years later,46
114,Hard work,5 years later,90
115,Hard work,5 years later,50
116,Hard work,5 years later,46
117,Hard work,5 years later,38
118,Hard work,5 years later,83
119,Hard work,5 years later,82
120,Hard work,5 years later,53
121,Hard work,5 years later,52
122,Hard work,5 years later,62
123,Hard work,5 years later,57
124,Hard work,5 years later,94
125,Hard work,5 years later,90
126,Wish upon a star,5 years later,58
127,Wish upon a star,5 years later,39
128,Wish upon a star,5 years later,28
129,Wish upon a star,5 years later,46
130,Wish upon a star,5 years later,61
131,Wish upon a star,5 years later,69
132,Wish upon a star,5 years later,62
133,Wish upon a star,5 years later,50
134,Wish upon a star,5 years later,37
135,Wish upon a star,5 years later,45
136,Wish upon a star,5 years later,38
137,Wish upon a star,5 years later,46
138,Wish upon a star,5 years later,57
139,Wish upon a star,5 years later,57
140,Wish upon a star,5 years later,28
141,Wish upon a star,5 years later,59
142,Wish upon a star,5 years later,57
143,Wish upon a star,5 years later,45
144,Wish upon a star,5 years later,55
145,Wish upon a star,5 years later,41
146,Wish upon a star,5 years later,54
147,Wish upon a star,5 years later,36
148,Wish upon a star,5 years later,47
149,Wish upon a star,5 years later,51
150,Wish upon a star,5 years later,39
151,Wish upon a star,5 years later,42
152,Wish upon a star,5 years later,49
153,Wish upon a star,5 years later,53
154,Wish upon a star,5 years later,47
155,Wish upon a star,5 years later,41
156,Wish upon a star,5 years later,32
157,Wish upon a star,5 years later,26
158,Wish upon a star,5 years later,41
159,Wish upon a star,5 years later,45
160,Wish upon a star,5 years later,45
161,Wish upon a star,5 years later,46
162,Wish upon a star,5 years later,60
163,Wish upon a star,5 years later,61
164,Wish upon a star,5 years later,51
165,Wish upon a star,5 years later,48
166,Wish upon a star,5 years later,33
167,Wish upon a star,5 years later,48
168,Wish upon a star,5 years later,56
169,Wish upon a star,5 years later,42
170,Wish upon a star,5 years later,54
171,Wish upon a star,5 years later,68
172,Wish upon a star,5 years later,31
173,Wish upon a star,5 years later,44
174,Wish upon a star,5 years later,40
175,Wish upon a star,5 years later,47
176,Wish upon a star,5 years later,48
177,Wish upon a star,5 years later,45
178,Wish upon a star,5 years later,65
179,Wish upon a star,5 years later,45
180,Wish upon a star,5 years later,55
181,Wish upon a star,5 years later,46
182,Wish upon a star,5 years later,56
183,Wish upon a star,5 years later,58
184,Wish upon a star,5 years later,59
185,Wish upon a star,5 years later,56
186,Wish upon a star,5 years later,42
187,Wish upon a star,5 years later,58
188,Wish upon a star,5 years later,51
189,Wish upon a star,5 years later,44
190,Wish upon a star,5 years later,35
191,Wish upon a star,5 years later,55
192,Wish upon a star,5 years later,56
193,Wish upon a star,5 years later,48
194,Wish upon a star,5 years later,53
195,Wish upon a star,5 years later,51
196,Wish upon a star,5 years later,44
197,Wish upon a star,5 years later,42
198,Wish upon a star,5 years later,46
199,Wish upon a star,5 years later,52
200,Wish upon a star,5 years later,45
201,Wish upon a star,5 years later,52
202,Wish upon a star,5 years later,53
203,Wish upon a star,5 years later,41
204,Wish upon a star,5 years later,80
205,Wish upon a star,5 years later,62
206,Wish upon a star,5 years later,48
207,Wish upon a star,5 years later,37
208,Wish upon a star,5 years later,53
209,Wish upon a star,5 years later,55
210,Wish upon a star,5 years later,60
211,Wish upon a star,5 years later,56
212,Wish upon a star,5 years later,59
213,Wish upon a star,5 years later,50
214,Wish upon a star,5 years later,47
215,Wish upon a star,5 years later,46
216,Wish upon a star,5 years later,58
217,Wish upon a star,5 years later,44
218,Wish upon a star,5 years later,68
219,Wish upon a star,5 years later,45
220,Wish upon a star,5 years later,65
221,Wish upon a star,5 years later,56
222,Wish upon a star,5 years later,55
223,Wish upon a star,5 years later,50
224,Wish upon a star,5 years later,52
225,Wish upon a star,5 years later,46
226,Wish upon a star,5 years later,32
227,Wish upon a star,5 years later,41
228,Wish upon a star,5 years later,50
229,Wish upon a star,5 years later,94
230,Wish upon a star,5 years later,39
231,Wish upon a star,5 years later,47
232,Wish upon a star,5 years later,69
233,Wish upon a star,5 years later,53
234,Wish upon a star,5 years later,47
235,Wish upon a star,5 years later,42
236,Wish upon a star,5 years later,43
237,Wish upon a star,5 years later,48
238,Wish upon a star,5 years later,43
239,Wish upon a star,5 years later,45
240,Wish upon a star,5 years later,40
241,Wish upon a star,5 years later,64
242,Wish upon a star,5 years later,58
243,Wish upon a star,5 years later,59
244,Wish upon a star,5 years later,49
245,Wish upon a star,5 years later,51
246,Wish upon a star,5 years later,38
247,Wish upon a star,5 years later,45
248,Wish upon a star,5 years later,59
249,Wish upon a star,5 years later,55
250,Wish upon a star,5 years later,48
