artist_name,album_name,track_name,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_duration,song_ms
Taylor Swift,evermore,Cowboy Like Me,2020,0.604,0.517,0,-9.014,1,0.0347,0.768,1.55e-4,0.123,0.511,127.967,4,275.04s (~4.58 minutes),275040
Taylor Swift,evermore,Long Story Short,2020,0.546,0.73,0,-7.704,1,0.0417,0.66,0.179,0.0972,0.573,157.895,4,215.92s (~3.6 minutes),215920
Taylor Swift,evermore,Marjorie,2020,0.535,0.561,5,-11.609,1,0.0484,0.876,1.36e-4,0.115,0.287,96.103,4,257.773s (~4.3 minutes),257773
Taylor Swift,evermore,Closure,2020,0.689,0.704,9,-10.813,1,0.245,0.835,4.83e-6,0.134,0.92,151.884,5,180.653s (~3.01 minutes),180653
Taylor Swift,evermore,Evermore (Feat. Bon Iver),2020,0.39,0.27,1,-10.673,1,0.0308,0.937,0.00227,0.111,0.32,125.177,5,304.106s (~5.07 minutes),304106
Taylor Swift,folklore,The 1,2020,0.765,0.348,0,-6.963,1,0.0579,0.764,1.01e-5,0.108,0.171,140.015,4,210.251s (~3.5 minutes),210251
Taylor Swift,folklore,Cardigan,2020,0.613,0.581,0,-8.588,0,0.0424,0.537,3.45e-4,0.25,0.551,130.033,4,239.56s (~3.99 minutes),239560
Taylor Swift,folklore,The Last Great American Dynasty,2020,0.684,0.661,7,-8.507,1,0.0407,0.473,0.00215,0.109,0.713,147.909,4,230.999s (~3.85 minutes),230999
Taylor Swift,folklore,Exile (Feat. Bon Iver),2020,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-5,0.11,0.152,75.602,4,285.634s (~4.76 minutes),285634
Taylor Swift,folklore,My Tears Ricochet,2020,0.456,0.263,0,-10.63,1,0.0332,0.806,0,0.0749,0.111,129.86,4,255.893s (~4.26 minutes),255893
Taylor Swift,folklore,Mirrorball,2020,0.553,0.413,2,-10.037,1,0.0334,0.687,2.33e-6,0.0594,0.379,110.107,4,208.977s (~3.48 minutes),208977
Taylor Swift,folklore,Seven,2020,0.596,0.488,4,-10.769,1,0.0274,0.9,2.7e-5,0.091,0.415,94.926,4,208.906s (~3.48 minutes),208906
Taylor Swift,folklore,August,2020,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-5,0.0925,0.403,89.937,4,261.922s (~4.37 minutes),261922
Taylor Swift,folklore,This Is Me Trying,2020,0.515,0.476,9,-9.843,1,0.0328,0.314,4.74e-5,0.171,0.412,135.886,4,195.097s (~3.25 minutes),195097
Taylor Swift,folklore,Illicit Affairs,2020,0.559,0.31,10,-10.445,1,0.0338,0.881,0,0.106,0.46,119.845,4,190.898s (~3.18 minutes),190898
Taylor Swift,folklore,Invisible String,2020,0.653,0.452,4,-11.143,0,0.055,0.838,7.73e-5,0.108,0.45,83.433,4,252.88s (~4.21 minutes),252880
Taylor Swift,folklore,Mad Woman,2020,0.596,0.709,5,-8.938,0,0.0431,0.649,9.92e-6,0.114,0.533,141.978,4,237.258s (~3.95 minutes),237258
Taylor Swift,folklore,Epiphany,2020,0.354,0.267,1,-13.69,1,0.0281,0.731,4.02e-4,0.0858,0.113,94.219,4,289.749s (~4.83 minutes),289749
Taylor Swift,folklore,Betty,2020,0.59,0.379,0,-8.717,1,0.0255,0.544,0,0.0983,0.467,96.029,4,294.521s (~4.91 minutes),294521
Taylor Swift,folklore,Peace,2020,0.651,0.269,5,-12.912,1,0.0983,0.918,2.17e-5,0.0918,0.334,150.033,4,234s (~3.9 minutes),234000
Taylor Swift,folklore,Hoax,2020,0.662,0.181,8,-15.065,1,0.0415,0.966,3.86e-6,0.133,0.429,118.819,4,220.042s (~3.67 minutes),220042
Taylor Swift,Lover,I Forgot That You Existed,2019,0.664,0.316,5,-10.345,1,0.519,0.298,2.03e-6,0.0812,0.541,92.875,4,170.64s (~2.84 minutes),170640
Taylor Swift,Lover,Cruel Summer,2019,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-5,0.105,0.564,169.994,4,178.426s (~2.97 minutes),178426
Taylor Swift,Lover,Lover,2019,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-5,0.118,0.453,68.534,4,221.306s (~3.69 minutes),221306
Taylor Swift,Lover,The Man,2019,0.777,0.658,0,-5.191,1,0.054,0.0767,0,0.0901,0.633,110.048,4,190.36s (~3.17 minutes),190360
Taylor Swift,Lover,The Archer,2019,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,4,211.24s (~3.52 minutes),211240
Taylor Swift,Lover,I Think He Knows,2019,0.897,0.366,0,-8.029,1,0.0569,0.00889,3.53e-4,0.0715,0.416,100.003,4,173.386s (~2.89 minutes),173386
Taylor Swift,Lover,Miss Americana & The Heartbreak Prince,2019,0.662,0.747,11,-6.926,0,0.0736,0.028,0.00615,0.138,0.487,150.088,4,234.146s (~3.9 minutes),234146
Taylor Swift,Lover,Paper Rings,2019,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-5,0.0742,0.865,103.979,4,222.4s (~3.71 minutes),222400
Taylor Swift,Lover,Cornelia Street,2019,0.824,0.624,0,-9.728,1,0.0827,0.781,1.89e-4,0.1,0.248,102.012,4,287.266s (~4.79 minutes),287266
Taylor Swift,Lover,Death By A Thousand Cuts,2019,0.712,0.732,4,-6.754,1,0.0629,0.454,0,0.319,0.313,94.071,4,198.533s (~3.31 minutes),198533
Taylor Swift,Lover,London Boy,2019,0.695,0.71,1,-6.639,1,0.05,0.0246,1.04e-4,0.133,0.557,157.925,4,190.24s (~3.17 minutes),190240
Taylor Swift,Lover,Soon You’ll Get Better (Feat. The Chicks),2019,0.433,0.182,0,-12.566,1,0.0641,0.907,0,0.123,0.421,207.476,4,201.586s (~3.36 minutes),201586
Taylor Swift,Lover,False God,2019,0.739,0.32,11,-10.862,0,0.239,0.736,1.47e-4,0.111,0.351,79.97,4,200.306s (~3.34 minutes),200306
Taylor Swift,Lover,You Need To Calm Down,2019,0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,4,171.36s (~2.86 minutes),171360
Taylor Swift,Lover,Afterglow,2019,0.756,0.449,9,-8.746,1,0.0344,0.13,0,0.114,0.399,111.011,4,223.293s (~3.72 minutes),223293
Taylor Swift,Lover,Me! (Feat. Brendon Urie Of Panic! At The Disco),2019,0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162,4,193s (~3.22 minutes),193000
Taylor Swift,Lover,It’s Nice To Have A Friend,2019,0.737,0.175,10,-9.912,1,0.0401,0.971,3.37e-4,0.171,0.545,70.008,4,150.44s (~2.51 minutes),150440
Taylor Swift,Lover,Daylight,2019,0.557,0.496,0,-9.602,1,0.0563,0.808,1.73e-4,0.0772,0.265,149.983,4,293.453s (~4.89 minutes),293453
Taylor Swift,reputation,...Ready For It?,2017,0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,4,208.186s (~3.47 minutes),208186
Taylor Swift,reputation,End Game,2017,0.649,0.589,2,-6.237,1,0.0558,0.00845,0,0.108,0.151,159.073,4,244.826s (~4.08 minutes),244826
Taylor Swift,reputation,I Did Something Bad,2017,0.696,0.602,0,-6.156,0,0.159,0.0679,2.11e-5,0.0696,0.305,82.989,4,238.253s (~3.97 minutes),238253
Taylor Swift,reputation,Don’t Blame Me,2017,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-5,0.0607,0.193,135.917,4,236.413s (~3.94 minutes),236413
Taylor Swift,reputation,Delicate,2017,0.75,0.404,9,-10.178,0,0.0682,0.216,3.57e-4,0.0911,0.0499,95.045,4,232.253s (~3.87 minutes),232253
Taylor Swift,reputation,Look What You Made Me Do,2017,0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-5,0.126,0.506,128.07,4,211.853s (~3.53 minutes),211853
Taylor Swift,reputation,So It Goes...,2017,0.574,0.61,2,-7.283,1,0.0732,0.122,1.1e-6,0.13,0.374,74.957,4,227.906s (~3.8 minutes),227906
Taylor Swift,reputation,Gorgeous,2017,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48e-6,0.213,0.451,92.027,4,209.68s (~3.49 minutes),209680
Taylor Swift,reputation,Getaway Car,2017,0.562,0.689,2,-6.745,1,0.127,0.00465,2.23e-6,0.0888,0.351,172.054,4,233.626s (~3.89 minutes),233626
Taylor Swift,reputation,King Of My Heart,2017,0.675,0.703,0,-7.902,1,0.0382,0.00882,2.21e-6,0.0391,0.314,110.01,4,214.32s (~3.57 minutes),214320
Taylor Swift,reputation,Dancing With Our Hands Tied,2017,0.624,0.691,0,-6.686,0,0.196,0.0604,1.1e-5,0.138,0.284,160.024,4,211.506s (~3.53 minutes),211506
Taylor Swift,reputation,Dress,2017,0.719,0.469,0,-8.792,1,0.0533,0.0329,0,0.169,0.0851,120.085,4,230.373s (~3.84 minutes),230373
Taylor Swift,reputation,This Is Why We Can't Have Nice Things,2017,0.567,0.789,5,-5.986,1,0.115,0.0156,0,0.382,0.438,163.96,4,207.133s (~3.45 minutes),207133
Taylor Swift,reputation,Call It What You Want,2017,0.598,0.504,9,-9.874,1,0.0731,0.186,2.21e-4,0.34,0.252,163.954,4,203.506s (~3.39 minutes),203506
Taylor Swift,reputation,New Year’s Day,2017,0.661,0.151,0,-12.864,1,0.0354,0.921,0,0.13,0.23,94.922,4,235.466s (~3.92 minutes),235466
Taylor Swift,1989,Welcome To New York,2014,0.793,0.634,7,-4.807,1,0.0324,0.038,1.76e-6,0.304,0.615,117.024,4,212.6s (~3.54 minutes),212600
Taylor Swift,1989,Blank Space,2014,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-6,0.13,0.583,96.006,4,231.826s (~3.86 minutes),231826
Taylor Swift,1989,Style,2014,0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,4,231s (~3.85 minutes),231000
Taylor Swift,1989,Out Of The Woods,2014,0.552,0.842,7,-6.938,1,0.0373,0.00103,1.17e-5,0.337,0.343,91.991,4,235.8s (~3.93 minutes),235800
Taylor Swift,1989,All You Had To Do Was Stay,2014,0.602,0.736,5,-5.778,1,0.0338,0.00196,4.57e-5,0.105,0.471,96.969,4,193.293s (~3.22 minutes),193293
Taylor Swift,1989,Shake It Off,2014,0.647,0.785,7,-5.414,1,0.165,0.0561,0,0.148,0.943,160.015,4,219.2s (~3.65 minutes),219200
Taylor Swift,1989,I Wish You Would,2014,0.648,0.898,0,-5.963,1,0.0513,0.016,9.91e-5,0.109,0.502,118.02,4,207.44s (~3.46 minutes),207440
Taylor Swift,1989,Bad Blood,2014,0.65,0.802,7,-6.114,1,0.181,0.0871,6.54e-6,0.148,0.295,170.146,4,211.933s (~3.53 minutes),211933
Taylor Swift,1989,Wildest Dreams,2014,0.554,0.666,8,-7.414,1,0.0747,0.0702,0.00593,0.106,0.472,140.056,4,220.44s (~3.67 minutes),220440
Taylor Swift,1989,How You Get The Girl,2014,0.764,0.66,5,-6.136,1,0.0494,0.00461,0.00477,0.0915,0.524,119.988,4,247.533s (~4.13 minutes),247533
Taylor Swift,1989,This Love,2014,0.475,0.459,4,-8.768,1,0.0333,0.635,0,0.101,0.0828,143.988,4,250.093s (~4.17 minutes),250093
Taylor Swift,1989,I Know Places,2014,0.596,0.763,0,-4.99,1,0.0661,0.231,0,0.2,0.507,159.958,4,195.706s (~3.26 minutes),195706
Taylor Swift,1989,Clean,2014,0.81,0.379,4,-7.771,1,0.0349,0.241,0,0.113,0.22,103.981,4,271s (~4.52 minutes),271000
Taylor Swift,Red,State Of Grace,2012,0.588,0.825,4,-5.882,1,0.0328,1.97e-4,0.00138,0.0885,0.397,129.968,4,295.186s (~4.92 minutes),295186
Taylor Swift,Red,Red,2012,0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87e-5,0.091,0.641,124.978,4,220.826s (~3.68 minutes),220826
Taylor Swift,Red,Treacherous,2012,0.705,0.621,2,-8.086,1,0.0334,0.101,4.3e-6,0.147,0.395,109.993,4,240.773s (~4.01 minutes),240773
Taylor Swift,Red,I Knew You Were Trouble.,2012,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-6,0.0398,0.679,77.019,4,217.973s (~3.63 minutes),217973
Taylor Swift,Red,All Too Well,2012,0.602,0.609,0,-7.803,1,0.0243,0.0382,2e-4,0.127,0.337,93.06,4,327.893s (~5.46 minutes),327893
Taylor Swift,Red,22,2012,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,4,230.133s (~3.84 minutes),230133
Taylor Swift,Red,I Almost Do,2012,0.567,0.481,4,-7.357,1,0.027,0.0173,4.13e-5,0.182,0.233,145.865,4,242.573s (~4.04 minutes),242573
Taylor Swift,Red,We Are Never Ever Getting Back Together,2012,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65e-5,0.102,0.75,85.984,4,191.88s (~3.2 minutes),191880
Taylor Swift,Red,Stay Stay Stay,2012,0.729,0.748,0,-6.67,1,0.0245,0.307,1.29e-6,0.09,0.928,99.981,4,204.826s (~3.41 minutes),204826
Taylor Swift,Red,The Last Time,2012,0.505,0.443,2,-7.039,1,0.0276,0.035,3.15e-6,0.0921,0.123,94.069,4,298.293s (~4.97 minutes),298293
Taylor Swift,Red,Holy Ground,2012,0.627,0.816,4,-6.698,1,0.0774,0.0162,0.00208,0.0966,0.648,157.043,4,201.853s (~3.36 minutes),201853
Taylor Swift,Red,Sad Beautiful Tragic,2012,0.624,0.34,7,-12.411,1,0.029,0.632,0.0337,0.121,0.261,129.987,3,283.68s (~4.73 minutes),283680
Taylor Swift,Red,The Lucky One,2012,0.706,0.499,4,-7.675,1,0.0369,0.0371,0,0.132,0.545,117.937,4,240.133s (~4 minutes),240133
Taylor Swift,Red,Everything Has Changed,2012,0.624,0.458,6,-6.755,1,0.0287,0.36,3.89e-6,0.303,0.436,80.017,4,243.933s (~4.07 minutes),243933
Taylor Swift,Red,Starlight,2012,0.649,0.777,9,-5.804,1,0.0406,0.0213,3.35e-4,0.221,0.587,126.018,4,217.826s (~3.63 minutes),217826
Taylor Swift,Red,Begin Again,2012,0.53,0.526,7,-8.349,1,0.0263,0.199,3.52e-6,0.232,0.323,79.025,4,237.613s (~3.96 minutes),237613
Taylor Swift,Speak Now,Mine,2010,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87e-6,0.189,0.658,121.07,4,230.706s (~3.85 minutes),230706
Taylor Swift,Speak Now,Sparks Fly,2010,0.605,0.787,5,-3.002,1,0.0308,0.0396,1.42e-6,0.163,0.374,114.987,4,260.933s (~4.35 minutes),260933
Taylor Swift,Speak Now,Back To December,2010,0.529,0.67,2,-4.663,1,0.0303,0.117,0,0.334,0.286,141.893,4,293.026s (~4.88 minutes),293026
Taylor Swift,Speak Now,Speak Now,2010,0.709,0.599,7,-3.734,1,0.0304,0.095,0,0.0973,0.735,118.975,4,240.76s (~4.01 minutes),240760
Taylor Swift,Speak Now,Dear John,2010,0.589,0.47,4,-5.32,1,0.028,0.166,1.45e-6,0.112,0.102,119.386,3,403.92s (~6.73 minutes),403920
Taylor Swift,Speak Now,Mean,2010,0.568,0.761,4,-3.987,1,0.0459,0.452,0,0.217,0.789,163.974,4,237.733s (~3.96 minutes),237733
Taylor Swift,Speak Now,The Story Of Us,2010,0.543,0.818,4,-3.611,1,0.0398,0.00478,3.68e-4,0.0357,0.683,139.898,4,265.666s (~4.43 minutes),265666
Taylor Swift,Speak Now,Never Grow Up,2010,0.714,0.305,2,-8.837,1,0.0305,0.819,0,0.174,0.554,124.91,4,290.466s (~4.84 minutes),290466
Taylor Swift,Speak Now,Enchanted,2010,0.455,0.623,8,-3.878,1,0.0288,0.0739,4.24e-4,0.146,0.208,163.893,4,352.186s (~5.87 minutes),352186
Taylor Swift,Speak Now,Better Than Revenge,2010,0.516,0.917,11,-3.186,0,0.0827,0.0139,6.37e-6,0.36,0.635,145.821,4,217.16s (~3.62 minutes),217160
Taylor Swift,Speak Now,Innocent,2010,0.552,0.608,1,-5.29,0,0.0259,0.186,0,0.125,0.17,134.05,4,302.253s (~5.04 minutes),302253
Taylor Swift,Speak Now,Haunted,2010,0.436,0.95,5,-2.627,1,0.057,0.0826,1.08e-6,0.149,0.352,162.088,4,242.08s (~4.03 minutes),242080
Taylor Swift,Speak Now,Last Kiss,2010,0.371,0.341,10,-9.475,1,0.0319,0.57,3.09e-5,0.101,0.196,89.038,1,367.133s (~6.12 minutes),367133
Taylor Swift,Speak Now,Long Live,2010,0.418,0.68,7,-4.3,1,0.0346,0.036,7.59e-5,0.108,0.142,204.125,4,317.946s (~5.3 minutes),317946
Taylor Swift,Fearless,Fearless,2008,0.591,0.703,5,-4.376,1,0.0279,0.0365,0,0.307,0.442,100.036,4,243.093s (~4.05 minutes),243093
Taylor Swift,Fearless,Fifteen,2008,0.559,0.627,7,-4.469,1,0.0264,0.0647,0,0.137,0.204,95.452,4,295.333s (~4.92 minutes),295333
Taylor Swift,Fearless,Love Story,2008,0.616,0.738,2,-3.941,1,0.0311,0.153,0,0.0769,0.3,118.994,4,236.253s (~3.94 minutes),236253
Taylor Swift,Fearless,Hey Stephen,2008,0.842,0.554,6,-7.355,1,0.0317,0.176,3.49e-6,0.0911,0.805,116.009,4,256.053s (~4.27 minutes),256053
Taylor Swift,Fearless,White Horse,2008,0.581,0.342,0,-8.022,1,0.0259,0.286,0,0.101,0.212,92.166,4,235.4s (~3.92 minutes),235400
Taylor Swift,Fearless,You Belong With Me,2008,0.687,0.755,6,-4.426,1,0.0385,0.157,1.09e-5,0.093,0.45,129.973,4,232.12s (~3.87 minutes),232120
Taylor Swift,Fearless,Breathe,2008,0.497,0.48,1,-7.374,1,0.0269,0.377,0,0.118,0.169,147.96,4,264.946s (~4.42 minutes),264946
Taylor Swift,Fearless,Tell Me Why,2008,0.603,0.839,7,-3.111,1,0.0384,0.0542,3.36e-6,0.353,0.49,100.074,4,201.533s (~3.36 minutes),201533
Taylor Swift,Fearless,You're Not Sorry,2008,0.478,0.45,6,-4.153,1,0.0269,0.166,1.79e-6,0.114,0.273,133.932,4,263.2s (~4.39 minutes),263200
Taylor Swift,Fearless,The Way I Loved You,2008,0.446,0.705,5,-3.706,1,0.0335,0.0322,0,0.11,0.416,160.933,4,245.426s (~4.09 minutes),245426
Taylor Swift,Fearless,Forever & Always,2008,0.604,0.828,10,-4.976,1,0.0629,0.0871,0,0.106,0.515,128.024,4,226.293s (~3.77 minutes),226293
Taylor Swift,Fearless,The Best Day,2008,0.665,0.445,1,-8.519,1,0.0288,0.636,3.71e-6,0.131,0.402,126.093,4,246.32s (~4.11 minutes),246320
Taylor Swift,Fearless,Change,2008,0.541,0.753,5,-4.24,1,0.0373,0.00414,0,0.111,0.219,95.953,4,280.533s (~4.68 minutes),280533
Taylor Swift,Taylor Swift,Tim Mcgraw,2006,0.58,0.491,0,-6.462,1,0.0251,0.575,0,0.121,0.425,76.009,4,232.106s (~3.87 minutes),232106
Taylor Swift,Taylor Swift,Picture To Burn,2006,0.658,0.877,7,-2.098,1,0.0323,0.173,0,0.0962,0.821,105.586,4,173.066s (~2.88 minutes),173066
Taylor Swift,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,2006,0.621,0.417,10,-6.941,1,0.0231,0.288,0,0.119,0.289,99.953,4,203.04s (~3.38 minutes),203040
Taylor Swift,Taylor Swift,A Place In This World,2006,0.576,0.777,9,-2.881,1,0.0324,0.051,0,0.32,0.428,115.028,4,199.2s (~3.32 minutes),199200
Taylor Swift,Taylor Swift,Cold As You,2006,0.418,0.482,5,-5.769,1,0.0266,0.217,0,0.123,0.261,175.558,4,239.013s (~3.98 minutes),239013
Taylor Swift,Taylor Swift,The Outside,2006,0.589,0.805,5,-4.055,1,0.0293,0.00491,0,0.24,0.591,112.982,4,207.106s (~3.45 minutes),207106
Taylor Swift,Taylor Swift,Tied Together With A Smile,2006,0.479,0.578,2,-4.963,1,0.0294,0.525,0,0.0841,0.192,146.165,4,248.106s (~4.14 minutes),248106
Taylor Swift,Taylor Swift,Stay Beautiful,2006,0.594,0.629,8,-4.919,1,0.0246,0.0868,0,0.137,0.504,131.597,4,236.053s (~3.93 minutes),236053
Taylor Swift,Taylor Swift,Should've Said No,2006,0.476,0.777,4,-3.771,0,0.0289,0.0103,0,0.196,0.472,167.964,4,242.2s (~4.04 minutes),242200
Taylor Swift,Taylor Swift,Mary's Song (Oh My My My),2006,0.403,0.627,2,-5.28,1,0.0292,0.0177,0,0.182,0.374,74.9,4,213.08s (~3.55 minutes),213080
Taylor Swift,Taylor Swift,Our Song,2006,0.668,0.672,2,-4.931,1,0.0303,0.111,0,0.329,0.539,89.011,4,201.106s (~3.35 minutes),201106
Taylor Swift,Taylor Swift,I'm Only Me When I'm With You,2006,0.563,0.934,8,-3.629,1,0.0646,0.00452,8.07e-4,0.103,0.518,143.964,4,213.053s (~3.55 minutes),213053
Taylor Swift,Taylor Swift,Invisible,2006,0.612,0.394,7,-5.723,1,0.0243,0.637,0,0.147,0.233,96.001,4,203.226s (~3.39 minutes),203226
Taylor Swift,Taylor Swift,A Perfectly Good Heart,2006,0.483,0.751,4,-5.726,1,0.0365,0.00349,0,0.128,0.268,156.092,4,220.146s (~3.67 minutes),220146
Taylor Swift,Taylor Swift,Teardrops On My Guitar - Pop Version,2006,0.459,0.753,10,-3.827,1,0.0537,0.0402,0,0.0863,0.483,199.997,4,179.066s (~2.98 minutes),179066
