ticket_no,gender,day,hygiene
3431,Male,day1,1.53
3449,Female,day1,2.48
3450,Female,day1,2.05
3453,Male,day1,2.52
3454,Female,day1,1.88
3455,Non-binary,day1,2.73
3456,Female,day1,2.88
3457,Female,day1,1.67
3458,Female,day1,1.93
3460,Female,day1,1.67
3461,Male,day1,1.2
3464,Female,day1,2.75
3467,Female,day1,1.94
3468,Female,day1,0.59
3469,Female,day1,1.5
3477,Male,day1,1.58
3480,Non-binary,day1,2.23
3483,Female,day1,2.35
3490,Female,day1,2.55
3493,Male,day1,1.55
3494,Female,day1,2.31
3495,Male,day1,2.23
3500,Female,day1,0.67
3501,Non-binary,day1,2.51
3503,Male,day1,1.08
3510,Female,day1,2.44
3511,Female,day1,0.23
3512,Female,day1,2.17
3518,Male,day1,1.9
3519,Female,day1,1.67
3521,Female,day1,2
3522,Female,day1,2.44
3523,Male,day1,1.44
3524,Male,day1,0.82
3525,Female,day1,2.5
3526,Male,day1,1.82
3536,Female,day1,1.97
3539,Female,day1,2.52
3540,Non-binary,day1,0.05
3542,Female,day1,2.08
3545,Female,day1,2.39
3546,Male,day1,1.45
3551,Male,day1,2.58
3557,Female,day1,2.12
3565,Female,day1,2.02
3567,Male,day1,1.78
3568,Male,day1,0.73
3569,Female,day1,2.26
3570,Female,day1,2.79
3571,Non-binary,day1,0.43
3572,Male,day1,0.52
3573,Female,day1,2.32
3574,Male,day1,2.22
3575,Non-binary,day1,0.58
3576,Male,day1,2
3577,Female,day1,0.7
3586,Male,day1,1
3587,Male,day1,0.3
3588,Male,day1,1.52
3593,Female,day1,1.58
3594,Non-binary,day1,2.34
3595,Female,day1,0.79
3596,Female,day1,2.26
3597,Male,day1,2.35
3598,Female,day1,1.7
3599,Female,day1,3.09
3600,Female,day1,1.52
3601,Female,day1,0.35
3602,Female,day1,2.7
3603,Female,day1,1.64
3605,Male,day1,0.82
3606,Male,day1,2.73
3607,Female,day1,2.23
3609,Female,day1,1.06
3610,Male,day1,2.05
3613,Female,day1,1.73
3614,Female,day1,0.93
3620,Female,day1,2.5
3621,Male,day1,1.44
3622,Female,day1,2.88
3625,Female,day1,0.67
3626,Male,day1,1.85
3627,Non-binary,day1,1.21
3628,Male,day1,1.06
3629,Male,day1,0.61
3631,Female,day1,2
3634,Female,day1,1.17
3635,Female,day1,1.48
3645,Non-binary,day1,1.55
3646,Female,day1,3.29
3647,Male,day1,1.47
3648,Male,day1,0.96
3649,Male,day1,1
3652,Male,day1,1.47
3653,Female,day1,2.55
3654,Female,day1,0.44
3655,Female,day1,2.35
3656,Female,day1,1.71
3659,Male,day1,1.84
3660,Female,day1,1.11
3667,Female,day1,1.38
3669,Male,day1,0.88
3670,Female,day1,0.94
3672,Female,day1,1.91
3676,Male,day1,2.76
3677,Non-binary,day1,1.55
3678,Male,day1,2.67
3680,Female,day1,1.03
3696,Female,day1,2.5
3697,Male,day1,1.64
3698,Female,day1,2.26
3709,Non-binary,day1,2.14
3710,Male,day1,0.52
3711,Male,day1,1.08
3712,Male,day1,1.69
3713,Male,day1,2.73
3714,Male,day1,1.91
3715,Male,day1,1.73
3716,Female,day1,3.21
3717,Female,day1,2.11
3718,Female,day1,2.05
3719,Male,day1,2.17
3720,Female,day1,2.17
3721,Female,day1,2.3
3722,Female,day1,2.56
3723,Non-binary,day1,2.11
3724,Male,day1,1.7
3725,Female,day1,1.23
3726,Female,day1,3.2
3727,Female,day1,2.02
3728,Female,day1,2.64
3729,Male,day1,2.52
3730,Male,day1,1.61
3731,Male,day1,1.5
3734,Male,day1,1.15
3736,Male,day1,1.82
3753,Female,day1,1.5
3754,Female,day1,2.32
3759,Female,day1,2.92
3764,Male,day1,1.41
3769,Male,day1,1.35
3778,Male,day1,0.61
3779,Female,day1,0.73
3782,Female,day1,2.23
3783,Female,day1,1.32
3784,Female,day1,2.94
3785,Male,day1,1.61
3786,Female,day1,1
3787,Non-binary,day1,3.15
3788,Female,day1,2.88
3791,Female,day1,2.09
3792,Female,day1,1.32
3793,Non-binary,day1,1.47
3794,Male,day1,1.61
3796,Male,day1,2.2
3797,Female,day1,2.78
3798,Female,day1,2.06
3799,Non-binary,day1,0.47
3804,Female,day1,2.87
3826,Male,day1,1.14
3828,Female,day1,3.32
3831,Non-binary,day1,2.08
3836,Female,day1,2.38
3837,Female,day1,2.08
3838,Male,day1,1.85
3840,Non-binary,day1,1.38
3844,Male,day1,1.14
3846,Non-binary,day1,1.58
3849,Male,day1,1.23
3850,Female,day1,2.53
3851,Male,day1,0.67
3854,Non-binary,day1,0.73
3855,Female,day1,1.34
3856,Female,day1,2.14
3857,Female,day1,1
3858,Male,day1,1.35
3859,Male,day1,1.94
3860,Male,day1,0.5
3869,Female,day1,3.08
3870,Non-binary,day1,2.88
3871,Non-binary,day1,1.91
3872,Male,day1,1.41
3873,Male,day1,2.02
3874,Female,day1,0.76
3875,Male,day1,1.94
3876,Male,day1,0.67
3879,Non-binary,day1,2.41
3880,Female,day1,2.17
3882,Female,day1,2.67
3883,Male,day1,1.94
3888,Female,day1,2.05
3890,Male,day1,2.17
3909,Male,day1,0.47
3912,Non-binary,day1,0.62
3913,Non-binary,day1,2
3914,Male,day1,0.45
3916,Female,day1,2.29
3917,Female,day1,2.55
3918,Female,day1,0.82
3919,Female,day1,3.12
3920,Male,day1,2.5
3921,Non-binary,day1,1.79
3922,Non-binary,day1,2.28
3923,Male,day1,0.58
3924,Female,day1,2.5
3925,Female,day1,1.41
3926,Non-binary,day1,2.14
3927,Male,day1,0.76
3929,Male,day1,1.79
3930,Male,day1,1.02
3932,Female,day1,2.62
3942,Male,day1,0.88
3944,Male,day1,1.58
3945,Female,day1,2.2
3946,Non-binary,day1,1.14
3947,Male,day1,1.47
3948,Female,day1,1.41
3949,Male,day1,1.44
3950,Female,day1,1.23
3951,Female,day1,1.82
3952,Female,day1,2.44
3954,Female,day1,1.94
3955,Male,day1,2.41
3964,Female,day1,2.27
3965,Male,day1,1.79
3966,Male,day1,1.88
3972,Male,day1,1.85
3973,Female,day1,2.21
3986,Male,day1,1.97
3987,Female,day1,2.51
3988,Female,day1,2.05
3989,Female,day1,1.29
3990,Female,day1,2.05
3991,Female,day1,2.23
3992,Female,day1,1.76
3993,Male,day1,1.05
3994,Non-binary,day1,1.79
3995,Female,day1,1.02
3996,Female,day1,2.76
3997,Female,day1,1.67
4010,Male,day1,2.85
4011,Female,day1,0.23
4012,Female,day1,1.9
4013,Male,day1,1.23
4014,Male,day1,1.97
4015,Female,day1,1.5
4016,Female,day1,3.69
4017,Female,day1,0.5
4022,Female,day1,2.18
4023,Female,day1,2.17
4024,Female,day1,1.58
4025,Male,day1,2.88
4030,Male,day1,2.52
4032,Female,day1,2.2
4033,Male,day1,1.73
4034,Female,day1,2.23
4079,Non-binary,day1,1.97
4089,Male,day1,1.2
4090,Male,day1,2
4092,Female,day1,1.91
4093,Male,day1,0.81
4095,Female,day1,1.31
4096,Female,day1,0.38
4101,Female,day1,1.97
4104,Female,day1,0.38
4105,Female,day1,2.11
4106,Female,day1,3.2
4107,Female,day1,0.02
4109,Female,day1,2.56
4110,Non-binary,day1,2.02
4111,Female,day1,2.3
4114,Male,day1,2.02
4147,Female,day1,2.05
4148,Female,day1,1.7
4149,Male,day1,1.61
4150,Male,day1,0.73
4151,Male,day1,2.5
4152,Female,day1,2.18
4153,Female,day1,2.46
4154,Female,day1,1.5
4155,Non-binary,day1,1.73
4156,Male,day1,1.44
4157,Male,day1,1.64
4158,Female,day1,20.02
4159,Female,day1,1.2
4160,Male,day1,0.38
4161,Female,day1,1.58
4162,Female,day1,1.67
4163,Female,day1,1
4164,Female,day1,2.58
4165,Female,day1,2.82
4166,Female,day1,2.29
4167,Female,day1,1.14
4168,Female,day1,1.64
4171,Female,day1,1.82
4172,Non-binary,day1,3.32
4193,Non-binary,day1,3.32
4194,Male,day1,1.85
4195,Male,day1,2.29
4196,Female,day1,1.47
4197,Male,day1,2.08
4198,Male,day1,2.2
4199,Female,day1,1.06
4216,Non-binary,day1,0.97
4218,Male,day1,2
4219,Female,day1,1.67
4220,Female,day1,2.94
4221,Female,day1,1.55
4222,Male,day1,0.88
4223,Female,day1,1.35
4224,Female,day1,0.61
4225,Non-binary,day1,1
4226,Female,day1,1.52
4234,Male,day1,1
4235,Male,day1,1.76
4236,Female,day1,2.52
4237,Female,day1,2
4238,Female,day1,2.63
4239,Female,day1,0.73
4240,Male,day1,1.58
4241,Non-binary,day1,0.58
4245,Female,day1,1.67
4247,Female,day1,1.47
4249,Female,day1,1.81
4256,Male,day1,1.91
4257,Male,day1,1.06
4259,Male,day1,1.47
4262,Male,day1,2.52
4263,Female,day1,1.85
4264,Male,day1,3.44
4265,Female,day1,1.55
4266,Female,day1,2.29
4267,Female,day1,1.76
4268,Male,day1,1.9
4269,Male,day1,2.52
4271,Female,day1,2.52
4274,Female,day1,2.82
4281,Female,day1,2.02
4284,Female,day1,1.29
4285,Male,day1,1.26
4287,Female,day1,0.94
4291,Female,day1,2
4292,Female,day1,0.73
4294,Male,day1,2.26
4295,Female,day1,2.23
4297,Male,day1,2.35
4298,Female,day1,0.55
4301,Female,day1,1.85
4302,Male,day1,0.67
4305,Male,day1,1.85
4306,Non-binary,day1,1.23
4308,Female,day1,2.35
4309,Male,day1,1.35
4310,Female,day1,1.94
4311,Male,day1,1.55
4312,Female,day1,1.29
4313,Male,day1,2.17
4314,Female,day1,1.91
4333,Female,day1,2.88
4334,Female,day1,2.36
4335,Non-binary,day1,2.36
4336,Female,day1,2.2
4349,Female,day1,2.17
4351,Male,day1,0.52
4352,Male,day1,0.32
4353,Female,day1,1.52
4354,Male,day1,2
4355,Male,day1,1.32
4356,Female,day1,2.05
4357,Female,day1,1.73
4358,Male,day1,1.94
4359,Female,day1,1.81
4360,Male,day1,0.9
4361,Male,day1,1.58
4363,Female,day1,2.29
4366,Non-binary,day1,2.57
4370,Female,day1,1.58
4382,Female,day1,2.33
4383,Female,day1,3.15
4384,Female,day1,2.29
4385,Female,day1,0.82
4386,Female,day1,1.93
4387,Female,day1,1.82
4388,Female,day1,1.96
4389,Female,day1,1.32
4391,Female,day1,1.02
4392,Female,day1,1.14
4393,Female,day1,2.32
4394,Male,day1,2.16
4396,Non-binary,day1,2.42
4397,Non-binary,day1,1.14
4398,Male,day1,1.55
4404,Female,day1,1.17
4405,Female,day1,1
4410,Female,day1,1.05
4419,Female,day1,1.38
4428,Female,day1,1.93
4430,Female,day1,2.73
4435,Female,day1,2.02
4436,Female,day1,2.81
4437,Female,day1,2.47
4439,Male,day1,1.35
4440,Male,day1,2.08
4441,Female,day1,2.5
4442,Female,day1,2.45
4443,Female,day1,2.17
4444,Male,day1,1.7
4445,Male,day1,0.7
4446,Male,day1,1.51
4447,Female,day1,1.23
4448,Female,day1,2.14
4452,Male,day1,1.14
4453,Female,day1,0.96
4454,Male,day1,1.52
4455,Male,day1,0.52
4456,Male,day1,1.56
4459,Female,day1,3.29
4464,Male,day1,0.45
4467,Female,day1,2.63
4468,Female,day1,1.7
4470,Male,day1,3.11
4479,Female,day1,1.82
4481,Female,day1,1.58
4482,Female,day1,2.73
4485,Female,day1,1.5
4486,Male,day1,1.78
4488,Non-binary,day1,2.02
4507,Male,day1,0.67
4509,Non-binary,day1,1.41
4510,Male,day1,0.9
4511,Female,day1,1.23
4512,Female,day1,2.7
4514,Female,day1,1.97
4515,Male,day1,0.84
4516,Non-binary,day1,1.79
4517,Female,day1,2.84
4518,Non-binary,day1,2.02
4519,Male,day1,1.64
4525,Female,day1,1.08
4533,Female,day1,2.97
4552,Non-binary,day1,0.94
4553,Female,day1,2.97
4554,Female,day1,0.97
4555,Male,day1,1.47
4559,Female,day1,2.61
4563,Female,day1,1.73
4564,Female,day1,3.38
4569,Male,day1,3.17
4570,Non-binary,day1,2.2
4571,Female,day1,2.14
4582,Male,day1,1.29
4590,Female,day1,3.21
4597,Male,day1,2.67
4598,Male,day1,1.85
4601,Female,day1,1.35
4607,Non-binary,day1,2.14
4611,Male,day1,1.24
4654,Female,day1,2.02
4655,Female,day1,2.32
4663,Male,day1,1.08
4666,Male,day1,1.14
4690,Female,day1,2.14
4692,Non-binary,day1,2.88
4693,Male,day1,1.35
4694,Non-binary,day1,1
4695,Male,day1,2.02
4696,Female,day1,0.64
4697,Male,day1,0.29
4698,Female,day1,1.73
4699,Female,day1,1.82
4704,Female,day1,2.11
4710,Non-binary,day1,1.23
4711,Male,day1,0.64
4724,Male,day1,2.23
4725,Female,day1,2.44
4740,Male,day1,1.17
4744,Female,day1,0.61
4749,Female,day1,0.52
4756,Female,day1,2.91
4758,Female,day1,2.61
4759,Female,day1,1.47
4760,Male,day1,1.28
4765,Female,day1,1.26
2111,Male,day2,1.35
2229,Female,day2,1.41
2338,Male,day2,NA
2384,Female,day2,NA
2401,Female,day2,0.08
2405,Male,day2,NA
2467,Female,day2,NA
2478,Female,day2,NA
2490,Male,day2,NA
2504,Female,day2,0.44
2509,Male,day2,NA
2510,Female,day2,0.2
2514,Male,day2,NA
2515,Female,day2,1.64
2520,Male,day2,0.02
2521,Female,day2,NA
2529,Male,day2,NA
2533,Female,day2,2.05
2535,Female,day2,NA
2538,Male,day2,NA
2549,Male,day2,0.7
2551,Female,day2,NA
2558,Female,day2,NA
2562,Non-binary,day2,0.85
2565,Female,day2,NA
2566,Female,day2,NA
2568,Female,day2,NA
2586,Female,day2,NA
2601,Male,day2,NA
2602,Male,day2,0.38
2604,Male,day2,0.11
2606,Non-binary,day2,NA
2609,Female,day2,NA
2611,Female,day2,NA
2612,Male,day2,0.82
2616,Male,day2,NA
2624,Female,day2,0.91
2633,Female,day2,NA
2642,Female,day2,NA
2644,Male,day2,NA
2662,Female,day2,NA
2663,Male,day2,NA
2664,Non-binary,day2,NA
2669,Female,day2,NA
2670,Male,day2,NA
2675,Male,day2,NA
2676,Female,day2,NA
2677,Male,day2,0.38
2681,Male,day2,NA
2685,Female,day2,NA
2686,Female,day2,NA
2687,Male,day2,NA
2688,Female,day2,NA
2689,Non-binary,day2,0.32
2692,Female,day2,0.23
2698,Female,day2,NA
2709,Female,day2,NA
2710,Male,day2,NA
2712,Female,day2,NA
2726,Female,day2,0.14
2727,Female,day2,NA
2728,Male,day2,NA
2730,Non-binary,day2,NA
2731,Female,day2,1.9
2732,Female,day2,NA
2734,Female,day2,NA
2735,Female,day2,0.76
2736,Female,day2,NA
2737,Female,day2,0.7
2748,Female,day2,0.55
2752,Non-binary,day2,NA
2756,Female,day2,0.38
2758,Male,day2,NA
2759,Female,day2,NA
2768,Non-binary,day2,NA
2769,Female,day2,NA
2770,Female,day2,1.18
2771,Male,day2,0.79
2772,Non-binary,day2,NA
2773,Female,day2,NA
2775,Male,day2,NA
2779,Female,day2,NA
2780,Male,day2,NA
2783,Male,day2,2.08
2784,Female,day2,1
2788,Male,day2,NA
2789,Male,day2,NA
2791,Female,day2,NA
2794,Female,day2,NA
2796,Female,day2,NA
2799,Non-binary,day2,NA
2806,Male,day2,NA
2807,Female,day2,NA
2811,Non-binary,day2,NA
2812,Male,day2,NA
2813,Female,day2,NA
2814,Female,day2,0.14
2825,Female,day2,0.58
2827,Male,day2,NA
2828,Female,day2,1.7
2829,Non-binary,day2,NA
2830,Male,day2,NA
2831,Female,day2,1.06
2839,Male,day2,NA
2842,Female,day2,NA
2857,Male,day2,NA
2858,Male,day2,NA
2859,Male,day2,NA
2862,Female,day2,NA
2863,Female,day2,1.58
2875,Non-binary,day2,NA
2876,Non-binary,day2,NA
2883,Non-binary,day2,NA
2890,Non-binary,day2,NA
2894,Female,day2,NA
2895,Female,day2,NA
2897,Non-binary,day2,NA
2898,Female,day2,NA
2899,Female,day2,2.08
2900,Female,day2,NA
2901,Male,day2,NA
2920,Male,day2,NA
2921,Female,day2,NA
2922,Female,day2,NA
2923,Non-binary,day2,NA
2924,Female,day2,NA
2925,Female,day2,NA
2932,Male,day2,NA
2933,Female,day2,NA
2935,Female,day2,NA
2936,Female,day2,NA
2937,Non-binary,day2,NA
2938,Male,day2,1.38
2940,Non-binary,day2,1.44
2941,Non-binary,day2,1.73
2942,Male,day2,NA
2948,Female,day2,NA
2952,Male,day2,NA
2953,Male,day2,1.11
2954,Female,day2,1.14
2956,Female,day2,NA
2957,Male,day2,NA
2958,Male,day2,NA
2959,Female,day2,NA
2961,Female,day2,NA
2962,Female,day2,NA
2964,Female,day2,NA
2966,Male,day2,NA
2967,Male,day2,NA
2968,Male,day2,NA
2972,Female,day2,NA
2974,Female,day2,NA
2975,Non-binary,day2,2.12
2976,Female,day2,NA
2977,Female,day2,NA
2978,Female,day2,NA
2979,Male,day2,NA
2982,Male,day2,NA
2983,Male,day2,NA
2984,Male,day2,NA
2985,Non-binary,day2,NA
2988,Female,day2,NA
2989,Female,day2,1.97
2990,Male,day2,0.58
3008,Female,day2,0.7
3009,Female,day2,NA
3010,Non-binary,day2,NA
3013,Female,day2,NA
3014,Female,day2,NA
3016,Non-binary,day2,NA
3017,Male,day2,NA
3018,Male,day2,NA
3019,Female,day2,1.35
3027,Male,day2,NA
3028,Female,day2,NA
3029,Female,day2,NA
3030,Non-binary,day2,0.29
3031,Male,day2,NA
3032,Female,day2,NA
3033,Female,day2,NA
3034,Female,day2,NA
3035,Male,day2,NA
3048,Male,day2,NA
3049,Female,day2,NA
3051,Male,day2,NA
3052,Female,day2,NA
3053,Female,day2,0.85
3054,Female,day2,1.02
3055,Female,day2,NA
3056,Female,day2,NA
3057,Male,day2,0.05
3064,Male,day2,NA
3065,Female,day2,NA
3068,Non-binary,day2,NA
3069,Male,day2,NA
3070,Male,day2,NA
3072,Female,day2,NA
3073,Female,day2,NA
3092,Female,day2,NA
3093,Male,day2,NA
3094,Female,day2,NA
3095,Male,day2,0.78
3096,Female,day2,NA
3097,Male,day2,NA
3098,Male,day2,NA
3100,Female,day2,NA
3106,Non-binary,day2,NA
3107,Female,day2,NA
3109,Male,day2,2.29
3111,Female,day2,NA
3112,Male,day2,NA
3114,Female,day2,NA
3116,Female,day2,NA
3118,Male,day2,NA
3129,Male,day2,0.23
3131,Non-binary,day2,0.44
3132,Female,day2,NA
3133,Non-binary,day2,NA
3135,Female,day2,NA
3136,Male,day2,NA
3137,Female,day2,NA
3138,Non-binary,day2,NA
3139,Female,day2,NA
3146,Female,day2,NA
3147,Male,day2,NA
3148,Female,day2,NA
3168,Female,day2,NA
3171,Female,day2,NA
3172,Male,day2,NA
3173,Female,day2,0.47
3180,Female,day2,NA
3182,Female,day2,NA
3190,Male,day2,NA
3192,Female,day2,NA
3202,Male,day2,NA
3236,Female,day2,NA
3245,Female,day2,NA
3246,Female,day2,1.17
3247,Male,day2,NA
3248,Male,day2,NA
3249,Male,day2,0.44
3250,Male,day2,NA
3251,Female,day2,0.47
3253,Male,day2,NA
3254,Female,day2,NA
3255,Male,day2,NA
3256,Female,day2,0.17
3257,Female,day2,NA
3258,Female,day2,0.85
3260,Male,day2,NA
3261,Male,day2,NA
3262,Male,day2,NA
3264,Female,day2,NA
3267,Female,day2,1.11
3273,Male,day2,NA
3275,Female,day2,NA
3276,Female,day2,NA
