participant_code,gender,ias1,ias2,ias3,ias4,ias5,ias6,ias7,ias8,ias9,ias10,ias11,ias12,ias13,ias14,ias15,ias16,ias17,ias18,ias19,ias20,ias21,ias22,ias23,ias24,ias25,ias26,ias27,ias28,ias29,ias30,ias31,ias32,ias33,ias34,ias35,ias36
62,male,1,1,3,3,1,1,1,1,2,1,2,2,3,1,1,5,1,1,2,1,1,3,1,2,2,1,1,1,1,2,3,1,1,1,1,1
64,male,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
65,male,1,1,4,3,2,1,3,3,3,2,2,3,3,2,1,1,2,2,1,2,3,1,1,3,1,1,1,1,2,1,3,3,3,1,1,2
67,male,2,2,3,2,1,1,2,2,2,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1
68,male,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,male,1,5,4,5,1,1,5,1,2,1,1,2,4,1,1,1,1,1,1,1,2,1,1,3,1,1,5,1,1,1,2,1,1,1,1,1
70,male,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,male,2,2,4,3,3,2,2,4,3,2,2,3,2,1,2,2,3,2,3,2,3,1,1,3,2,2,3,2,2,2,4,2,2,1,2,2
72,male,1,1,2,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,male,1,4,5,5,2,1,4,4,2,3,1,2,3,1,1,1,1,1,3,1,1,1,1,2,1,1,3,1,1,1,3,1,1,1,1,3
75,male,2,2,2,2,1,1,3,4,3,2,3,3,2,1,1,1,3,2,3,2,3,1,1,4,2,1,2,2,1,2,3,1,1,1,1,2
76,male,2,2,3,3,1,1,2,2,1,2,2,3,2,2,1,1,1,2,2,2,2,1,1,3,3,2,3,1,1,2,3,1,1,1,3,1
77,male,2,2,3,3,3,1,1,3,2,2,2,1,2,2,2,2,2,2,3,1,2,1,1,2,2,2,3,2,2,3,2,1,3,2,3,1
78,male,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1
80,male,2,2,3,2,1,3,2,3,3,2,1,2,2,1,1,1,1,1,3,1,1,1,1,2,3,1,2,2,1,3,3,3,1,1,1,2
81,male,1,1,4,3,1,1,1,3,3,1,2,2,3,1,1,1,1,1,3,2,1,1,1,2,1,1,1,1,1,1,3,1,2,1,1,1
83,male,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,2,3,1,1,2,2,1,2,2,1,3,3,1,2,1,1,2
84,male,1,3,2,1,2,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,male,2,1,3,2,1,1,1,3,2,1,2,1,2,1,2,2,1,1,3,1,2,1,1,2,2,2,5,2,1,1,2,2,3,1,1,1
87,male,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1
88,male,1,1,4,2,2,1,1,3,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,3,1,1,1,1,1
89,male,4,3,4,3,2,1,2,2,2,2,2,2,4,2,2,2,1,1,3,2,3,1,1,2,2,1,3,1,2,4,4,4,3,1,2,2
90,male,2,2,4,4,3,1,2,3,3,2,1,2,2,2,2,1,2,3,3,2,1,1,3,3,3,2,2,2,2,2,3,2,3,2,3,2
92,male,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1
93,male,1,1,4,3,1,1,2,3,1,1,1,2,1,1,1,1,3,1,3,1,1,1,1,2,1,1,1,1,1,2,2,3,1,1,3,1
95,male,2,2,3,3,2,1,1,2,2,1,1,1,3,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,3,2,1,2,1,1,1
98,male,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1
100,male,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
101,male,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1
104,male,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
105,male,1,3,4,2,1,1,1,2,1,1,2,2,3,2,3,1,1,1,3,2,1,3,1,2,1,2,4,2,1,2,2,3,1,1,2,1
106,male,1,1,2,3,1,1,3,1,2,1,1,3,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,male,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,male,1,3,3,2,3,1,2,3,3,1,2,2,3,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,1
109,male,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,4,1,1,1,1,1
110,male,3,3,4,2,3,2,2,4,3,2,3,3,3,1,2,2,3,1,3,1,1,1,1,3,2,1,2,1,1,1,3,1,1,1,3,1
112,male,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,male,2,3,3,4,2,1,2,4,2,1,1,1,5,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1
116,male,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,male,2,3,5,4,2,2,3,2,3,3,3,2,2,2,2,2,2,4,3,3,2,1,2,5,2,2,2,1,3,4,3,2,3,1,2,2
118,male,2,2,4,4,4,2,1,4,1,1,1,2,2,2,1,3,1,1,4,3,1,1,3,4,3,2,3,2,3,3,2,4,3,1,3,2
119,male,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
120,male,2,3,3,3,3,1,1,3,3,2,2,2,3,2,1,1,2,1,3,2,3,1,1,3,1,1,2,1,3,2,3,1,2,1,1,1
121,male,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,male,2,1,2,4,1,1,1,1,2,1,1,3,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1
123,male,1,1,3,1,1,1,1,3,1,1,1,1,3,2,1,1,1,1,1,2,1,3,1,2,2,1,2,1,1,1,2,4,1,2,4,2
126,male,3,3,4,3,2,1,3,4,3,3,2,4,2,3,2,1,3,3,3,2,4,2,1,3,1,1,1,1,1,3,4,1,2,1,1,3
127,male,5,2,3,5,3,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1
128,male,1,2,3,2,1,1,2,3,1,1,2,2,2,3,1,2,1,1,3,1,1,1,1,3,1,1,3,1,1,2,2,1,1,1,1,2
129,male,3,4,5,2,3,1,2,3,4,2,1,2,1,3,1,2,3,1,2,2,1,1,1,2,1,1,4,1,2,1,5,2,2,1,3,2
130,male,3,1,4,3,2,3,2,3,4,2,1,2,1,1,1,1,2,2,3,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,1
131,male,1,2,4,4,4,3,3,4,4,4,3,4,4,2,2,1,4,2,4,2,4,1,2,4,1,2,2,2,2,3,4,1,3,1,1,3
132,male,2,1,3,1,1,1,1,3,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,3,1,1,1,1,1
133,male,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
136,male,1,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,3,1,1,1,2,1,1,1,1,1
137,male,1,2,3,3,1,1,2,2,1,1,2,3,3,1,1,1,1,1,2,1,3,1,1,2,2,1,1,1,1,2,3,2,1,1,1,1
138,male,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
140,male,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1
141,male,1,2,4,3,3,1,1,3,3,2,2,1,3,1,1,1,1,1,3,1,5,2,1,3,1,1,2,1,1,3,3,3,1,1,1,1
142,male,1,1,3,3,3,3,2,1,1,4,2,3,3,2,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,4,4,1,1,1,1
143,male,4,1,5,4,3,3,5,4,5,4,4,5,3,3,2,3,5,5,4,5,5,3,2,4,4,3,3,4,5,4,2,4,4,3,2,4
144,male,1,3,2,3,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,3,2,1,1,1,1
171,male,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174,male,1,1,2,2,1,1,1,1,1,1,2,1,3,1,1,1,1,1,3,1,2,1,1,2,1,1,1,1,1,2,3,1,1,1,1,1
179,male,4,3,4,3,4,3,3,5,4,4,3,4,2,2,3,3,2,3,4,2,4,1,2,3,2,4,4,3,3,2,3,2,4,3,3,3
183,male,1,1,3,1,2,1,1,2,1,1,2,2,1,1,1,2,2,1,3,1,1,1,1,3,1,2,2,1,1,3,3,1,1,1,3,1
185,male,1,1,4,2,1,1,1,4,3,1,1,2,1,1,1,1,1,1,3,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1
186,male,4,4,4,3,4,1,3,4,4,1,2,3,2,2,2,3,1,3,3,1,3,1,1,3,2,1,3,1,2,4,4,1,3,1,1,1
187,male,1,3,2,1,1,1,1,1,1,1,1,2,4,2,1,1,2,1,1,1,1,1,1,2,2,1,3,1,1,1,3,1,1,1,1,1
191,male,3,3,4,2,3,2,1,4,2,1,1,1,3,1,1,3,1,2,3,1,2,1,1,3,2,1,3,1,2,1,3,2,1,1,2,1
192,male,1,1,2,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,2,1,1,1,1,3,1,1,3,1,1,1,4,1,1,1,1,1
198,male,1,1,2,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1
199,male,2,1,3,2,2,1,2,2,3,2,2,2,3,1,1,1,2,1,2,1,3,1,1,3,1,1,1,1,1,2,2,3,1,1,1,1
205,male,1,1,3,3,1,1,1,3,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1
207,male,2,2,3,4,4,2,3,4,3,3,1,3,2,2,1,1,2,3,3,3,3,1,1,2,2,2,2,1,3,2,3,1,3,2,3,2
209,male,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,4,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1
210,male,2,1,3,3,3,1,1,3,2,2,2,2,3,2,2,1,1,2,2,2,1,1,1,3,3,1,4,3,2,1,2,1,2,1,2,1
213,male,1,1,3,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
217,male,1,5,2,5,1,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1
220,male,1,1,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
236,male,2,1,3,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,2,1
2,female,3,3,4,1,2,2,2,2,2,2,2,2,3,2,3,1,3,2,3,2,2,1,2,2,2,2,2,2,2,2,4,4,2,2,3,2
8,female,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1
9,female,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1
13,female,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
14,female,1,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1
16,female,1,2,3,3,1,1,2,3,1,1,2,2,2,1,1,1,1,1,3,1,1,2,1,3,2,1,1,1,1,3,3,1,1,1,3,1
17,female,1,1,2,1,1,1,1,2,1,1,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
20,female,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
21,female,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,female,2,3,4,2,3,3,2,4,3,3,2,2,2,3,3,3,3,2,4,3,3,1,2,3,1,4,2,3,1,3,3,3,1,2,4,2
24,female,1,1,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1
26,female,2,1,3,3,1,1,1,2,1,1,1,1,2,2,1,3,1,1,2,1,1,2,1,1,2,1,3,1,1,1,3,1,2,1,2,1
27,female,1,1,3,3,1,1,1,2,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,3,1,1,1,3,2,1,1,2,1
30,female,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
33,female,1,1,4,1,1,1,1,4,1,1,1,1,5,1,1,2,1,2,3,1,1,2,1,3,1,1,2,1,1,1,4,1,1,1,2,2
39,female,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,female,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,female,2,2,3,3,2,2,2,3,1,1,2,2,3,1,1,1,1,1,2,1,2,1,1,2,1,1,3,1,1,2,2,1,1,1,1,1
94,female,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1
96,female,1,1,3,2,3,1,1,3,3,1,2,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1
102,female,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1
111,female,3,4,3,4,2,2,1,4,4,2,4,3,3,3,3,3,4,4,4,3,2,1,2,3,3,3,3,2,2,2,2,2,2,1,2,3
135,female,1,1,3,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,2,1,3,1,1,3,1,1,1,1,1,1,3,2,2,1,1,1
139,female,3,2,2,2,2,1,1,1,1,1,2,1,3,2,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,3,2,1,1,1,1,1
145,female,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1
146,female,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,female,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,female,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,3,3,3,1,1,3,1
150,female,1,2,3,3,3,2,1,4,2,2,1,3,3,3,1,3,2,2,3,1,2,2,1,2,2,2,3,2,1,2,2,4,1,2,3,1
152,female,1,1,2,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,3,3,1,1,1,1
154,female,1,2,4,3,2,1,1,1,1,1,1,1,3,3,1,1,1,1,3,1,1,1,1,4,1,1,3,1,1,1,3,3,1,1,3,1
155,female,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1
156,female,1,1,3,2,1,1,1,2,1,2,2,2,3,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,3,1
157,female,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1
159,female,2,1,4,3,1,1,2,4,3,1,2,2,1,1,1,2,1,1,2,1,1,1,1,4,1,1,4,1,1,1,4,1,1,1,3,1
160,female,2,2,4,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
161,female,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
162,female,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,female,1,1,4,2,1,1,1,3,3,1,3,2,1,1,3,2,1,1,4,1,3,1,1,1,1,2,3,3,1,1,1,1,1,1,1,2
164,female,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,3,1,1,1,1,1,1,4,3,1,1,1,1
165,female,1,1,4,2,1,1,1,2,1,2,3,3,3,1,1,1,3,1,2,1,3,3,1,2,1,2,1,1,1,1,2,4,2,1,1,1
166,female,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1
167,female,2,1,3,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,2,3,2,1,1,1,1
168,female,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
169,female,3,3,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1
170,female,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172,female,1,3,2,2,1,1,1,1,1,1,1,2,5,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,3,1,1,1,1
173,female,1,1,3,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,1,2,1
175,female,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
176,female,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177,female,1,1,3,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,3,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1
178,female,1,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1
180,female,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1
181,female,1,2,1,2,3,1,1,3,1,2,3,2,4,1,1,1,1,1,2,1,1,4,1,3,3,1,3,1,1,1,1,2,2,1,2,1
182,female,2,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
184,female,3,4,5,4,2,1,4,3,3,2,3,1,3,3,3,3,1,4,4,4,3,1,1,4,3,2,4,2,2,2,4,1,5,2,4,3
188,female,2,1,3,2,3,1,1,4,3,1,2,2,3,1,2,1,1,3,3,2,2,1,2,3,3,2,2,3,1,1,1,1,1,2,4,2
189,female,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,3,1,1,3,1,1,3,3,1,1,1,1,1
193,female,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194,female,1,1,4,3,2,1,3,3,1,1,1,3,1,1,1,1,3,2,4,2,2,1,1,3,3,2,2,1,1,4,4,1,1,1,3,3
196,female,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1
197,female,2,2,3,2,1,1,1,2,1,1,3,2,4,2,2,3,1,1,3,2,1,5,3,2,1,3,3,3,2,3,4,4,2,1,3,2
200,female,2,1,3,1,1,1,1,3,2,1,1,2,5,1,1,2,1,1,2,1,1,1,1,3,1,1,2,1,1,2,3,1,1,1,1,1
