id,raq_01,raq_02,raq_03,raq_04,raq_05,raq_06,raq_07,raq_08,raq_09,raq_10,raq_11,raq_12,raq_13,raq_14,raq_15,raq_16,raq_17,raq_18,raq_19,raq_20,raq_21,raq_22,raq_23
s55c6,3,2,3,3,3,2,3,3,2,3,3,2,1,3,3,3,2,2,2,2,3,3,2
642w1,4,4,3,3,2,3,3,2,3,4,2,3,2,3,3,3,2,2,3,3,3,3,3
4cs18,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3
pmj80,3,3,3,2,3,3,2,3,3,3,2,2,3,3,2,3,2,3,2,3,3,3,2
mud9b,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3,4,3,3,3
2284y,3,2,3,3,2,2,1,2,2,3,2,3,2,2,2,3,3,1,2,3,3,2,3
10hb1,2,3,2,3,3,3,2,3,4,3,3,3,3,2,2,3,3,3,3,3,3,3,4
4x71r,2,3,3,3,3,3,3,3,4,3,3,2,2,4,3,3,3,3,3,2,3,3,3
j2y1d,3,3,3,3,3,3,4,3,3,4,2,3,3,3,4,3,2,3,3,3,3,2,2
1gsb1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,4,2,3,3,3,3,2,3
6d2jl,2,4,3,2,3,3,3,3,3,4,3,3,3,3,3,2,3,4,3,3,2,3,3
27nny,4,4,2,3,3,3,4,3,4,4,4,2,3,3,3,4,3,3,4,3,4,3,4
366hm,2,2,4,2,3,3,2,2,2,4,3,3,3,3,2,3,3,3,3,2,3,2,2
4w10i,3,2,3,3,3,3,3,3,3,2,2,4,2,3,3,2,2,3,3,3,2,3,3
ts27t,2,3,2,3,3,3,4,2,3,4,2,2,3,3,3,3,3,3,3,3,2,4,3
12muw,3,3,2,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3
3il37,2,3,2,2,2,2,2,2,3,2,2,3,3,3,2,3,3,2,3,2,2,3,3
w2625,3,2,2,2,2,3,2,3,2,2,3,3,2,3,3,3,3,2,2,2,2,2,2
vp3s7,2,3,4,3,3,3,3,3,2,3,4,3,4,4,4,2,3,3,3,3,3,3,3
86srg,3,2,2,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,2,4,3,2,2
60rxh,3,4,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
o6em2,3,3,2,3,2,2,3,3,3,2,3,3,2,3,2,3,4,3,2,3,3,3,3
1i30f,3,3,3,3,4,4,3,3,3,3,3,1,3,4,4,2,3,3,3,3,3,3,3
fg2x0,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,4,3
0bev6,2,2,3,2,2,1,2,3,3,2,3,2,2,2,2,3,3,1,2,3,3,3,2
18ss5,3,3,2,2,2,2,3,2,4,2,3,2,2,2,3,3,2,3,3,2,3,3,4
y25jx,2,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,4,3,2,2
8ifk3,3,2,3,3,2,2,3,1,2,2,2,2,2,3,2,3,2,2,2,2,2,1,2
y88v6,3,2,3,2,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,2,2
s37x7,2,3,3,3,3,3,4,3,3,5,3,3,3,3,3,3,3,3,3,4,3,3,3
jrih9,3,3,3,4,3,2,2,2,3,3,3,3,3,2,3,2,3,3,3,2,2,4,3
f3519,3,2,4,3,3,3,3,3,3,4,3,2,2,3,3,3,2,4,3,2,2,3,3
he145,3,2,3,3,2,2,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3
50v4i,3,4,2,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3
rb6ge,2,2,3,3,3,3,3,2,2,3,2,3,3,2,3,3,2,3,2,3,3,2,3
d4b85,2,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,2
881ct,4,4,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3
bdu5y,3,2,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3
741e6,3,3,2,3,3,3,4,3,4,3,2,3,3,3,2,3,2,3,3,4,3,4,4
5kcuy,2,3,4,3,2,3,3,3,3,3,3,2,3,4,3,3,2,3,3,3,3,2,2
xle6k,3,3,4,3,2,3,3,2,4,2,2,3,3,3,3,3,3,3,3,3,3,3,4
131f2,3,3,2,2,2,2,1,3,3,3,2,2,2,2,3,3,3,3,3,3,3,2,3
28r76,3,3,3,3,3,3,3,3,3,2,4,2,3,4,3,3,3,3,3,3,3,3,3
1loag,3,3,4,3,3,3,3,3,3,3,3,2,3,2,3,3,2,3,3,3,3,3,3
76gqc,2,2,3,3,3,3,2,3,2,3,3,2,3,3,3,3,4,3,2,3,3,3,2
8366k,3,3,2,3,3,3,3,4,4,3,4,3,2,3,2,3,4,3,2,2,3,3,4
71p9n,3,3,3,3,3,3,3,2,3,2,3,2,3,3,3,2,3,1,3,3,4,3,3
65kwx,3,3,3,2,2,2,2,3,3,3,4,3,3,2,3,2,3,2,3,3,3,2,3
nih5p,3,3,2,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3
mvsiy,3,3,3,3,4,3,2,3,3,3,3,2,3,4,3,4,3,3,2,3,3,3,3
oshvg,2,2,3,4,3,3,3,4,2,2,4,3,3,2,3,3,3,2,3,3,3,3,3
c76n2,4,2,2,2,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3
2f1il,3,2,2,2,3,3,3,3,3,4,3,2,2,3,3,2,3,2,3,3,3,3,3
3jm5a,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,4,3,3
g46ob,2,2,3,2,2,3,2,2,2,3,2,4,2,3,2,2,1,2,2,3,2,2,3
rbnf7,4,3,2,2,2,2,3,2,3,2,3,3,2,3,2,2,2,2,2,3,3,3,3
51r43,4,4,3,3,3,3,4,3,4,3,3,3,2,3,4,3,3,4,4,4,3,3,4
2126o,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2
rkwpk,2,2,3,2,2,2,2,2,2,3,3,2,3,3,3,3,3,2,2,2,3,2,2
5kf85,3,3,3,2,4,3,3,3,3,3,3,2,3,3,4,3,3,4,4,3,2,3,3
e99sb,3,3,2,3,3,2,3,3,3,2,3,4,2,2,2,4,3,3,3,2,3,4,4
l25y3,3,3,3,3,3,3,3,2,4,2,3,3,3,3,2,3,2,2,3,4,3,3,3
b0md7,3,3,2,3,2,3,3,2,2,4,3,2,2,2,3,2,3,2,2,3,3,3,3
5v5ru,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3
1nq0b,2,2,3,2,3,2,1,2,3,3,2,3,2,3,2,2,2,3,3,3,2,2,3
m8m43,2,3,4,3,3,3,3,3,3,3,4,3,3,3,2,3,4,3,2,3,3,2,3
ymuhc,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,4
x8mhc,3,3,4,2,3,3,2,2,3,4,2,3,3,3,3,3,2,3,4,3,3,3,3
22cw5,2,2,3,3,3,2,3,2,2,3,3,3,2,3,2,2,3,2,3,3,2,3,2
e4527,3,3,3,2,3,3,2,3,4,2,3,3,3,3,3,3,3,3,3,2,3,3,3
3ol5v,2,3,3,4,3,3,2,3,3,2,2,2,3,2,3,4,2,3,3,2,3,3,3
wfnt2,4,2,2,3,4,4,3,4,3,4,3,4,4,3,3,4,3,4,3,3,4,3,3
37nus,2,4,2,3,2,3,3,4,3,2,4,2,3,3,3,3,4,3,3,3,2,3,3
v4r6p,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3
91wo1,4,3,3,3,3,2,2,2,3,2,2,3,3,3,2,3,2,2,3,3,2,3,2
67671,2,4,3,3,3,3,3,3,3,4,3,2,2,2,3,4,3,3,3,2,3,3,4
2tjm0,3,2,3,3,2,2,3,3,3,2,3,4,3,2,2,3,3,2,3,2,3,3,3
bc323,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2
836p7,2,3,4,3,2,3,3,3,3,2,3,3,2,3,3,2,3,3,4,2,2,3,3
ovu1s,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2
4d7m2,2,3,3,4,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3
xp8v0,3,2,3,3,2,3,3,2,3,3,3,3,3,2,2,3,2,2,3,2,3,2,3
rptr5,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3
10614,3,3,2,2,3,2,3,2,3,3,1,3,3,2,2,3,2,3,3,2,3,3,3
i8p3r,3,2,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,2,1,3,3,2,2
ct461,3,2,3,3,2,3,3,2,3,2,3,3,2,3,2,2,3,3,2,3,3,2,3
sg37m,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2
2422i,3,3,3,3,3,3,3,2,3,4,3,4,3,3,3,4,3,3,3,3,2,3,3
471sb,3,3,2,4,4,3,3,4,3,3,5,2,3,3,3,3,4,3,3,4,4,3,3
42u87,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
93itn,4,3,2,2,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3
m5m4q,3,3,3,2,3,2,3,2,3,3,2,2,3,3,2,3,2,3,2,1,2,2,2
52mfr,2,3,4,2,2,2,2,3,3,3,2,2,3,3,2,3,2,2,2,2,2,3,2
e7t06,2,2,4,2,2,3,3,3,2,2,3,2,3,3,2,2,3,2,2,2,2,1,1
51xpp,3,3,3,3,3,3,3,2,3,3,4,2,3,3,3,3,2,3,2,4,4,3,2
57ib6,4,2,2,2,3,3,2,3,3,2,2,2,3,3,3,3,3,2,2,2,2,2,3
8hlg6,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,4,3
812k8,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,2,3,2,2
fon50,2,3,3,2,3,3,3,2,3,4,3,3,4,3,3,3,3,4,3,3,2,3,3
7m1f4,3,2,2,2,1,1,3,2,2,3,2,2,1,2,2,3,1,2,2,1,3,2,2
70oxr,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,2
egn3q,4,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3
t2ac1,4,3,2,3,3,3,3,3,3,2,3,2,2,3,3,3,2,3,2,2,3,3,3
6jj0h,3,2,2,4,3,3,3,4,3,4,4,3,3,3,3,3,4,3,3,3,3,2,3
t3thl,2,3,3,3,2,3,3,3,3,2,3,2,3,2,2,3,3,2,3,3,2,3,4
074eq,3,3,2,2,2,2,3,2,3,2,2,2,2,2,3,3,1,3,3,3,3,3,3
q8821,3,2,3,3,2,2,2,3,2,2,3,3,2,3,3,3,3,2,3,3,3,2,2
vh3v3,2,3,4,3,2,2,3,2,3,4,3,3,2,2,2,2,3,3,2,2,2,3,2
6sb2f,3,3,2,3,2,2,2,3,3,3,3,3,2,3,3,3,2,1,3,3,3,3,3
x4cee,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,2,3,2,4,3,3,2
857pg,3,3,2,3,3,3,4,3,3,3,3,4,2,2,3,3,3,3,2,3,3,3,3
1sec1,3,3,3,2,3,3,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2
6wf4v,3,3,3,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3
hw4od,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3
diar4,3,2,3,3,4,3,3,4,3,3,3,3,2,2,3,3,4,3,2,3,4,3,3
r1hhs,3,3,3,2,2,3,2,2,3,3,2,2,2,3,3,2,2,3,3,3,3,3,3
l6w4d,3,3,3,3,3,3,2,2,3,2,2,3,3,3,3,3,2,3,3,3,2,2,3
8f1d2,3,3,3,1,2,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3
mi5f4,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
4m6h6,4,3,3,3,4,3,3,4,3,3,4,3,4,3,3,3,4,3,4,3,3,3,3
fon40,3,2,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,4,4,3,3
r107p,3,3,3,2,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,2,3,3
t4e99,3,2,3,2,3,2,3,3,3,3,2,2,2,2,3,2,2,2,3,2,2,2,3
h634m,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3
tuky3,2,3,4,2,2,2,2,2,3,3,2,2,2,2,2,2,2,1,3,3,1,3,3
4db92,3,2,3,2,2,2,2,2,3,2,3,2,2,2,4,3,2,2,2,3,3,3,4
21wi4,2,2,3,2,2,2,2,2,3,3,2,2,2,3,2,2,2,2,3,2,2,3,3
l61a0,2,3,2,3,2,2,3,2,3,3,3,2,2,2,2,2,3,2,3,2,2,2,3
93u4v,4,4,2,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
3ce5l,2,3,2,3,3,2,2,3,2,2,3,3,2,3,3,3,3,2,3,3,3,3,3
21dm3,3,2,3,2,3,3,2,3,2,3,3,3,2,3,2,2,3,2,2,3,3,3,2
xvr2w,2,2,3,4,2,2,3,2,3,3,2,3,3,3,3,3,2,2,2,2,2,3,2
77fd7,2,3,3,3,2,2,3,2,3,3,2,2,3,4,3,3,2,2,3,3,2,2,2
sr735,3,2,3,3,3,3,3,3,2,3,3,3,4,3,4,3,3,3,3,3,3,2,3
tgi53,2,3,2,3,3,3,3,3,2,3,2,4,2,3,2,2,3,3,3,3,3,3,2
1n72p,3,4,2,5,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3
ke7im,2,3,3,3,2,2,2,3,3,3,3,3,2,3,3,2,3,2,3,2,3,3,3
11d4e,3,2,3,3,2,3,3,3,2,3,3,2,3,2,3,3,3,3,3,2,3,2,2
cgnv7,4,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2
9xvhp,3,3,2,3,2,3,3,3,3,3,2,4,3,3,3,3,3,4,3,3,3,2,3
ci6mv,3,2,4,2,2,2,2,3,3,3,2,3,3,3,2,2,2,3,3,2,3,2,3
p5dmj,3,2,3,3,2,2,2,2,1,3,2,3,3,3,3,3,2,3,2,2,3,3,2
d4dhc,3,1,3,3,2,3,2,3,2,2,2,2,2,3,2,3,3,3,2,2,2,3,2
vf7e1,3,4,3,2,3,2,2,2,3,2,2,2,3,3,2,3,2,3,3,2,2,2,3
ai2gi,2,4,3,2,3,2,3,2,2,3,1,3,3,3,3,2,2,2,3,2,3,3,3
4m48l,3,3,3,2,3,4,3,3,3,3,3,3,3,3,4,2,3,4,2,3,3,2,3
0aq86,3,3,2,3,3,3,3,2,2,2,3,4,2,2,2,4,2,2,2,4,3,3,3
885h8,4,3,3,3,2,3,3,3,2,2,3,3,2,2,2,3,3,3,2,2,3,3,3
h2j34,2,4,3,3,3,3,3,4,4,3,4,3,2,3,3,4,3,3,3,3,3,3,3
m3u12,2,3,3,2,3,3,3,3,3,2,2,3,3,2,3,2,3,3,3,3,2,4,3
3d8ex,4,2,3,2,2,3,3,3,1,3,3,3,2,2,3,2,3,3,2,2,3,1,2
mcypq,2,3,4,2,2,3,3,3,2,3,2,3,3,2,3,2,3,3,2,2,3,2,2
l98y5,3,3,3,3,3,3,2,3,3,2,4,2,2,2,2,3,3,3,2,2,3,2,3
v5prf,3,2,4,3,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2
3td2x,3,2,2,3,2,3,3,3,3,3,3,3,3,3,2,4,3,3,2,3,3,3,3
8hi57,3,3,2,4,4,4,3,3,4,3,4,2,3,4,3,4,2,3,3,3,4,4,3
mg9ju,3,2,3,3,3,3,2,2,2,3,2,3,3,3,4,2,2,3,2,2,2,2,2
qlor8,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,3,3,3,3,4
jd68o,3,3,3,4,2,3,2,3,3,2,3,2,3,2,2,2,2,3,3,3,4,3,3
v1k54,2,2,4,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,1,2,2,2
683vg,3,3,3,3,3,3,3,2,4,3,2,2,3,2,4,3,2,3,3,2,2,3,3
jxu8j,3,2,2,3,3,3,3,2,3,3,3,4,3,3,3,2,2,3,2,3,3,3,3
ep2ji,3,3,3,3,3,2,2,2,2,2,2,2,3,2,3,3,2,2,2,3,2,3,2
87h5h,2,2,3,3,2,4,2,2,3,3,4,2,3,3,3,3,3,3,3,2,2,3,3
x5gk3,3,3,2,2,3,2,2,2,3,2,3,2,3,3,3,2,3,3,2,3,3,2,3
oy0py,2,3,3,2,3,3,3,3,2,4,3,4,3,2,2,3,3,2,3,3,3,3,3
c6758,2,3,3,3,2,2,2,3,2,2,3,2,2,2,2,3,3,2,2,3,2,2,3
wi46k,3,3,2,3,3,3,3,3,3,3,4,3,4,3,3,3,3,4,3,3,2,4,3
750sh,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,4,2,3,3,2,3,3,4
s885s,2,3,3,2,2,2,3,3,3,3,2,3,2,3,3,3,2,3,3,3,2,3,3
mww13,4,3,3,3,4,3,4,3,2,4,3,3,3,3,3,4,3,3,3,3,4,3,3
42269,3,3,3,3,3,3,3,3,2,3,3,4,4,3,3,3,3,3,3,3,3,2,3
5rrkn,2,3,4,3,2,2,2,3,2,3,2,2,2,3,2,2,2,3,2,3,2,3,2
w67wv,3,3,3,3,3,2,3,2,3,2,2,2,3,2,3,3,2,2,3,3,2,3,3
826k7,3,4,3,2,3,3,3,3,3,3,3,3,3,4,3,2,2,4,4,3,2,3,3
09n3c,3,2,3,3,2,3,4,3,3,2,3,3,4,3,2,3,3,3,2,3,3,3,2
1f584,3,2,3,3,3,2,2,3,3,3,3,3,2,2,2,3,2,2,2,4,2,2,2
r0l6t,2,2,3,3,2,1,3,3,2,3,3,2,2,2,2,3,3,3,2,3,3,2,2
h33f6,3,2,2,3,3,2,4,3,3,4,3,3,3,2,4,4,4,3,3,3,3,3,3
18oj3,3,3,2,3,3,2,3,2,2,3,3,3,2,3,2,2,2,2,2,2,3,3,2
8eeev,3,2,3,3,2,3,4,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,2
5buqw,2,2,2,2,3,3,3,2,2,3,2,3,3,3,2,3,2,2,2,3,3,3,2
h2wo5,3,3,3,3,3,4,4,3,3,4,3,3,4,3,4,3,3,4,3,3,3,4,3
480eb,3,2,3,3,2,3,3,3,2,2,2,2,3,3,3,3,3,3,3,2,2,3,2
t2012,2,3,3,2,3,3,3,3,3,2,3,2,2,3,2,3,3,3,3,3,2,2,4
7yfa1,4,3,3,2,2,2,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
48k38,3,1,3,3,2,2,3,3,2,3,2,3,3,2,2,3,2,3,2,3,3,3,2
g1ils,3,4,4,2,3,2,3,3,4,3,3,3,3,3,3,2,3,3,3,2,2,4,4
565c1,3,2,3,3,3,3,3,3,2,3,3,2,4,2,2,2,3,3,2,3,3,2,2
b391r,2,3,3,1,2,3,3,3,3,3,2,3,3,2,2,2,3,3,4,2,2,3,4
i548j,2,3,3,3,3,2,2,3,3,2,3,3,3,2,3,3,2,3,3,3,3,2,3
3r7n1,2,3,3,2,3,3,2,3,3,3,2,3,4,3,3,3,3,2,3,3,2,3,3
qnu42,2,3,3,3,3,3,2,3,2,2,3,2,3,2,2,3,3,3,2,3,3,3,2
j7115,3,3,3,3,3,3,3,2,3,2,3,3,2,2,3,2,3,3,3,3,2,3,2
e453g,3,3,3,3,3,3,3,3,3,3,2,4,3,3,4,4,3,3,3,3,4,2,2
inuop,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,4,3,2,3,4,3
