id,animal,training,dance
ditw,Cat,Affection,Yes
qbbo,Dog,Affection,Yes
lkgg,Cat,Affection,No
dixy,Cat,Affection,Yes
joaq,Cat,Affection,No
jsxg,Cat,Affection,Yes
tlph,Cat,Affection,No
qaje,Cat,Affection,No
lhab,Cat,Affection,No
yxhf,Cat,Food,Yes
mxym,Dog,Food,Yes
qvte,Dog,Food,No
soeb,Cat,Affection,No
povc,Cat,Affection,No
ayec,Cat,Affection,Yes
bdfu,Cat,Affection,No
ssil,Cat,Food,No
ewpk,Cat,Affection,No
dunx,Dog,Affection,Yes
xxxd,Cat,Food,Yes
kjfk,Cat,Food,Yes
puqa,Dog,Food,No
pvgy,Cat,Food,Yes
sgpu,Cat,Affection,No
msbb,Cat,Affection,No
kjev,Cat,Affection,No
hmbj,Cat,Affection,No
vckr,Cat,Affection,No
psee,Cat,Affection,No
ddbi,Cat,Food,Yes
cclf,Dog,Affection,Yes
qkwc,Dog,Affection,No
hoxf,Dog,Food,No
rtqp,Cat,Affection,Yes
fflm,Cat,Affection,Yes
awqe,Cat,Food,Yes
pqbb,Cat,Affection,Yes
rbqv,Dog,Affection,Yes
yron,Cat,Affection,No
qaxk,Cat,Affection,No
utyq,Cat,Affection,Yes
bwip,Cat,Food,Yes
ainu,Cat,Affection,Yes
msrn,Cat,Affection,No
gvqi,Cat,Affection,No
lkyq,Cat,Affection,No
jkoh,Cat,Affection,Yes
dkja,Cat,Affection,Yes
ubye,Cat,Affection,Yes
cvly,Cat,Affection,No
tmst,Cat,Affection,No
qiar,Dog,Affection,Yes
ohky,Cat,Affection,Yes
vrkt,Cat,Affection,No
yklq,Cat,Affection,Yes
eyxr,Cat,Affection,Yes
lbwg,Cat,Food,Yes
itgn,Cat,Affection,No
eavc,Cat,Affection,Yes
nkco,Cat,Affection,No
qese,Cat,Affection,No
gffr,Dog,Affection,Yes
ocpo,Cat,Affection,No
joxp,Dog,Food,No
yfgo,Dog,Affection,Yes
chew,Cat,Affection,Yes
bxqp,Cat,Affection,No
iasg,Cat,Food,No
bgfn,Dog,Affection,Yes
julv,Dog,Food,Yes
xegq,Dog,Food,No
lead,Dog,Affection,Yes
hbwm,Cat,Affection,Yes
qqyd,Cat,Food,Yes
mggj,Dog,Affection,Yes
gehr,Cat,Affection,No
vffu,Dog,Affection,No
qiij,Dog,Affection,Yes
xwop,Dog,Food,No
foae,Cat,Affection,No
uesq,Cat,Affection,No
hdup,Cat,Affection,Yes
tuei,Cat,Affection,No
qkcg,Cat,Affection,No
eesc,Dog,Affection,Yes
nyxs,Cat,Affection,No
wyqc,Dog,Food,No
bhdw,Dog,Affection,No
seqt,Dog,Food,No
aoas,Cat,Affection,No
qkor,Cat,Food,Yes
ribm,Cat,Food,Yes
lpbl,Cat,Affection,No
yfej,Cat,Food,Yes
ldtf,Cat,Affection,No
griq,Cat,Food,Yes
ruvl,Dog,Food,Yes
tnml,Cat,Affection,No
raei,Cat,Affection,No
lpha,Cat,Affection,Yes
vnsv,Dog,Food,No
ykkr,Cat,Food,No
lsat,Dog,Food,Yes
ojda,Cat,Affection,Yes
rrck,Cat,Food,Yes
cypj,Cat,Affection,No
kmgn,Cat,Food,Yes
mdjv,Cat,Affection,Yes
thcr,Cat,Affection,Yes
ipbr,Cat,Affection,No
gsqg,Cat,Food,Yes
awcu,Cat,Affection,No
gubv,Cat,Affection,No
oeod,Cat,Food,Yes
yfne,Dog,Affection,Yes
ikhq,Cat,Affection,No
kumi,Dog,Affection,No
tswm,Cat,Food,No
mrjy,Dog,Food,Yes
lkop,Cat,Affection,No
oohp,Dog,Affection,Yes
lacm,Cat,Food,Yes
xwpk,Cat,Affection,No
cvsk,Cat,Affection,No
