id,strategy,attractiveness,charisma,rating
rw21e,Normal,Ugly,Some charisma,53
ed51y,Normal,Ugly,Some charisma,58
wn86h,Normal,Ugly,Some charisma,43
vv09l,Normal,Ugly,Some charisma,47
lh16n,Normal,Ugly,Some charisma,47
qg19w,Normal,Ugly,Some charisma,51
rt58g,Normal,Ugly,Some charisma,53
yw31p,Normal,Ugly,Some charisma,46
ip58d,Hard to get,Attractive,Dullard,97
mx86n,Hard to get,Attractive,Dullard,86
wv72f,Hard to get,Attractive,Dullard,90
tn34w,Hard to get,Attractive,Dullard,87
tb10h,Hard to get,Attractive,Dullard,82
re43s,Hard to get,Attractive,Dullard,92
ef58l,Hard to get,Attractive,Dullard,86
zp27w,Hard to get,Attractive,Dullard,84
mg12a,Hard to get,Attractive,Dullard,78
lb22y,Hard to get,Attractive,Dullard,91
js12s,Normal,Attractive,Dullard,55
yc56g,Normal,Attractive,Dullard,50
rw21e,Normal,Attractive,Dullard,51
ed51y,Normal,Attractive,Dullard,52
wn86h,Normal,Attractive,Dullard,58
vv09l,Normal,Attractive,Dullard,51
lh16n,Normal,Attractive,Dullard,50
qg19w,Normal,Attractive,Dullard,45
rt58g,Normal,Attractive,Dullard,54
yw31p,Normal,Attractive,Dullard,52
ip58d,Hard to get,Average,Dullard,48
mx86n,Hard to get,Average,Dullard,50
wv72f,Hard to get,Average,Dullard,45
tn34w,Hard to get,Average,Dullard,47
tb10h,Hard to get,Average,Dullard,50
re43s,Hard to get,Average,Dullard,48
ef58l,Hard to get,Average,Dullard,50
zp27w,Hard to get,Average,Dullard,54
mg12a,Hard to get,Average,Dullard,38
lb22y,Hard to get,Average,Dullard,48
js12s,Normal,Average,Dullard,48
yc56g,Normal,Average,Dullard,44
rw21e,Normal,Average,Dullard,48
ed51y,Normal,Average,Dullard,48
wn86h,Normal,Average,Dullard,50
vv09l,Normal,Average,Dullard,47
lh16n,Normal,Average,Dullard,45
qg19w,Normal,Average,Dullard,48
rt58g,Normal,Average,Dullard,53
yw31p,Normal,Average,Dullard,39
ip58d,Hard to get,Ugly,Dullard,47
mx86n,Hard to get,Ugly,Dullard,46
wv72f,Hard to get,Ugly,Dullard,48
tn34w,Hard to get,Ugly,Dullard,53
tb10h,Hard to get,Ugly,Dullard,45
re43s,Hard to get,Ugly,Dullard,43
ef58l,Hard to get,Ugly,Dullard,45
zp27w,Hard to get,Ugly,Dullard,47
mg12a,Hard to get,Ugly,Dullard,45
lb22y,Hard to get,Ugly,Dullard,39
js12s,Normal,Ugly,Dullard,52
yc56g,Normal,Ugly,Dullard,45
rw21e,Normal,Ugly,Dullard,44
ed51y,Normal,Ugly,Dullard,47
wn86h,Normal,Ugly,Dullard,48
vv09l,Normal,Ugly,Dullard,40
lh16n,Normal,Ugly,Dullard,47
qg19w,Normal,Ugly,Dullard,46
rt58g,Normal,Ugly,Dullard,45
yw31p,Normal,Ugly,Dullard,47
