id,org_01,org_02,org_03,org_04,org_05,org_06,org_07,org_08,org_09,org_10,org_11,org_12,org_13,org_14,org_15,org_16,org_17,org_18,org_19,org_20,org_21,org_22,org_23,org_24,org_25,org_26,org_27,org_28
41,1,1,6,1,1,2,1,1,1,1,2,3,2,1,1,1,1,1,7,2,1,1,1,6,6,7,3,1
42,4,5,4,4,3,6,4,4,4,4,4,3,4,4,2,4,4,4,4,5,4,5,4,4,4,4,4,4
43,3,4,5,5,2,4,5,4,4,3,5,4,5,4,6,5,4,5,6,6,6,4,4,4,4,5,5,2
44,4,4,5,4,4,3,5,5,4,4,5,5,5,5,4,4,5,3,5,5,5,5,4,5,5,5,4,3
45,5,7,5,5,3,7,5,7,7,7,5,4,6,7,5,7,7,5,6,7,6,7,6,5,6,7,3,4
46,5,6,5,6,6,4,6,4,5,4,3,2,5,7,5,3,5,6,5,5,NA,3,5,5,6,4,4,5
48,4,3,6,5,3,6,6,7,5,4,6,4,7,6,4,6,6,3,4,6,6,5,3,5,4,6,5,4
49,5,6,6,6,4,6,5,6,6,2,6,2,6,6,6,5,6,3,6,6,6,6,3,6,6,6,6,5
51,7,7,5,6,5,7,5,7,7,7,4,1,7,7,7,7,7,7,6,7,7,7,4,6,6,6,4,6
52,5,6,6,4,3,6,6,6,6,7,4,4,7,6,6,6,7,4,4,6,6,6,5,2,5,6,4,4
53,4,6,3,6,4,6,6,6,6,5,2,3,6,5,5,6,6,5,3,5,5,5,5,4,7,6,2,6
54,4,5,4,3,2,5,5,6,3,4,4,6,6,2,5,2,5,2,4,5,6,3,3,4,5,4,4,5
55,4,5,5,5,4,4,5,5,5,3,5,3,4,5,5,4,5,3,6,6,5,5,3,3,5,5,4,3
57,4,4,5,6,4,4,5,4,5,4,5,4,4,7,4,2,6,4,6,6,4,6,4,6,6,6,4,6
61,6,6,5,7,4,5,7,6,6,4,1,4,6,5,7,5,7,6,3,6,6,6,4,6,5,3,3,3
63,7,7,7,7,6,7,6,6,7,7,6,4,7,7,6,6,7,4,4,6,7,7,6,6,6,6,4,6
66,3,4,5,4,3,6,5,4,3,4,4,5,3,3,2,4,3,3,5,5,4,4,3,3,3,4,4,4
67,6,5,6,6,4,4,5,6,6,4,5,3,6,6,5,5,6,3,4,6,6,6,4,5,6,4,4,4
68,5,6,5,6,4,7,4,4,5,4,3,6,6,4,5,3,6,6,4,6,6,5,7,6,4,4,4,4
69,5,4,5,4,4,4,4,5,5,4,5,4,7,5,5,7,6,5,4,5,5,5,4,5,4,5,4,4
70,5,4,4,2,2,5,5,5,6,4,2,3,5,5,3,5,5,5,2,3,5,5,2,4,3,4,3,3
71,5,7,3,2,2,7,1,4,6,2,1,3,5,2,2,3,4,5,3,3,2,3,5,2,1,3,1,6
72,2,NA,4,3,2,6,5,4,3,1,3,2,5,2,4,1,4,1,7,7,3,2,1,2,2,3,3,1
73,5,5,5,4,3,4,4,4,5,5,4,4,5,3,4,4,4,4,4,4,4,4,4,4,5,5,3,3
74,5,6,5,6,4,5,5,5,5,3,6,6,6,6,6,5,6,4,6,5,6,5,4,5,5,5,5,4
76,6,5,5,5,4,7,5,5,6,4,2,3,6,6,4,4,5,3,5,4,5,6,5,5,4,4,3,6
78,7,6,6,7,1,6,5,6,7,6,5,4,7,2,6,2,3,5,6,6,6,6,2,6,5,5,6,5
79,6,5,6,4,2,7,4,6,5,6,3,2,7,4,7,4,7,4,5,4,6,7,1,5,4,4,1,4
81,4,5,5,4,4,5,4,5,4,4,4,5,3,3,3,3,4,5,4,5,3,4,5,2,5,4,4,4
82,7,7,7,3,1,7,7,7,7,4,7,1,7,5,7,6,7,1,5,5,7,7,1,5,6,7,5,1
83,1,3,2,3,1,3,4,4,1,7,1,1,2,1,1,1,1,1,7,4,3,1,1,1,4,4,2,2
84,4,6,5,4,4,3,6,6,5,3,5,6,5,6,3,6,6,4,6,3,6,6,4,5,5,6,5,4
85,5,4,6,6,3,5,6,6,5,4,3,3,5,5,4,5,6,4,6,5,5,5,5,4,6,6,6,5
86,3,3,6,4,3,5,3,4,5,3,3,3,5,3,3,3,5,3,3,3,5,4,3,5,5,3,4,4
89,5,7,4,4,7,6,5,5,6,5,4,5,6,3,6,2,4,NA,3,6,6,3,6,5,5,5,5,5
92,5,5,3,4,4,4,5,6,5,5,3,4,5,7,4,7,6,4,4,4,5,6,4,4,5,5,3,5
94,5,5,6,5,4,6,6,7,7,5,6,3,7,6,6,7,7,6,6,5,5,7,4,6,6,6,6,6
95,5,4,3,5,4,5,5,4,5,3,3,5,4,3,5,4,4,3,5,6,6,4,3,4,5,4,3,5
96,6,6,4,5,4,7,5,7,6,5,6,4,6,6,7,6,7,6,5,5,6,6,4,6,5,2,4,3
97,6,6,6,6,5,6,5,6,6,4,2,5,6,5,1,1,6,5,7,5,6,6,6,5,6,6,6,2
98,6,6,6,5,3,7,3,4,3,4,4,6,3,6,6,4,6,4,4,4,4,6,2,5,4,4,4,3
99,4,4,5,5,2,7,4,3,5,6,2,5,6,2,5,2,4,5,4,4,5,4,2,5,3,7,2,2
100,4,4,5,4,3,4,5,6,5,6,5,3,5,5,5,5,5,5,3,4,5,5,5,4,4,5,4,5
107,5,5,4,5,5,7,4,4,5,6,4,5,3,5,5,2,5,6,3,4,6,5,3,5,2,3,3,6
108,6,4,4,5,4,5,5,5,6,4,4,6,4,4,5,3,4,3,5,4,6,6,3,3,4,5,4,5
109,5,5,4,5,4,5,5,4,6,7,2,6,7,6,5,6,6,6,4,6,6,6,5,5,6,4,3,5
112,5,6,6,6,3,7,6,6,6,7,6,7,6,7,5,3,6,7,3,6,7,7,7,5,5,4,4,4
113,4,5,4,4,3,6,4,3,4,6,1,2,6,3,4,2,4,4,2,3,3,4,3,3,2,2,1,3
114,7,7,7,1,7,7,7,7,7,7,7,1,7,7,7,7,7,3,6,3,7,7,1,1,7,7,7,1
116,7,7,5,6,5,7,5,6,6,7,4,4,6,7,6,7,7,7,4,6,5,7,6,5,4,6,4,6
119,5,6,5,6,4,6,6,6,6,6,6,4,6,6,4,5,6,5,4,4,6,6,4,6,5,4,4,3
120,6,5,6,6,4,3,6,7,6,4,3,6,6,5,6,5,7,4,6,6,6,5,4,5,4,7,4,3
121,5,4,5,6,3,4,6,4,4,2,4,5,4,4,3,4,4,3,5,4,4,4,4,5,5,3,4,4
122,1,6,3,3,2,7,7,2,4,2,2,2,2,1,6,2,3,1,4,4,5,2,6,4,2,2,2,2
123,5,5,5,4,2,7,5,4,6,1,4,6,6,6,7,6,4,1,7,7,6,5,2,6,6,6,4,3
124,6,4,4,4,5,6,5,6,6,4,5,5,6,6,5,5,6,3,4,5,6,6,5,5,5,5,5,5
125,2,3,3,3,3,6,3,2,4,4,3,3,5,5,2,1,4,4,4,3,3,4,4,3,3,2,2,4
126,6,6,6,6,4,7,5,6,7,4,5,5,6,6,6,6,6,4,4,5,6,6,4,6,6,6,5,4
127,6,5,5,4,5,5,5,6,7,6,6,4,7,6,6,6,6,5,5,5,6,6,5,6,5,5,5,2
128,6,7,6,6,4,7,6,6,6,5,6,5,6,6,6,5,6,5,5,6,6,6,5,6,6,6,5,5
129,4,2,6,5,3,7,5,6,5,3,2,4,7,2,1,2,5,3,6,4,3,3,4,5,7,5,4,4
130,4,6,4,5,3,6,5,6,5,6,5,2,5,5,7,6,7,5,3,6,6,7,3,3,3,5,4,4
131,6,4,5,6,5,4,4,6,7,4,4,5,6,4,6,6,6,4,4,5,4,7,5,5,4,5,4,6
132,6,5,6,6,4,5,4,6,6,3,6,4,6,6,7,6,6,5,6,3,6,6,4,7,6,6,5,6
133,5,5,4,4,2,5,6,3,4,4,4,6,5,4,4,3,4,3,6,4,5,4,3,5,5,4,5,4
134,1,3,5,2,2,3,5,5,5,3,3,5,5,5,3,5,5,3,5,5,3,5,2,3,5,5,3,1
135,6,5,6,6,3,5,3,6,6,4,3,2,6,5,7,7,6,2,5,3,6,6,3,6,2,4,2,3
139,6,6,6,5,2,4,7,6,6,5,3,5,5,6,6,6,6,5,5,4,6,6,5,4,4,5,5,5
140,6,6,6,6,3,4,5,7,7,7,7,4,7,5,7,7,7,5,4,6,7,7,4,6,7,7,4,7
142,4,5,5,5,2,4,6,6,4,4,5,4,5,5,3,5,6,3,7,6,5,5,4,4,5,5,4,3
143,6,6,5,5,4,7,6,7,7,7,6,2,7,7,7,7,7,7,7,7,7,7,6,7,6,7,6,6
144,5,7,6,5,4,6,5,6,6,4,4,3,6,6,5,4,6,5,4,4,5,5,4,5,5,4,4,3
147,5,3,5,4,4,4,6,5,6,4,4,7,6,4,4,5,5,3,5,5,5,5,4,4,5,5,4,5
148,5,6,5,4,3,5,5,2,5,3,2,3,2,3,2,2,4,2,4,5,4,3,2,5,6,4,4,3
149,4,3,4,4,3,6,4,4,5,5,2,3,4,4,5,2,4,3,3,3,5,4,2,4,3,3,2,3
150,5,5,5,5,2,7,4,6,7,7,4,4,4,2,5,6,6,4,4,6,6,7,4,5,6,4,4,5
158,2,2,5,4,3,3,6,5,3,3,4,1,7,6,4,6,5,2,7,5,7,7,2,4,6,6,4,4
159,6,7,5,5,4,7,5,6,6,5,5,4,6,7,5,6,6,6,5,5,7,7,5,5,5,5,5,5
161,5,3,6,6,2,2,7,7,7,2,7,1,7,2,1,7,7,1,7,6,7,6,3,6,6,7,6,4
165,1,3,2,2,3,3,2,5,5,4,2,3,4,7,3,5,5,4,5,4,3,5,3,3,4,5,3,3
166,6,2,6,6,2,5,7,5,6,1,7,3,6,4,2,3,6,6,5,7,6,6,3,3,7,6,6,6
167,1,6,3,4,3,7,5,2,4,2,1,3,3,3,1,2,3,4,7,4,6,2,4,3,4,5,3,3
168,3,4,NA,5,3,6,6,4,5,4,4,3,5,3,4,3,6,4,3,5,5,6,4,5,3,3,3,4
169,6,5,4,4,4,7,5,5,6,4,1,3,5,6,7,5,7,5,3,3,7,7,3,4,5,5,3,4
170,4,4,5,5,4,6,5,6,4,4,4,5,5,4,4,3,4,4,5,5,4,4,4,5,5,4,4,4
171,5,3,6,1,2,4,5,5,5,5,5,3,6,4,6,2,5,1,5,4,7,4,3,7,3,6,4,3
172,5,5,6,7,3,5,7,5,6,4,4,2,5,6,5,4,6,4,5,5,6,4,4,5,5,6,4,4
173,4,7,5,5,3,7,4,4,5,4,2,3,7,6,6,6,6,5,3,5,6,6,4,5,6,6,3,2
174,4,6,3,4,4,6,4,4,4,3,2,5,4,4,3,3,2,4,6,2,5,4,3,4,6,2,4,3
175,5,5,5,4,5,6,5,5,6,4,4,6,5,5,2,2,6,5,4,6,2,3,5,4,6,4,4,5
176,5,5,6,6,3,6,5,6,6,6,5,2,6,5,6,5,6,4,5,5,5,6,3,5,5,5,5,5
179,5,5,3,6,3,5,6,5,4,3,3,6,5,4,6,5,6,2,6,6,6,4,5,5,1,5,6,5
187,2,3,5,5,3,4,4,4,3,1,3,5,6,4,2,5,5,3,5,4,3,5,1,4,4,4,4,2
189,6,6,5,4,4,6,4,5,6,4,5,5,5,5,5,4,5,5,3,5,4,5,4,5,5,4,4,4
190,6,7,5,6,4,7,5,6,7,7,4,3,6,7,6,6,7,6,2,5,6,7,6,6,5,6,4,5
191,6,5,6,6,4,4,6,6,6,4,5,4,6,4,7,4,7,4,6,6,6,6,4,6,6,6,5,4
192,5,6,6,6,2,6,6,7,6,7,6,2,7,6,6,6,6,3,6,6,6,6,4,6,6,6,6,4
193,4,4,6,5,2,4,6,6,4,7,5,3,6,6,4,6,6,4,5,4,6,6,4,5,6,6,6,5
195,5,6,3,4,4,7,4,6,5,4,2,5,6,7,5,5,6,5,4,4,5,6,5,4,5,4,3,4
196,5,4,5,5,2,6,5,6,6,4,NA,4,6,6,6,2,6,4,4,5,6,6,4,6,5,5,4,4
198,3,2,5,4,3,1,5,5,5,5,5,7,6,7,6,7,5,4,6,7,7,6,2,6,6,6,6,6
200,3,4,6,5,3,4,5,4,4,4,4,3,4,3,3,4,4,3,6,5,5,4,3,4,4,5,4,4
201,6,7,7,7,7,7,6,7,7,7,7,3,7,6,7,5,1,2,2,6,7,7,6,7,6,2,6,6
202,5,5,6,6,2,6,6,6,6,5,7,3,5,6,6,6,6,5,5,5,5,6,3,5,6,5,5,5
203,7,4,7,6,2,4,7,6,5,3,4,6,6,4,7,7,7,4,7,5,7,6,4,7,7,7,2,6
204,6,5,5,5,5,6,5,6,7,7,6,4,6,6,6,6,6,7,6,6,6,6,5,5,6,6,6,6
205,4,6,6,4,2,7,4,4,5,4,2,3,6,5,5,4,5,6,4,5,6,6,2,5,4,2,4,2
206,3,4,2,3,3,3,4,3,4,4,4,4,4,5,4,4,4,3,4,3,3,3,4,4,4,4,4,4
207,6,5,5,5,4,5,5,6,6,5,5,5,6,6,6,6,6,6,5,5,6,6,5,5,5,6,6,5
208,3,4,5,6,3,5,4,5,6,6,4,5,5,5,4,2,5,4,4,5,6,6,4,5,2,6,5,3
209,5,4,6,6,3,5,3,5,6,4,5,2,5,3,6,3,6,5,3,6,6,6,3,6,6,4,4,4
210,5,5,5,6,4,5,6,6,6,7,6,3,6,6,7,7,7,3,3,5,7,7,5,6,6,6,4,5
211,7,6,6,3,6,3,7,7,7,5,2,6,7,7,6,7,7,2,3,5,7,7,6,6,7,7,6,2
212,5,6,5,6,4,7,4,4,6,5,3,4,4,3,7,2,6,1,5,6,6,5,2,6,5,4,4,3
214,2,3,6,5,2,5,6,6,4,3,4,3,6,3,2,2,4,2,6,5,5,4,2,5,6,6,4,2
215,6,5,6,6,6,7,7,7,7,7,7,4,7,6,6,7,7,5,4,6,7,7,4,6,7,7,6,5
216,5,6,5,4,6,6,3,6,6,6,3,6,6,7,6,7,6,6,6,6,6,6,7,6,6,6,6,5
217,6,6,6,6,7,6,6,6,7,6,6,6,6,5,7,3,6,6,2,3,6,6,7,6,4,6,6,6
218,5,6,4,4,2,6,2,5,6,4,4,4,4,6,4,1,6,6,4,4,6,6,2,3,3,2,2,2
219,5,3,6,6,3,4,7,6,6,3,6,6,6,6,6,6,6,2,7,6,6,6,3,6,7,7,6,5
221,2,1,6,4,4,3,5,4,3,7,5,5,6,7,7,7,5,1,6,4,7,7,1,7,7,7,1,7
223,5,3,5,4,4,4,5,4,5,3,4,5,4,3,4,3,4,3,5,5,5,4,4,5,5,5,5,5
224,5,6,5,5,3,4,4,5,5,4,4,2,7,3,6,4,5,4,4,6,7,6,2,6,6,4,2,4
227,3,6,6,5,2,7,6,5,5,3,2,3,7,2,1,1,7,1,5,7,3,6,2,5,4,2,3,1
228,4,5,7,5,2,7,5,4,6,6,7,4,5,6,6,6,7,5,6,3,4,5,1,4,7,4,2,4
229,6,6,3,3,5,5,2,3,5,3,4,3,5,5,3,3,6,3,2,2,3,5,5,3,2,2,2,5
230,3,6,3,3,5,5,4,3,6,4,2,3,2,4,3,3,5,3,4,3,3,4,5,2,4,3,2,5
231,3,4,4,6,4,4,5,5,4,5,4,4,4,4,2,4,4,3,6,6,5,4,2,5,6,6,4,4
232,5,5,4,3,4,4,4,5,4,4,4,7,4,6,6,5,5,5,4,4,5,5,4,4,5,5,4,4
233,5,5,3,3,4,5,4,6,5,7,3,4,7,7,5,7,7,4,4,4,5,7,1,1,4,4,3,4
234,4,6,4,6,3,5,6,4,4,5,3,3,6,6,4,4,5,4,3,5,6,5,2,5,4,3,3,4
240,6,5,3,4,4,5,4,5,7,4,4,6,6,5,4,5,6,7,6,5,6,6,4,4,6,3,3,1
241,1,1,4,4,4,6,5,4,4,4,1,4,4,4,1,1,4,4,3,2,5,4,4,2,4,2,2,2
243,6,5,5,4,4,6,5,5,4,4,4,4,6,6,4,6,4,3,4,5,6,6,3,3,5,6,4,2
244,5,6,6,4,4,6,5,4,7,4,5,4,6,4,7,7,7,4,4,4,7,7,4,5,6,4,4,5
245,3,3,3,3,4,3,4,5,5,3,2,3,4,4,4,3,5,3,5,5,6,6,5,2,3,4,3,3
246,4,4,3,4,2,5,3,4,5,4,2,3,5,5,3,5,5,4,3,4,4,4,4,6,2,3,3,4
247,5,5,4,5,2,7,5,4,5,5,5,7,6,5,4,5,6,4,5,5,4,7,6,4,6,6,4,6
248,4,5,6,6,4,7,5,5,7,4,5,NA,6,5,4,7,6,5,NA,6,6,7,4,6,4,4,7,4
249,6,4,6,4,2,7,5,6,6,7,6,7,7,7,7,6,7,4,6,7,7,7,5,6,7,7,7,4
251,6,6,6,7,6,7,7,7,7,4,7,2,6,6,6,7,7,3,6,7,7,6,6,6,6,7,7,2
252,2,5,4,4,2,6,6,6,5,5,4,5,6,4,3,5,6,4,6,6,5,5,2,3,5,6,4,3
253,7,4,5,7,1,7,7,7,7,4,3,4,6,1,1,4,7,6,7,7,7,7,1,7,7,1,1,1
254,6,6,6,6,4,3,4,6,6,4,4,4,7,4,3,2,6,5,6,6,6,6,4,5,6,6,5,6
258,6,5,5,5,4,6,5,7,5,4,6,4,6,6,5,5,7,5,3,5,6,6,4,4,6,6,5,6
259,2,7,4,2,4,6,4,4,4,4,2,2,2,2,4,2,3,2,6,4,4,4,4,4,6,4,5,6
260,3,5,6,6,3,4,5,6,6,5,4,6,6,6,6,4,6,4,7,6,6,6,2,5,6,6,4,3
263,4,4,5,5,5,4,5,5,5,4,4,4,6,4,5,5,6,4,4,4,5,5,5,4,6,5,4,4
264,5,4,5,5,4,7,4,6,6,6,3,1,6,4,6,6,6,4,7,7,6,5,4,5,5,6,4,4
265,4,4,4,5,2,7,4,5,5,3,4,3,5,5,4,4,6,3,3,5,5,6,2,4,5,3,4,4
266,6,3,6,4,5,4,5,6,6,6,4,3,6,5,7,5,7,5,4,4,7,7,3,7,4,5,4,4
267,4,5,5,4,3,7,6,6,4,6,6,6,2,7,2,4,6,4,5,7,6,4,4,6,7,6,4,4
268,4,2,3,4,4,3,6,4,2,2,2,3,7,7,4,7,4,3,5,7,7,5,2,3,4,5,4,4
269,4,5,5,4,4,5,6,6,6,5,6,3,6,6,6,6,6,3,5,5,6,5,5,5,6,6,6,6
270,6,6,6,6,4,6,6,6,6,4,6,4,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6
271,5,4,5,5,4,5,5,6,5,5,3,5,6,5,6,6,6,4,4,5,5,5,4,4,5,5,4,4
272,6,4,5,5,5,6,5,5,6,4,4,3,6,5,6,3,5,5,6,5,6,5,5,6,4,4,4,6
273,5,4,6,5,2,4,6,6,5,4,2,5,5,5,7,5,6,5,6,6,6,6,4,6,4,5,5,4
274,6,7,3,4,4,7,4,4,7,7,4,4,7,7,4,7,7,4,7,7,4,5,4,4,4,4,4,4
275,7,5,3,4,4,7,3,3,6,5,3,3,3,6,3,6,5,5,4,6,7,6,2,4,4,4,3,2
277,5,4,4,5,2,6,5,4,7,4,2,5,6,7,5,4,6,4,3,6,5,7,1,4,5,6,3,2
279,4,5,3,4,2,6,4,4,2,4,4,3,6,4,4,4,4,3,3,5,4,4,3,4,3,3,4,3
280,3,6,4,5,2,5,6,5,5,4,4,3,4,4,2,6,5,2,6,6,6,5,3,4,6,4,4,5
281,5,6,5,4,1,4,4,3,5,2,3,2,4,2,6,1,5,3,4,6,6,4,3,6,6,6,4,6
282,3,2,5,4,1,5,5,4,3,4,4,3,4,3,6,4,4,2,6,6,6,2,1,5,6,6,3,1
285,5,4,6,5,5,4,5,6,4,4,6,4,6,6,5,6,6,4,6,6,5,6,5,5,6,6,6,4
286,3,3,4,4,4,7,5,7,4,2,3,3,6,7,3,7,7,3,6,4,6,7,4,3,5,7,4,5
287,6,5,6,6,5,4,6,7,7,6,6,1,7,7,7,7,7,6,7,6,6,6,5,6,6,6,6,3
288,6,6,5,6,5,6,5,6,6,5,4,4,6,4,6,5,6,6,5,4,6,6,6,6,4,5,6,6
290,2,4,5,6,1,6,5,6,4,7,4,4,5,5,1,4,6,1,7,7,4,6,2,4,4,6,2,1
291,4,3,5,3,2,4,4,4,6,3,2,3,7,1,2,3,4,4,4,3,4,4,5,3,1,2,2,2
292,6,6,6,7,4,7,6,6,6,4,3,1,6,5,7,3,6,4,1,4,7,7,3,6,3,3,2,4
295,6,4,6,4,4,4,4,6,5,4,6,2,6,5,6,5,6,4,6,4,6,6,4,6,5,5,4,6
296,6,4,7,6,2,6,6,7,7,5,6,3,5,7,7,7,7,4,6,1,7,7,6,6,4,1,4,1
298,5,3,6,4,5,6,5,7,7,5,5,7,7,7,6,7,7,1,7,5,6,6,4,6,6,6,6,6
299,4,2,3,3,1,2,5,4,4,2,2,2,5,6,2,6,4,2,1,4,6,6,3,2,5,6,2,2
301,3,4,6,5,4,6,5,5,5,6,6,5,6,6,6,6,6,4,5,6,6,6,6,6,6,6,5,6
302,7,1,1,7,7,1,6,7,7,7,7,4,6,7,NA,7,7,1,7,7,4,7,6,7,7,7,7,7
305.2,4,6,6,6,4,7,6,6,7,7,4,2,7,7,4,5,7,7,6,7,7,7,5,6,7,7,6,4
307,3,4,4,4,2,5,4,2,4,4,3,2,4,4,3,4,4,3,6,4,5,4,2,4,4,4,3,2
308,4,3,4,4,2,6,5,4,4,3,4,4,6,1,6,6,4,3,6,6,5,4,4,4,5,6,6,5
311,5,6,6,6,5,6,5,7,6,5,6,5,6,5,6,7,5,4,6,5,6,7,5,6,6,6,6,7
314,6,6,6,6,3,5,5,6,5,3,4,4,6,4,3,3,5,4,4,5,3,4,4,3,6,2,4,4
316,7,7,6,6,2,7,6,6,6,4,3,5,6,6,6,6,6,4,5,5,6,7,2,6,3,5,2,5
317,5,5,5,6,4,7,5,6,7,5,4,5,6,7,5,4,7,4,4,4,7,7,4,6,5,7,4,5
319,3,2,5,4,3,4,4,4,4,4,3,6,4,4,6,4,5,2,4,5,4,4,4,4,3,4,3,4
350,4,6,6,5,4,5,6,6,4,4,5,NA,4,5,4,6,5,4,3,5,5,5,4,5,5,6,4,4
352,3,4,6,6,3,4,6,4,4,4,3,4,3,2,4,3,4,4,4,6,6,5,3,6,6,5,4,4
353,2,3,4,4,1,3,5,5,4,5,2,1,5,1,4,3,5,2,7,7,5,1,1,5,4,6,4,3
355,6,7,4,5,2,7,4,7,6,7,4,5,7,7,4,4,6,5,5,4,6,7,1,4,5,4,4,4
356,6,7,5,6,6,7,5,6,7,6,4,4,7,6,6,2,6,7,4,4,5,6,7,6,4,5,4,6
362,4,5,5,5,4,6,4,4,4,4,4,5,5,5,4,4,4,4,4,5,5,5,4,5,5,5,4,3
367,5,5,5,5,4,6,5,6,5,4,3,1,5,2,1,6,6,4,4,3,7,5,3,6,6,3,3,3
368,6,7,7,7,6,7,6,7,7,7,7,4,7,7,7,7,7,6,6,7,6,7,6,7,7,7,6,7
369,7,4,7,7,6,7,6,7,7,7,6,4,7,4,2,7,7,6,6,7,7,7,7,7,6,7,6,7
373,5,4,5,6,4,4,6,7,5,4,7,4,5,6,1,7,7,4,4,6,7,7,4,4,5,7,4,4
374,4,6,5,5,2,5,6,6,4,5,5,3,3,5,2,2,5,2,6,2,6,6,3,5,6,2,6,3
376,6,6,6,4,5,6,6,5,6,5,6,4,6,5,7,4,6,4,5,5,6,6,6,6,6,6,4,6
377,5,5,4,5,2,2,6,5,7,4,3,4,3,3,6,3,4,6,5,4,6,4,4,6,3,5,3,6
380,5,5,4,5,4,7,5,5,4,6,4,3,7,6,5,5,6,4,4,5,5,6,1,6,5,5,4,4
381,6,5,3,7,5,4,6,7,7,3,5,4,7,5,1,6,5,4,6,7,2,5,2,6,7,4,6,4
382,2,3,4,4,3,5,5,4,4,3,3,4,6,3,4,5,4,4,5,4,5,3,2,5,1,4,4,1
383,5,5,3,5,4,5,5,6,5,3,6,3,5,5,6,6,6,3,2,4,6,6,4,4,4,5,4,5
385,4,5,6,5,4,4,6,6,5,4,6,4,6,4,5,4,5,3,6,6,6,4,4,5,6,6,6,6
386,5,3,5,2,4,4,2,3,4,5,2,3,5,1,6,1,4,4,3,3,2,3,1,3,1,2,1,3
389,6,7,6,6,2,5,4,6,6,5,4,1,3,4,7,5,5,6,3,5,6,6,7,5,4,2,4,3
390,6,2,6,5,4,3,6,6,5,4,6,4,6,6,6,4,6,2,6,6,6,6,4,6,6,6,6,5
393,4,5,3,5,2,6,5,6,4,6,4,3,6,5,5,6,6,5,3,3,5,6,3,5,3,4,3,3
395,7,7,6,6,6,4,6,7,7,6,6,6,7,7,7,7,7,7,6,4,6,7,2,6,4,6,5,3
396,7,6,7,7,1,6,6,7,7,7,2,3,7,6,7,6,7,4,6,2,6,7,4,6,2,6,2,3
398,1,4,3,3,3,5,4,3,4,4,2,4,3,4,2,4,4,3,4,3,3,4,3,3,4,4,2,3
