id,tosr_01,tosr_02,tosr_03,tosr_04,tosr_05,tosr_06,tosr_07,tosr_08,tosr_09,tosr_10,tosr_11,tosr_12,tosr_13,tosr_14,tosr_15,tosr_16,tosr_17,tosr_18,tosr_19,tosr_20,tosr_21,tosr_22,tosr_23,tosr_24,tosr_25,tosr_26,tosr_27,tosr_28
440a9,3,4,3,1,3,4,1,2,4,2,4,4,2,2,3,3,1,2,3,3,2,3,3,3,2,3,3,3
a43w1,5,3,4,3,4,2,2,2,4,3,3,5,1,2,5,2,1,3,4,4,4,1,2,1,4,4,1,3
513hr,3,4,5,1,4,3,2,4,4,3,3,5,1,2,3,2,1,3,3,3,3,3,4,4,4,3,3,4
6pnsc,5,3,4,2,4,3,1,4,3,4,3,3,1,3,4,3,2,3,4,4,4,2,3,2,4,4,2,2
24ho5,3,5,3,2,3,2,2,3,5,3,5,4,3,3,4,3,1,3,5,5,2,3,4,3,4,3,2,3
uokfq,4,5,3,2,4,2,2,4,5,4,4,5,3,4,2,3,1,5,5,4,4,3,4,3,3,4,2,2
4713n,3,4,3,1,2,2,3,1,2,3,4,4,1,1,2,2,1,4,5,5,3,1,2,3,3,3,3,2
s58f4,4,5,4,2,4,3,1,2,4,2,2,3,1,1,1,3,1,4,4,5,4,4,3,3,4,4,1,3
ci75m,5,3,4,3,4,2,2,5,5,4,5,5,2,3,5,4,2,4,4,5,3,4,3,4,3,4,2,3
v7sok,2,5,3,3,5,3,2,2,4,3,4,4,2,3,4,4,1,3,4,4,4,2,4,3,3,1,3,5
2121c,3,4,4,1,4,1,2,3,5,3,4,5,5,3,3,4,2,3,5,4,3,5,3,3,3,4,1,3
n5l62,3,4,4,2,3,2,2,3,4,4,1,3,1,1,5,1,1,4,4,5,5,2,3,1,3,3,2,3
gpgv6,3,5,4,1,4,4,2,3,5,2,1,3,1,2,4,2,1,5,3,3,4,2,4,3,2,2,3,5
wuse0,4,3,4,2,1,3,2,3,3,4,3,2,3,4,4,5,3,4,4,4,3,5,3,4,5,4,1,3
ju52d,3,4,5,2,5,2,1,2,4,2,4,4,2,2,4,5,3,4,4,5,5,4,4,3,4,3,2,3
r18n8,4,2,5,3,4,2,3,3,3,4,3,5,2,3,5,4,2,3,3,5,4,3,4,5,5,4,2,5
42t13,5,3,3,3,4,4,2,2,3,3,3,4,4,3,3,4,1,3,5,5,5,2,3,4,2,4,2,3
qn6t3,3,4,3,1,3,3,2,3,3,3,4,2,3,4,2,2,2,3,5,4,3,3,1,3,3,3,2,2
43v5y,4,3,5,4,4,3,3,3,4,4,4,5,2,4,5,5,1,2,4,4,4,4,4,3,5,4,2,3
4pha2,2,2,4,1,4,3,4,4,4,4,3,5,3,4,3,4,2,3,4,5,3,2,3,2,3,3,1,4
787o4,1,3,3,1,3,2,3,4,1,3,4,5,2,2,4,4,1,4,5,5,3,4,2,2,3,4,1,2
8i52d,3,4,4,1,3,1,2,4,3,4,4,5,4,4,4,4,2,5,4,5,4,4,3,3,4,3,1,4
6fk4s,4,5,5,1,3,4,2,4,3,3,3,4,2,3,4,4,3,3,4,3,4,3,4,2,4,2,3,4
3b43i,2,4,4,2,4,2,2,5,3,4,4,4,3,4,3,3,3,3,4,4,3,2,4,2,4,3,2,4
an8fs,4,4,5,2,5,2,2,1,4,3,3,4,2,3,5,3,1,5,3,4,4,4,4,5,5,3,2,3
yiebu,2,4,4,2,3,1,2,3,3,3,3,4,2,3,3,4,1,4,5,5,3,3,3,3,3,4,2,3
olx32,5,4,3,3,3,3,2,4,5,3,5,3,3,4,3,3,3,4,4,4,3,3,4,5,4,3,1,5
rj0h6,3,4,3,3,2,1,1,3,2,3,1,4,4,3,2,3,2,5,5,4,3,3,3,3,2,3,2,4
50dy9,5,4,4,2,4,3,1,2,4,4,3,5,2,5,3,5,2,3,3,3,3,4,4,4,4,1,1,5
tex36,3,3,3,2,4,2,3,4,3,3,4,3,3,3,4,4,3,3,4,4,4,3,4,4,3,4,1,3
u35ji,2,4,3,3,4,4,2,5,4,3,2,4,4,4,3,5,2,3,3,4,2,4,4,4,3,2,2,4
np612,4,3,3,2,1,2,2,1,2,4,3,3,1,1,3,2,1,3,5,5,3,3,1,3,4,3,2,3
c6f1u,3,4,4,2,1,3,1,4,4,4,3,4,3,5,4,3,2,3,5,4,3,4,2,4,4,3,1,2
l3l7o,3,4,3,2,3,1,2,4,3,4,5,3,4,4,3,4,3,5,4,4,2,4,4,4,3,3,2,3
5bkod,4,4,5,4,3,3,2,4,4,4,3,4,4,3,3,4,2,3,4,5,4,4,4,3,5,3,1,4
jp995,3,4,3,2,3,3,2,5,3,3,4,3,2,2,2,4,1,3,4,5,2,4,3,3,4,5,1,3
mxoiq,3,3,5,2,3,2,2,2,3,5,4,3,1,2,4,3,1,4,4,5,5,2,4,4,5,4,1,4
eb76w,4,4,3,4,5,1,4,3,4,5,3,4,3,2,3,3,2,4,4,4,4,3,3,5,5,5,2,4
t4mm0,5,4,2,3,3,3,2,4,4,2,3,3,4,4,3,3,3,3,3,5,2,4,3,3,2,2,1,2
55irq,4,3,4,2,4,3,2,4,3,3,3,3,3,4,4,3,1,3,4,4,4,3,4,3,2,3,1,4
ddusp,3,3,4,1,4,3,1,4,3,3,5,5,1,2,3,3,1,4,4,5,3,3,4,5,4,4,3,4
7gfj5,4,4,4,2,1,2,2,3,2,4,3,3,3,2,1,3,1,4,5,5,2,2,5,3,3,4,1,2
r3314,5,3,5,3,4,2,4,3,5,5,3,5,4,5,4,4,3,4,4,5,5,3,2,4,4,5,3,3
c72r8,3,5,2,1,3,3,1,3,2,2,3,3,2,2,4,2,1,1,4,2,3,3,4,3,1,2,2,4
7yqf5,3,4,4,2,3,1,3,5,3,3,3,3,2,3,4,2,3,4,4,3,2,3,2,4,3,4,2,5
44xae,1,5,5,1,3,3,1,3,3,2,3,5,1,4,3,5,2,2,3,3,2,3,5,3,3,2,2,5
cdw41,4,5,5,2,3,4,2,2,4,4,4,3,3,3,3,3,1,3,3,3,4,4,3,3,3,4,2,3
f2y2y,4,4,5,3,5,2,2,3,2,4,3,5,4,3,4,3,2,3,4,4,3,2,5,4,2,3,3,5
xv47f,5,3,4,4,4,3,1,4,5,4,5,4,2,4,3,5,3,5,5,4,5,3,4,5,5,4,2,4
183u4,2,5,4,2,2,4,3,4,4,3,4,4,3,2,3,3,2,2,4,5,3,4,5,3,4,4,1,4
13vhd,4,4,4,1,2,3,2,2,3,5,2,5,3,3,3,4,1,5,3,3,4,3,4,4,3,4,1,4
qqj4k,3,3,5,5,5,1,1,4,5,4,5,5,2,5,5,4,1,3,4,5,5,5,3,5,5,5,1,3
pa0w0,3,5,5,4,1,2,1,5,5,2,3,3,4,3,4,3,1,2,4,2,4,2,4,4,3,3,2,5
kvt7i,4,4,4,3,5,3,1,4,4,5,2,4,3,3,4,3,1,4,5,4,5,3,5,5,4,4,2,3
iib50,4,3,4,3,4,3,2,4,4,5,4,3,3,5,5,3,2,5,5,4,4,4,3,3,5,4,1,4
k6b1u,3,5,3,3,5,5,2,4,5,2,3,5,4,4,3,5,3,2,3,3,3,5,5,4,1,1,3,4
kx771,2,5,5,1,4,4,1,3,3,2,1,3,1,3,3,4,1,3,3,3,3,4,4,2,2,1,3,3
8xp2k,5,4,5,4,4,2,1,3,5,4,3,4,2,5,5,4,2,3,4,4,4,3,5,5,4,2,2,5
731k5,2,5,3,1,4,4,2,2,2,1,3,5,2,3,4,3,1,2,2,4,4,4,5,2,3,2,2,5
38hc7,4,3,2,4,3,3,2,4,4,3,5,4,2,3,3,3,3,4,4,4,3,4,3,4,3,4,2,3
d25oc,2,5,3,4,4,3,1,4,5,4,3,5,2,5,5,5,2,3,3,4,4,4,4,5,4,4,2,4
81xi8,3,4,4,2,4,3,1,2,5,3,2,4,2,4,4,3,1,3,3,2,4,3,4,4,2,4,2,4
oo475,4,4,3,3,4,5,1,4,4,4,3,3,2,4,3,5,2,3,4,4,4,4,4,3,4,3,3,3
qvhuv,2,4,3,1,5,2,3,4,4,4,3,5,2,4,4,3,3,3,3,5,3,4,4,3,3,3,1,4
r917e,2,3,2,2,5,2,3,3,3,4,4,5,3,2,5,3,2,4,4,5,2,4,4,3,3,4,2,4
3h1ew,4,5,5,3,5,4,1,4,4,3,3,4,3,4,4,4,1,4,4,2,3,5,4,4,4,3,2,4
g31b4,4,4,3,2,4,3,3,5,3,3,4,4,3,4,3,4,3,4,4,4,3,5,4,2,4,4,2,4
lbb23,4,4,4,3,2,2,2,5,3,4,5,3,2,3,3,4,1,4,4,5,4,3,3,3,4,3,3,3
q4ik8,3,4,4,2,3,3,4,3,4,3,4,5,3,4,4,4,2,4,4,4,3,5,3,4,5,4,1,4
l87a2,3,3,4,4,3,1,3,4,4,5,4,5,2,4,4,4,2,4,5,4,5,5,3,3,5,3,1,4
ye2rr,4,3,4,3,3,2,2,3,3,4,4,3,3,3,3,5,1,4,5,5,2,4,4,4,4,4,1,3
y4dvw,3,4,3,1,3,4,1,4,4,3,4,4,4,5,3,5,2,2,5,3,1,5,5,3,3,3,2,3
3x46q,2,2,4,2,3,2,3,3,2,4,4,3,2,2,5,3,1,5,5,5,1,5,2,4,4,5,1,3
v633n,4,3,5,2,3,1,4,3,3,4,5,4,4,4,2,3,1,4,5,5,4,3,2,4,3,5,3,1
4rrpg,4,5,5,4,4,3,1,3,4,4,2,5,3,4,5,3,3,2,2,4,5,4,5,2,2,1,4,5
352ga,2,4,4,2,5,4,3,3,3,3,3,3,2,3,4,4,1,4,4,5,3,4,3,3,4,4,2,4
41h31,5,3,5,4,4,3,1,4,5,3,3,4,4,5,4,2,3,3,4,4,4,4,3,5,4,3,1,3
nf2r6,2,3,4,2,3,2,2,3,2,2,3,4,4,3,2,3,1,1,4,4,3,4,3,4,3,3,2,3
41kaq,4,5,5,2,3,4,1,2,3,3,2,3,3,5,4,5,2,3,2,1,4,2,4,4,1,1,1,5
qs542,2,5,2,2,1,4,2,5,4,2,3,3,2,1,2,2,1,4,4,5,2,4,2,3,3,4,1,2
dggoq,3,4,5,3,5,4,2,4,2,4,4,4,2,3,2,4,1,3,4,5,3,3,3,3,3,3,3,2
b5815,5,4,3,2,4,3,3,5,3,3,3,3,1,4,2,4,2,4,3,4,5,5,4,4,4,5,1,3
6hdj2,3,5,4,2,3,3,1,1,4,4,3,4,2,3,3,4,1,3,4,4,3,3,1,3,3,2,4,5
fy275,1,4,3,2,5,5,2,5,4,3,2,3,4,3,4,5,3,2,5,4,3,4,4,2,3,3,2,4
69jx2,1,5,1,3,5,4,1,3,3,2,1,5,2,4,5,3,1,2,2,3,3,4,5,5,2,2,3,5
g0438,4,3,3,1,3,2,4,5,2,3,5,2,4,3,2,4,1,3,5,5,3,5,4,3,4,5,1,3
h2hfy,4,4,3,1,2,3,2,4,3,4,3,3,2,3,1,2,1,4,4,4,4,2,3,2,1,3,2,3
5qy63,4,5,5,4,5,4,1,5,5,2,3,4,2,5,5,5,3,2,2,2,5,2,5,4,4,2,2,5
vaggv,5,3,5,3,4,1,1,2,2,5,5,3,4,3,5,4,2,5,4,4,5,4,5,5,5,5,1,4
5is5t,4,3,4,2,3,2,1,4,3,3,5,1,2,2,2,4,1,3,5,5,3,4,3,3,4,4,1,4
jbpn8,2,4,4,3,3,4,2,3,4,3,4,4,3,2,4,4,2,3,3,4,3,4,3,2,4,3,1,4
p29kc,4,2,5,2,5,2,3,3,4,4,2,4,2,1,3,2,1,4,4,4,4,3,2,3,4,4,2,3
cuh35,2,5,3,1,3,4,1,5,3,3,3,5,2,3,4,5,1,2,3,4,4,4,4,3,3,2,1,4
c28la,5,3,4,3,2,1,1,4,3,3,2,3,5,5,4,4,1,3,4,3,3,4,3,5,3,2,2,4
47fe9,5,3,5,5,3,2,2,3,5,5,4,5,1,5,5,4,3,3,4,5,5,2,4,4,4,4,1,4
c5nq5,3,4,5,3,3,3,1,5,5,5,4,4,2,3,3,4,3,4,4,3,3,3,3,3,4,5,3,3
6j1v4,5,5,4,3,4,1,2,3,3,4,5,3,2,1,2,2,1,3,5,4,4,3,4,4,5,3,3,4
mg7k5,4,4,5,3,3,2,3,4,3,3,4,3,2,4,5,4,3,5,5,4,3,5,4,3,5,5,1,3
29897,3,3,4,1,3,2,3,4,2,4,5,4,3,3,4,4,1,3,5,5,2,3,3,4,5,3,1,2
57257,4,5,5,2,3,2,2,4,3,5,5,4,4,3,3,3,2,5,5,4,4,5,3,4,4,2,2,2
juyb1,4,2,5,2,2,2,2,5,4,4,4,2,2,2,4,4,1,4,5,5,3,2,2,3,4,5,1,2
4t48c,2,5,5,1,2,5,4,4,4,2,3,4,3,3,4,5,2,3,3,3,2,5,5,3,3,2,1,3
m8uf7,3,5,3,2,5,3,1,3,4,4,2,5,1,4,4,2,2,2,4,2,4,4,3,3,3,3,1,4
j1868,5,3,5,4,4,3,2,4,5,4,4,4,2,5,3,4,1,3,3,4,5,4,5,5,3,3,2,4
241xu,4,3,4,3,4,1,3,4,3,4,3,2,3,4,2,4,1,3,4,5,5,3,3,4,4,4,2,4
v7dh7,4,3,3,2,2,2,3,4,2,3,4,3,2,4,3,5,2,4,5,5,3,5,3,4,3,5,2,3
f7s27,4,5,4,1,3,3,3,3,1,2,3,4,2,2,2,4,1,5,4,5,3,2,3,3,4,3,1,2
t1763,5,4,4,3,4,3,1,2,4,3,4,4,2,5,4,3,2,5,3,3,3,2,4,5,3,2,3,4
u32gv,5,3,5,3,3,3,3,5,3,5,4,3,2,3,5,3,1,5,5,5,4,4,2,4,5,5,1,2
pn1qw,3,5,3,2,5,3,2,5,3,4,3,4,2,3,4,3,1,3,5,3,3,4,4,2,2,3,2,5
w8e6i,4,4,5,3,5,4,1,5,5,3,3,5,2,4,4,4,3,4,4,3,4,3,4,5,5,4,2,3
82vxs,4,2,2,2,5,2,2,5,5,4,4,4,3,5,5,4,5,3,4,2,2,5,4,4,4,4,2,5
mv7vn,3,5,3,3,4,3,2,2,4,2,4,5,2,5,3,4,1,1,3,2,3,3,5,3,2,2,1,5
w6g32,4,3,4,3,4,2,2,4,3,4,4,3,4,3,4,4,3,3,5,4,3,3,2,3,5,4,1,3
m34uu,4,3,2,1,5,3,3,3,4,2,3,4,2,3,3,4,1,4,5,5,2,2,5,3,3,2,1,3
93rns,4,3,4,2,5,2,1,3,5,4,3,3,4,4,4,5,1,3,4,4,4,5,3,3,4,5,1,5
7ky71,3,4,4,3,4,3,3,4,3,3,4,3,4,3,2,3,2,2,4,3,2,3,2,2,3,3,2,3
9gw1t,4,5,3,3,4,3,1,3,4,3,3,3,3,2,3,4,3,4,3,2,3,2,3,4,2,4,2,4
7f4np,3,3,2,2,2,4,1,5,3,2,3,3,1,3,5,4,1,4,3,2,4,2,5,4,3,3,2,3
o2m16,3,5,5,3,4,4,1,1,4,2,2,3,3,4,3,5,3,3,3,3,4,2,5,5,1,2,2,4
6cyg6,4,3,5,3,4,1,2,3,4,5,4,4,1,4,4,4,2,4,5,5,4,3,3,4,4,5,1,3
t17y2,4,3,4,3,4,4,2,5,4,4,3,5,3,5,4,5,2,3,3,4,5,3,3,3,4,3,3,5
bt905,5,4,4,2,3,2,3,4,3,2,4,2,2,3,1,2,1,1,5,4,2,2,3,3,4,3,2,4
s2rck,4,5,4,4,5,2,3,4,5,5,4,4,4,5,4,5,4,3,4,3,3,4,3,3,4,5,1,4
6oy4b,4,3,4,2,4,3,2,4,3,4,3,4,2,3,4,3,2,5,5,4,3,4,4,4,3,5,1,4
j627c,3,3,5,2,2,2,4,4,4,3,4,3,2,2,3,2,1,5,5,4,3,4,3,2,3,4,1,3
2g43v,5,1,4,4,3,1,3,4,4,4,5,3,3,4,4,3,2,5,5,5,4,4,3,4,5,5,1,2
jf98x,5,5,4,3,4,3,2,3,3,5,3,4,1,4,3,4,1,3,4,3,5,3,4,4,4,3,3,4
2hl30,3,5,5,4,4,3,1,4,3,3,3,5,3,4,5,2,2,4,3,3,3,3,4,5,4,3,3,5
8l142,3,5,4,4,4,4,1,1,4,4,4,5,2,4,5,5,1,3,3,4,3,4,5,5,3,3,2,3
1n304,2,5,3,1,2,4,2,2,1,1,3,5,1,1,2,3,1,4,4,4,3,2,3,3,2,2,2,2
cki53,2,4,2,1,3,3,1,3,1,3,2,4,3,1,3,3,1,1,3,3,3,4,3,4,2,3,2,4
r8218,5,4,2,2,3,2,1,4,3,3,3,4,1,2,5,5,1,3,5,5,5,4,3,3,3,4,1,3
m1s96,1,5,5,1,3,3,2,4,5,3,3,5,2,3,2,3,1,2,4,3,5,4,5,3,2,3,1,5
pm7k6,3,5,5,1,4,4,1,3,3,2,1,4,3,4,4,5,1,2,3,2,3,2,5,3,2,2,2,5
8mgcb,4,4,4,3,3,4,1,3,3,4,1,5,3,2,5,5,2,3,4,3,4,5,4,5,3,2,2,3
quk21,5,4,5,1,1,2,4,4,3,3,4,3,1,3,2,4,1,4,5,5,3,4,2,2,5,5,1,1
g68x6,3,5,4,4,3,1,1,2,3,4,4,4,1,3,2,4,1,2,4,3,5,3,4,4,3,3,2,5
b69w6,2,4,5,4,4,2,1,5,5,5,3,4,2,4,2,3,1,3,3,3,3,5,3,3,4,3,1,4
82vkc,3,4,2,3,4,2,2,4,2,4,4,4,4,3,3,4,2,4,5,4,3,4,4,4,4,4,2,3
tu2w1,2,5,4,3,4,4,2,5,3,4,3,4,3,5,5,3,3,3,4,4,3,5,5,4,4,5,1,4
12p67,3,5,3,1,2,3,2,2,1,3,2,4,1,2,4,2,1,2,3,5,4,2,5,3,2,2,3,3
28fg2,4,4,4,2,2,2,2,3,3,3,4,4,2,1,3,1,1,4,4,4,5,2,4,4,2,3,3,3
4ytrb,4,3,5,2,2,1,4,3,5,3,4,5,3,4,3,3,2,3,4,5,4,4,4,4,4,3,1,3
elbqe,2,4,3,2,5,3,2,4,2,2,3,3,4,2,3,2,3,3,4,3,3,3,4,4,3,4,1,3
ys18f,4,5,3,3,3,4,2,2,4,3,2,2,1,4,4,3,1,4,4,2,4,2,5,3,4,2,3,4
bav56,4,5,5,1,4,3,1,3,2,2,2,5,2,3,4,1,1,5,2,3,3,3,5,2,3,2,2,3
tslno,4,2,5,4,4,1,3,4,4,5,5,5,2,5,4,4,4,5,5,5,4,4,3,5,5,5,1,5
9y72v,3,5,5,2,3,4,2,3,3,4,4,4,2,2,2,3,1,4,3,4,3,2,3,3,3,3,2,3
74r6h,4,4,3,3,5,3,2,5,3,3,2,5,1,4,4,5,2,1,4,2,2,4,5,4,3,4,1,4
igr3o,4,4,3,3,4,1,3,4,3,5,5,3,2,3,3,5,3,4,5,5,4,5,2,5,5,4,1,3
32te8,2,4,4,2,3,1,1,2,4,3,3,3,2,3,3,2,1,4,4,3,2,5,3,3,3,3,1,4
3ynf2,3,4,5,1,3,2,2,3,4,2,4,4,3,3,3,3,3,4,3,5,4,4,3,3,4,2,2,4
qr1h8,4,5,4,2,5,2,1,3,3,5,4,3,2,3,2,2,1,5,3,4,3,2,3,3,3,4,1,5
1716t,4,4,4,3,3,3,3,4,4,3,3,4,4,5,3,4,2,3,3,4,4,4,4,3,3,2,2,3
co322,3,3,1,3,2,2,5,5,2,5,3,4,3,1,2,3,1,5,5,5,3,3,1,3,5,5,1,1
1466p,2,5,4,1,3,2,1,3,2,3,3,4,1,2,1,2,1,4,5,5,4,2,1,2,3,2,1,3
7lju2,3,5,4,1,3,3,2,2,2,3,3,4,3,3,3,4,1,3,3,4,3,5,4,1,3,2,2,5
18ure,5,3,4,2,2,2,1,5,4,4,4,4,2,3,2,3,1,4,4,4,3,2,1,3,4,3,3,5
y274e,3,3,5,1,2,3,3,5,3,3,5,4,4,2,2,4,1,3,5,5,3,2,1,3,5,5,1,2
4ypsd,5,4,4,5,4,4,1,5,5,3,3,4,2,4,4,5,1,5,3,3,3,3,3,5,2,2,3,5
orbd1,3,5,5,2,4,5,1,3,4,1,1,5,3,4,3,3,3,2,1,1,3,4,5,3,2,1,1,4
2kn12,4,4,5,2,3,2,3,5,2,4,4,3,2,3,3,4,1,4,5,4,4,4,4,5,4,3,1,2
2mb58,3,5,4,2,3,3,2,3,4,2,2,4,2,5,4,3,1,3,3,2,5,3,2,4,3,3,3,3
x5604,3,3,4,2,3,2,2,3,3,5,3,3,2,4,5,4,3,5,4,4,4,4,5,5,4,5,1,4
4o7e6,4,3,3,3,2,1,4,3,3,4,4,4,3,3,4,3,1,5,5,5,3,2,3,4,3,4,1,2
qpven,4,4,4,2,4,2,3,3,3,3,3,4,4,4,4,4,2,2,3,2,3,3,5,3,2,3,1,5
2x8er,3,5,4,1,4,5,1,4,3,2,2,5,2,3,3,3,1,3,2,1,3,3,5,3,2,1,3,5
3fvm4,3,5,4,3,2,3,2,4,4,3,4,3,2,3,3,3,1,1,3,3,5,5,3,2,4,3,2,4
1gu47,3,4,5,4,4,1,3,5,5,3,3,3,5,3,5,3,1,3,5,4,4,4,4,2,3,4,1,4
4fbcf,4,5,4,1,3,4,1,3,3,2,1,5,2,4,4,3,2,3,3,4,4,4,5,4,2,2,3,4
xglap,4,5,3,1,4,4,1,4,3,4,4,4,3,4,2,3,2,4,4,4,3,3,4,3,4,3,2,2
y76ua,5,4,5,2,4,2,2,4,5,4,4,3,2,4,4,5,3,3,5,4,3,4,3,4,3,3,1,4
v6374,3,3,2,2,3,3,3,3,5,4,5,3,3,4,4,5,1,5,4,4,5,4,3,5,5,5,2,3
2wa40,2,2,3,3,2,1,3,3,3,4,5,3,4,3,4,3,2,4,5,5,4,3,3,4,5,5,1,2
b4644,4,4,4,3,3,3,1,4,5,3,2,5,2,3,5,4,2,3,4,4,4,3,5,3,3,3,2,5
ph2w5,4,2,4,2,4,1,2,4,3,5,5,4,2,2,2,3,1,4,5,5,3,2,3,5,4,5,1,2
eawgx,4,4,4,2,3,3,3,3,5,4,5,2,2,3,3,3,2,4,5,4,3,4,2,3,4,4,2,3
21334,3,4,3,3,3,3,4,3,3,4,5,3,2,4,4,3,2,3,3,4,5,3,2,5,3,5,2,3
n403a,5,5,5,3,4,4,1,4,4,2,4,4,3,4,4,4,2,3,3,2,5,2,3,5,2,3,2,2
j834y,5,3,4,2,3,2,3,3,2,5,4,4,2,2,4,4,2,5,5,4,4,3,2,3,5,4,1,1
1o895,3,4,4,3,3,4,3,4,4,3,4,4,3,4,4,4,3,4,4,3,4,3,5,3,3,4,2,4
5g6ww,3,4,2,2,4,3,1,3,3,3,3,5,4,3,4,3,2,3,3,3,4,3,5,4,2,4,2,2
4f025,4,4,5,2,1,2,3,3,3,3,4,3,2,3,3,3,1,3,4,3,4,3,3,4,3,3,2,4
r422i,4,3,3,3,3,2,2,3,4,4,3,4,3,3,4,4,1,2,4,5,4,2,3,4,3,3,1,3
1f7e5,4,5,3,1,4,4,1,2,4,3,4,5,2,3,3,2,1,4,3,4,3,4,4,3,2,1,2,5
9sb3d,2,4,2,3,1,2,4,3,2,4,4,2,1,3,4,3,1,3,5,5,2,3,3,4,4,3,2,2
1s5p3,2,4,4,2,4,4,3,3,4,3,4,4,2,3,2,4,1,3,4,3,3,5,2,3,3,2,2,5
f38bw,4,4,5,2,3,2,2,3,3,2,4,4,3,3,4,5,1,3,4,5,4,3,5,3,3,4,2,5
wj7y9,3,4,5,3,4,2,2,5,4,4,4,4,3,4,4,4,1,4,5,4,3,4,3,3,3,5,2,4
571n5,2,5,3,2,5,3,1,5,3,3,3,3,3,5,5,5,2,2,3,3,2,4,4,2,3,3,2,5
gh2n3,4,3,3,1,3,2,3,5,2,4,5,4,1,2,2,4,1,3,5,5,2,3,3,3,5,5,1,1
