id,game,time,aggression
r6a68,Angry birds,12 month,4
mv362,Angry birds,Baseline,6
mv362,Angry birds,1 month,6
mv362,Angry birds,6 month,3
mv362,Angry birds,12 month,6
5vfxw,Angry birds,Baseline,5
5vfxw,Angry birds,1 month,4
5vfxw,Angry birds,6 month,3
5vfxw,Angry birds,12 month,3
je736,Angry birds,Baseline,3
je736,Angry birds,1 month,4
je736,Angry birds,6 month,5
je736,Angry birds,12 month,4
n4np4,Angry birds,Baseline,2
n4np4,Angry birds,1 month,0
n4np4,Angry birds,6 month,3
n4np4,Angry birds,12 month,6
70bh3,Angry birds,Baseline,2
70bh3,Angry birds,1 month,5
70bh3,Angry birds,6 month,6
70bh3,Angry birds,12 month,3
82386,Angry birds,Baseline,5
82386,Angry birds,1 month,4
82386,Angry birds,6 month,4
82386,Angry birds,12 month,3
ntcr3,Angry birds,Baseline,4
ntcr3,Angry birds,1 month,4
ntcr3,Angry birds,6 month,2
ntcr3,Angry birds,12 month,2
oy8j4,Angry birds,Baseline,2
oy8j4,Angry birds,1 month,2
oy8j4,Angry birds,6 month,2
oy8j4,Angry birds,12 month,4
47a73,Tetris,Baseline,3
47a73,Tetris,1 month,5
47a73,Tetris,6 month,5
47a73,Tetris,12 month,5
08lea,Tetris,Baseline,3
08lea,Tetris,1 month,3
08lea,Tetris,6 month,5
08lea,Tetris,12 month,5
t8648,Tetris,Baseline,4
t8648,Tetris,1 month,5
t8648,Tetris,6 month,2
t8648,Tetris,12 month,5
nsr26,Tetris,Baseline,4
nsr26,Tetris,1 month,4
nsr26,Tetris,6 month,4
nsr26,Tetris,12 month,4
cn6yt,Tetris,Baseline,2
cn6yt,Tetris,1 month,3
cn6yt,Tetris,6 month,4
cn6yt,Tetris,12 month,4
13ht6,Tetris,Baseline,4
13ht6,Tetris,1 month,2
13ht6,Tetris,6 month,3
13ht6,Tetris,12 month,4
j8b2u,Tetris,Baseline,6
j8b2u,Tetris,1 month,4
j8b2u,Tetris,6 month,3
j8b2u,Tetris,12 month,3
rcdy2,Tetris,Baseline,6
rcdy2,Tetris,1 month,1
rcdy2,Tetris,6 month,5
rcdy2,Tetris,12 month,4
v4d1y,Tetris,Baseline,3
v4d1y,Tetris,1 month,6
v4d1y,Tetris,6 month,3
v4d1y,Tetris,12 month,4
67250,Tetris,Baseline,3
67250,Tetris,1 month,3
67250,Tetris,6 month,4
67250,Tetris,12 month,4
4i45v,Tetris,Baseline,1
4i45v,Tetris,1 month,3
4i45v,Tetris,6 month,5
4i45v,Tetris,12 month,2
p1vw4,Tetris,Baseline,5
p1vw4,Tetris,1 month,4
p1vw4,Tetris,6 month,4
p1vw4,Tetris,12 month,5
mhkx8,Tetris,Baseline,3
mhkx8,Tetris,1 month,3
mhkx8,Tetris,6 month,4
mhkx8,Tetris,12 month,5
49613,Tetris,Baseline,4
49613,Tetris,1 month,6
49613,Tetris,6 month,3
49613,Tetris,12 month,4
h8de7,Tetris,Baseline,5
h8de7,Tetris,1 month,6
h8de7,Tetris,6 month,5
h8de7,Tetris,12 month,6
36uya,Tetris,Baseline,1
36uya,Tetris,1 month,2
36uya,Tetris,6 month,4
36uya,Tetris,12 month,2
1a582,Tetris,Baseline,2
1a582,Tetris,1 month,4
1a582,Tetris,6 month,4
1a582,Tetris,12 month,2
ll374,Tetris,Baseline,5
ll374,Tetris,1 month,2
ll374,Tetris,6 month,7
ll374,Tetris,12 month,6
0bg3h,Tetris,Baseline,2
0bg3h,Tetris,1 month,6
0bg3h,Tetris,6 month,6
0bg3h,Tetris,12 month,4
2re27,Tetris,Baseline,4
2re27,Tetris,1 month,5
2re27,Tetris,6 month,3
2re27,Tetris,12 month,5
9q0m5,Tetris,Baseline,5
9q0m5,Tetris,1 month,3
9q0m5,Tetris,6 month,4
9q0m5,Tetris,12 month,3
25yv9,Tetris,Baseline,3
25yv9,Tetris,1 month,5
25yv9,Tetris,6 month,5
25yv9,Tetris,12 month,3
ku7wp,Tetris,Baseline,4
ku7wp,Tetris,1 month,3
ku7wp,Tetris,6 month,3
ku7wp,Tetris,12 month,4
21101,Tetris,Baseline,7
21101,Tetris,1 month,2
21101,Tetris,6 month,3
21101,Tetris,12 month,5
v6o75,Tetris,Baseline,3
v6o75,Tetris,1 month,4
v6o75,Tetris,6 month,4
v6o75,Tetris,12 month,3
m4y3o,Tetris,Baseline,3
m4y3o,Tetris,1 month,7
m4y3o,Tetris,6 month,3
m4y3o,Tetris,12 month,4
ab686,Tetris,Baseline,3
ab686,Tetris,1 month,5
ab686,Tetris,6 month,5
ab686,Tetris,12 month,2
drbf3,Tetris,Baseline,3
drbf3,Tetris,1 month,7
drbf3,Tetris,6 month,4
drbf3,Tetris,12 month,0
x7vlm,Tetris,Baseline,4
x7vlm,Tetris,1 month,4
x7vlm,Tetris,6 month,5
x7vlm,Tetris,12 month,5
32058,Tetris,Baseline,5
32058,Tetris,1 month,3
32058,Tetris,6 month,3
32058,Tetris,12 month,4
2ak0u,Tetris,Baseline,3
2ak0u,Tetris,1 month,2
2ak0u,Tetris,6 month,4
2ak0u,Tetris,12 month,5
ijap6,Tetris,Baseline,5
ijap6,Tetris,1 month,3
ijap6,Tetris,6 month,4
ijap6,Tetris,12 month,4
rj5sa,Tetris,Baseline,4
rj5sa,Tetris,1 month,5
rj5sa,Tetris,6 month,3
rj5sa,Tetris,12 month,4
vpo42,Tetris,Baseline,6
vpo42,Tetris,1 month,6
vpo42,Tetris,6 month,4
vpo42,Tetris,12 month,4
qt768,Tetris,Baseline,4
qt768,Tetris,1 month,6
qt768,Tetris,6 month,4
qt768,Tetris,12 month,7
to6nw,Tetris,Baseline,5
to6nw,Tetris,1 month,5
to6nw,Tetris,6 month,5
to6nw,Tetris,12 month,5
gxsrq,Tetris,Baseline,5
gxsrq,Tetris,1 month,5
gxsrq,Tetris,6 month,5
gxsrq,Tetris,12 month,2
lxno6,Tetris,Baseline,6
lxno6,Tetris,1 month,2
lxno6,Tetris,6 month,3
lxno6,Tetris,12 month,5
i992b,Tetris,Baseline,6
i992b,Tetris,1 month,4
i992b,Tetris,6 month,5
i992b,Tetris,12 month,4
8or92,Tetris,Baseline,4
8or92,Tetris,1 month,5
8or92,Tetris,6 month,1
8or92,Tetris,12 month,4
84316,Tetris,Baseline,2
84316,Tetris,1 month,4
84316,Tetris,6 month,4
84316,Tetris,12 month,5
7p15l,Tetris,Baseline,5
7p15l,Tetris,1 month,2
7p15l,Tetris,6 month,4
7p15l,Tetris,12 month,5
dbeef,Tetris,Baseline,5
dbeef,Tetris,1 month,4
dbeef,Tetris,6 month,5
dbeef,Tetris,12 month,0
d2426,Tetris,Baseline,2
d2426,Tetris,1 month,4
d2426,Tetris,6 month,2
d2426,Tetris,12 month,4
1563t,Tetris,Baseline,3
1563t,Tetris,1 month,6
1563t,Tetris,6 month,3
1563t,Tetris,12 month,5
8nt1g,Tetris,Baseline,3
8nt1g,Tetris,1 month,4
8nt1g,Tetris,6 month,5
8nt1g,Tetris,12 month,5
7a5es,Tetris,Baseline,4
7a5es,Tetris,1 month,0
7a5es,Tetris,6 month,2
7a5es,Tetris,12 month,4
5pmp1,Tetris,Baseline,3
5pmp1,Tetris,1 month,3
5pmp1,Tetris,6 month,4
5pmp1,Tetris,12 month,4
7531u,Tetris,Baseline,4
7531u,Tetris,1 month,3
7531u,Tetris,6 month,4
7531u,Tetris,12 month,4
u34t8,Tetris,Baseline,4
u34t8,Tetris,1 month,5
u34t8,Tetris,6 month,6
u34t8,Tetris,12 month,3
om7g6,Tetris,Baseline,3
om7g6,Tetris,1 month,4
om7g6,Tetris,6 month,6
om7g6,Tetris,12 month,5
32374,Tetris,Baseline,5
32374,Tetris,1 month,5
32374,Tetris,6 month,4
32374,Tetris,12 month,3
aob7v,Tetris,Baseline,4
aob7v,Tetris,1 month,1
aob7v,Tetris,6 month,3
aob7v,Tetris,12 month,5
042y3,Tetris,Baseline,0
042y3,Tetris,1 month,2
042y3,Tetris,6 month,4
042y3,Tetris,12 month,5
2167p,Tetris,Baseline,4
2167p,Tetris,1 month,5
2167p,Tetris,6 month,7
2167p,Tetris,12 month,3
sar6s,Tetris,Baseline,3
sar6s,Tetris,1 month,3
sar6s,Tetris,6 month,3
sar6s,Tetris,12 month,5
24tab,Tetris,Baseline,7
24tab,Tetris,1 month,6
24tab,Tetris,6 month,6
24tab,Tetris,12 month,4
f6893,Tetris,Baseline,3
f6893,Tetris,1 month,5
f6893,Tetris,6 month,3
f6893,Tetris,12 month,3
jgg93,Tetris,Baseline,5
jgg93,Tetris,1 month,4
jgg93,Tetris,6 month,6
jgg93,Tetris,12 month,5
e1523,Tetris,Baseline,5
e1523,Tetris,1 month,5
e1523,Tetris,6 month,3
e1523,Tetris,12 month,3
788jt,Tetris,Baseline,4
788jt,Tetris,1 month,4
788jt,Tetris,6 month,8
788jt,Tetris,12 month,3
up832,Tetris,Baseline,5
up832,Tetris,1 month,4
up832,Tetris,6 month,4
up832,Tetris,12 month,3
867fu,Tetris,Baseline,6
867fu,Tetris,1 month,4
867fu,Tetris,6 month,6
867fu,Tetris,12 month,4
