id,relationship,age,distractor_colour,gender,sentence_type,distractor_type,recall
bodw,Without partner,21,Colour,Male,Distractor,Sexual,0
bodw,Without partner,21,Colour,Male,Target,Neutral,3
bodw,Without partner,21,Colour,Male,Target,Emotional,2
bodw,Without partner,21,Colour,Male,Target,Sexual,3
fumy,Without partner,23,White,Male,Distractor,Neutral,0
fumy,Without partner,23,White,Male,Distractor,Emotional,0
fumy,Without partner,23,White,Male,Distractor,Sexual,0
fumy,Without partner,23,White,Male,Target,Neutral,1
fumy,Without partner,23,White,Male,Target,Emotional,1
fumy,Without partner,23,White,Male,Target,Sexual,4
fbnr,Without partner,28,White,Male,Distractor,Neutral,0
fbnr,Without partner,28,White,Male,Distractor,Emotional,0
fbnr,Without partner,28,White,Male,Distractor,Sexual,0
fbnr,Without partner,28,White,Male,Target,Neutral,1
fbnr,Without partner,28,White,Male,Target,Emotional,4
fbnr,Without partner,28,White,Male,Target,Sexual,1
upjn,With partner,20,White,Male,Distractor,Neutral,0
upjn,With partner,20,White,Male,Distractor,Emotional,0
upjn,With partner,20,White,Male,Distractor,Sexual,1
upjn,With partner,20,White,Male,Target,Neutral,0
upjn,With partner,20,White,Male,Target,Emotional,1
upjn,With partner,20,White,Male,Target,Sexual,0
ogaq,With partner,29,Colour,Male,Distractor,Neutral,0
ogaq,With partner,29,Colour,Male,Distractor,Emotional,0
ogaq,With partner,29,Colour,Male,Distractor,Sexual,2
ogaq,With partner,29,Colour,Male,Target,Neutral,1
ogaq,With partner,29,Colour,Male,Target,Emotional,1
ogaq,With partner,29,Colour,Male,Target,Sexual,0
gwxa,With partner,22,White,Male,Distractor,Neutral,0
gwxa,With partner,22,White,Male,Distractor,Emotional,0
gwxa,With partner,22,White,Male,Distractor,Sexual,0
gwxa,With partner,22,White,Male,Target,Neutral,1
gwxa,With partner,22,White,Male,Target,Emotional,3
gwxa,With partner,22,White,Male,Target,Sexual,0
ptuo,With partner,30,White,Male,Distractor,Neutral,1
ptuo,With partner,30,White,Male,Distractor,Emotional,3
ptuo,With partner,30,White,Male,Distractor,Sexual,2
ptuo,With partner,30,White,Male,Target,Neutral,3
ptuo,With partner,30,White,Male,Target,Emotional,4
ptuo,With partner,30,White,Male,Target,Sexual,1
bbaq,With partner,25,White,Male,Distractor,Neutral,0
bbaq,With partner,25,White,Male,Distractor,Emotional,1
bbaq,With partner,25,White,Male,Distractor,Sexual,1
bbaq,With partner,25,White,Male,Target,Neutral,2
bbaq,With partner,25,White,Male,Target,Emotional,5
bbaq,With partner,25,White,Male,Target,Sexual,0
xblm,With partner,26,Colour,Male,Distractor,Neutral,0
xblm,With partner,26,Colour,Male,Distractor,Emotional,1
xblm,With partner,26,Colour,Male,Distractor,Sexual,2
xblm,With partner,26,Colour,Male,Target,Neutral,1
xblm,With partner,26,Colour,Male,Target,Emotional,0
xblm,With partner,26,Colour,Male,Target,Sexual,1
uuiu,With partner,21,Colour,Male,Distractor,Neutral,0
uuiu,With partner,21,Colour,Male,Distractor,Emotional,2
uuiu,With partner,21,Colour,Male,Distractor,Sexual,0
uuiu,With partner,21,Colour,Male,Target,Neutral,1
uuiu,With partner,21,Colour,Male,Target,Emotional,0
uuiu,With partner,21,Colour,Male,Target,Sexual,1
oydu,With partner,26,Colour,Male,Distractor,Neutral,0
oydu,With partner,26,Colour,Male,Distractor,Emotional,0
oydu,With partner,26,Colour,Male,Distractor,Sexual,1
oydu,With partner,26,Colour,Male,Target,Neutral,2
oydu,With partner,26,Colour,Male,Target,Emotional,4
oydu,With partner,26,Colour,Male,Target,Sexual,2
htik,With partner,34,Colour,Male,Distractor,Neutral,1
htik,With partner,34,Colour,Male,Distractor,Emotional,0
htik,With partner,34,Colour,Male,Distractor,Sexual,0
htik,With partner,34,Colour,Male,Target,Neutral,1
htik,With partner,34,Colour,Male,Target,Emotional,3
htik,With partner,34,Colour,Male,Target,Sexual,3
atcb,With partner,21,White,Male,Distractor,Neutral,0
atcb,With partner,21,White,Male,Distractor,Emotional,0
atcb,With partner,21,White,Male,Distractor,Sexual,0
atcb,With partner,21,White,Male,Target,Neutral,0
atcb,With partner,21,White,Male,Target,Emotional,0
atcb,With partner,21,White,Male,Target,Sexual,1
bvhr,With partner,21,White,Male,Distractor,Neutral,1
bvhr,With partner,21,White,Male,Distractor,Emotional,1
bvhr,With partner,21,White,Male,Distractor,Sexual,1
bvhr,With partner,21,White,Male,Target,Neutral,1
bvhr,With partner,21,White,Male,Target,Emotional,3
bvhr,With partner,21,White,Male,Target,Sexual,1
qyaf,With partner,21,White,Male,Distractor,Neutral,0
qyaf,With partner,21,White,Male,Distractor,Emotional,0
qyaf,With partner,21,White,Male,Distractor,Sexual,0
qyaf,With partner,21,White,Male,Target,Neutral,3
qyaf,With partner,21,White,Male,Target,Emotional,4
qyaf,With partner,21,White,Male,Target,Sexual,3
dgnk,With partner,21,White,Male,Distractor,Neutral,0
dgnk,With partner,21,White,Male,Distractor,Emotional,0
dgnk,With partner,21,White,Male,Distractor,Sexual,0
dgnk,With partner,21,White,Male,Target,Neutral,1
dgnk,With partner,21,White,Male,Target,Emotional,0
dgnk,With partner,21,White,Male,Target,Sexual,0
hfxd,With partner,21,Colour,Male,Distractor,Neutral,0
hfxd,With partner,21,Colour,Male,Distractor,Emotional,0
hfxd,With partner,21,Colour,Male,Distractor,Sexual,0
hfxd,With partner,21,Colour,Male,Target,Neutral,2
hfxd,With partner,21,Colour,Male,Target,Emotional,2
hfxd,With partner,21,Colour,Male,Target,Sexual,1
wvti,With partner,28,Colour,Male,Distractor,Neutral,0
wvti,With partner,28,Colour,Male,Distractor,Emotional,2
wvti,With partner,28,Colour,Male,Distractor,Sexual,1
wvti,With partner,28,Colour,Male,Target,Neutral,2
wvti,With partner,28,Colour,Male,Target,Emotional,2
wvti,With partner,28,Colour,Male,Target,Sexual,0
bfmt,With partner,24,Colour,Male,Distractor,Neutral,0
bfmt,With partner,24,Colour,Male,Distractor,Emotional,0
bfmt,With partner,24,Colour,Male,Distractor,Sexual,1
bfmt,With partner,24,Colour,Male,Target,Neutral,1
bfmt,With partner,24,Colour,Male,Target,Emotional,1
bfmt,With partner,24,Colour,Male,Target,Sexual,0
ufnc,With partner,28,White,Male,Distractor,Neutral,0
ufnc,With partner,28,White,Male,Distractor,Emotional,0
ufnc,With partner,28,White,Male,Distractor,Sexual,0
ufnc,With partner,28,White,Male,Target,Neutral,2
ufnc,With partner,28,White,Male,Target,Emotional,2
ufnc,With partner,28,White,Male,Target,Sexual,1
ncah,With partner,19,White,Male,Distractor,Neutral,0
ncah,With partner,19,White,Male,Distractor,Emotional,0
ncah,With partner,19,White,Male,Distractor,Sexual,0
ncah,With partner,19,White,Male,Target,Neutral,1
ncah,With partner,19,White,Male,Target,Emotional,2
ncah,With partner,19,White,Male,Target,Sexual,1
miqk,With partner,22,White,Male,Distractor,Neutral,0
miqk,With partner,22,White,Male,Distractor,Emotional,0
miqk,With partner,22,White,Male,Distractor,Sexual,0
miqk,With partner,22,White,Male,Target,Neutral,2
miqk,With partner,22,White,Male,Target,Emotional,1
miqk,With partner,22,White,Male,Target,Sexual,2
bgmv,With partner,23,White,Male,Distractor,Neutral,0
bgmv,With partner,23,White,Male,Distractor,Emotional,0
bgmv,With partner,23,White,Male,Distractor,Sexual,0
bgmv,With partner,23,White,Male,Target,Neutral,1
bgmv,With partner,23,White,Male,Target,Emotional,4
bgmv,With partner,23,White,Male,Target,Sexual,2
tppp,With partner,26,Colour,Male,Distractor,Neutral,0
tppp,With partner,26,Colour,Male,Distractor,Emotional,0
tppp,With partner,26,Colour,Male,Distractor,Sexual,1
tppp,With partner,26,Colour,Male,Target,Neutral,3
tppp,With partner,26,Colour,Male,Target,Emotional,4
tppp,With partner,26,Colour,Male,Target,Sexual,4
sfft,With partner,20,Colour,Male,Distractor,Neutral,0
sfft,With partner,20,Colour,Male,Distractor,Emotional,3
sfft,With partner,20,Colour,Male,Distractor,Sexual,3
sfft,With partner,20,Colour,Male,Target,Neutral,1
sfft,With partner,20,Colour,Male,Target,Emotional,1
sfft,With partner,20,Colour,Male,Target,Sexual,1
aacg,With partner,28,Colour,Male,Distractor,Neutral,0
aacg,With partner,28,Colour,Male,Distractor,Emotional,1
aacg,With partner,28,Colour,Male,Distractor,Sexual,0
aacg,With partner,28,Colour,Male,Target,Neutral,1
aacg,With partner,28,Colour,Male,Target,Emotional,1
aacg,With partner,28,Colour,Male,Target,Sexual,1
mivq,With partner,29,Colour,Male,Distractor,Neutral,0
mivq,With partner,29,Colour,Male,Distractor,Emotional,0
mivq,With partner,29,Colour,Male,Distractor,Sexual,0
mivq,With partner,29,Colour,Male,Target,Neutral,0
mivq,With partner,29,Colour,Male,Target,Emotional,0
mivq,With partner,29,Colour,Male,Target,Sexual,0
xxov,With partner,29,White,Male,Distractor,Neutral,0
xxov,With partner,29,White,Male,Distractor,Emotional,0
xxov,With partner,29,White,Male,Distractor,Sexual,0
xxov,With partner,29,White,Male,Target,Neutral,3
xxov,With partner,29,White,Male,Target,Emotional,2
xxov,With partner,29,White,Male,Target,Sexual,0
nmtx,With partner,28,Colour,Male,Distractor,Neutral,2
nmtx,With partner,28,Colour,Male,Distractor,Emotional,0
nmtx,With partner,28,Colour,Male,Distractor,Sexual,2
nmtx,With partner,28,Colour,Male,Target,Neutral,4
nmtx,With partner,28,Colour,Male,Target,Emotional,0
nmtx,With partner,28,Colour,Male,Target,Sexual,0
cnfi,Without partner,21,Colour,Female,Distractor,Neutral,0
cnfi,Without partner,21,Colour,Female,Distractor,Emotional,0
cnfi,Without partner,21,Colour,Female,Distractor,Sexual,1
cnfi,Without partner,21,Colour,Female,Target,Neutral,1
cnfi,Without partner,21,Colour,Female,Target,Emotional,2
cnfi,Without partner,21,Colour,Female,Target,Sexual,1
gnqe,Without partner,22,White,Female,Distractor,Neutral,0
gnqe,Without partner,22,White,Female,Distractor,Emotional,0
gnqe,Without partner,22,White,Female,Distractor,Sexual,0
gnqe,Without partner,22,White,Female,Target,Neutral,0
gnqe,Without partner,22,White,Female,Target,Emotional,2
gnqe,Without partner,22,White,Female,Target,Sexual,0
rpmb,Without partner,22,White,Female,Distractor,Neutral,0
rpmb,Without partner,22,White,Female,Distractor,Emotional,0
rpmb,Without partner,22,White,Female,Distractor,Sexual,1
rpmb,Without partner,22,White,Female,Target,Neutral,1
rpmb,Without partner,22,White,Female,Target,Emotional,2
rpmb,Without partner,22,White,Female,Target,Sexual,1
njeu,Without partner,20,Colour,Female,Distractor,Neutral,0
njeu,Without partner,20,Colour,Female,Distractor,Emotional,0
njeu,Without partner,20,Colour,Female,Distractor,Sexual,0
njeu,Without partner,20,Colour,Female,Target,Neutral,1
njeu,Without partner,20,Colour,Female,Target,Emotional,1
njeu,Without partner,20,Colour,Female,Target,Sexual,3
yquo,Without partner,26,Colour,Female,Distractor,Neutral,0
yquo,Without partner,26,Colour,Female,Distractor,Emotional,0
yquo,Without partner,26,Colour,Female,Distractor,Sexual,0
yquo,Without partner,26,Colour,Female,Target,Neutral,2
yquo,Without partner,26,Colour,Female,Target,Emotional,5
yquo,Without partner,26,Colour,Female,Target,Sexual,1
srcc,Without partner,20,Colour,Female,Distractor,Neutral,0
srcc,Without partner,20,Colour,Female,Distractor,Emotional,0
srcc,Without partner,20,Colour,Female,Distractor,Sexual,0
srcc,Without partner,20,Colour,Female,Target,Neutral,2
srcc,Without partner,20,Colour,Female,Target,Emotional,1
srcc,Without partner,20,Colour,Female,Target,Sexual,1
xqkb,Without partner,26,Colour,Female,Distractor,Neutral,0
xqkb,Without partner,26,Colour,Female,Distractor,Emotional,2
xqkb,Without partner,26,Colour,Female,Distractor,Sexual,3
xqkb,Without partner,26,Colour,Female,Target,Neutral,1
xqkb,Without partner,26,Colour,Female,Target,Emotional,0
xqkb,Without partner,26,Colour,Female,Target,Sexual,1
dsnp,Without partner,23,Colour,Female,Distractor,Neutral,0
dsnp,Without partner,23,Colour,Female,Distractor,Emotional,2
dsnp,Without partner,23,Colour,Female,Distractor,Sexual,3
dsnp,Without partner,23,Colour,Female,Target,Neutral,0
dsnp,Without partner,23,Colour,Female,Target,Emotional,4
dsnp,Without partner,23,Colour,Female,Target,Sexual,1
bjvx,Without partner,21,Colour,Female,Distractor,Neutral,0
bjvx,Without partner,21,Colour,Female,Distractor,Emotional,0
bjvx,Without partner,21,Colour,Female,Distractor,Sexual,1
bjvx,Without partner,21,Colour,Female,Target,Neutral,4
bjvx,Without partner,21,Colour,Female,Target,Emotional,1
bjvx,Without partner,21,Colour,Female,Target,Sexual,0
wywo,Without partner,22,White,Female,Distractor,Neutral,0
wywo,Without partner,22,White,Female,Distractor,Emotional,0
wywo,Without partner,22,White,Female,Distractor,Sexual,0
wywo,Without partner,22,White,Female,Target,Neutral,0
wywo,Without partner,22,White,Female,Target,Emotional,2
wywo,Without partner,22,White,Female,Target,Sexual,3
kskj,Without partner,24,White,Female,Distractor,Neutral,0
kskj,Without partner,24,White,Female,Distractor,Emotional,0
kskj,Without partner,24,White,Female,Distractor,Sexual,1
kskj,Without partner,24,White,Female,Target,Neutral,1
kskj,Without partner,24,White,Female,Target,Emotional,2
kskj,Without partner,24,White,Female,Target,Sexual,1
bswt,Without partner,22,White,Female,Distractor,Neutral,0
bswt,Without partner,22,White,Female,Distractor,Emotional,0
bswt,Without partner,22,White,Female,Distractor,Sexual,0
bswt,Without partner,22,White,Female,Target,Neutral,2
bswt,Without partner,22,White,Female,Target,Emotional,3
bswt,Without partner,22,White,Female,Target,Sexual,2
colf,Without partner,21,Colour,Female,Distractor,Neutral,0
colf,Without partner,21,Colour,Female,Distractor,Emotional,0
colf,Without partner,21,Colour,Female,Distractor,Sexual,0
colf,Without partner,21,Colour,Female,Target,Neutral,3
colf,Without partner,21,Colour,Female,Target,Emotional,2
colf,Without partner,21,Colour,Female,Target,Sexual,3
rtrv,Without partner,27,White,Female,Distractor,Neutral,0
rtrv,Without partner,27,White,Female,Distractor,Emotional,0
rtrv,Without partner,27,White,Female,Distractor,Sexual,0
rtrv,Without partner,27,White,Female,Target,Neutral,3
rtrv,Without partner,27,White,Female,Target,Emotional,1
rtrv,Without partner,27,White,Female,Target,Sexual,3
jbkn,With partner,20,Colour,Female,Distractor,Neutral,1
jbkn,With partner,20,Colour,Female,Distractor,Emotional,0
jbkn,With partner,20,Colour,Female,Distractor,Sexual,1
jbkn,With partner,20,Colour,Female,Target,Neutral,2
jbkn,With partner,20,Colour,Female,Target,Emotional,4
jbkn,With partner,20,Colour,Female,Target,Sexual,2
ljfb,With partner,29,Colour,Female,Distractor,Neutral,0
ljfb,With partner,29,Colour,Female,Distractor,Emotional,3
ljfb,With partner,29,Colour,Female,Distractor,Sexual,1
ljfb,With partner,29,Colour,Female,Target,Neutral,2
ljfb,With partner,29,Colour,Female,Target,Emotional,0
ljfb,With partner,29,Colour,Female,Target,Sexual,0
mblp,With partner,22,White,Female,Distractor,Neutral,0
mblp,With partner,22,White,Female,Distractor,Emotional,2
mblp,With partner,22,White,Female,Distractor,Sexual,0
mblp,With partner,22,White,Female,Target,Neutral,2
mblp,With partner,22,White,Female,Target,Emotional,0
mblp,With partner,22,White,Female,Target,Sexual,1
pbax,With partner,22,White,Female,Distractor,Neutral,0
pbax,With partner,22,White,Female,Distractor,Emotional,3
pbax,With partner,22,White,Female,Distractor,Sexual,2
pbax,With partner,22,White,Female,Target,Neutral,4
pbax,With partner,22,White,Female,Target,Emotional,2
pbax,With partner,22,White,Female,Target,Sexual,3
tusy,With partner,19,White,Female,Distractor,Neutral,0
tusy,With partner,19,White,Female,Distractor,Emotional,3
tusy,With partner,19,White,Female,Distractor,Sexual,1
tusy,With partner,19,White,Female,Target,Neutral,1
tusy,With partner,19,White,Female,Target,Emotional,0
tusy,With partner,19,White,Female,Target,Sexual,0
ggca,With partner,33,Colour,Female,Distractor,Neutral,0
ggca,With partner,33,Colour,Female,Distractor,Emotional,0
ggca,With partner,33,Colour,Female,Distractor,Sexual,0
ggca,With partner,33,Colour,Female,Target,Neutral,2
ggca,With partner,33,Colour,Female,Target,Emotional,0
ggca,With partner,33,Colour,Female,Target,Sexual,1
fkcc,With partner,21,Colour,Female,Distractor,Neutral,0
fkcc,With partner,21,Colour,Female,Distractor,Emotional,1
fkcc,With partner,21,Colour,Female,Distractor,Sexual,0
fkcc,With partner,21,Colour,Female,Target,Neutral,2
fkcc,With partner,21,Colour,Female,Target,Emotional,2
fkcc,With partner,21,Colour,Female,Target,Sexual,2
okam,With partner,28,Colour,Female,Distractor,Neutral,0
okam,With partner,28,Colour,Female,Distractor,Emotional,0
okam,With partner,28,Colour,Female,Distractor,Sexual,1
okam,With partner,28,Colour,Female,Target,Neutral,1
okam,With partner,28,Colour,Female,Target,Emotional,0
okam,With partner,28,Colour,Female,Target,Sexual,0
nmjf,With partner,23,White,Female,Distractor,Neutral,0
nmjf,With partner,23,White,Female,Distractor,Emotional,1
nmjf,With partner,23,White,Female,Distractor,Sexual,1
nmjf,With partner,23,White,Female,Target,Neutral,4
nmjf,With partner,23,White,Female,Target,Emotional,0
nmjf,With partner,23,White,Female,Target,Sexual,1
bhaf,With partner,21,White,Female,Distractor,Neutral,0
bhaf,With partner,21,White,Female,Distractor,Emotional,1
bhaf,With partner,21,White,Female,Distractor,Sexual,0
bhaf,With partner,21,White,Female,Target,Neutral,2
bhaf,With partner,21,White,Female,Target,Emotional,1
bhaf,With partner,21,White,Female,Target,Sexual,2
jixv,With partner,23,White,Female,Distractor,Neutral,0
jixv,With partner,23,White,Female,Distractor,Emotional,2
jixv,With partner,23,White,Female,Distractor,Sexual,1
jixv,With partner,23,White,Female,Target,Neutral,1
jixv,With partner,23,White,Female,Target,Emotional,1
jixv,With partner,23,White,Female,Target,Sexual,1
xgig,With partner,20,White,Female,Distractor,Neutral,0
xgig,With partner,20,White,Female,Distractor,Emotional,1
xgig,With partner,20,White,Female,Distractor,Sexual,2
xgig,With partner,20,White,Female,Target,Neutral,4
xgig,With partner,20,White,Female,Target,Emotional,4
xgig,With partner,20,White,Female,Target,Sexual,2
rgvr,With partner,22,White,Female,Distractor,Neutral,0
rgvr,With partner,22,White,Female,Distractor,Emotional,0
rgvr,With partner,22,White,Female,Distractor,Sexual,0
rgvr,With partner,22,White,Female,Target,Neutral,3
rgvr,With partner,22,White,Female,Target,Emotional,1
rgvr,With partner,22,White,Female,Target,Sexual,1
bybh,With partner,25,White,Female,Distractor,Neutral,0
bybh,With partner,25,White,Female,Distractor,Emotional,2
bybh,With partner,25,White,Female,Distractor,Sexual,3
bybh,With partner,25,White,Female,Target,Neutral,2
bybh,With partner,25,White,Female,Target,Emotional,2
bybh,With partner,25,White,Female,Target,Sexual,3
flrn,With partner,23,Colour,Female,Distractor,Neutral,0
flrn,With partner,23,Colour,Female,Distractor,Emotional,3
flrn,With partner,23,Colour,Female,Distractor,Sexual,3
flrn,With partner,23,Colour,Female,Target,Neutral,1
flrn,With partner,23,Colour,Female,Target,Emotional,0
flrn,With partner,23,Colour,Female,Target,Sexual,0
fphm,With partner,23,Colour,Female,Distractor,Neutral,0
fphm,With partner,23,Colour,Female,Distractor,Emotional,2
fphm,With partner,23,Colour,Female,Distractor,Sexual,2
fphm,With partner,23,Colour,Female,Target,Neutral,1
fphm,With partner,23,Colour,Female,Target,Emotional,0
fphm,With partner,23,Colour,Female,Target,Sexual,2
ulcu,With partner,24,White,Female,Distractor,Neutral,0
ulcu,With partner,24,White,Female,Distractor,Emotional,0
ulcu,With partner,24,White,Female,Distractor,Sexual,0
ulcu,With partner,24,White,Female,Target,Neutral,0
ulcu,With partner,24,White,Female,Target,Emotional,2
ulcu,With partner,24,White,Female,Target,Sexual,2
dchn,With partner,25,White,Female,Distractor,Neutral,0
dchn,With partner,25,White,Female,Distractor,Emotional,1
dchn,With partner,25,White,Female,Distractor,Sexual,1
dchn,With partner,25,White,Female,Target,Neutral,0
dchn,With partner,25,White,Female,Target,Emotional,1
dchn,With partner,25,White,Female,Target,Sexual,1
oajv,With partner,22,White,Female,Distractor,Neutral,0
oajv,With partner,22,White,Female,Distractor,Emotional,0
oajv,With partner,22,White,Female,Distractor,Sexual,1
oajv,With partner,22,White,Female,Target,Neutral,1
oajv,With partner,22,White,Female,Target,Emotional,1
oajv,With partner,22,White,Female,Target,Sexual,2
tboi,With partner,28,Colour,Female,Distractor,Neutral,0
tboi,With partner,28,Colour,Female,Distractor,Emotional,1
tboi,With partner,28,Colour,Female,Distractor,Sexual,0
tboi,With partner,28,Colour,Female,Target,Neutral,4
tboi,With partner,28,Colour,Female,Target,Emotional,2
tboi,With partner,28,Colour,Female,Target,Sexual,5
ebqf,With partner,23,Colour,Female,Distractor,Neutral,0
ebqf,With partner,23,Colour,Female,Distractor,Emotional,1
ebqf,With partner,23,Colour,Female,Distractor,Sexual,0
ebqf,With partner,23,Colour,Female,Target,Neutral,1
ebqf,With partner,23,Colour,Female,Target,Emotional,2
ebqf,With partner,23,Colour,Female,Target,Sexual,2
oxjh,With partner,25,Colour,Female,Distractor,Neutral,0
oxjh,With partner,25,Colour,Female,Distractor,Emotional,0
oxjh,With partner,25,Colour,Female,Distractor,Sexual,0
oxjh,With partner,25,Colour,Female,Target,Neutral,1
oxjh,With partner,25,Colour,Female,Target,Emotional,2
oxjh,With partner,25,Colour,Female,Target,Sexual,1
ugek,With partner,22,Colour,Female,Distractor,Neutral,0
ugek,With partner,22,Colour,Female,Distractor,Emotional,1
ugek,With partner,22,Colour,Female,Distractor,Sexual,0
ugek,With partner,22,Colour,Female,Target,Neutral,3
ugek,With partner,22,Colour,Female,Target,Emotional,3
ugek,With partner,22,Colour,Female,Target,Sexual,2
axfm,With partner,27,Colour,Female,Distractor,Neutral,0
axfm,With partner,27,Colour,Female,Distractor,Emotional,3
axfm,With partner,27,Colour,Female,Distractor,Sexual,1
axfm,With partner,27,Colour,Female,Target,Neutral,2
axfm,With partner,27,Colour,Female,Target,Emotional,1
axfm,With partner,27,Colour,Female,Target,Sexual,1
fddd,With partner,21,White,Female,Distractor,Neutral,0
fddd,With partner,21,White,Female,Distractor,Emotional,0
fddd,With partner,21,White,Female,Distractor,Sexual,0
fddd,With partner,21,White,Female,Target,Neutral,1
fddd,With partner,21,White,Female,Target,Emotional,1
fddd,With partner,21,White,Female,Target,Sexual,3
juvb,With partner,21,White,Female,Distractor,Neutral,0
juvb,With partner,21,White,Female,Distractor,Emotional,1
juvb,With partner,21,White,Female,Distractor,Sexual,1
juvb,With partner,21,White,Female,Target,Neutral,2
juvb,With partner,21,White,Female,Target,Emotional,3
juvb,With partner,21,White,Female,Target,Sexual,2
fbwy,With partner,27,Colour,Female,Distractor,Neutral,0
fbwy,With partner,27,Colour,Female,Distractor,Emotional,0
fbwy,With partner,27,Colour,Female,Distractor,Sexual,0
fbwy,With partner,27,Colour,Female,Target,Neutral,2
fbwy,With partner,27,Colour,Female,Target,Emotional,2
fbwy,With partner,27,Colour,Female,Target,Sexual,2
