id,game,time,aggression
3k831,Angry birds,12 month,5
migv4,Angry birds,Baseline,2
migv4,Angry birds,1 month,5
migv4,Angry birds,6 month,5
migv4,Angry birds,12 month,6
5mm8x,Angry birds,Baseline,1
5mm8x,Angry birds,1 month,2
5mm8x,Angry birds,6 month,2
5mm8x,Angry birds,12 month,6
66kih,Angry birds,Baseline,3
66kih,Angry birds,1 month,1
66kih,Angry birds,6 month,3
66kih,Angry birds,12 month,5
7w40f,Angry birds,Baseline,4
7w40f,Angry birds,1 month,3
7w40f,Angry birds,6 month,3
7w40f,Angry birds,12 month,5
84wot,Angry birds,Baseline,2
84wot,Angry birds,1 month,0
84wot,Angry birds,6 month,3
84wot,Angry birds,12 month,9
781to,Angry birds,Baseline,2
781to,Angry birds,1 month,1
781to,Angry birds,6 month,2
781to,Angry birds,12 month,4
c83l9,Angry birds,Baseline,2
c83l9,Angry birds,1 month,4
c83l9,Angry birds,6 month,4
c83l9,Angry birds,12 month,1
4u1x4,Angry birds,Baseline,1
4u1x4,Angry birds,1 month,4
4u1x4,Angry birds,6 month,2
4u1x4,Angry birds,12 month,4
2i77h,Angry birds,Baseline,3
2i77h,Angry birds,1 month,6
2i77h,Angry birds,6 month,4
2i77h,Angry birds,12 month,4
54mk3,Angry birds,Baseline,1
54mk3,Angry birds,1 month,4
54mk3,Angry birds,6 month,3
54mk3,Angry birds,12 month,3
15536,Angry birds,Baseline,0
15536,Angry birds,1 month,2
15536,Angry birds,6 month,0
15536,Angry birds,12 month,4
521mv,Angry birds,Baseline,1
521mv,Angry birds,1 month,4
521mv,Angry birds,6 month,2
521mv,Angry birds,12 month,7
8cuyx,Angry birds,Baseline,3
8cuyx,Angry birds,1 month,2
8cuyx,Angry birds,6 month,4
8cuyx,Angry birds,12 month,1
4frm4,Angry birds,Baseline,2
4frm4,Angry birds,1 month,0
4frm4,Angry birds,6 month,3
4frm4,Angry birds,12 month,4
dh65r,Angry birds,Baseline,3
dh65r,Angry birds,1 month,2
dh65r,Angry birds,6 month,5
dh65r,Angry birds,12 month,4
122h6,Angry birds,Baseline,3
122h6,Angry birds,1 month,4
122h6,Angry birds,6 month,1
122h6,Angry birds,12 month,3
p5801,Angry birds,Baseline,2
p5801,Angry birds,1 month,3
p5801,Angry birds,6 month,6
p5801,Angry birds,12 month,5
0h7cf,Angry birds,Baseline,2
0h7cf,Angry birds,1 month,4
0h7cf,Angry birds,6 month,4
0h7cf,Angry birds,12 month,2
u3spg,Angry birds,Baseline,2
u3spg,Angry birds,1 month,2
u3spg,Angry birds,6 month,1
u3spg,Angry birds,12 month,3
34pnh,Angry birds,Baseline,0
34pnh,Angry birds,1 month,0
34pnh,Angry birds,6 month,1
34pnh,Angry birds,12 month,7
4tw34,Angry birds,Baseline,1
4tw34,Angry birds,1 month,4
4tw34,Angry birds,6 month,1
4tw34,Angry birds,12 month,2
5a26o,Angry birds,Baseline,2
5a26o,Angry birds,1 month,3
5a26o,Angry birds,6 month,2
5a26o,Angry birds,12 month,10
teo31,Angry birds,Baseline,2
teo31,Angry birds,1 month,0
teo31,Angry birds,6 month,7
teo31,Angry birds,12 month,8
38boo,Angry birds,Baseline,0
38boo,Angry birds,1 month,0
38boo,Angry birds,6 month,2
38boo,Angry birds,12 month,3
fd7j3,Tetris,Baseline,1
fd7j3,Tetris,1 month,3
fd7j3,Tetris,6 month,2
fd7j3,Tetris,12 month,2
4s38e,Tetris,Baseline,1
4s38e,Tetris,1 month,2
4s38e,Tetris,6 month,3
4s38e,Tetris,12 month,3
wd0i8,Tetris,Baseline,4
wd0i8,Tetris,1 month,2
wd0i8,Tetris,6 month,2
wd0i8,Tetris,12 month,1
58a2y,Tetris,Baseline,3
58a2y,Tetris,1 month,3
58a2y,Tetris,6 month,0
58a2y,Tetris,12 month,2
1wy82,Tetris,Baseline,4
1wy82,Tetris,1 month,1
1wy82,Tetris,6 month,4
1wy82,Tetris,12 month,3
7he20,Tetris,Baseline,4
7he20,Tetris,1 month,4
7he20,Tetris,6 month,1
7he20,Tetris,12 month,2
u92lx,Tetris,Baseline,4
u92lx,Tetris,1 month,2
u92lx,Tetris,6 month,1
u92lx,Tetris,12 month,2
y5689,Tetris,Baseline,3
y5689,Tetris,1 month,3
y5689,Tetris,6 month,1
y5689,Tetris,12 month,3
py4o3,Tetris,Baseline,3
py4o3,Tetris,1 month,3
py4o3,Tetris,6 month,2
py4o3,Tetris,12 month,1
135n7,Tetris,Baseline,1
135n7,Tetris,1 month,2
135n7,Tetris,6 month,2
135n7,Tetris,12 month,2
5p4rm,Tetris,Baseline,5
5p4rm,Tetris,1 month,0
5p4rm,Tetris,6 month,4
5p4rm,Tetris,12 month,3
myr34,Tetris,Baseline,2
myr34,Tetris,1 month,2
myr34,Tetris,6 month,3
myr34,Tetris,12 month,1
r22ul,Tetris,Baseline,0
r22ul,Tetris,1 month,3
r22ul,Tetris,6 month,4
r22ul,Tetris,12 month,6
875a2,Tetris,Baseline,4
875a2,Tetris,1 month,3
875a2,Tetris,6 month,2
875a2,Tetris,12 month,0
34od9,Tetris,Baseline,2
34od9,Tetris,1 month,4
34od9,Tetris,6 month,2
34od9,Tetris,12 month,2
l8546,Tetris,Baseline,0
l8546,Tetris,1 month,2
l8546,Tetris,6 month,1
l8546,Tetris,12 month,1
m35i3,Tetris,Baseline,4
m35i3,Tetris,1 month,2
m35i3,Tetris,6 month,3
m35i3,Tetris,12 month,4
k6ue4,Tetris,Baseline,2
k6ue4,Tetris,1 month,3
k6ue4,Tetris,6 month,1
k6ue4,Tetris,12 month,2
kw44k,Tetris,Baseline,1
kw44k,Tetris,1 month,4
kw44k,Tetris,6 month,0
kw44k,Tetris,12 month,3
mum1h,Tetris,Baseline,3
mum1h,Tetris,1 month,4
mum1h,Tetris,6 month,2
mum1h,Tetris,12 month,2
qnn4x,Tetris,Baseline,4
qnn4x,Tetris,1 month,2
qnn4x,Tetris,6 month,4
qnn4x,Tetris,12 month,3
7roj5,Tetris,Baseline,4
7roj5,Tetris,1 month,3
7roj5,Tetris,6 month,1
7roj5,Tetris,12 month,2
c2q13,Tetris,Baseline,4
c2q13,Tetris,1 month,5
c2q13,Tetris,6 month,1
c2q13,Tetris,12 month,3
aokgf,Tetris,Baseline,2
aokgf,Tetris,1 month,3
aokgf,Tetris,6 month,1
aokgf,Tetris,12 month,2
r8106,Tetris,Baseline,0
r8106,Tetris,1 month,3
r8106,Tetris,6 month,3
r8106,Tetris,12 month,1
d6efc,Tetris,Baseline,3
d6efc,Tetris,1 month,3
d6efc,Tetris,6 month,3
d6efc,Tetris,12 month,2
nk345,Tetris,Baseline,2
nk345,Tetris,1 month,4
nk345,Tetris,6 month,2
nk345,Tetris,12 month,0
ljm50,Tetris,Baseline,4
ljm50,Tetris,1 month,4
ljm50,Tetris,6 month,2
ljm50,Tetris,12 month,4
6wmhh,Tetris,Baseline,2
6wmhh,Tetris,1 month,1
6wmhh,Tetris,6 month,1
6wmhh,Tetris,12 month,1
1yjml,Tetris,Baseline,3
1yjml,Tetris,1 month,4
1yjml,Tetris,6 month,2
1yjml,Tetris,12 month,5
b113w,Tetris,Baseline,4
b113w,Tetris,1 month,1
b113w,Tetris,6 month,2
b113w,Tetris,12 month,1
v2kxn,Tetris,Baseline,1
v2kxn,Tetris,1 month,1
v2kxn,Tetris,6 month,1
v2kxn,Tetris,12 month,1
eq2c5,Tetris,Baseline,1
eq2c5,Tetris,1 month,0
eq2c5,Tetris,6 month,3
eq2c5,Tetris,12 month,3
0j41i,Tetris,Baseline,4
0j41i,Tetris,1 month,2
0j41i,Tetris,6 month,0
0j41i,Tetris,12 month,3
iq7i7,Tetris,Baseline,5
iq7i7,Tetris,1 month,1
iq7i7,Tetris,6 month,2
iq7i7,Tetris,12 month,2
1jcfp,Tetris,Baseline,3
1jcfp,Tetris,1 month,2
1jcfp,Tetris,6 month,4
1jcfp,Tetris,12 month,2
h314d,Tetris,Baseline,3
h314d,Tetris,1 month,2
h314d,Tetris,6 month,3
h314d,Tetris,12 month,0
liwma,Tetris,Baseline,4
liwma,Tetris,1 month,2
liwma,Tetris,6 month,3
liwma,Tetris,12 month,3
y0r7i,Tetris,Baseline,2
y0r7i,Tetris,1 month,1
y0r7i,Tetris,6 month,3
y0r7i,Tetris,12 month,3
8718o,Tetris,Baseline,2
8718o,Tetris,1 month,1
8718o,Tetris,6 month,4
8718o,Tetris,12 month,3
vsf2d,Tetris,Baseline,3
vsf2d,Tetris,1 month,3
vsf2d,Tetris,6 month,2
vsf2d,Tetris,12 month,2
59h3o,Tetris,Baseline,2
59h3o,Tetris,1 month,1
59h3o,Tetris,6 month,1
59h3o,Tetris,12 month,0
