id,sound,position,recall
xmql,Liked,Position 7,0.5
xmql,Liked,Position 8,0.7
xmql,Disliked,Position 1,0.3
xmql,Disliked,Position 2,0.2
xmql,Disliked,Position 3,0.2
xmql,Disliked,Position 4,0.2
xmql,Disliked,Position 5,0.5
xmql,Disliked,Position 6,0.7
xmql,Disliked,Position 7,0.7
xmql,Disliked,Position 8,0.8
grvb,Quiet,Position 1,0.9
grvb,Quiet,Position 2,0.9
grvb,Quiet,Position 3,0.8
grvb,Quiet,Position 4,0.7
grvb,Quiet,Position 5,0.7
grvb,Quiet,Position 6,0.7
grvb,Quiet,Position 7,0.4
grvb,Quiet,Position 8,0.5
grvb,Liked,Position 1,1.7
grvb,Liked,Position 2,0.7
grvb,Liked,Position 3,0.6
grvb,Liked,Position 4,0.5
grvb,Liked,Position 5,0.3
grvb,Liked,Position 6,0.3
grvb,Liked,Position 7,0.2
grvb,Liked,Position 8,0.9
grvb,Disliked,Position 1,0.9
grvb,Disliked,Position 2,0.6
grvb,Disliked,Position 3,0.5
grvb,Disliked,Position 4,0.6
grvb,Disliked,Position 5,0.2
grvb,Disliked,Position 6,0.3
grvb,Disliked,Position 7,0.4
grvb,Disliked,Position 8,0.3
fpvr,Quiet,Position 1,0.9
fpvr,Quiet,Position 2,0.9
fpvr,Quiet,Position 3,0.7
fpvr,Quiet,Position 4,0.7
fpvr,Quiet,Position 5,0.8
fpvr,Quiet,Position 6,0.7
fpvr,Quiet,Position 7,0.6
fpvr,Quiet,Position 8,0.7
fpvr,Liked,Position 1,0.9
fpvr,Liked,Position 2,1
fpvr,Liked,Position 3,1
fpvr,Liked,Position 4,1
fpvr,Liked,Position 5,0.9
fpvr,Liked,Position 6,0.9
fpvr,Liked,Position 7,0.8
fpvr,Liked,Position 8,0.8
fpvr,Disliked,Position 1,0.9
fpvr,Disliked,Position 2,0.7
fpvr,Disliked,Position 3,0.7
fpvr,Disliked,Position 4,0.7
fpvr,Disliked,Position 5,0.7
fpvr,Disliked,Position 6,0.7
fpvr,Disliked,Position 7,0.9
fpvr,Disliked,Position 8,0.8
jfej,Quiet,Position 1,1
jfej,Quiet,Position 2,1
jfej,Quiet,Position 3,0.9
jfej,Quiet,Position 4,0.7
jfej,Quiet,Position 5,0.4
jfej,Quiet,Position 6,0.5
jfej,Quiet,Position 7,0.3
jfej,Quiet,Position 8,0.2
jfej,Liked,Position 1,0.8
jfej,Liked,Position 2,0.7
jfej,Liked,Position 3,0.5
jfej,Liked,Position 4,0.4
jfej,Liked,Position 5,0.1
jfej,Liked,Position 6,0.1
jfej,Liked,Position 7,0.5
jfej,Liked,Position 8,0.5
jfej,Disliked,Position 1,0.7
jfej,Disliked,Position 2,0.6
jfej,Disliked,Position 3,0.7
jfej,Disliked,Position 4,0.7
jfej,Disliked,Position 5,0.4
jfej,Disliked,Position 6,0.3
jfej,Disliked,Position 7,0.4
jfej,Disliked,Position 8,0.1
shcq,Quiet,Position 1,0.8
shcq,Quiet,Position 2,0.9
shcq,Quiet,Position 3,0.9
shcq,Quiet,Position 4,0.7
shcq,Quiet,Position 5,0.7
shcq,Quiet,Position 6,0.7
shcq,Quiet,Position 7,0.7
shcq,Quiet,Position 8,0.7
shcq,Liked,Position 1,1
shcq,Liked,Position 2,0.8
shcq,Liked,Position 3,0.6
shcq,Liked,Position 4,0.5
shcq,Liked,Position 5,0.6
shcq,Liked,Position 6,0.6
shcq,Liked,Position 7,0.4
shcq,Liked,Position 8,0.3
shcq,Disliked,Position 1,0.9
shcq,Disliked,Position 2,0.9
shcq,Disliked,Position 3,0.5
shcq,Disliked,Position 4,0.6
shcq,Disliked,Position 5,0.6
shcq,Disliked,Position 6,0.6
shcq,Disliked,Position 7,0.5
shcq,Disliked,Position 8,0.4
tebx,Quiet,Position 1,0.8
tebx,Quiet,Position 2,0.6
tebx,Quiet,Position 3,0.6
tebx,Quiet,Position 4,0.5
tebx,Quiet,Position 5,0.3
tebx,Quiet,Position 6,0.5
tebx,Quiet,Position 7,0.3
tebx,Quiet,Position 8,0.5
tebx,Liked,Position 1,0.6
tebx,Liked,Position 2,1.4
tebx,Liked,Position 3,0.5
tebx,Liked,Position 4,0.5
tebx,Liked,Position 5,0.5
tebx,Liked,Position 6,0.4
tebx,Liked,Position 7,0.6
tebx,Liked,Position 8,0.4
tebx,Disliked,Position 1,0.8
tebx,Disliked,Position 2,0.7
tebx,Disliked,Position 3,0.5
tebx,Disliked,Position 4,0.7
tebx,Disliked,Position 5,0.6
tebx,Disliked,Position 6,0.5
tebx,Disliked,Position 7,0.4
tebx,Disliked,Position 8,0.4
nicp,Quiet,Position 1,0.8
nicp,Quiet,Position 2,0.8
nicp,Quiet,Position 3,0.7
nicp,Quiet,Position 4,0.5
nicp,Quiet,Position 5,0.3
nicp,Quiet,Position 6,0.3
nicp,Quiet,Position 7,0.6
nicp,Quiet,Position 8,0.4
nicp,Liked,Position 1,0.9
nicp,Liked,Position 2,0.4
nicp,Liked,Position 3,0.2
nicp,Liked,Position 4,0.2
nicp,Liked,Position 5,0.2
nicp,Liked,Position 6,0.1
nicp,Liked,Position 7,0.2
nicp,Liked,Position 8,0.1
nicp,Disliked,Position 1,1
nicp,Disliked,Position 2,0.4
nicp,Disliked,Position 3,0.5
nicp,Disliked,Position 4,0.2
nicp,Disliked,Position 5,0.3
nicp,Disliked,Position 6,0.2
nicp,Disliked,Position 7,0.2
nicp,Disliked,Position 8,0.1
ioyi,Quiet,Position 1,0.9
ioyi,Quiet,Position 2,0.8
ioyi,Quiet,Position 3,0.6
ioyi,Quiet,Position 4,0.3
ioyi,Quiet,Position 5,0.4
ioyi,Quiet,Position 6,0.5
ioyi,Quiet,Position 7,0.3
ioyi,Quiet,Position 8,0.5
ioyi,Liked,Position 1,1
ioyi,Liked,Position 2,0.8
ioyi,Liked,Position 3,0.5
ioyi,Liked,Position 4,0.4
ioyi,Liked,Position 5,0.4
ioyi,Liked,Position 6,0.1
ioyi,Liked,Position 7,0.5
ioyi,Liked,Position 8,0.6
ioyi,Disliked,Position 1,0.8
ioyi,Disliked,Position 2,0.5
ioyi,Disliked,Position 3,0.7
ioyi,Disliked,Position 4,0.3
ioyi,Disliked,Position 5,0.1
ioyi,Disliked,Position 6,0
ioyi,Disliked,Position 7,0.4
ioyi,Disliked,Position 8,0.6
ufaj,Quiet,Position 1,1
ufaj,Quiet,Position 2,0.9
ufaj,Quiet,Position 3,1
ufaj,Quiet,Position 4,1
ufaj,Quiet,Position 5,0.8
ufaj,Quiet,Position 6,0.6
ufaj,Quiet,Position 7,0.5
ufaj,Quiet,Position 8,0.7
ufaj,Liked,Position 1,0.9
ufaj,Liked,Position 2,0.7
ufaj,Liked,Position 3,0.5
ufaj,Liked,Position 4,0.4
ufaj,Liked,Position 5,0.3
ufaj,Liked,Position 6,0.1
ufaj,Liked,Position 7,0.1
ufaj,Liked,Position 8,0.2
ufaj,Disliked,Position 1,1
ufaj,Disliked,Position 2,0.8
ufaj,Disliked,Position 3,0.8
ufaj,Disliked,Position 4,0.6
ufaj,Disliked,Position 5,0.6
ufaj,Disliked,Position 6,0.6
ufaj,Disliked,Position 7,0.4
ufaj,Disliked,Position 8,0.4
wtuk,Quiet,Position 1,1
wtuk,Quiet,Position 2,0.9
wtuk,Quiet,Position 3,0.7
wtuk,Quiet,Position 4,0.3
wtuk,Quiet,Position 5,0.4
wtuk,Quiet,Position 6,0.3
wtuk,Quiet,Position 7,0.4
wtuk,Quiet,Position 8,0.3
wtuk,Liked,Position 1,0.9
wtuk,Liked,Position 2,0.9
wtuk,Liked,Position 3,0.9
wtuk,Liked,Position 4,0.8
wtuk,Liked,Position 5,0.9
wtuk,Liked,Position 6,0.9
wtuk,Liked,Position 7,0.9
wtuk,Liked,Position 8,0.8
wtuk,Disliked,Position 1,1
wtuk,Disliked,Position 2,1
wtuk,Disliked,Position 3,0.7
wtuk,Disliked,Position 4,0.6
wtuk,Disliked,Position 5,0.9
wtuk,Disliked,Position 6,0.7
wtuk,Disliked,Position 7,0.7
wtuk,Disliked,Position 8,0.8
lrdo,Quiet,Position 1,0.9
lrdo,Quiet,Position 2,0.9
lrdo,Quiet,Position 3,1
lrdo,Quiet,Position 4,0.9
lrdo,Quiet,Position 5,0.9
lrdo,Quiet,Position 6,0.7
lrdo,Quiet,Position 7,0.8
lrdo,Quiet,Position 8,0.7
lrdo,Liked,Position 1,0.9
lrdo,Liked,Position 2,0.9
lrdo,Liked,Position 3,1
lrdo,Liked,Position 4,0.8
lrdo,Liked,Position 5,0.7
lrdo,Liked,Position 6,0.9
lrdo,Liked,Position 7,0.8
lrdo,Liked,Position 8,0.6
lrdo,Disliked,Position 1,1
lrdo,Disliked,Position 2,1
lrdo,Disliked,Position 3,0.8
lrdo,Disliked,Position 4,0.7
lrdo,Disliked,Position 5,0.9
lrdo,Disliked,Position 6,0.8
lrdo,Disliked,Position 7,0.9
lrdo,Disliked,Position 8,0.9
kxbt,Quiet,Position 1,0.8
kxbt,Quiet,Position 2,0.7
kxbt,Quiet,Position 3,0.4
kxbt,Quiet,Position 4,0.5
kxbt,Quiet,Position 5,0.5
kxbt,Quiet,Position 6,0.2
kxbt,Quiet,Position 7,0.3
kxbt,Quiet,Position 8,0.1
kxbt,Liked,Position 1,0.9
kxbt,Liked,Position 2,0.8
kxbt,Liked,Position 3,0.5
kxbt,Liked,Position 4,0.4
kxbt,Liked,Position 5,0.8
kxbt,Liked,Position 6,0.1
kxbt,Liked,Position 7,0.2
kxbt,Liked,Position 8,0.4
kxbt,Disliked,Position 1,1
kxbt,Disliked,Position 2,0.9
kxbt,Disliked,Position 3,0.9
kxbt,Disliked,Position 4,0.9
kxbt,Disliked,Position 5,0.9
kxbt,Disliked,Position 6,0.4
kxbt,Disliked,Position 7,0.2
kxbt,Disliked,Position 8,0.4
bjar,Quiet,Position 1,1
bjar,Quiet,Position 2,0.9
bjar,Quiet,Position 3,0.9
bjar,Quiet,Position 4,0.6
bjar,Quiet,Position 5,0.5
bjar,Quiet,Position 6,0.4
bjar,Quiet,Position 7,0.3
bjar,Quiet,Position 8,0.2
bjar,Liked,Position 1,0.6
bjar,Liked,Position 2,0.5
bjar,Liked,Position 3,0
bjar,Liked,Position 4,0.1
bjar,Liked,Position 5,0.1
bjar,Liked,Position 6,0.2
bjar,Liked,Position 7,0.2
bjar,Liked,Position 8,0.3
bjar,Disliked,Position 1,1
bjar,Disliked,Position 2,0.7
bjar,Disliked,Position 3,0.5
bjar,Disliked,Position 4,0.2
bjar,Disliked,Position 5,0.2
bjar,Disliked,Position 6,0.2
bjar,Disliked,Position 7,0.5
bjar,Disliked,Position 8,0.3
clso,Quiet,Position 1,0.9
clso,Quiet,Position 2,0.8
clso,Quiet,Position 3,0.5
clso,Quiet,Position 4,0.3
clso,Quiet,Position 5,0.2
clso,Quiet,Position 6,0.4
clso,Quiet,Position 7,0.6
clso,Quiet,Position 8,0.5
clso,Liked,Position 1,1.6
clso,Liked,Position 2,0.4
clso,Liked,Position 3,0.2
clso,Liked,Position 4,0.2
clso,Liked,Position 5,0.3
clso,Liked,Position 6,0.3
clso,Liked,Position 7,0.2
clso,Liked,Position 8,0.4
clso,Disliked,Position 1,0.6
clso,Disliked,Position 2,0.4
clso,Disliked,Position 3,0.5
clso,Disliked,Position 4,0.4
clso,Disliked,Position 5,0.4
clso,Disliked,Position 6,0.1
clso,Disliked,Position 7,0.3
clso,Disliked,Position 8,0.3
elwg,Quiet,Position 1,0.9
elwg,Quiet,Position 2,0.8
elwg,Quiet,Position 3,0.8
elwg,Quiet,Position 4,0.7
elwg,Quiet,Position 5,0.8
elwg,Quiet,Position 6,0.7
elwg,Quiet,Position 7,0.7
elwg,Quiet,Position 8,0.6
elwg,Liked,Position 1,0.8
elwg,Liked,Position 2,0.6
elwg,Liked,Position 3,0.3
elwg,Liked,Position 4,0.3
elwg,Liked,Position 5,0.1
elwg,Liked,Position 6,0.5
elwg,Liked,Position 7,0.7
elwg,Liked,Position 8,0.7
elwg,Disliked,Position 1,0.7
elwg,Disliked,Position 2,0.7
elwg,Disliked,Position 3,0.2
elwg,Disliked,Position 4,0.4
elwg,Disliked,Position 5,0.5
elwg,Disliked,Position 6,0.6
elwg,Disliked,Position 7,0.6
elwg,Disliked,Position 8,0.6
pquc,Quiet,Position 1,0.9
pquc,Quiet,Position 2,0.9
pquc,Quiet,Position 3,0.9
pquc,Quiet,Position 4,1
pquc,Quiet,Position 5,0.9
pquc,Quiet,Position 6,0.9
pquc,Quiet,Position 7,0.8
pquc,Quiet,Position 8,0.8
pquc,Liked,Position 1,1
pquc,Liked,Position 2,0.6
pquc,Liked,Position 3,0.7
pquc,Liked,Position 4,0.6
pquc,Liked,Position 5,0.3
pquc,Liked,Position 6,0.3
pquc,Liked,Position 7,0.1
pquc,Liked,Position 8,0.7
pquc,Disliked,Position 1,0.9
pquc,Disliked,Position 2,0.8
pquc,Disliked,Position 3,0.7
pquc,Disliked,Position 4,0.4
pquc,Disliked,Position 5,0
pquc,Disliked,Position 6,0.5
pquc,Disliked,Position 7,0.5
pquc,Disliked,Position 8,0.8
huar,Quiet,Position 1,0.8
huar,Quiet,Position 2,0.8
huar,Quiet,Position 3,0.7
huar,Quiet,Position 4,0.8
huar,Quiet,Position 5,0.6
huar,Quiet,Position 6,0.6
huar,Quiet,Position 7,1
huar,Quiet,Position 8,0.9
huar,Liked,Position 1,0.1
huar,Liked,Position 2,0.1
huar,Liked,Position 3,0.2
huar,Liked,Position 4,0.1
huar,Liked,Position 5,0.2
huar,Liked,Position 6,0.2
huar,Liked,Position 7,0
huar,Liked,Position 8,0.2
huar,Disliked,Position 1,0.7
huar,Disliked,Position 2,0.7
huar,Disliked,Position 3,0.5
huar,Disliked,Position 4,0.6
huar,Disliked,Position 5,0.4
huar,Disliked,Position 6,0.5
huar,Disliked,Position 7,1
huar,Disliked,Position 8,0.9
ialg,Quiet,Position 1,0.6
ialg,Quiet,Position 2,0.3
ialg,Quiet,Position 3,0.4
ialg,Quiet,Position 4,0.3
ialg,Quiet,Position 5,0.3
ialg,Quiet,Position 6,0
ialg,Quiet,Position 7,0
ialg,Quiet,Position 8,0.2
ialg,Liked,Position 1,0.8
ialg,Liked,Position 2,0.5
ialg,Liked,Position 3,0.3
ialg,Liked,Position 4,0.1
ialg,Liked,Position 5,0
ialg,Liked,Position 6,0
ialg,Liked,Position 7,0.1
ialg,Liked,Position 8,0.2
ialg,Disliked,Position 1,1
ialg,Disliked,Position 2,0.5
ialg,Disliked,Position 3,0.2
ialg,Disliked,Position 4,0.1
ialg,Disliked,Position 5,0.2
ialg,Disliked,Position 6,0.1
ialg,Disliked,Position 7,0
ialg,Disliked,Position 8,0.1
kefi,Quiet,Position 1,0.7
kefi,Quiet,Position 2,0.6
kefi,Quiet,Position 3,0.6
kefi,Quiet,Position 4,0.8
kefi,Quiet,Position 5,0.6
kefi,Quiet,Position 6,0.7
kefi,Quiet,Position 7,0.5
kefi,Quiet,Position 8,0.9
kefi,Liked,Position 1,0.8
kefi,Liked,Position 2,0.3
kefi,Liked,Position 3,0.1
kefi,Liked,Position 4,0.4
kefi,Liked,Position 5,0.4
kefi,Liked,Position 6,0.2
kefi,Liked,Position 7,0.3
kefi,Liked,Position 8,0.3
kefi,Disliked,Position 1,1
kefi,Disliked,Position 2,0.7
kefi,Disliked,Position 3,0.5
kefi,Disliked,Position 4,0.7
kefi,Disliked,Position 5,0.6
kefi,Disliked,Position 6,0.3
kefi,Disliked,Position 7,0.3
kefi,Disliked,Position 8,0.2
pqxh,Quiet,Position 1,0.9
pqxh,Quiet,Position 2,0.9
pqxh,Quiet,Position 3,0.7
pqxh,Quiet,Position 4,0.4
pqxh,Quiet,Position 5,0.6
pqxh,Quiet,Position 6,0.4
pqxh,Quiet,Position 7,0.5
pqxh,Quiet,Position 8,0.6
pqxh,Liked,Position 1,1
pqxh,Liked,Position 2,0.9
pqxh,Liked,Position 3,0.3
pqxh,Liked,Position 4,0.3
pqxh,Liked,Position 5,0.4
pqxh,Liked,Position 6,0.2
pqxh,Liked,Position 7,0.2
pqxh,Liked,Position 8,0.6
pqxh,Disliked,Position 1,0.9
pqxh,Disliked,Position 2,0.7
pqxh,Disliked,Position 3,0.6
pqxh,Disliked,Position 4,0.6
pqxh,Disliked,Position 5,0.3
pqxh,Disliked,Position 6,0.5
pqxh,Disliked,Position 7,0.5
pqxh,Disliked,Position 8,0.7
eerc,Quiet,Position 1,0.8
eerc,Quiet,Position 2,0.6
eerc,Quiet,Position 3,0.6
eerc,Quiet,Position 4,0.7
eerc,Quiet,Position 5,0.9
eerc,Quiet,Position 6,0.7
eerc,Quiet,Position 7,0.5
eerc,Quiet,Position 8,0.6
eerc,Liked,Position 1,0.8
eerc,Liked,Position 2,0.7
eerc,Liked,Position 3,0.3
eerc,Liked,Position 4,0.2
eerc,Liked,Position 5,0.2
eerc,Liked,Position 6,0.2
eerc,Liked,Position 7,0.1
eerc,Liked,Position 8,0.6
eerc,Disliked,Position 1,0.9
eerc,Disliked,Position 2,0.9
eerc,Disliked,Position 3,0.5
eerc,Disliked,Position 4,0.5
eerc,Disliked,Position 5,0.6
eerc,Disliked,Position 6,0.4
eerc,Disliked,Position 7,0.3
eerc,Disliked,Position 8,0.8
