id,info_type,latency
d441,No information,1.52
41n1,Threat,2.5
41n1,Positive,1
41n1,No information,1.3
o7rt,Threat,15
o7rt,Positive,2.3
o7rt,No information,9.07
bekm,Threat,4.72
bekm,Positive,1.2
bekm,No information,1.24
wgg4,Threat,14.25
wgg4,Positive,1.24
wgg4,No information,1.97
g36x,Threat,11.3
g36x,Positive,3.3
g36x,No information,5.26
7fs2,Threat,5.63
7fs2,Positive,4.03
7fs2,No information,1.78
irhc,Threat,1.94
irhc,Positive,1.59
irhc,No information,1.63
ql5c,Threat,2.78
ql5c,Positive,1.65
ql5c,No information,2.12
wr3v,Threat,2.9
wr3v,Positive,5.19
wr3v,No information,1.44
7p43,Threat,1.16
7p43,Positive,2.29
7p43,No information,1.06
vplv,Threat,2.88
vplv,Positive,2.41
vplv,No information,2.15
673t,Threat,4.21
673t,Positive,3.35
673t,No information,3.69
2yu5,Threat,3.41
2yu5,Positive,2.16
2yu5,No information,2.29
1k85,Threat,1.96
1k85,Positive,1.52
1k85,No information,1.49
f6y5,Threat,4.52
f6y5,Positive,3.65
f6y5,No information,3.75
32x0,Threat,4.2
32x0,Positive,4.68
32x0,No information,3.98
87ip,Threat,3.35
87ip,Positive,2.84
87ip,No information,2.37
5sqw,Threat,15
5sqw,Positive,3.59
5sqw,No information,3
vq4h,Threat,15
vq4h,Positive,1.81
vq4h,No information,1.47
7g07,Threat,4.35
7g07,Positive,3.85
7g07,No information,3.48
3bf2,Threat,15
3bf2,Positive,3.5
3bf2,No information,3.46
x3e3,Threat,5.41
x3e3,Positive,2.41
x3e3,No information,1.53
e09l,Threat,8.32
e09l,Positive,2.4
e09l,No information,1.32
a58q,Threat,3.2
a58q,Positive,2.84
a58q,No information,1.88
66lm,Threat,6.52
66lm,Positive,3.08
66lm,No information,3.47
9r22,Threat,15
9r22,Positive,15
9r22,No information,15
d0b6,Threat,15
d0b6,Positive,10.06
d0b6,No information,15
ol4b,Threat,7.62
ol4b,Positive,2.28
ol4b,No information,3.03
4u1f,Threat,8.51
4u1f,Positive,1.61
4u1f,No information,1.47
turd,Threat,4.42
turd,Positive,1.88
turd,No information,1.12
17p5,Threat,15
17p5,Positive,1.65
17p5,No information,1.74
rvek,Threat,3.24
rvek,Positive,1.9
rvek,No information,1.56
27xa,Threat,4.34
27xa,Positive,2.01
27xa,No information,1.97
521m,Threat,15
521m,Positive,4
521m,No information,4.32
0q22,Threat,15
0q22,Positive,2.56
0q22,No information,1.54
5w7r,Threat,3.45
5w7r,Positive,1.91
5w7r,No information,1.54
44b7,Threat,3.21
44b7,Positive,2.15
44b7,No information,1.41
5e62,Threat,4.28
5e62,Positive,1.23
5e62,No information,1.16
o103,Threat,3.24
o103,Positive,0.99
o103,No information,2.13
1cmy,Threat,2.24
1cmy,Positive,0.97
1cmy,No information,0.75
2vv6,Threat,3.25
2vv6,Positive,2.03
2vv6,No information,2
74up,Threat,2.06
74up,Positive,1
74up,No information,1.44
arqc,Threat,9.43
arqc,Positive,6.34
arqc,No information,7.91
5mwb,Threat,4.25
5mwb,Positive,3.23
5mwb,No information,3.87
3a37,Threat,8.72
3a37,Positive,0.92
3a37,No information,1.52
xl9f,Threat,6.22
xl9f,Positive,2.54
xl9f,No information,3.45
c2l3,Threat,2.6
c2l3,Positive,1.04
c2l3,No information,1.69
ll51,Threat,3.97
ll51,Positive,1.57
ll51,No information,1.53
2c19,Threat,3.34
2c19,Positive,1.16
2c19,No information,2.43
2rvt,Threat,2.5
2rvt,Positive,0.9
2rvt,No information,1.64
5pdw,Threat,2.78
5pdw,Positive,0.81
5pdw,No information,1.5
v0v1,Threat,3.24
v0v1,Positive,1.69
v0v1,No information,1.53
echh,Threat,4.53
echh,Positive,1.06
echh,No information,3.19
gx0g,Threat,4.74
gx0g,Positive,1.31
gx0g,No information,3.25
9qq4,Threat,3.41
9qq4,Positive,1.23
9qq4,No information,1.75
7pmt,Threat,4.23
7pmt,Positive,0.78
7pmt,No information,1.75
jt98,Threat,6.53
jt98,Positive,1.34
jt98,No information,3.97
81f5,Threat,4.78
81f5,Positive,0.64
81f5,No information,2.28
0ih6,Threat,7.12
0ih6,Positive,4.45
0ih6,No information,2.18
nd54,Threat,8.42
nd54,Positive,1.56
nd54,No information,1.67
oknx,Threat,8.31
oknx,Positive,2.4
oknx,No information,2.67
83m1,Threat,3.48
83m1,Positive,2.01
83m1,No information,2.69
in65,Threat,7.82
in65,Positive,2.14
in65,No information,1.6
u4r1,Threat,10.84
u4r1,Positive,1.24
u4r1,No information,3.86
j026,Threat,5.48
j026,Positive,1.64
j026,No information,2.72
43xw,Threat,6.89
43xw,Positive,2.89
43xw,No information,2.71
qsje,Threat,9.46
qsje,Positive,1.27
qsje,No information,2.66
vd18,Threat,6.03
vd18,Positive,2.28
vd18,No information,1.72
ofx2,Threat,8.42
ofx2,Positive,3.84
ofx2,No information,2.4
ltj0,Threat,5.42
ltj0,Positive,1.78
ltj0,No information,1.5
osxw,Threat,6.4
osxw,Positive,1.22
osxw,No information,1.42
y953,Threat,8.42
y953,Positive,1.5
y953,No information,1.82
i671,Threat,5.89
i671,Positive,1.23
i671,No information,1.28
j0ly,Threat,6.72
j0ly,Positive,0.75
j0ly,No information,1.25
35uo,Threat,7.63
35uo,Positive,2.81
35uo,No information,2.49
21f9,Threat,8.42
21f9,Positive,1.43
21f9,No information,2.12
75js,Threat,7.46
75js,Positive,1
75js,No information,1.18
8uj3,Threat,8.15
8uj3,Positive,1.19
8uj3,No information,1.38
u65f,Threat,4.64
u65f,Positive,0.94
u65f,No information,1.22
