id,neurotic,extroversion,agreeableness,conscientiousness,instrument
kbue,18,26,52,44,Guitar
emgy,35,11,58,44,Guitar
mxij,13,23,60,44,Guitar
ckvj,NA,NA,NA,NA,Bass
ahud,NA,NA,NA,NA,Bass
xykq,NA,NA,NA,NA,Bass
yakc,NA,NA,NA,NA,Bass
cdhr,NA,NA,NA,NA,Bass
arqd,NA,NA,31,NA,Bass
vmac,NA,NA,49,NA,Bass
sell,NA,NA,54,NA,Bass
uily,NA,NA,54,NA,Bass
xxkc,NA,NA,57,NA,Bass
druk,34,22,25,7,Bass
sndl,24,28,35,9,Bass
elhg,39,33,40,13,Bass
ytvw,19,11,27,14,Bass
npsd,44,23,34,14,Bass
tfpx,32,32,36,16,Bass
fpjh,35,24,44,16,Bass
fmln,32,25,43,17,Bass
mlod,43,33,43,17,Bass
vfxc,26,31,44,17,Bass
bvsy,36,28,38,18,Bass
iqip,22,18,41,19,Bass
wrbn,17,29,42,19,Bass
iudf,6,33,34,20,Bass
mimv,20,24,35,20,Bass
wuib,29,23,39,20,Bass
hhbt,40,24,35,21,Bass
omvx,33,29,35,21,Bass
iwwg,29,20,37,21,Bass
qtnq,20,NA,38,21,Bass
ergl,20,NA,38,21,Bass
xtjc,37,33,42,21,Bass
krgq,30,9,35,22,Bass
mynu,19,31,35,22,Bass
ktoh,34,28,39,22,Bass
sbee,22,31,42,22,Bass
iywl,22,30,NA,23,Bass
kmtp,30,33,36,23,Bass
glpy,36,23,41,23,Bass
yabx,36,23,41,23,Bass
uxem,28,27,41,23,Bass
wcej,39,31,42,23,Bass
babu,39,31,42,23,Bass
rmgv,26,29,43,23,Bass
ixrk,15,27,44,23,Bass
snrw,28,33,46,23,Bass
qkfc,28,33,46,23,Bass
ncfa,28,5,27,24,Bass
idxi,27,27,29,24,Bass
bcgu,22,27,33,24,Bass
ivic,24,29,34,24,Bass
jxxb,10,31,35,24,Bass
xdqm,23,19,41,24,Bass
smid,21,18,42,24,Bass
ukqa,26,18,42,24,Bass
hmhf,14,24,43,24,Bass
ifuq,24,29,43,24,Bass
ibmp,26,26,NA,25,Bass
iqcl,26,26,NA,25,Bass
qati,26,26,NA,25,Bass
xfep,15,33,34,25,Bass
obqp,25,30,36,25,Bass
crio,40,25,38,25,Bass
krcm,34,28,38,25,Bass
ycns,8,33,39,25,Bass
fpnb,30,28,41,25,Bass
lswc,29,28,41,25,Bass
qcjm,15,32,41,25,Bass
eyjq,21,33,54,25,Bass
xneg,15,33,NA,26,Bass
pklt,28,27,32,26,Bass
gipw,20,31,32,26,Bass
ftly,20,31,37,26,Bass
lioy,21,20,38,26,Bass
okju,29,27,38,26,Bass
smse,33,26,40,26,Bass
qghq,36,27,43,26,Bass
sjfd,18,21,44,26,Bass
wflh,21,25,44,26,Bass
jktu,32,28,44,26,Bass
larh,36,33,44,26,Bass
mpwt,22,29,NA,27,Bass
ibta,18,29,31,27,Bass
ldtg,21,28,37,27,Bass
vmos,26,33,37,27,Bass
jnvk,13,33,37,27,Bass
qwrw,29,24,43,27,Bass
ccxf,20,32,44,27,Bass
utqu,27,25,33,28,Bass
ries,33,31,36,28,Bass
rvqy,33,31,36,28,Bass
jync,27,25,38,28,Bass
yaae,25,28,38,28,Bass
hkxx,25,31,40,28,Bass
lnwx,35,16,41,28,Bass
sllq,22,31,42,28,Bass
ifdi,26,32,44,28,Bass
kguj,27,30,NA,29,Bass
ksuj,24,29,36,29,Bass
alma,13,33,39,29,Bass
wrbd,37,20,40,29,Bass
cewr,37,28,40,29,Bass
qhqi,21,25,43,29,Bass
tlor,18,26,43,29,Bass
omnq,18,26,43,29,Bass
btqm,17,31,44,29,Bass
ggro,31,33,51,29,Bass
nhpb,31,33,52,29,Bass
lutj,28,25,29,30,Bass
pqby,19,20,39,30,Bass
lheq,19,25,41,30,Bass
cjtf,29,33,41,30,Bass
jlxu,25,33,41,30,Bass
qwmh,34,28,42,30,Bass
siwq,30,25,43,30,Bass
jjwv,27,31,43,30,Bass
xrmn,19,31,44,30,Bass
kpow,25,32,44,30,Bass
twjk,27,33,47,30,Bass
gsri,24,33,49,30,Bass
siop,16,30,38,31,Bass
rymk,27,30,39,31,Bass
fhnr,29,29,41,31,Bass
uhle,28,30,41,31,Bass
vuft,19,29,43,31,Bass
qbbf,20,33,47,31,Bass
vqmb,28,33,47,31,Bass
seui,17,33,53,31,Bass
iwyd,17,33,53,31,Bass
rrth,17,28,31,32,Bass
ujtr,20,25,44,32,Bass
rqeo,24,30,38,33,Bass
kgdk,19,18,39,33,Bass
vlea,17,33,41,33,Bass
gyik,23,27,42,33,Bass
uugi,26,30,43,33,Bass
rvnt,16,31,43,33,Bass
qhmg,17,33,48,33,Bass
biwh,18,43,57,34,Bass
ydfh,26,25,46,45,Drums
mvgw,18,31,50,51,Drums
djks,18,31,50,45,Drums
kcyw,35,21,56,35,Drums
vljd,24,23,47,35,Drums
maoh,37,17,47,48,Drums
qlrr,24,27,49,20,Drums
pouo,28,18,46,21,Drums
yixm,28,28,52,21,Drums
sahv,24,14,45,42,Drums
xhdn,24,32,46,22,Drums
yvbe,34,20,48,22,Drums
dbxx,26,22,53,32,Drums
ivkc,34,29,47,23,Drums
tvnh,19,27,51,43,Drums
qijr,34,30,52,33,Drums
vkyh,37,21,45,24,Drums
hiyp,15,31,45,34,Drums
tubv,37,21,47,44,Drums
wgnh,25,20,51,24,Drums
eecw,32,27,54,34,Drums
jqod,20,27,55,54,Drums
ahse,24,26,59,24,Drums
rkyo,40,32,73,34,Drums
dryg,32,20,45,35,Drums
rovg,27,28,45,25,Drums
egow,35,27,47,45,Drums
yufr,23,26,51,35,Drums
moyt,31,31,52,55,Drums
bqfq,35,29,45,26,Drums
ogwx,8,30,45,36,Drums
rjqf,19,31,45,26,Drums
oyuq,13,29,47,36,Drums
yoik,40,21,50,26,Drums
vdrs,27,23,55,26,Drums
befw,31,13,47,37,Drums
jkgb,30,23,48,47,Drums
tsdq,27,21,49,27,Drums
pfdy,27,21,49,38,Drums
vqyu,14,30,51,27,Drums
sslj,29,17,52,35,Drums
hxpl,35,20,46,28,Drums
ebtw,21,27,46,38,Drums
vetm,20,28,46,28,Drums
ojse,22,26,48,38,Drums
sass,8,32,49,48,Drums
fsau,20,24,55,36,Drums
obil,34,26,58,28,Drums
mspw,30,31,60,38,Drums
rfci,37,28,46,29,Drums
lfen,13,28,48,29,Drums
emit,33,21,50,39,Drums
bdse,23,31,51,29,Drums
bybh,29,31,53,29,Drums
qsbd,28,31,45,30,Drums
gerr,27,26,47,40,Drums
pncv,13,29,48,50,Drums
jeuj,35,31,49,40,Drums
visw,35,28,50,30,Drums
esrx,24,30,50,30,Drums
ydba,25,27,55,30,Drums
canl,25,27,57,40,Drums
espe,37,18,47,31,Drums
hqin,24,27,48,40,Drums
nirb,24,26,50,31,Drums
rdkb,25,30,50,41,Drums
ougs,25,30,50,31,Drums
nush,25,30,50,51,Drums
kitm,25,30,50,31,Drums
wsad,16,27,53,36,Drums
rrwb,41,26,56,44,Drums
nvbb,20,26,49,36,Drums
vgsn,27,30,50,36,Drums
rmwi,19,27,51,37,Drums
bpyr,15,31,51,37,Drums
pneu,24,29,52,38,Drums
qmbc,26,30,55,38,Drums
dhin,24,25,63,38,Drums
aewv,39,21,45,48,Drums
mdfh,21,25,45,39,Drums
wvte,38,29,45,49,Drums
ruex,32,29,47,39,Drums
kquf,24,25,48,55,Drums
ycpd,29,26,48,39,Drums
mkmb,20,31,48,51,Drums
bkcm,18,28,51,50,Drums
fmdg,14,23,54,51,Drums
nkvo,15,29,54,52,Drums
ueva,14,39,57,55,Drums
wgft,26,34,64,58,Drums
oxey,21,37,57,58,Drums
kcyo,NA,NA,NA,NA,NA
vndh,NA,NA,NA,NA,NA
hwkc,NA,NA,NA,NA,NA
kpsp,NA,NA,NA,NA,NA
