ticket_no,gender,day_1,day_2,day_3
3019,Female,1.17,1.35,NA
3027,Male,2.23,NA,NA
3028,Female,1.64,NA,NA
3029,Female,2.14,NA,NA
3030,Non-binary,0.11,0.29,NA
3031,Male,2.17,NA,NA
3032,Female,1.67,NA,NA
3033,Female,1,NA,NA
3034,Female,0.88,NA,NA
3035,Male,2.2,NA,NA
3048,Male,2.17,NA,NA
3049,Female,2.32,NA,NA
3051,Male,1.64,NA,NA
3052,Female,3,NA,NA
3053,Female,2.38,0.85,NA
3054,Female,1.6,1.02,NA
3055,Female,1.58,NA,NA
3056,Female,2.61,NA,NA
3057,Male,1.44,0.05,0.2
3064,Male,1.57,NA,NA
3065,Female,2.32,NA,NA
3068,Non-binary,1.14,NA,NA
3069,Male,1.93,NA,NA
3070,Male,2.47,NA,NA
3072,Female,2.29,NA,NA
3073,Female,1,NA,NA
3092,Female,1.58,NA,NA
3093,Male,2.44,NA,NA
3094,Female,0.83,NA,NA
3095,Male,2.71,0.78,0.33
3096,Female,1.73,NA,NA
3097,Male,1.58,NA,NA
3098,Male,1.5,NA,NA
3100,Female,1.05,NA,NA
3106,Non-binary,2.05,NA,NA
3107,Female,2.63,NA,NA
3109,Male,2.55,2.29,NA
3111,Female,2,NA,NA
3112,Male,2,NA,NA
3114,Female,1.32,NA,NA
3116,Female,3.14,NA,NA
3118,Male,1.44,NA,NA
3129,Male,1.85,0.23,NA
3131,Non-binary,1.41,0.44,NA
3132,Female,1.94,NA,NA
3133,Non-binary,2.91,NA,NA
3135,Female,1.85,NA,NA
3136,Male,1.7,NA,NA
3137,Female,2.23,NA,NA
3138,Non-binary,1.11,NA,NA
3139,Female,1.47,NA,NA
3146,Female,2.2,NA,NA
3147,Male,1.82,NA,NA
3148,Female,1.42,NA,NA
3168,Female,2.44,NA,NA
3171,Female,2.66,NA,NA
3172,Male,1.52,NA,NA
3173,Female,1.35,0.47,0.73
3180,Female,1.29,NA,NA
3182,Female,2.32,NA,NA
3190,Male,0.78,NA,NA
3192,Female,2.84,NA,NA
3202,Male,0.97,NA,NA
3236,Female,1.52,NA,NA
3245,Female,1.7,NA,NA
3246,Female,0.94,1.17,1.29
3247,Male,1.41,NA,NA
3248,Male,1.79,NA,NA
3249,Male,1.08,0.44,0.44
3250,Male,1.47,NA,NA
3251,Female,1.79,0.47,NA
3253,Male,2,NA,NA
3254,Female,0.76,NA,NA
3255,Male,2.2,NA,NA
3256,Female,0.94,0.17,NA
3257,Female,1.38,NA,NA
3258,Female,1.38,0.85,NA
3260,Male,0.32,NA,NA
3261,Male,2.58,NA,NA
3262,Male,0.51,NA,NA
3264,Female,0.32,NA,NA
3267,Female,0.91,1.11,1.7
3273,Male,1.51,NA,NA
3275,Female,1.47,NA,NA
3276,Female,2.5,NA,NA
3277,Female,2.26,NA,NA
3278,Female,2.81,NA,NA
3279,Female,1.87,NA,NA
3281,Female,2,NA,NA
3282,Non-binary,2.23,0.41,1.02
3284,Male,2,0.76,NA
3290,Female,1.41,NA,NA
3291,Male,1.64,NA,NA
3292,Male,1.64,NA,NA
3296,Non-binary,1.26,NA,NA
3306,Female,1.52,0.55,1.88
3307,Male,2.44,1.02,0.76
3308,Female,2.18,NA,NA
3309,Female,3.02,NA,NA
3310,Female,1.02,NA,NA
3311,Female,2.88,NA,NA
3312,Non-binary,1.54,NA,NA
3313,Female,1.64,NA,NA
3314,Female,2.44,2.5,1.7
3315,Female,1.29,NA,NA
3316,Female,1.61,0.32,0.26
3321,Female,1.77,NA,NA
3325,Male,0.91,0.17,NA
3326,Female,0.85,0.2,0.38
3327,Male,0.85,0.52,0.44
3328,Female,1.5,NA,NA
3329,Non-binary,1.05,0.23,NA
3338,Female,3.38,NA,NA
3340,Female,1.42,0.52,2
3341,Female,1.85,NA,NA
3348,Female,1.91,0.84,NA
3349,Male,0.82,0.26,NA
3350,Female,1.32,0.76,NA
3351,Female,2.23,0.85,0.39
3352,Female,1.47,1.52,0.17
3363,Female,2.7,NA,NA
3365,Male,1.58,NA,NA
3366,Male,1,NA,NA
3367,Non-binary,1.44,NA,NA
3368,Female,2,NA,NA
3369,Male,1.6,NA,NA
3370,Female,2.32,2.53,1.67
3371,Non-binary,3.41,NA,NA
3372,Female,2.02,NA,NA
3373,Male,0.64,0.52,NA
3374,Male,3.58,3.35,NA
3375,Non-binary,1.5,NA,NA
3376,Male,1.08,NA,NA
3377,Female,1.52,NA,NA
3378,Male,1.26,NA,NA
3379,Female,1.68,NA,NA
3380,Male,1.47,1.08,0.58
3390,Female,1.47,NA,NA
3391,Female,1.67,1.55,NA
3392,Female,2.47,1.97,NA
3393,Male,1.82,NA,NA
3394,Female,2.17,NA,NA
3395,Female,3.21,NA,NA
3397,Female,1.6,1.38,1.02
3398,Female,0.32,NA,NA
3407,Female,0.55,NA,NA
3411,Female,1.42,NA,NA
3412,Male,1.14,NA,NA
3413,Female,2.64,NA,NA
3416,Female,2.58,NA,NA
3418,Non-binary,2.02,NA,NA
3419,Male,2,NA,NA
3420,Female,2.9,NA,NA
3423,Male,1.82,NA,NA
3429,Female,0.5,NA,NA
3431,Male,1.53,NA,NA
3449,Female,2.48,NA,NA
3450,Female,2.05,NA,NA
3453,Male,2.52,NA,NA
3454,Female,1.88,NA,NA
3455,Non-binary,2.73,NA,NA
3456,Female,2.88,NA,NA
3457,Female,1.67,NA,NA
3458,Female,1.93,NA,NA
3460,Female,1.67,NA,NA
3461,Male,1.2,NA,NA
3464,Female,2.75,NA,NA
3467,Female,1.94,0.97,NA
3468,Female,0.59,NA,NA
3469,Female,1.5,NA,NA
3477,Male,1.58,0.94,0.94
3480,Non-binary,2.23,0.11,0.17
3483,Female,2.35,NA,NA
3490,Female,2.55,0.82,0.29
3493,Male,1.55,NA,NA
3494,Female,2.31,NA,NA
3495,Male,2.23,NA,NA
3500,Female,0.67,0.5,NA
3501,Non-binary,2.51,NA,NA
3503,Male,1.08,0.58,0.61
3510,Female,2.44,NA,NA
3511,Female,0.23,0.14,NA
3512,Female,2.17,NA,NA
3518,Male,1.9,1.17,NA
3519,Female,1.67,0.44,NA
3521,Female,2,0.58,0.52
3522,Female,2.44,NA,NA
3523,Male,1.44,NA,NA
3524,Male,0.82,NA,NA
3525,Female,2.5,NA,NA
3526,Male,1.82,NA,NA
3536,Female,1.97,NA,NA
3539,Female,2.52,NA,NA
3540,Non-binary,0.05,NA,NA
3542,Female,2.08,NA,NA
3545,Female,2.39,NA,NA
3546,Male,1.45,0.82,NA
3551,Male,2.58,NA,NA
3557,Female,2.12,NA,NA
3565,Female,2.02,0.76,0.55
3567,Male,1.78,1.14,0.44
3568,Male,0.73,0.17,0.76
3569,Female,2.26,0.9,1.85
3570,Female,2.79,NA,NA
3571,Non-binary,0.43,0.67,0.14
3572,Male,0.52,0.38,0.7
3573,Female,2.32,NA,NA
3574,Male,2.22,NA,NA
3575,Non-binary,0.58,NA,NA
3576,Male,2,NA,NA
3577,Female,0.7,NA,NA
3586,Male,1,NA,NA
3587,Male,0.3,NA,NA
3588,Male,1.52,NA,NA
3593,Female,1.58,0.35,NA
3594,Non-binary,2.34,NA,NA
3595,Female,0.79,NA,NA
3596,Female,2.26,NA,NA
3597,Male,2.35,NA,NA
3598,Female,1.7,NA,NA
3599,Female,3.09,NA,NA
3600,Female,1.52,NA,NA
3601,Female,0.35,NA,NA
3602,Female,2.7,NA,NA
3603,Female,1.64,NA,NA
3605,Male,0.82,NA,NA
3606,Male,2.73,NA,NA
3607,Female,2.23,NA,NA
3609,Female,1.06,NA,NA
3610,Male,2.05,0.2,0.35
3613,Female,1.73,1.44,NA
3614,Female,0.93,0.91,NA
3620,Female,2.5,2.44,NA
3621,Male,1.44,NA,NA
3622,Female,2.88,NA,NA
3625,Female,0.67,0.23,0.44
3626,Male,1.85,0.35,NA
3627,Non-binary,1.21,0.79,NA
3628,Male,1.06,0.76,0.7
3629,Male,0.61,0.26,0.33
3631,Female,2,NA,NA
3634,Female,1.17,0.73,1.17
3635,Female,1.48,0.79,1.55
3645,Non-binary,1.55,NA,NA
3646,Female,3.29,NA,NA
3647,Male,1.47,NA,NA
3648,Male,0.96,NA,NA
3649,Male,1,1.11,1.2
3652,Male,1.47,NA,NA
3653,Female,2.55,2.38,NA
3654,Female,0.44,0.06,NA
3655,Female,2.35,2.41,NA
3656,Female,1.71,0.85,NA
3659,Male,1.84,0.58,0.7
3660,Female,1.11,0.23,0.55
3667,Female,1.38,NA,NA
3669,Male,0.88,NA,NA
3670,Female,0.94,NA,NA
3672,Female,1.91,NA,NA
3676,Male,2.76,NA,NA
3677,Non-binary,1.55,0.32,0.47
3678,Male,2.67,NA,NA
3680,Female,1.03,0.29,0.72
3696,Female,2.5,NA,NA
3697,Male,1.64,NA,NA
3698,Female,2.26,NA,NA
3709,Non-binary,2.14,NA,NA
3710,Male,0.52,NA,NA
3711,Male,1.08,NA,NA
3712,Male,1.69,NA,NA
3713,Male,2.73,NA,NA
3714,Male,1.91,NA,NA
3715,Male,1.73,NA,NA
3716,Female,3.21,NA,NA
3717,Female,2.11,NA,NA
3718,Female,2.05,NA,NA
3719,Male,2.17,NA,NA
3720,Female,2.17,NA,NA
3721,Female,2.3,NA,NA
3722,Female,2.56,NA,NA
3723,Non-binary,2.11,0.41,0.47
3724,Male,1.7,NA,NA
3725,Female,1.23,NA,NA
3726,Female,3.2,NA,NA
3727,Female,2.02,NA,NA
3728,Female,2.64,NA,NA
3729,Male,2.52,0.14,NA
3730,Male,1.61,NA,NA
3731,Male,1.5,1.2,0.91
3734,Male,1.15,0.45,0.44
3736,Male,1.82,NA,NA
3753,Female,1.5,NA,NA
3754,Female,2.32,NA,NA
3759,Female,2.92,NA,NA
3764,Male,1.41,NA,NA
3769,Male,1.35,NA,NA
3778,Male,0.61,0.14,NA
3779,Female,0.73,NA,NA
3782,Female,2.23,1.88,NA
3783,Female,1.32,0.91,NA
3784,Female,2.94,1.79,NA
3785,Male,1.61,NA,NA
3786,Female,1,NA,NA
3787,Non-binary,3.15,3,NA
3788,Female,2.88,NA,NA
3791,Female,2.09,1.21,NA
3792,Female,1.32,1.7,2.29
3793,Non-binary,1.47,0.35,NA
3794,Male,1.61,NA,NA
3796,Male,2.2,1.5,1.88
3797,Female,2.78,NA,NA
3798,Female,2.06,NA,NA
3799,Non-binary,0.47,NA,NA
3804,Female,2.87,NA,NA
3826,Male,1.14,NA,NA
3828,Female,3.32,3.21,NA
3831,Non-binary,2.08,1.38,NA
3836,Female,2.38,2.5,NA
3837,Female,2.08,NA,NA
3838,Male,1.85,NA,NA
3840,Non-binary,1.38,NA,NA
3844,Male,1.14,NA,NA
3846,Non-binary,1.58,NA,NA
3849,Male,1.23,0.7,1.02
3850,Female,2.53,NA,NA
3851,Male,0.67,NA,NA
3854,Non-binary,0.73,NA,NA
3855,Female,1.34,NA,NA
3856,Female,2.14,0.7,NA
3857,Female,1,NA,NA
3858,Male,1.35,NA,NA
3859,Male,1.94,0.79,NA
3860,Male,0.5,NA,NA
3869,Female,3.08,NA,NA
3870,Non-binary,2.88,NA,NA
3871,Non-binary,1.91,NA,NA
3872,Male,1.41,NA,NA
3873,Male,2.02,NA,NA
3874,Female,0.76,NA,NA
3875,Male,1.94,NA,NA
3876,Male,0.67,0.28,NA
3879,Non-binary,2.41,NA,NA
3880,Female,2.17,NA,NA
3882,Female,2.67,0.41,NA
3883,Male,1.94,0.64,NA
3888,Female,2.05,0.85,1.7
3890,Male,2.17,NA,NA
3909,Male,0.47,NA,NA
3912,Non-binary,0.62,0.76,NA
3913,Non-binary,2,NA,NA
3914,Male,0.45,NA,NA
3916,Female,2.29,0.91,1.38
3917,Female,2.55,NA,NA
3918,Female,0.82,NA,NA
3919,Female,3.12,2.2,NA
3920,Male,2.5,2.23,0.41
3921,Non-binary,1.79,NA,NA
3922,Non-binary,2.28,NA,NA
3923,Male,0.58,1.05,0.58
3924,Female,2.5,1.29,NA
3925,Female,1.41,NA,NA
3926,Non-binary,2.14,NA,NA
3927,Male,0.76,0.26,NA
3929,Male,1.79,1.11,NA
3930,Male,1.02,0.35,NA
3932,Female,2.62,NA,NA
3942,Male,0.88,NA,NA
3944,Male,1.58,0.2,0.2
3945,Female,2.2,NA,NA
3946,Non-binary,1.14,NA,NA
3947,Male,1.47,0.52,0.35
3948,Female,1.41,0.23,0.38
3949,Male,1.44,1.76,1.18
3950,Female,1.23,1.17,NA
3951,Female,1.82,NA,NA
3952,Female,2.44,NA,NA
3954,Female,1.94,1.2,NA
3955,Male,2.41,NA,NA
3964,Female,2.27,NA,NA
3965,Male,1.79,0.23,NA
3966,Male,1.88,NA,NA
3972,Male,1.85,0.64,1.32
3973,Female,2.21,NA,NA
3986,Male,1.97,1.94,NA
3987,Female,2.51,NA,NA
3988,Female,2.05,NA,NA
3989,Female,1.29,1,0.82
3990,Female,2.05,NA,NA
3991,Female,2.23,NA,NA
3992,Female,1.76,NA,NA
3993,Male,1.05,NA,NA
3994,Non-binary,1.79,NA,NA
3995,Female,1.02,0.73,0.47
3996,Female,2.76,1.58,NA
3997,Female,1.67,0.55,NA
4010,Male,2.85,NA,NA
4011,Female,0.23,0.84,NA
4012,Female,1.9,NA,NA
4013,Male,1.23,0.52,NA
4014,Male,1.97,NA,NA
4015,Female,1.5,NA,NA
4016,Female,3.69,NA,NA
4017,Female,0.5,NA,NA
4022,Female,2.18,NA,NA
4023,Female,2.17,NA,NA
4024,Female,1.58,NA,NA
4025,Male,2.88,NA,NA
4030,Male,2.52,NA,NA
4032,Female,2.2,NA,NA
4033,Male,1.73,NA,NA
4034,Female,2.23,NA,NA
4079,Non-binary,1.97,NA,NA
4089,Male,1.2,0.67,0.91
4090,Male,2,NA,NA
4092,Female,1.91,NA,NA
4093,Male,0.81,NA,NA
4095,Female,1.31,NA,NA
4096,Female,0.38,NA,NA
4101,Female,1.97,NA,NA
4104,Female,0.38,NA,NA
4105,Female,2.11,0.76,0.85
4106,Female,3.2,NA,NA
4107,Female,0.02,NA,NA
4109,Female,2.56,NA,NA
4110,Non-binary,2.02,NA,NA
4111,Female,2.3,NA,NA
4114,Male,2.02,NA,NA
4147,Female,2.05,NA,NA
4148,Female,1.7,NA,NA
4149,Male,1.61,NA,NA
4150,Male,0.73,NA,NA
4151,Male,2.5,1.64,NA
4152,Female,2.18,1.75,1.91
4153,Female,2.46,1.08,1.91
4154,Female,1.5,0.91,NA
4155,Non-binary,1.73,0.94,NA
4156,Male,1.44,NA,NA
4157,Male,1.64,0.32,0.52
4158,Female,20.02,2.44,NA
4159,Female,1.2,0.17,0.2
4160,Male,0.38,0.02,NA
4161,Female,1.58,1.54,1.76
4162,Female,1.67,0.5,NA
4163,Female,1,0.48,NA
4164,Female,2.58,1.35,NA
4165,Female,2.82,2.61,3.02
4166,Female,2.29,2.05,NA
4167,Female,1.14,NA,NA
4168,Female,1.64,0.76,NA
4171,Female,1.82,0.08,NA
4172,Non-binary,3.32,2.91,3.02
4193,Non-binary,3.32,NA,NA
4194,Male,1.85,1,1.5
4195,Male,2.29,NA,NA
4196,Female,1.47,0.47,1.58
4197,Male,2.08,0.7,0.67
4198,Male,2.2,NA,NA
4199,Female,1.06,1.45,NA
4216,Non-binary,0.97,0.14,0.02
4218,Male,2,NA,NA
4219,Female,1.67,0.38,NA
4220,Female,2.94,NA,NA
4221,Female,1.55,NA,NA
4222,Male,0.88,0.26,NA
4223,Female,1.35,2.32,NA
4224,Female,0.61,0.2,0.17
4225,Non-binary,1,NA,NA
4226,Female,1.52,2.72,0.52
4234,Male,1,NA,NA
4235,Male,1.76,0.41,0.88
4236,Female,2.52,NA,NA
4237,Female,2,0.88,1.44
4238,Female,2.63,NA,NA
4239,Female,0.73,0.85,NA
4240,Male,1.58,0.23,1.66
4241,Non-binary,0.58,NA,NA
4245,Female,1.67,NA,NA
4247,Female,1.47,NA,NA
4249,Female,1.81,NA,NA
4256,Male,1.91,NA,NA
4257,Male,1.06,NA,NA
4259,Male,1.47,1.23,0.94
4262,Male,2.52,NA,NA
4263,Female,1.85,0.2,NA
4264,Male,3.44,NA,NA
4265,Female,1.55,1.32,1.19
4266,Female,2.29,2.7,NA
4267,Female,1.76,NA,NA
4268,Male,1.9,NA,NA
4269,Male,2.52,2.55,NA
4271,Female,2.52,NA,NA
4274,Female,2.82,0.17,NA
4281,Female,2.02,NA,NA
4284,Female,1.29,NA,NA
4285,Male,1.26,NA,NA
4287,Female,0.94,NA,NA
4291,Female,2,1.13,0.53
4292,Female,0.73,NA,NA
4294,Male,2.26,0.79,NA
4295,Female,2.23,NA,NA
4297,Male,2.35,NA,NA
4298,Female,0.55,0.38,NA
4301,Female,1.85,NA,NA
4302,Male,0.67,NA,NA
4305,Male,1.85,1,NA
4306,Non-binary,1.23,0.2,NA
4308,Female,2.35,NA,NA
4309,Male,1.35,NA,NA
4310,Female,1.94,NA,NA
4311,Male,1.55,NA,NA
4312,Female,1.29,NA,NA
4313,Male,2.17,NA,NA
4314,Female,1.91,NA,NA
4333,Female,2.88,NA,NA
4334,Female,2.36,NA,NA
4335,Non-binary,2.36,NA,NA
4336,Female,2.2,NA,NA
4349,Female,2.17,0.47,0.38
4351,Male,0.52,NA,NA
4352,Male,0.32,NA,NA
4353,Female,1.52,0.55,NA
4354,Male,2,0.94,0.08
4355,Male,1.32,1.02,1.2
4356,Female,2.05,NA,NA
4357,Female,1.73,NA,NA
4358,Male,1.94,NA,NA
4359,Female,1.81,NA,NA
4360,Male,0.9,0.64,NA
4361,Male,1.58,0.67,NA
4363,Female,2.29,1.87,0.91
4366,Non-binary,2.57,NA,NA
4370,Female,1.58,NA,NA
4382,Female,2.33,0.82,NA
4383,Female,3.15,NA,NA
4384,Female,2.29,NA,NA
4385,Female,0.82,NA,NA
4386,Female,1.93,NA,NA
4387,Female,1.82,NA,NA
4388,Female,1.96,NA,NA
4389,Female,1.32,0.64,0.47
4391,Female,1.02,NA,NA
4392,Female,1.14,NA,NA
4393,Female,2.32,NA,NA
4394,Male,2.16,NA,NA
4396,Non-binary,2.42,1.7,NA
4397,Non-binary,1.14,NA,NA
4398,Male,1.55,0.79,1.76
4404,Female,1.17,NA,NA
4405,Female,1,0.58,0.32
4410,Female,1.05,0.11,NA
4419,Female,1.38,NA,NA
4428,Female,1.93,2.42,NA
4430,Female,2.73,NA,NA
4435,Female,2.02,NA,NA
4436,Female,2.81,NA,NA
4437,Female,2.47,NA,NA
4439,Male,1.35,NA,NA
4440,Male,2.08,NA,NA
4441,Female,2.5,NA,NA
4442,Female,2.45,NA,NA
4443,Female,2.17,NA,NA
4444,Male,1.7,0,NA
4445,Male,0.7,0.23,0.45
4446,Male,1.51,NA,NA
4447,Female,1.23,NA,NA
4448,Female,2.14,0.85,NA
4452,Male,1.14,1.14,NA
4453,Female,0.96,NA,NA
4454,Male,1.52,1.14,1.26
4455,Male,0.52,NA,NA
4456,Male,1.56,NA,NA
4459,Female,3.29,0.26,NA
4464,Male,0.45,NA,NA
4467,Female,2.63,NA,NA
4468,Female,1.7,NA,NA
4470,Male,3.11,NA,NA
4479,Female,1.82,NA,NA
4481,Female,1.58,0.14,NA
4482,Female,2.73,NA,NA
4485,Female,1.5,1.14,NA
4486,Male,1.78,1.02,NA
4488,Non-binary,2.02,NA,NA
4507,Male,0.67,0.94,0.91
4509,Non-binary,1.41,0.55,NA
4510,Male,0.9,NA,NA
4511,Female,1.23,1.11,0.76
4512,Female,2.7,NA,NA
4514,Female,1.97,NA,NA
4515,Male,0.84,NA,NA
4516,Non-binary,1.79,NA,NA
4517,Female,2.84,NA,NA
4518,Non-binary,2.02,NA,NA
4519,Male,1.64,0.7,NA
4525,Female,1.08,NA,NA
4533,Female,2.97,NA,NA
4552,Non-binary,0.94,NA,NA
4553,Female,2.97,1.94,NA
4554,Female,0.97,NA,NA
4555,Male,1.47,NA,NA
4559,Female,2.61,NA,NA
4563,Female,1.73,0.2,0.91
4564,Female,3.38,3.44,3.41
4569,Male,3.17,1,1.73
4570,Non-binary,2.2,0.91,NA
4571,Female,2.14,NA,NA
4582,Male,1.29,1.58,0.81
4590,Female,3.21,2.85,NA
4597,Male,2.67,NA,NA
4598,Male,1.85,0.79,NA
4601,Female,1.35,NA,NA
4607,Non-binary,2.14,0.76,NA
4611,Male,1.24,0.56,NA
4654,Female,2.02,1.78,2.55
4655,Female,2.32,NA,NA
4663,Male,1.08,0.23,NA
4666,Male,1.14,1.35,1.02
4690,Female,2.14,1.82,NA
4692,Non-binary,2.88,NA,NA
4693,Male,1.35,0.17,0.44
4694,Non-binary,1,1.7,NA
4695,Male,2.02,NA,NA
4696,Female,0.64,1.32,NA
4697,Male,0.29,0.14,NA
4698,Female,1.73,0.94,NA
4699,Female,1.82,1.52,NA
4704,Female,2.11,NA,NA
4710,Non-binary,1.23,NA,NA
4711,Male,0.64,NA,NA
4724,Male,2.23,1.41,2.11
4725,Female,2.44,0.32,NA
4740,Male,1.17,0.58,NA
4744,Female,0.61,0.44,NA
4749,Female,0.52,NA,NA
4756,Female,2.91,0.94,NA
4758,Female,2.61,1.44,NA
4759,Female,1.47,NA,NA
4760,Male,1.28,NA,NA
4765,Female,1.26,NA,NA
