id,strategy,success_pre,success_post
205,Wish upon a star,61,62
206,Wish upon a star,41,48
207,Wish upon a star,63,37
208,Wish upon a star,39,53
209,Wish upon a star,50,55
210,Wish upon a star,69,60
211,Wish upon a star,54,56
212,Wish upon a star,44,59
213,Wish upon a star,46,50
214,Wish upon a star,51,47
215,Wish upon a star,54,46
216,Wish upon a star,60,58
217,Wish upon a star,45,44
218,Wish upon a star,44,68
219,Wish upon a star,47,45
220,Wish upon a star,50,65
221,Wish upon a star,43,56
222,Wish upon a star,49,55
223,Wish upon a star,55,50
224,Wish upon a star,56,52
225,Wish upon a star,61,46
226,Wish upon a star,56,32
227,Wish upon a star,58,41
228,Wish upon a star,62,50
229,Wish upon a star,29,94
230,Wish upon a star,43,39
231,Wish upon a star,39,47
232,Wish upon a star,58,69
233,Wish upon a star,43,53
234,Wish upon a star,51,47
235,Wish upon a star,46,42
236,Wish upon a star,37,43
237,Wish upon a star,54,48
238,Wish upon a star,62,43
239,Wish upon a star,52,45
240,Wish upon a star,55,40
241,Wish upon a star,26,64
242,Wish upon a star,45,58
243,Wish upon a star,45,59
244,Wish upon a star,42,49
245,Wish upon a star,39,51
246,Wish upon a star,40,38
247,Wish upon a star,54,45
248,Wish upon a star,54,59
249,Wish upon a star,41,55
250,Wish upon a star,39,48
