id,grade,age,sex,status,attractive,fashion,glamour,cool,profile,extraversion,narcissism
179,Sec 3,15,Male,0.25,NA,NA,NA,NA,NA,41,29
181,Sec 3,15,Female,14,4,4,4,4,16,53,42
182,Sec 3,14,Female,0,3,3,3,2,11,44,27
183,Sec 3,15,Female,0,3,3,3,3,12,46,27
184,Sec 3,16,Female,0.042,4,5,5,3,17,42,36
185,Sec 3,15,Male,0,NA,NA,NA,NA,NA,28,34
186,Sec 3,15,Female,0.5,3,3,2,3,11,41,40
187,Sec 3,14,Female,0.5,3,2,2,1,8,40,25
188,Sec 3,15,Male,1,3,3,3,3,12,45,42
189,Sec 3,15,Male,0,NA,NA,NA,NA,NA,39,31
191,Sec 3,15,Female,0.25,1,1,3,5,10,36,25
192,Sec 3,15,Male,0.25,3,3,3,3,12,43,33
193,Sec 3,15,Male,0,5,5,5,5,20,41,36
194,Sec 3,15,Male,0.021,5,5,5,5,20,51,45
195,Sec 3,15,Female,7,NA,NA,NA,NA,NA,46,45
196,Sec 3,15,Female,0.25,NA,NA,NA,NA,NA,37,23
197,Sec 3,15,Female,0.25,NA,NA,NA,NA,NA,41.76,29
198,Sec 3,15,Female,0.25,3,3,3,3,12,38,31
199,Sec 3,15,Female,0.25,2,1,1,2,6,47,23
200,Sec 3,15,Female,0.5,NA,NA,NA,NA,NA,49,45
201,Sec 3,15,Female,1,3,2,2,2,9,43,28
202,Sec 3,15,Female,0.25,NA,NA,NA,NA,NA,36,19
203,Sec 3,15,Female,2,3,3,3,3,12,38,26
204,Sec 3,14,Female,0.5,4,3,4,3,14,50,37.06
205,Sec 3,15,Female,2,3,3,3,3,12,58,38
206,Sec 3,15,Female,0.25,NA,NA,NA,NA,NA,49,37
207,Sec 3,15,Female,0.021,NA,NA,NA,NA,NA,43,42
208,Sec 3,15,Female,0.25,2,2,2,2,8,35,23
209,Sec 3,16,Female,0.25,5,4,4,5,18,50,40
211,Sec 3,15,Male,0.25,4,2,3,2,11,45,41
212,Sec 3,15,Male,0.25,NA,NA,NA,NA,NA,39,39.06
213,Sec 3,15,Female,0,1,1,3,5,10,48.6,28
214,Sec 3,15,Male,3.5,5,5,5,5,20,56,47
215,Sec 3,15,Male,1,3,3,3,3,12,49,46
216,Sec 3,16,Male,0.5,NA,NA,NA,NA,NA,33,25
217,Sec 3,15,Female,1,3,3,3,3,12,47,30
218,Sec 3,15,Female,0,NA,NA,NA,NA,NA,43,31
219,Sec 3,15,Female,1,3,3,3,4,13,37,41
220,Sec 3,15,Female,0.042,4,3,2,5,14,48,34
221,Sec 3,15,Female,0,3,3,3,3,12,46,26
222,Sec 3,14,Male,4,5,5,5,4,19,45,35
223,Sec 3,15,Male,0.021,NA,NA,NA,NA,NA,38,32
224,Sec 3,15,Male,0,NA,NA,NA,NA,NA,43,37
225,Sec 3,15,Female,1.75,2,1,1,4,8,50,36
226,Sec 3,15,Female,1,3,3,3,3,12,52,30
227,Sec 3,15,Female,1,3,3,3,3,12,42,31
234,Sec 2,14,Male,0.25,NA,NA,NA,NA,NA,53,35
235,Sec 2,14,Male,1,NA,NA,NA,NA,NA,43,39
236,Sec 2,14,Male,NA,3,4,4,5,16,43,38
237,Sec 2,14,Male,NA,3,3,3,3,12,45,44
238,Sec 2,14,Male,0.25,3,3,3,3,12,39,24.52
239,Sec 2,14,Male,1,NA,NA,NA,NA,NA,31,25
241,Sec 2,14,Female,0.25,NA,NA,NA,NA,NA,41,33
242,Sec 2,14,Female,1,3,3,3,3,12,44,36
243,Sec 2,14,Female,0.5,1,1,1,1,4,49,36
244,Sec 2,14,Male,0.25,NA,NA,NA,NA,NA,36,29
245,Sec 2,14,Male,0.021,2,2,2,2,8,37,37
246,Sec 2,14,Male,7,5,5,5,5,20,50,52
247,Sec 2,14,Female,7,3,3,3,3,12,40,33
248,Sec 2,14,Male,1,3,4,3,4,14,49,31
249,Sec 2,14,Male,0.25,3,3,3,3,12,50,39
250,Sec 2,14,Female,4,1,3,2,3,9,42,27
251,Sec 2,14,Female,3,2,3,3,2,10,49,35
252,Sec 2,13,Female,0,3,3,3,3,12,49,33
253,Sec 2,14,Female,7,2,2,2,2,8,57,29
255,Sec 2,14,Female,7,3,3,3,3,12,48,38
256,Sec 2,14,Female,0.25,3,2,2,3,10,41,34
257,Sec 2,14,Female,1,NA,NA,NA,NA,NA,37,36
258,Sec 2,14,Female,NA,4,4,4,4,16,54,41
264,Sec 3,16,Male,0,1,1,1,1,4,45,38
272,Sec 3,15,Female,7,5,3,3,3,14,47.08,32
273,Sec 3,15,Male,1.14,3,3,3,3,12,33,21
274,Sec 3,15,Male,3,1,1,1,1,4,40,37
275,Sec 3,15,Female,1,3,3,3,3,12,42,36
276,Sec 3,15,Female,1,NA,NA,NA,NA,NA,46,34
277,Sec 3,15,Male,0,3,3,3,3,12,45,45
279,Sec 3,15,Female,0,NA,NA,NA,NA,NA,32,36
280,Sec 3,15,Female,0.125,3,3,3,3,12,41,19
281,Sec 3,16,Female,2.33,4,4,4,4,16,40,31
282,Sec 3,16,Female,0.083,2,2,2,5,11,43,35
283,Sec 3,17,Female,0.5,2,2,2,3,9,43,23
284,Sec 3,18,Male,0.019,3,2,2,2,9,54,31.06
285,Sec 3,15,Female,0,NA,NA,NA,NA,NA,43,39
286,Sec 3,15,Male,0.25,NA,NA,NA,NA,NA,40,30
287,Sec 3,16,Female,1,5,5,4,5,19,47,38
288,Sec 3,16,Female,0.5,2,2,2,5,11,39,30
289,Sec 3,15,Female,3,NA,NA,NA,NA,NA,34,28
290,Sec 3,15,Female,0.75,3,3,3,3,12,51,39
291,Sec 3,15,Female,0,1,1,1,1,4,39,34
292,Sec 3,15,Female,0,NA,NA,NA,NA,NA,33,28
293,Sec 3,15,Female,2,3,3,3,3,12,47,38
294,Sec 3,15,Female,1,3,4,3,3,13,41,40
295,Sec 3,15,Female,1,2,2,2,3,9,46,27
296,Sec 3,16,Male,NA,NA,NA,NA,NA,NA,35,28
314,Sec 2,14,Female,0.5,3,2,3,2,10,43,33
316,Sec 2,13,Female,1,NA,NA,NA,NA,NA,35,28.06
318,Sec 2,15,Female,0,3,3,3,3,12,48,39.47
319,Sec 2,14,Female,0.5,2,2,2,2,8,46,31
320,Sec 2,14,Female,7,3,3,3,3,12,39,24
321,Sec 2,14,Female,NA,5,3,3,4,15,55,49
322,Sec 2,14,Female,1.25,5,5,3,2,15,52,30
324,Sec 2,14,Female,14,4,4,4,4,16,49,34
325,Sec 2,14,Female,0.25,1,1,1,1,4,41,32
326,Sec 2,14,Male,0,NA,NA,NA,NA,NA,54,30
327,Sec 2,14,Male,0.25,3,3,3,3,12,38,44
328,Sec 2,14,Female,7,2,2,2,4,10,53,35
329,Sec 2,14,Male,1,3,3,3,3,12,42,24
330,Sec 2,14,Female,NA,3,2,2,2,9,41,32
331,Sec 2,14,Male,0.019,5,5,5,5,20,51,45
332,Sec 2,14,Female,0.25,NA,NA,NA,NA,NA,50,24
338,Sec 1,13,Female,0.25,2,2,2,2,8,44,14
339,Sec 1,13,Female,0.019,NA,NA,NA,NA,NA,43,17
340,Sec 1,13,Male,1,3,2,2,4,11,43,36
341,Sec 1,13,Male,1,3,3,3,3,12,42,41
342,Sec 1,13,Male,0,NA,NA,NA,NA,NA,36,20
343,Sec 1,12,Female,0,3,4,3,4,14,44,31
344,Sec 1,12,Female,0,NA,NA,NA,NA,NA,41,29
345,Sec 1,13,Female,0,2,2,2,2,8,45,26
347,Sec 1,12,Female,0.5,3,3,3,3,12,53,47
348,Sec 1,13,Female,7,NA,NA,NA,NA,NA,42,33
349,Sec 1,13,Female,0.25,3,3,3,3,12,44,29
350,Sec 1,13,Female,2,3,3,3,3,12,35,22
351,Sec 1,13,Male,0.25,NA,NA,NA,NA,NA,32,25
352,Sec 1,13,Male,0.25,NA,NA,NA,NA,NA,45,16
353,Sec 1,15,Male,2,NA,NA,NA,NA,NA,40.08,37
355,Sec 1,15,Female,NA,2,2,2,2,8,38,25
356,Sec 1,13,Female,NA,2,2,2,2,8,36,23
357,Sec 1,13,Female,1,3,3,2,2,10,39,22
361,Sec 1,13,Male,2,4,5,3,5,17,51,51
362,Sec 1,13,Male,0.25,NA,NA,NA,NA,NA,44,40
367,Sec 2,16,Female,0,5,4,4,3,16,37,30
368,Sec 2,14,Male,7,NA,NA,NA,NA,NA,36,36
369,Sec 2,13,Female,0.25,NA,NA,NA,NA,NA,38,29
371,Sec 2,13,Female,0.5,NA,NA,NA,NA,NA,50,33.99
372,Sec 2,14,Female,0.25,2,2,3,3,10,47,26
373,Sec 2,13,Male,0.33,2,2,2,2,8,42,34
375,Sec 2,14,Male,0.019,4,4,4,5,17,48,41.39
376,Sec 2,14,Male,0.25,3,3,3,4,13,42,42
377,Sec 2,14,Male,NA,4,2,3,3,12,39,33
378,Sec 2,14,Male,0,3,3,3,3,12,37,36
379,Sec 2,14,Male,1,5,5,5,5,20,47,37
380,Sec 2,14,Male,NA,3,4,3,4,14,46,30
381,Sec 2,14,Female,2,3,3,3,3,12,44,36
383,Sec 2,14,Female,0.5,3,3,3,3,12,37,36
385,Sec 2,16,Male,1,3,4,4,5,16,45,38
388,Sec 2,15,Female,3.5,4,4,4,4,16,44,42
