id,book,happiness
qucp,Self-help book,27
tsuk,Self-help book,25
lnlk,Self-help book,20
wahs,Self-help book,11
vftq,Self-help book,22
dnht,Self-help book,16
hplp,Self-help book,31
epvh,Self-help book,32
wtmr,Self-help book,27
lgxv,Self-help book,38
ipqr,Self-help book,18
bgmi,Self-help book,34
wpof,Self-help book,5
eaof,Self-help book,35
nqvn,Self-help book,23
pynt,Self-help book,43
mhei,Self-help book,7
ybsi,Self-help book,19
lskg,Self-help book,28
ankn,Self-help book,30
eqmp,Self-help book,39
qkab,Self-help book,8
wfmb,Self-help book,6
hdho,Self-help book,9
wcmf,Self-help book,23
kvij,Self-help book,27
uhfd,Self-help book,15
maxe,Self-help book,26
hvrh,Self-help book,18
vitq,Self-help book,43
ikcd,Self-help book,34
fgfo,Self-help book,30
tnrq,Self-help book,25
cyiq,Self-help book,18
wdyy,Self-help book,14
ytry,Self-help book,26
cqfu,Self-help book,27
nbol,Self-help book,14
tmyr,Self-help book,24
icru,Self-help book,36
urxd,Self-help book,18
ivyi,Self-help book,23
uews,Self-help book,25
xmub,Self-help book,18
lovy,Self-help book,27
oiwr,Self-help book,23
gjkp,Self-help book,14
vfta,Self-help book,19
jrny,Self-help book,15
oxlg,Self-help book,15
twrt,Self-help book,13
qejw,Self-help book,8
jiua,Self-help book,19
uqiv,Self-help book,16
umqc,Self-help book,33
kvuv,Self-help book,21
ofju,Self-help book,23
nfjr,Self-help book,21
vdgv,Self-help book,27
goer,Self-help book,8
vube,Self-help book,17
eevv,Self-help book,11
lfjq,Self-help book,28
xwpl,Self-help book,36
jmbk,Self-help book,28
xtgo,Self-help book,22
aptp,Self-help book,18
ptes,Self-help book,-18
joru,Self-help book,20
nyai,Self-help book,11
dobt,Self-help book,29
ctoo,Self-help book,-1
fvnh,Self-help book,32
ibrl,Self-help book,14
vmmm,Self-help book,13
qlow,Self-help book,24
ooti,Self-help book,11
wmsu,Self-help book,18
winr,Self-help book,9
nmgw,Self-help book,31
ahnc,Self-help book,19
hiit,Self-help book,36
rhsy,Self-help book,6
hsig,Self-help book,9
vcji,Self-help book,19
bjui,Self-help book,21
yntr,Self-help book,20
clxm,Self-help book,22
nyxo,Self-help book,20
tsig,Self-help book,25
qgwa,Self-help book,22
tndy,Self-help book,5
vgxx,Self-help book,25
nddq,Self-help book,17
erpq,Self-help book,25
tfkh,Self-help book,35
safw,Self-help book,20
yeft,Self-help book,24
jxgx,Self-help book,23
vxtd,Self-help book,28
vujl,Self-help book,22
sptr,Self-help book,14
wbwp,Self-help book,26
pggx,Self-help book,11
qwpl,Self-help book,26
tulp,Self-help book,17
vfhy,Self-help book,31
sify,Self-help book,10
fefh,Self-help book,19
mjvh,Self-help book,-3
xfid,Self-help book,26
ncbt,Self-help book,2
pduy,Self-help book,21
bpli,Self-help book,20
puyh,Self-help book,18
xtvs,Self-help book,14
rlnv,Self-help book,25
dkqq,Self-help book,23
reor,Self-help book,6
tlab,Self-help book,26
gsyq,Self-help book,29
sbeb,Self-help book,22
jqgr,Self-help book,13
wpfv,Self-help book,19
yflr,Self-help book,45
sjrr,Self-help book,20
cqvb,Self-help book,26
xlpc,Self-help book,24
ngxb,Self-help book,27
wxgf,Self-help book,23
prej,Self-help book,15
kenc,Self-help book,2
gkls,Self-help book,10
iarf,Self-help book,28
vofg,Self-help book,11
atqf,Self-help book,16
ngwg,Self-help book,21
pjrc,Self-help book,25
lmcg,Self-help book,11
drvy,Self-help book,-1
jwfv,Self-help book,45
lqbr,Self-help book,18
saxu,Self-help book,38
dtus,Self-help book,23
mowf,Self-help book,13
gilx,Self-help book,43
prdi,Self-help book,9
iblm,Self-help book,35
yvqh,Self-help book,29
pstc,Self-help book,4
braw,Self-help book,23
vgml,Self-help book,21
etok,Self-help book,13
wead,Self-help book,24
fwva,Self-help book,21
guay,Self-help book,16
jonv,Self-help book,3
bume,Self-help book,16
fxhy,Self-help book,20
lfxj,Self-help book,28
mqic,Self-help book,10
cuui,Self-help book,24
srxm,Self-help book,4
ltvm,Self-help book,28
nxsh,Self-help book,30
ovrj,Self-help book,35
xqsh,Self-help book,30
rrvd,Self-help book,28
lcxy,Self-help book,18
lltj,Self-help book,21
fpug,Self-help book,18
ejwx,Self-help book,22
pngd,Self-help book,44
qonr,Self-help book,11
nrci,Self-help book,21
jssf,Self-help book,7
luva,Self-help book,32
plyv,Self-help book,12
ivsa,Self-help book,23
lith,Self-help book,17
vrjj,Self-help book,30
oagc,Self-help book,23
fver,Self-help book,20
jfef,Self-help book,15
ocom,Self-help book,20
xrvp,Self-help book,25
exvt,Self-help book,21
dexa,Self-help book,15
ygor,Self-help book,16
psgo,Self-help book,-6
ujqo,Self-help book,24
kpty,Self-help book,20
pccj,Self-help book,27
yocj,Self-help book,27
ecos,Self-help book,10
glba,Self-help book,14
dfba,Self-help book,15
ynjd,Self-help book,23
prxh,Self-help book,16
crxx,Self-help book,3
oxvg,Self-help book,22
ltpx,Self-help book,22
vowl,Self-help book,32
dlym,Self-help book,9
loqy,Self-help book,18
sxrg,Self-help book,28
opbp,Self-help book,40
xxll,Self-help book,14
uujt,Self-help book,14
jcmc,Self-help book,10
oslw,Self-help book,21
yvyr,Self-help book,3
usmt,Self-help book,24
kosl,Self-help book,10
rrdn,Self-help book,20
awar,Self-help book,22
sdnf,Self-help book,28
ectq,Self-help book,18
kugo,Self-help book,26
eoal,Self-help book,15
nkxv,Self-help book,27
ttjy,Self-help book,28
tmwx,Self-help book,26
skgl,Self-help book,-8
rlqm,Self-help book,24
djoi,Self-help book,18
mwae,Self-help book,16
xbmy,Self-help book,16
bgog,Self-help book,39
tbrp,Self-help book,13
efts,Self-help book,32
rxkf,Self-help book,22
naxe,Self-help book,36
rpho,Self-help book,16
foxj,Self-help book,20
erjk,Self-help book,11
whbi,Self-help book,25
scab,Self-help book,20
sxfq,Self-help book,14
fhop,Self-help book,25
hsco,Self-help book,14
phrv,Self-help book,39
shpn,Self-help book,18
dvdd,Self-help book,36
bfts,Self-help book,7
qqtd,Self-help book,11
fhmm,Self-help book,32
xrlq,Self-help book,36
bqet,Self-help book,32
dghu,Self-help book,19
ubsj,Self-help book,34
oslc,Self-help book,6
rsjy,Self-help book,31
phhb,Self-help book,28
wgig,Self-help book,43
mdne,Self-help book,15
nxqy,Self-help book,15
snvd,Self-help book,23
ytlm,Self-help book,15
xmyk,Self-help book,40
qmrf,Self-help book,38
bjmn,Self-help book,42
pmjo,Self-help book,25
ksft,Self-help book,18
lfim,Self-help book,16
dqfs,Self-help book,28
yxkh,Self-help book,14
nfsr,Self-help book,18
ucsk,Self-help book,13
jnef,Self-help book,6
liao,Self-help book,21
hcww,Self-help book,22
xqwh,Self-help book,17
xnni,Self-help book,20
dmoi,Self-help book,23
ykny,Self-help book,19
lyyl,Self-help book,15
usvq,Self-help book,19
hmtw,Self-help book,-5
tcte,Self-help book,27
myho,Self-help book,5
ghsg,Self-help book,22
pdaa,Self-help book,20
fnvf,Self-help book,28
qlbf,Self-help book,33
livn,Self-help book,-12
eivl,Self-help book,36
pups,Self-help book,15
yxna,Self-help book,17
pfnl,Self-help book,13
rtpo,Self-help book,20
jqti,Self-help book,29
ughv,Self-help book,13
duyy,Self-help book,1
njjv,Self-help book,9
iayd,Self-help book,7
dqyh,Self-help book,29
hlta,Self-help book,33
kmmk,Self-help book,21
xqpx,Self-help book,8
kkmm,Self-help book,20
scvg,Self-help book,19
vljf,Self-help book,11
gnca,Self-help book,10
kffg,Self-help book,16
pula,Self-help book,17
clnl,Self-help book,9
rkoo,Self-help book,14
bdiq,Self-help book,21
bqir,Self-help book,24
wjbh,Self-help book,26
gkuv,Self-help book,27
nwno,Self-help book,15
ecto,Self-help book,11
umhp,Self-help book,12
wjco,Self-help book,32
vwid,Self-help book,12
ibes,Self-help book,33
lsvw,Self-help book,-7
pvic,Self-help book,18
pjjp,Self-help book,39
decp,Self-help book,15
rsph,Self-help book,17
qkga,Self-help book,13
nuqd,Self-help book,33
vucq,Self-help book,27
lbou,Self-help book,23
qhxa,Self-help book,20
njsw,Self-help book,17
hulj,Self-help book,21
tbeo,Self-help book,6
yooj,Self-help book,27
oimv,Self-help book,16
otct,Self-help book,30
fyws,Self-help book,24
ipie,Self-help book,34
dqno,Self-help book,16
bsth,Self-help book,23
mrbt,Self-help book,14
kybj,Self-help book,10
neri,Self-help book,31
lhru,Self-help book,28
kyfw,Self-help book,27
qsea,Self-help book,32
shpo,Self-help book,45
vblu,Self-help book,13
clal,Self-help book,15
ojsr,Self-help book,20
ydbh,Self-help book,4
txpu,Self-help book,8
vkng,Self-help book,22
cnvh,Self-help book,36
aenb,Self-help book,20
ieux,Self-help book,22
iixu,Self-help book,17
wody,Self-help book,20
svur,Self-help book,12
iamo,Self-help book,24
kett,Self-help book,27
qplr,Self-help book,19
wstu,Self-help book,21
muhm,Self-help book,19
ksyw,Self-help book,18
egqh,Self-help book,20
dwuc,Self-help book,9
dwvs,Self-help book,15
ptip,Discovering statistics using R,18
yicq,Discovering statistics using R,16
dpby,Discovering statistics using R,25
enuk,Discovering statistics using R,18
hkaw,Discovering statistics using R,12
aubu,Discovering statistics using R,28
kffv,Discovering statistics using R,10
srvj,Discovering statistics using R,24
ijqn,Discovering statistics using R,17
nbxn,Discovering statistics using R,35
lsrs,Discovering statistics using R,7
qfrg,Discovering statistics using R,14
cipi,Discovering statistics using R,11
asey,Discovering statistics using R,15
kwnm,Discovering statistics using R,22
lrpq,Discovering statistics using R,13
wwhn,Discovering statistics using R,17
gkpu,Discovering statistics using R,17
aldo,Discovering statistics using R,22
bcgv,Discovering statistics using R,15
ukht,Discovering statistics using R,14
wusi,Discovering statistics using R,12
dily,Discovering statistics using R,41
ppvl,Discovering statistics using R,22
rlbk,Discovering statistics using R,18
bobk,Discovering statistics using R,23
iqrf,Discovering statistics using R,3
gaar,Discovering statistics using R,16
dvjr,Discovering statistics using R,18
hifb,Discovering statistics using R,33
tpsm,Discovering statistics using R,19
nsaw,Discovering statistics using R,20
gkcf,Discovering statistics using R,5
sxyb,Discovering statistics using R,24
vfji,Discovering statistics using R,15
rvxd,Discovering statistics using R,11
eawf,Discovering statistics using R,29
quch,Discovering statistics using R,8
fxpo,Discovering statistics using R,38
nelp,Discovering statistics using R,9
pvao,Discovering statistics using R,31
qiav,Discovering statistics using R,6
bpoq,Discovering statistics using R,3
uesy,Discovering statistics using R,23
pqkm,Discovering statistics using R,22
huff,Discovering statistics using R,14
dfjt,Discovering statistics using R,11
fxgb,Discovering statistics using R,7
rrri,Discovering statistics using R,17
xlqq,Discovering statistics using R,32
bdys,Discovering statistics using R,22
mrww,Discovering statistics using R,-2
xvgb,Discovering statistics using R,15
cuyg,Discovering statistics using R,13
wexj,Discovering statistics using R,15
qebn,Discovering statistics using R,14
lamh,Discovering statistics using R,9
ouav,Discovering statistics using R,21
ujgr,Discovering statistics using R,31
qacy,Discovering statistics using R,19
iexq,Discovering statistics using R,9
mtsa,Discovering statistics using R,14
fcmb,Discovering statistics using R,8
nfkb,Discovering statistics using R,9
exgm,Discovering statistics using R,11
mhfw,Discovering statistics using R,31
clbq,Discovering statistics using R,13
sikk,Discovering statistics using R,22
xsdv,Discovering statistics using R,29
whbv,Discovering statistics using R,24
lony,Discovering statistics using R,26
cnua,Discovering statistics using R,25
yerm,Discovering statistics using R,18
mbdk,Discovering statistics using R,3
qojl,Discovering statistics using R,30
ycjx,Discovering statistics using R,16
ghdi,Discovering statistics using R,10
pnsy,Discovering statistics using R,25
lwgq,Discovering statistics using R,17
yrta,Discovering statistics using R,29
lrvl,Discovering statistics using R,13
eukk,Discovering statistics using R,11
irij,Discovering statistics using R,5
qxjc,Discovering statistics using R,18
alqa,Discovering statistics using R,35
ggdo,Discovering statistics using R,42
bpng,Discovering statistics using R,17
uohu,Discovering statistics using R,10
skgg,Discovering statistics using R,-2
xind,Discovering statistics using R,12
tpwh,Discovering statistics using R,24
pdvu,Discovering statistics using R,23
qdnj,Discovering statistics using R,10
ypgu,Discovering statistics using R,9
okbd,Discovering statistics using R,35
sedy,Discovering statistics using R,24
dyfu,Discovering statistics using R,13
jriq,Discovering statistics using R,6
trbs,Discovering statistics using R,0
hgtw,Discovering statistics using R,13
neqv,Discovering statistics using R,28
obou,Discovering statistics using R,11
rjas,Discovering statistics using R,8
qxkt,Discovering statistics using R,30
cqtg,Discovering statistics using R,24
bysj,Discovering statistics using R,17
qwme,Discovering statistics using R,2
kjcg,Discovering statistics using R,28
uumg,Discovering statistics using R,11
lpvw,Discovering statistics using R,9
yvrq,Discovering statistics using R,15
cjku,Discovering statistics using R,19
rpwu,Discovering statistics using R,12
uhes,Discovering statistics using R,13
qqas,Discovering statistics using R,19
pfnd,Discovering statistics using R,12
sqom,Discovering statistics using R,8
fouy,Discovering statistics using R,16
yxgl,Discovering statistics using R,27
glej,Discovering statistics using R,18
byoy,Discovering statistics using R,23
ykni,Discovering statistics using R,24
vynd,Discovering statistics using R,19
mfdh,Discovering statistics using R,16
pfws,Discovering statistics using R,21
giul,Discovering statistics using R,18
pcfd,Discovering statistics using R,24
http,Discovering statistics using R,14
detm,Discovering statistics using R,16
pfla,Discovering statistics using R,23
iguf,Discovering statistics using R,13
eekr,Discovering statistics using R,-3
dmek,Discovering statistics using R,12
gpvf,Discovering statistics using R,29
qucp,Discovering statistics using R,31
tsuk,Discovering statistics using R,3
lnlk,Discovering statistics using R,18
wahs,Discovering statistics using R,13
vftq,Discovering statistics using R,19
dnht,Discovering statistics using R,23
hplp,Discovering statistics using R,30
epvh,Discovering statistics using R,20
wtmr,Discovering statistics using R,25
lgxv,Discovering statistics using R,18
ipqr,Discovering statistics using R,9
bgmi,Discovering statistics using R,25
wpof,Discovering statistics using R,10
eaof,Discovering statistics using R,24
nqvn,Discovering statistics using R,13
pynt,Discovering statistics using R,15
mhei,Discovering statistics using R,7
ybsi,Discovering statistics using R,9
lskg,Discovering statistics using R,35
ankn,Discovering statistics using R,25
eqmp,Discovering statistics using R,27
qkab,Discovering statistics using R,18
wfmb,Discovering statistics using R,12
hdho,Discovering statistics using R,22
wcmf,Discovering statistics using R,23
kvij,Discovering statistics using R,23
uhfd,Discovering statistics using R,22
maxe,Discovering statistics using R,18
hvrh,Discovering statistics using R,12
vitq,Discovering statistics using R,7
ikcd,Discovering statistics using R,16
fgfo,Discovering statistics using R,-3
tnrq,Discovering statistics using R,9
cyiq,Discovering statistics using R,16
wdyy,Discovering statistics using R,22
ytry,Discovering statistics using R,22
cqfu,Discovering statistics using R,1
nbol,Discovering statistics using R,16
tmyr,Discovering statistics using R,9
icru,Discovering statistics using R,21
urxd,Discovering statistics using R,16
ivyi,Discovering statistics using R,33
uews,Discovering statistics using R,3
xmub,Discovering statistics using R,27
lovy,Discovering statistics using R,30
oiwr,Discovering statistics using R,20
gjkp,Discovering statistics using R,14
vfta,Discovering statistics using R,21
jrny,Discovering statistics using R,33
oxlg,Discovering statistics using R,14
twrt,Discovering statistics using R,17
qejw,Discovering statistics using R,11
jiua,Discovering statistics using R,16
uqiv,Discovering statistics using R,10
umqc,Discovering statistics using R,18
kvuv,Discovering statistics using R,24
ofju,Discovering statistics using R,25
nfjr,Discovering statistics using R,21
vdgv,Discovering statistics using R,24
goer,Discovering statistics using R,19
vube,Discovering statistics using R,14
eevv,Discovering statistics using R,20
lfjq,Discovering statistics using R,22
xwpl,Discovering statistics using R,25
jmbk,Discovering statistics using R,5
xtgo,Discovering statistics using R,21
aptp,Discovering statistics using R,26
ptes,Discovering statistics using R,30
joru,Discovering statistics using R,20
nyai,Discovering statistics using R,7
dobt,Discovering statistics using R,24
ctoo,Discovering statistics using R,12
fvnh,Discovering statistics using R,37
ibrl,Discovering statistics using R,27
vmmm,Discovering statistics using R,19
qlow,Discovering statistics using R,23
ooti,Discovering statistics using R,24
wmsu,Discovering statistics using R,19
winr,Discovering statistics using R,13
nmgw,Discovering statistics using R,25
ahnc,Discovering statistics using R,14
hiit,Discovering statistics using R,29
rhsy,Discovering statistics using R,3
hsig,Discovering statistics using R,8
vcji,Discovering statistics using R,10
bjui,Discovering statistics using R,18
yntr,Discovering statistics using R,3
clxm,Discovering statistics using R,10
nyxo,Discovering statistics using R,4
tsig,Discovering statistics using R,25
qgwa,Discovering statistics using R,19
tndy,Discovering statistics using R,34
vgxx,Discovering statistics using R,11
nddq,Discovering statistics using R,4
erpq,Discovering statistics using R,26
tfkh,Discovering statistics using R,21
safw,Discovering statistics using R,5
yeft,Discovering statistics using R,11
jxgx,Discovering statistics using R,6
vxtd,Discovering statistics using R,33
vujl,Discovering statistics using R,31
sptr,Discovering statistics using R,7
wbwp,Discovering statistics using R,19
pggx,Discovering statistics using R,14
qwpl,Discovering statistics using R,22
tulp,Discovering statistics using R,11
vfhy,Discovering statistics using R,19
sify,Discovering statistics using R,33
fefh,Discovering statistics using R,28
mjvh,Discovering statistics using R,10
xfid,Discovering statistics using R,34
ncbt,Discovering statistics using R,9
pduy,Discovering statistics using R,22
bpli,Discovering statistics using R,20
puyh,Discovering statistics using R,26
xtvs,Discovering statistics using R,4
rlnv,Discovering statistics using R,22
dkqq,Discovering statistics using R,29
reor,Discovering statistics using R,-3
tlab,Discovering statistics using R,25
gsyq,Discovering statistics using R,18
sbeb,Discovering statistics using R,9
jqgr,Discovering statistics using R,27
wpfv,Discovering statistics using R,17
yflr,Discovering statistics using R,23
sjrr,Discovering statistics using R,16
cqvb,Discovering statistics using R,23
xlpc,Discovering statistics using R,24
ngxb,Discovering statistics using R,22
wxgf,Discovering statistics using R,12
prej,Discovering statistics using R,24
kenc,Discovering statistics using R,16
gkls,Discovering statistics using R,10
iarf,Discovering statistics using R,23
vofg,Discovering statistics using R,4
atqf,Discovering statistics using R,26
ngwg,Discovering statistics using R,27
pjrc,Discovering statistics using R,17
lmcg,Discovering statistics using R,19
drvy,Discovering statistics using R,3
jwfv,Discovering statistics using R,23
lqbr,Discovering statistics using R,14
saxu,Discovering statistics using R,30
dtus,Discovering statistics using R,31
mowf,Discovering statistics using R,12
gilx,Discovering statistics using R,19
prdi,Discovering statistics using R,23
iblm,Discovering statistics using R,21
yvqh,Discovering statistics using R,11
pstc,Discovering statistics using R,7
braw,Discovering statistics using R,23
vgml,Discovering statistics using R,39
etok,Discovering statistics using R,36
wead,Discovering statistics using R,24
fwva,Discovering statistics using R,24
guay,Discovering statistics using R,14
jonv,Discovering statistics using R,19
bume,Discovering statistics using R,19
fxhy,Discovering statistics using R,7
lfxj,Discovering statistics using R,22
mqic,Discovering statistics using R,20
cuui,Discovering statistics using R,19
srxm,Discovering statistics using R,20
ltvm,Discovering statistics using R,13
nxsh,Discovering statistics using R,23
ovrj,Discovering statistics using R,16
xqsh,Discovering statistics using R,27
rrvd,Discovering statistics using R,13
lcxy,Discovering statistics using R,12
lltj,Discovering statistics using R,20
fpug,Discovering statistics using R,7
ejwx,Discovering statistics using R,24
pngd,Discovering statistics using R,26
qonr,Discovering statistics using R,18
nrci,Discovering statistics using R,22
jssf,Discovering statistics using R,16
luva,Discovering statistics using R,28
plyv,Discovering statistics using R,20
ivsa,Discovering statistics using R,24
lith,Discovering statistics using R,20
vrjj,Discovering statistics using R,17
oagc,Discovering statistics using R,29
fver,Discovering statistics using R,17
jfef,Discovering statistics using R,1
ocom,Discovering statistics using R,11
xrvp,Discovering statistics using R,28
exvt,Discovering statistics using R,14
dexa,Discovering statistics using R,9
ygor,Discovering statistics using R,19
psgo,Discovering statistics using R,19
ujqo,Discovering statistics using R,15
kpty,Discovering statistics using R,11
pccj,Discovering statistics using R,27
yocj,Discovering statistics using R,24
ecos,Discovering statistics using R,16
glba,Discovering statistics using R,42
dfba,Discovering statistics using R,16
ynjd,Discovering statistics using R,1
prxh,Discovering statistics using R,21
crxx,Discovering statistics using R,18
oxvg,Discovering statistics using R,15
ltpx,Discovering statistics using R,37
vowl,Discovering statistics using R,27
dlym,Discovering statistics using R,16
loqy,Discovering statistics using R,9
sxrg,Discovering statistics using R,22
opbp,Discovering statistics using R,21
xxll,Discovering statistics using R,16
uujt,Discovering statistics using R,15
jcmc,Discovering statistics using R,18
oslw,Discovering statistics using R,32
yvyr,Discovering statistics using R,28
usmt,Discovering statistics using R,40
kosl,Discovering statistics using R,8
rrdn,Discovering statistics using R,13
awar,Discovering statistics using R,26
sdnf,Discovering statistics using R,21
ectq,Discovering statistics using R,31
kugo,Discovering statistics using R,19
eoal,Discovering statistics using R,16
nkxv,Discovering statistics using R,-8
ttjy,Discovering statistics using R,8
tmwx,Discovering statistics using R,24
skgl,Discovering statistics using R,33
rlqm,Discovering statistics using R,29
djoi,Discovering statistics using R,16
mwae,Discovering statistics using R,42
xbmy,Discovering statistics using R,15
bgog,Discovering statistics using R,15
tbrp,Discovering statistics using R,18
efts,Discovering statistics using R,18
rxkf,Discovering statistics using R,25
naxe,Discovering statistics using R,25
rpho,Discovering statistics using R,34
foxj,Discovering statistics using R,26
erjk,Discovering statistics using R,14
whbi,Discovering statistics using R,12
scab,Discovering statistics using R,9
sxfq,Discovering statistics using R,13
fhop,Discovering statistics using R,17
hsco,Discovering statistics using R,9
phrv,Discovering statistics using R,21
shpn,Discovering statistics using R,17
dvdd,Discovering statistics using R,23
bfts,Discovering statistics using R,10
qqtd,Discovering statistics using R,5
fhmm,Discovering statistics using R,15
xrlq,Discovering statistics using R,21
bqet,Discovering statistics using R,27
dghu,Discovering statistics using R,9
ubsj,Discovering statistics using R,16
oslc,Discovering statistics using R,6
rsjy,Discovering statistics using R,13
phhb,Discovering statistics using R,8
wgig,Discovering statistics using R,32
mdne,Discovering statistics using R,21
nxqy,Discovering statistics using R,22
snvd,Discovering statistics using R,14
ytlm,Discovering statistics using R,29
xmyk,Discovering statistics using R,21
qmrf,Discovering statistics using R,32
bjmn,Discovering statistics using R,20
pmjo,Discovering statistics using R,7
ksft,Discovering statistics using R,18
lfim,Discovering statistics using R,24
dqfs,Discovering statistics using R,33
yxkh,Discovering statistics using R,24
nfsr,Discovering statistics using R,21
ucsk,Discovering statistics using R,9
jnef,Discovering statistics using R,33
liao,Discovering statistics using R,26
hcww,Discovering statistics using R,11
xqwh,Discovering statistics using R,20
xnni,Discovering statistics using R,5
dmoi,Discovering statistics using R,28
ykny,Discovering statistics using R,24
lyyl,Discovering statistics using R,26
usvq,Discovering statistics using R,16
hmtw,Discovering statistics using R,24
tcte,Discovering statistics using R,27
myho,Discovering statistics using R,9
ghsg,Discovering statistics using R,15
pdaa,Discovering statistics using R,11
fnvf,Discovering statistics using R,20
qlbf,Discovering statistics using R,23
livn,Discovering statistics using R,29
eivl,Discovering statistics using R,34
pups,Discovering statistics using R,5
yxna,Discovering statistics using R,10
pfnl,Discovering statistics using R,24
rtpo,Discovering statistics using R,16
jqti,Discovering statistics using R,12
ughv,Discovering statistics using R,11
duyy,Discovering statistics using R,1
njjv,Discovering statistics using R,16
iayd,Discovering statistics using R,21
dqyh,Discovering statistics using R,24
hlta,Discovering statistics using R,18
kmmk,Discovering statistics using R,40
xqpx,Discovering statistics using R,23
kkmm,Discovering statistics using R,25
scvg,Discovering statistics using R,13
vljf,Discovering statistics using R,9
gnca,Discovering statistics using R,26
kffg,Discovering statistics using R,2
pula,Discovering statistics using R,15
clnl,Discovering statistics using R,24
rkoo,Discovering statistics using R,5
bdiq,Discovering statistics using R,21
bqir,Discovering statistics using R,12
wjbh,Discovering statistics using R,15
gkuv,Discovering statistics using R,20
nwno,Discovering statistics using R,21
ecto,Discovering statistics using R,27
umhp,Discovering statistics using R,1
wjco,Discovering statistics using R,20
vwid,Discovering statistics using R,16
ibes,Discovering statistics using R,21
lsvw,Discovering statistics using R,13
pvic,Discovering statistics using R,21
pjjp,Discovering statistics using R,-2
decp,Discovering statistics using R,19
rsph,Discovering statistics using R,24
qkga,Discovering statistics using R,30
nuqd,Discovering statistics using R,24
vucq,Discovering statistics using R,9
lbou,Discovering statistics using R,25
qhxa,Discovering statistics using R,28
njsw,Discovering statistics using R,4
hulj,Discovering statistics using R,31
tbeo,Discovering statistics using R,22
yooj,Discovering statistics using R,24
oimv,Discovering statistics using R,36
otct,Discovering statistics using R,4
fyws,Discovering statistics using R,25
ipie,Discovering statistics using R,27
dqno,Discovering statistics using R,19
bsth,Discovering statistics using R,1
mrbt,Discovering statistics using R,38
kybj,Discovering statistics using R,14
neri,Discovering statistics using R,14
lhru,Discovering statistics using R,27
kyfw,Discovering statistics using R,35
qsea,Discovering statistics using R,20
