id,age,sex,status,profile,extraversion,narcissism,rating_type,rating
101,15,F,7,14,57,50,Attractiveness,3
102,15,M,1,13,42,36,Attractiveness,3
103,15,F,1,12,43,27,Attractiveness,3
105,15,F,0.5,12,44,31,Attractiveness,3
106,15,F,0.75,14,48,35,Attractiveness,4
107,15,F,0.25,9,45,25,Attractiveness,3
108,15,F,1,12,45,23,Attractiveness,3
109,15,F,0,6,44,32,Attractiveness,1
110,15,M,1,13,45,32,Attractiveness,3
111,15,F,1.25,12,47,32,Attractiveness,3
112,15,F,1,11,44,25,Attractiveness,3
113,15,M,1,11,38,36,Attractiveness,3
114,15,F,3.5,12,44,37,Attractiveness,3
115,15,F,0.5,12,40,33,Attractiveness,3
116,15,F,1,8,41,19,Attractiveness,2
117,15,F,1,5,38,25,Attractiveness,2
118,15,F,0.5,6,35,36,Attractiveness,2
119,15,F,0.5,12,42,33,Attractiveness,3
120,15,M,0.5,12,44,29,Attractiveness,3
139,12,M,0.5,4,40,31,Attractiveness,1
140,13,M,NA,NA,53,37,Attractiveness,NA
141,12,F,3,NA,42,45,Attractiveness,NA
142,14,M,0,NA,33,30,Attractiveness,NA
143,13,F,2,12,43,34,Attractiveness,3
144,13,F,0.083,18,47,34,Attractiveness,5
145,13,F,0.5,4,41,26,Attractiveness,1
146,13,F,0.5,7,43,20,Attractiveness,1
147,13,M,1,12,39,36.41,Attractiveness,2
148,13,M,7,20,45,28.46,Attractiveness,5
149,13,F,7,15,52,45,Attractiveness,4
150,13,F,1.75,10,52,28,Attractiveness,2
151,NA,M,2,NA,45,53,Attractiveness,NA
152,12,F,2,10,46,29,Attractiveness,3
153,13,F,7,NA,44,44,Attractiveness,NA
154,14,M,1,12,39,36,Attractiveness,3
156,13,F,7,9,40,42,Attractiveness,3
157,13,M,0.5,7,46,27.44,Attractiveness,2
158,13,M,7,7,33,23,Attractiveness,2
159,13,M,NA,NA,41,34,Attractiveness,NA
160,NA,F,0.5,6,48,40.52,Attractiveness,2
161,14,M,NA,NA,38,28,Attractiveness,NA
164,17,M,1,13,41,41,Attractiveness,3
165,15,F,0.25,4,38,17,Attractiveness,1
166,15,F,0,NA,42,17,Attractiveness,NA
167,15,F,7,11,47,39,Attractiveness,3
168,15,F,7,12,35,24,Attractiveness,3
170,15,M,0,15,48,50,Attractiveness,3
171,15,M,NA,NA,46,36,Attractiveness,NA
172,15,M,2,12,36,35,Attractiveness,3
173,15,F,4,5,34,21,Attractiveness,1
174,18,M,0,9,34,28,Attractiveness,2
175,15,F,7,12,35,22,Attractiveness,3
176,14,F,0.25,12,47,35,Attractiveness,3
177,15,F,0.25,NA,36,18,Attractiveness,NA
178,15,M,0.042,16,46,29,Attractiveness,4
179,15,M,0.25,NA,41,29,Attractiveness,NA
181,15,F,14,16,53,42,Attractiveness,4
182,14,F,0,11,44,27,Attractiveness,3
183,15,F,0,12,46,27,Attractiveness,3
184,16,F,0.042,17,42,36,Attractiveness,4
185,15,M,0,NA,28,34,Attractiveness,NA
186,15,F,0.5,11,41,40,Attractiveness,3
187,14,F,0.5,8,40,25,Attractiveness,3
188,15,M,1,12,45,42,Attractiveness,3
189,15,M,0,NA,39,31,Attractiveness,NA
191,15,F,0.25,10,36,25,Attractiveness,1
192,15,M,0.25,12,43,33,Attractiveness,3
193,15,M,0,20,41,36,Attractiveness,5
194,15,M,0.021,20,51,45,Attractiveness,5
195,15,F,7,NA,46,45,Attractiveness,NA
196,15,F,0.25,NA,37,23,Attractiveness,NA
197,15,F,0.25,NA,41.76,29,Attractiveness,NA
198,15,F,0.25,12,38,31,Attractiveness,3
199,15,F,0.25,6,47,23,Attractiveness,2
200,15,F,0.5,NA,49,45,Attractiveness,NA
201,15,F,1,9,43,28,Attractiveness,3
202,15,F,0.25,NA,36,19,Attractiveness,NA
203,15,F,2,12,38,26,Attractiveness,3
204,14,F,0.5,14,50,37.06,Attractiveness,4
205,15,F,2,12,58,38,Attractiveness,3
206,15,F,0.25,NA,49,37,Attractiveness,NA
207,15,F,0.021,NA,43,42,Attractiveness,NA
208,15,F,0.25,8,35,23,Attractiveness,2
209,16,F,0.25,18,50,40,Attractiveness,5
211,15,M,0.25,11,45,41,Attractiveness,4
212,15,M,0.25,NA,39,39.06,Attractiveness,NA
213,15,F,0,10,48.6,28,Attractiveness,1
214,15,M,3.5,20,56,47,Attractiveness,5
215,15,M,1,12,49,46,Attractiveness,3
216,16,M,0.5,NA,33,25,Attractiveness,NA
217,15,F,1,12,47,30,Attractiveness,3
218,15,F,0,NA,43,31,Attractiveness,NA
219,15,F,1,13,37,41,Attractiveness,3
220,15,F,0.042,14,48,34,Attractiveness,4
221,15,F,0,12,46,26,Attractiveness,3
222,14,M,4,19,45,35,Attractiveness,5
223,15,M,0.021,NA,38,32,Attractiveness,NA
224,15,M,0,NA,43,37,Attractiveness,NA
225,15,F,1.75,8,50,36,Attractiveness,2
226,15,F,1,12,52,30,Attractiveness,3
227,15,F,1,12,42,31,Attractiveness,3
234,14,M,0.25,NA,53,35,Attractiveness,NA
235,14,M,1,NA,43,39,Attractiveness,NA
236,14,M,NA,16,43,38,Attractiveness,3
237,14,M,NA,12,45,44,Attractiveness,3
238,14,M,0.25,12,39,24.52,Attractiveness,3
239,14,M,1,NA,31,25,Attractiveness,NA
241,14,F,0.25,NA,41,33,Attractiveness,NA
242,14,F,1,12,44,36,Attractiveness,3
243,14,F,0.5,4,49,36,Attractiveness,1
244,14,M,0.25,NA,36,29,Attractiveness,NA
245,14,M,0.021,8,37,37,Attractiveness,2
246,14,M,7,20,50,52,Attractiveness,5
247,14,F,7,12,40,33,Attractiveness,3
248,14,M,1,14,49,31,Attractiveness,3
249,14,M,0.25,12,50,39,Attractiveness,3
250,14,F,4,9,42,27,Attractiveness,1
251,14,F,3,10,49,35,Attractiveness,2
252,13,F,0,12,49,33,Attractiveness,3
253,14,F,7,8,57,29,Attractiveness,2
255,14,F,7,12,48,38,Attractiveness,3
256,14,F,0.25,10,41,34,Attractiveness,3
257,14,F,1,NA,37,36,Attractiveness,NA
258,14,F,NA,16,54,41,Attractiveness,4
264,16,M,0,4,45,38,Attractiveness,1
272,15,F,7,14,47.08,32,Attractiveness,5
273,15,M,1.14,12,33,21,Attractiveness,3
274,15,M,3,4,40,37,Attractiveness,1
275,15,F,1,12,42,36,Attractiveness,3
276,15,F,1,NA,46,34,Attractiveness,NA
277,15,M,0,12,45,45,Attractiveness,3
279,15,F,0,NA,32,36,Attractiveness,NA
280,15,F,0.125,12,41,19,Attractiveness,3
281,16,F,2.33,16,40,31,Attractiveness,4
282,16,F,0.083,11,43,35,Attractiveness,2
283,17,F,0.5,9,43,23,Attractiveness,2
284,18,M,0.019,9,54,31.06,Attractiveness,3
285,15,F,0,NA,43,39,Attractiveness,NA
286,15,M,0.25,NA,40,30,Attractiveness,NA
287,16,F,1,19,47,38,Attractiveness,5
288,16,F,0.5,11,39,30,Attractiveness,2
289,15,F,3,NA,34,28,Attractiveness,NA
290,15,F,0.75,12,51,39,Attractiveness,3
291,15,F,0,4,39,34,Attractiveness,1
292,15,F,0,NA,33,28,Attractiveness,NA
293,15,F,2,12,47,38,Attractiveness,3
294,15,F,1,13,41,40,Attractiveness,3
295,15,F,1,9,46,27,Attractiveness,2
296,16,M,NA,NA,35,28,Attractiveness,NA
314,14,F,0.5,10,43,33,Attractiveness,3
316,13,F,1,NA,35,28.06,Attractiveness,NA
318,15,F,0,12,48,39.47,Attractiveness,3
319,14,F,0.5,8,46,31,Attractiveness,2
320,14,F,7,12,39,24,Attractiveness,3
321,14,F,NA,15,55,49,Attractiveness,5
322,14,F,1.25,15,52,30,Attractiveness,5
324,14,F,14,16,49,34,Attractiveness,4
325,14,F,0.25,4,41,32,Attractiveness,1
326,14,M,0,NA,54,30,Attractiveness,NA
327,14,M,0.25,12,38,44,Attractiveness,3
328,14,F,7,10,53,35,Attractiveness,2
329,14,M,1,12,42,24,Attractiveness,3
330,14,F,NA,9,41,32,Attractiveness,3
331,14,M,0.019,20,51,45,Attractiveness,5
332,14,F,0.25,NA,50,24,Attractiveness,NA
338,13,F,0.25,8,44,14,Attractiveness,2
339,13,F,0.019,NA,43,17,Attractiveness,NA
340,13,M,1,11,43,36,Attractiveness,3
341,13,M,1,12,42,41,Attractiveness,3
342,13,M,0,NA,36,20,Attractiveness,NA
343,12,F,0,14,44,31,Attractiveness,3
344,12,F,0,NA,41,29,Attractiveness,NA
345,13,F,0,8,45,26,Attractiveness,2
347,12,F,0.5,12,53,47,Attractiveness,3
348,13,F,7,NA,42,33,Attractiveness,NA
349,13,F,0.25,12,44,29,Attractiveness,3
350,13,F,2,12,35,22,Attractiveness,3
351,13,M,0.25,NA,32,25,Attractiveness,NA
352,13,M,0.25,NA,45,16,Attractiveness,NA
353,15,M,2,NA,40.08,37,Attractiveness,NA
355,15,F,NA,8,38,25,Attractiveness,2
356,13,F,NA,8,36,23,Attractiveness,2
357,13,F,1,10,39,22,Attractiveness,3
361,13,M,2,17,51,51,Attractiveness,4
362,13,M,0.25,NA,44,40,Attractiveness,NA
367,16,F,0,16,37,30,Attractiveness,5
368,14,M,7,NA,36,36,Attractiveness,NA
369,13,F,0.25,NA,38,29,Attractiveness,NA
371,13,F,0.5,NA,50,33.99,Attractiveness,NA
372,14,F,0.25,10,47,26,Attractiveness,2
373,13,M,0.33,8,42,34,Attractiveness,2
375,14,M,0.019,17,48,41.39,Attractiveness,4
376,14,M,0.25,13,42,42,Attractiveness,3
377,14,M,NA,12,39,33,Attractiveness,4
378,14,M,0,12,37,36,Attractiveness,3
379,14,M,1,20,47,37,Attractiveness,5
380,14,M,NA,14,46,30,Attractiveness,3
381,14,F,2,12,44,36,Attractiveness,3
383,14,F,0.5,12,37,36,Attractiveness,3
385,16,M,1,16,45,38,Attractiveness,3
388,15,F,3.5,16,44,42,Attractiveness,4
2,13,M,1,8,40,31,Fashionable,2
3,13,M,1,8,39,37,Fashionable,2
4,13,M,0.06,NA,38,16,Fashionable,NA
5,13,M,0,NA,26,26,Fashionable,NA
6,13,M,1,12,51,44.47,Fashionable,3
7,13,M,0.25,10,44,30,Fashionable,3
8,13,F,NA,14,38,28,Fashionable,3
9,13,F,NA,NA,46,23,Fashionable,NA
10,13,M,0.02,NA,38,15,Fashionable,NA
11,13,M,7,NA,58,55,Fashionable,NA
12,13,F,0,NA,39,21,Fashionable,NA
14,13,M,1,NA,46,41,Fashionable,NA
15,13,M,3.5,20,48,42,Fashionable,5
16,13,F,NA,12,36.76,23.47,Fashionable,3
17,13,F,0.5,7,30,28,Fashionable,1
18,13,F,1,NA,26,29,Fashionable,NA
19,13,F,0.25,NA,42,15,Fashionable,NA
20,13,F,1,12,49,44,Fashionable,3
22,13,M,0.25,NA,41,27,Fashionable,NA
24,13,M,7,NA,29,30,Fashionable,NA
25,13,F,1,15,57,40,Fashionable,5
26,13,F,3.5,12,39,32.46,Fashionable,3
27,13,M,0,8,35,24,Fashionable,1
28,13,M,7,13,40,38,Fashionable,3
29,13,M,0,12,32,19,Fashionable,3
30,13,M,1,NA,48.76,32,Fashionable,NA
31,13,M,7,12,36,22,Fashionable,3
32,13,M,0,12,47,48,Fashionable,3
34,13,M,0,NA,31,24,Fashionable,NA
36,13,F,0.25,NA,49,36,Fashionable,NA
37,13,M,1,4,40,22,Fashionable,1
38,13,F,1,9,35,26,Fashionable,2
39,13,F,7,12,60,33,Fashionable,3
41,13,F,NA,12,38,26,Fashionable,3
42,13,F,NA,13,37,22,Fashionable,2
43,13,F,7,12,50,31,Fashionable,3
44,13,F,7,17,43,50,Fashionable,5
45,13,M,1,NA,37,39,Fashionable,NA
46,13,F,7,13,46,37,Fashionable,3
48,13,M,0.5,NA,47,24,Fashionable,NA
56,14,M,0.25,NA,37,38,Fashionable,NA
57,14,F,2.33,NA,43,26,Fashionable,NA
58,14,NA,0,NA,42,29,Fashionable,NA
61,14,M,7,NA,40,42,Fashionable,NA
62,14,F,0.5,9,51,30,Fashionable,2
63,14,F,0.5,14,43,33,Fashionable,2
64,14,F,1,NA,45,42.52,Fashionable,NA
65,14,F,1,13,50,38,Fashionable,3
67,14,F,7,NA,40,36,Fashionable,NA
68,14,F,NA,15,48,30,Fashionable,4
70,14,F,0.5,9,50,45,Fashionable,2
71,14,M,0,NA,42,33,Fashionable,NA
72,14,F,3.5,4,47,23,Fashionable,1
74,14,F,0.75,11,51,30,Fashionable,3
75,14,F,0.08,12,49,39,Fashionable,3
76,14,F,3,5,37,21,Fashionable,2
77,14,M,1,NA,38,20,Fashionable,NA
78,14,M,0,NA,49,33,Fashionable,NA
79,14,F,7,13,48,31,Fashionable,3
80,14,M,0.75,11,49,41,Fashionable,3
81,14,M,2,NA,37,33,Fashionable,NA
82,14,M,0,7,46,38,Fashionable,1
83,14,M,0,NA,44,23,Fashionable,NA
84,14,F,0.25,NA,38,17,Fashionable,NA
89,15,F,0.25,NA,45,35,Fashionable,NA
90,15,F,2,10,52,35,Fashionable,2
91,15,M,7,8,39,26,Fashionable,2
93,15,F,3.5,16,44.16,35,Fashionable,5
95,15,M,0.25,13,51,48,Fashionable,2
96,15,F,0.5,8,38,23,Fashionable,2
97,15,M,0.25,16,54,41,Fashionable,3
98,15,F,NA,12,47.87,36,Fashionable,3
99,15,F,0.5,12,50,29,Fashionable,3
100,15,F,2,10,47,34,Fashionable,3
101,15,F,7,14,57,50,Fashionable,4
102,15,M,1,13,42,36,Fashionable,3
103,15,F,1,12,43,27,Fashionable,3
105,15,F,0.5,12,44,31,Fashionable,3
106,15,F,0.75,14,48,35,Fashionable,3
107,15,F,0.25,9,45,25,Fashionable,2
108,15,F,1,12,45,23,Fashionable,3
109,15,F,0,6,44,32,Fashionable,1
110,15,M,1,13,45,32,Fashionable,3
111,15,F,1.25,12,47,32,Fashionable,3
112,15,F,1,11,44,25,Fashionable,3
113,15,M,1,11,38,36,Fashionable,3
114,15,F,3.5,12,44,37,Fashionable,3
115,15,F,0.5,12,40,33,Fashionable,3
116,15,F,1,8,41,19,Fashionable,2
117,15,F,1,5,38,25,Fashionable,1
118,15,F,0.5,6,35,36,Fashionable,1
119,15,F,0.5,12,42,33,Fashionable,3
120,15,M,0.5,12,44,29,Fashionable,3
139,12,M,0.5,4,40,31,Fashionable,1
140,13,M,NA,NA,53,37,Fashionable,NA
141,12,F,3,NA,42,45,Fashionable,NA
142,14,M,0,NA,33,30,Fashionable,NA
143,13,F,2,12,43,34,Fashionable,3
144,13,F,0.083,18,47,34,Fashionable,5
145,13,F,0.5,4,41,26,Fashionable,1
146,13,F,0.5,7,43,20,Fashionable,2
147,13,M,1,12,39,36.41,Fashionable,3
148,13,M,7,20,45,28.46,Fashionable,5
149,13,F,7,15,52,45,Fashionable,3
150,13,F,1.75,10,52,28,Fashionable,3
151,NA,M,2,NA,45,53,Fashionable,NA
152,12,F,2,10,46,29,Fashionable,2
153,13,F,7,NA,44,44,Fashionable,NA
154,14,M,1,12,39,36,Fashionable,3
156,13,F,7,9,40,42,Fashionable,1
157,13,M,0.5,7,46,27.44,Fashionable,2
158,13,M,7,7,33,23,Fashionable,2
159,13,M,NA,NA,41,34,Fashionable,NA
160,NA,F,0.5,6,48,40.52,Fashionable,1
161,14,M,NA,NA,38,28,Fashionable,NA
164,17,M,1,13,41,41,Fashionable,4
165,15,F,0.25,4,38,17,Fashionable,1
166,15,F,0,NA,42,17,Fashionable,NA
167,15,F,7,11,47,39,Fashionable,3
168,15,F,7,12,35,24,Fashionable,3
170,15,M,0,15,48,50,Fashionable,4
171,15,M,NA,NA,46,36,Fashionable,NA
172,15,M,2,12,36,35,Fashionable,3
173,15,F,4,5,34,21,Fashionable,2
174,18,M,0,9,34,28,Fashionable,3
175,15,F,7,12,35,22,Fashionable,3
176,14,F,0.25,12,47,35,Fashionable,3
177,15,F,0.25,NA,36,18,Fashionable,NA
178,15,M,0.042,16,46,29,Fashionable,4
179,15,M,0.25,NA,41,29,Fashionable,NA
181,15,F,14,16,53,42,Fashionable,4
182,14,F,0,11,44,27,Fashionable,3
183,15,F,0,12,46,27,Fashionable,3
184,16,F,0.042,17,42,36,Fashionable,5
185,15,M,0,NA,28,34,Fashionable,NA
186,15,F,0.5,11,41,40,Fashionable,3
187,14,F,0.5,8,40,25,Fashionable,2
188,15,M,1,12,45,42,Fashionable,3
189,15,M,0,NA,39,31,Fashionable,NA
191,15,F,0.25,10,36,25,Fashionable,1
192,15,M,0.25,12,43,33,Fashionable,3
193,15,M,0,20,41,36,Fashionable,5
194,15,M,0.021,20,51,45,Fashionable,5
195,15,F,7,NA,46,45,Fashionable,NA
196,15,F,0.25,NA,37,23,Fashionable,NA
197,15,F,0.25,NA,41.76,29,Fashionable,NA
198,15,F,0.25,12,38,31,Fashionable,3
199,15,F,0.25,6,47,23,Fashionable,1
200,15,F,0.5,NA,49,45,Fashionable,NA
201,15,F,1,9,43,28,Fashionable,2
202,15,F,0.25,NA,36,19,Fashionable,NA
203,15,F,2,12,38,26,Fashionable,3
204,14,F,0.5,14,50,37.06,Fashionable,3
205,15,F,2,12,58,38,Fashionable,3
206,15,F,0.25,NA,49,37,Fashionable,NA
207,15,F,0.021,NA,43,42,Fashionable,NA
208,15,F,0.25,8,35,23,Fashionable,2
209,16,F,0.25,18,50,40,Fashionable,4
211,15,M,0.25,11,45,41,Fashionable,2
212,15,M,0.25,NA,39,39.06,Fashionable,NA
213,15,F,0,10,48.6,28,Fashionable,1
214,15,M,3.5,20,56,47,Fashionable,5
215,15,M,1,12,49,46,Fashionable,3
216,16,M,0.5,NA,33,25,Fashionable,NA
217,15,F,1,12,47,30,Fashionable,3
218,15,F,0,NA,43,31,Fashionable,NA
219,15,F,1,13,37,41,Fashionable,3
220,15,F,0.042,14,48,34,Fashionable,3
221,15,F,0,12,46,26,Fashionable,3
222,14,M,4,19,45,35,Fashionable,5
223,15,M,0.021,NA,38,32,Fashionable,NA
224,15,M,0,NA,43,37,Fashionable,NA
225,15,F,1.75,8,50,36,Fashionable,1
226,15,F,1,12,52,30,Fashionable,3
227,15,F,1,12,42,31,Fashionable,3
234,14,M,0.25,NA,53,35,Fashionable,NA
235,14,M,1,NA,43,39,Fashionable,NA
236,14,M,NA,16,43,38,Fashionable,4
237,14,M,NA,12,45,44,Fashionable,3
238,14,M,0.25,12,39,24.52,Fashionable,3
239,14,M,1,NA,31,25,Fashionable,NA
241,14,F,0.25,NA,41,33,Fashionable,NA
242,14,F,1,12,44,36,Fashionable,3
243,14,F,0.5,4,49,36,Fashionable,1
244,14,M,0.25,NA,36,29,Fashionable,NA
245,14,M,0.021,8,37,37,Fashionable,2
246,14,M,7,20,50,52,Fashionable,5
247,14,F,7,12,40,33,Fashionable,3
248,14,M,1,14,49,31,Fashionable,4
249,14,M,0.25,12,50,39,Fashionable,3
250,14,F,4,9,42,27,Fashionable,3
251,14,F,3,10,49,35,Fashionable,3
252,13,F,0,12,49,33,Fashionable,3
253,14,F,7,8,57,29,Fashionable,2
255,14,F,7,12,48,38,Fashionable,3
256,14,F,0.25,10,41,34,Fashionable,2
257,14,F,1,NA,37,36,Fashionable,NA
258,14,F,NA,16,54,41,Fashionable,4
264,16,M,0,4,45,38,Fashionable,1
272,15,F,7,14,47.08,32,Fashionable,3
273,15,M,1.14,12,33,21,Fashionable,3
274,15,M,3,4,40,37,Fashionable,1
275,15,F,1,12,42,36,Fashionable,3
276,15,F,1,NA,46,34,Fashionable,NA
277,15,M,0,12,45,45,Fashionable,3
279,15,F,0,NA,32,36,Fashionable,NA
280,15,F,0.125,12,41,19,Fashionable,3
281,16,F,2.33,16,40,31,Fashionable,4
282,16,F,0.083,11,43,35,Fashionable,2
283,17,F,0.5,9,43,23,Fashionable,2
284,18,M,0.019,9,54,31.06,Fashionable,2
285,15,F,0,NA,43,39,Fashionable,NA
286,15,M,0.25,NA,40,30,Fashionable,NA
287,16,F,1,19,47,38,Fashionable,5
288,16,F,0.5,11,39,30,Fashionable,2
289,15,F,3,NA,34,28,Fashionable,NA
290,15,F,0.75,12,51,39,Fashionable,3
291,15,F,0,4,39,34,Fashionable,1
292,15,F,0,NA,33,28,Fashionable,NA
293,15,F,2,12,47,38,Fashionable,3
294,15,F,1,13,41,40,Fashionable,4
295,15,F,1,9,46,27,Fashionable,2
296,16,M,NA,NA,35,28,Fashionable,NA
314,14,F,0.5,10,43,33,Fashionable,2
316,13,F,1,NA,35,28.06,Fashionable,NA
318,15,F,0,12,48,39.47,Fashionable,3
319,14,F,0.5,8,46,31,Fashionable,2
320,14,F,7,12,39,24,Fashionable,3
321,14,F,NA,15,55,49,Fashionable,3
322,14,F,1.25,15,52,30,Fashionable,5
324,14,F,14,16,49,34,Fashionable,4
325,14,F,0.25,4,41,32,Fashionable,1
326,14,M,0,NA,54,30,Fashionable,NA
327,14,M,0.25,12,38,44,Fashionable,3
328,14,F,7,10,53,35,Fashionable,2
329,14,M,1,12,42,24,Fashionable,3
330,14,F,NA,9,41,32,Fashionable,2
331,14,M,0.019,20,51,45,Fashionable,5
332,14,F,0.25,NA,50,24,Fashionable,NA
338,13,F,0.25,8,44,14,Fashionable,2
339,13,F,0.019,NA,43,17,Fashionable,NA
340,13,M,1,11,43,36,Fashionable,2
341,13,M,1,12,42,41,Fashionable,3
342,13,M,0,NA,36,20,Fashionable,NA
343,12,F,0,14,44,31,Fashionable,4
344,12,F,0,NA,41,29,Fashionable,NA
345,13,F,0,8,45,26,Fashionable,2
347,12,F,0.5,12,53,47,Fashionable,3
348,13,F,7,NA,42,33,Fashionable,NA
349,13,F,0.25,12,44,29,Fashionable,3
350,13,F,2,12,35,22,Fashionable,3
351,13,M,0.25,NA,32,25,Fashionable,NA
352,13,M,0.25,NA,45,16,Fashionable,NA
353,15,M,2,NA,40.08,37,Fashionable,NA
355,15,F,NA,8,38,25,Fashionable,2
356,13,F,NA,8,36,23,Fashionable,2
357,13,F,1,10,39,22,Fashionable,3
361,13,M,2,17,51,51,Fashionable,5
362,13,M,0.25,NA,44,40,Fashionable,NA
367,16,F,0,16,37,30,Fashionable,4
368,14,M,7,NA,36,36,Fashionable,NA
369,13,F,0.25,NA,38,29,Fashionable,NA
371,13,F,0.5,NA,50,33.99,Fashionable,NA
372,14,F,0.25,10,47,26,Fashionable,2
373,13,M,0.33,8,42,34,Fashionable,2
375,14,M,0.019,17,48,41.39,Fashionable,4
376,14,M,0.25,13,42,42,Fashionable,3
377,14,M,NA,12,39,33,Fashionable,2
378,14,M,0,12,37,36,Fashionable,3
379,14,M,1,20,47,37,Fashionable,5
380,14,M,NA,14,46,30,Fashionable,4
381,14,F,2,12,44,36,Fashionable,3
383,14,F,0.5,12,37,36,Fashionable,3
385,16,M,1,16,45,38,Fashionable,4
388,15,F,3.5,16,44,42,Fashionable,4
2,13,M,1,8,40,31,Glamour,2
3,13,M,1,8,39,37,Glamour,2
4,13,M,0.06,NA,38,16,Glamour,NA
5,13,M,0,NA,26,26,Glamour,NA
6,13,M,1,12,51,44.47,Glamour,3
7,13,M,0.25,10,44,30,Glamour,3
8,13,F,NA,14,38,28,Glamour,4
9,13,F,NA,NA,46,23,Glamour,NA
10,13,M,0.02,NA,38,15,Glamour,NA
11,13,M,7,NA,58,55,Glamour,NA
12,13,F,0,NA,39,21,Glamour,NA
14,13,M,1,NA,46,41,Glamour,NA
15,13,M,3.5,20,48,42,Glamour,5
16,13,F,NA,12,36.76,23.47,Glamour,3
17,13,F,0.5,7,30,28,Glamour,2
18,13,F,1,NA,26,29,Glamour,NA
19,13,F,0.25,NA,42,15,Glamour,NA
20,13,F,1,12,49,44,Glamour,3
22,13,M,0.25,NA,41,27,Glamour,NA
24,13,M,7,NA,29,30,Glamour,NA
25,13,F,1,15,57,40,Glamour,4
26,13,F,3.5,12,39,32.46,Glamour,3
27,13,M,0,8,35,24,Glamour,1
28,13,M,7,13,40,38,Glamour,4
29,13,M,0,12,32,19,Glamour,3
30,13,M,1,NA,48.76,32,Glamour,NA
31,13,M,7,12,36,22,Glamour,3
32,13,M,0,12,47,48,Glamour,3
