ticket_no,subculture,day1,day2,day3,change
2732,No subculture,1.66,NA,NA,NA
2734,No subculture,0.6,NA,NA,NA
2735,No subculture,1.76,0.76,0.29,-1.47
2736,No subculture,1.5,NA,NA,NA
2737,No subculture,2.08,0.7,NA,NA
2748,No subculture,1,0.55,NA,NA
2752,Metalhead,1.73,NA,NA,NA
2756,No subculture,1.05,0.38,NA,NA
2758,Hipster,2.81,NA,NA,NA
2759,No subculture,1.52,NA,NA,NA
2768,No subculture,1.47,NA,NA,NA
2769,No subculture,2.64,NA,NA,NA
2770,Metalhead,2.2,1.18,NA,NA
2771,No subculture,0.55,0.79,NA,NA
2772,Raver,2.29,NA,NA,NA
2773,Hipster,2,NA,NA,NA
2775,No subculture,2.23,NA,NA,NA
2779,No subculture,2.45,NA,NA,NA
2780,Raver,1.2,NA,NA,NA
2783,Raver,2.91,2.08,2.11,-0.8000000000000003
2784,Metalhead,1.14,1,NA,NA
2788,No subculture,1.88,NA,NA,NA
2789,Raver,0.94,NA,NA,NA
2791,Raver,1.85,NA,NA,NA
2794,Raver,2.58,NA,NA,NA
2796,Metalhead,0.61,NA,NA,NA
2799,No subculture,0.7,NA,NA,NA
2806,Metalhead,1.38,NA,NA,NA
2807,No subculture,1.94,NA,NA,NA
2811,Metalhead,2.29,NA,NA,NA
2812,Hipster,1.59,NA,NA,NA
2813,Hipster,2.46,NA,NA,NA
2814,No subculture,1.67,0.14,NA,NA
2825,Raver,2.02,0.58,0.5,-1.52
2827,Metalhead,1.5,NA,NA,NA
2828,Raver,2.7,1.7,1.91,-0.7900000000000003
2829,Raver,1.61,NA,NA,NA
2830,Metalhead,2.29,NA,NA,NA
2831,No subculture,0.97,1.06,0.76,-0.20999999999999996
2839,No subculture,1.85,NA,NA,NA
2842,Metalhead,2.76,NA,NA,NA
2857,Metalhead,1.64,NA,NA,NA
2858,No subculture,1.17,NA,NA,NA
2859,No subculture,1.57,NA,NA,NA
2862,Raver,2.23,NA,NA,NA
2863,No subculture,2.05,1.58,2.15,0.10000000000000009
2875,Metalhead,2.05,NA,NA,NA
2876,Metalhead,2.94,NA,NA,NA
2883,Hipster,2.39,NA,NA,NA
2890,No subculture,1.94,NA,NA,NA
2894,Raver,2.12,NA,NA,NA
2895,No subculture,1.11,NA,NA,NA
2897,No subculture,0.97,NA,NA,NA
2898,Hipster,1.35,NA,NA,NA
2899,No subculture,2.81,2.08,NA,NA
2900,Raver,2.5,NA,NA,NA
2901,Raver,1.87,NA,NA,NA
2920,No subculture,1.33,NA,NA,NA
2921,Hipster,1.26,NA,NA,NA
2922,No subculture,1.44,NA,NA,NA
2923,No subculture,0.55,NA,NA,NA
2924,No subculture,1.75,NA,NA,NA
2925,Metalhead,2.08,NA,NA,NA
2932,Metalhead,0.85,NA,NA,NA
2933,No subculture,2.52,NA,NA,NA
2935,Raver,3,NA,NA,NA
2936,No subculture,1.41,NA,NA,NA
2937,No subculture,1.08,NA,NA,NA
2938,No subculture,1.2,1.38,1.5,0.30000000000000004
2940,Raver,1.94,1.44,NA,NA
2941,No subculture,2.26,1.73,1.73,-0.5299999999999998
2942,Hipster,1.41,NA,NA,NA
2948,Hipster,2.5,NA,NA,NA
2952,Metalhead,2.17,NA,NA,NA
2953,No subculture,1.82,1.11,NA,NA
2954,Raver,1.44,1.14,NA,NA
2956,Raver,1.66,NA,NA,NA
2957,Metalhead,1.82,NA,NA,NA
2958,Metalhead,1.26,NA,NA,NA
2959,Raver,2.67,NA,NA,NA
2961,No subculture,1.47,NA,NA,NA
2962,Metalhead,1.84,NA,NA,NA
2964,Metalhead,2.58,NA,NA,NA
2966,Hipster,1.73,NA,NA,NA
2967,Metalhead,1.23,NA,NA,NA
2968,No subculture,2.32,NA,NA,NA
2972,Metalhead,2.67,NA,NA,NA
2974,Metalhead,1.02,NA,NA,NA
2975,No subculture,1.66,2.12,2.7,1.0400000000000003
2976,Metalhead,1.88,NA,NA,NA
2977,No subculture,1.91,NA,NA,NA
2978,Hipster,1.64,NA,NA,NA
2979,No subculture,1.34,NA,NA,NA
2982,No subculture,1.85,NA,NA,NA
2983,Hipster,2.08,NA,NA,NA
2984,No subculture,1.02,NA,NA,NA
2985,Metalhead,1.79,NA,NA,NA
2988,Raver,1.94,NA,NA,NA
2989,Hipster,3.26,1.97,1.67,-1.5899999999999999
2990,No subculture,1.14,0.58,0.11,-1.0299999999999998
3008,No subculture,1.5,0.7,0.38,-1.12
3009,Hipster,2.03,NA,NA,NA
3010,Raver,2.24,NA,NA,NA
3013,No subculture,1.11,NA,NA,NA
3014,Raver,2.21,NA,NA,NA
3016,Metalhead,1.94,NA,NA,NA
3017,Metalhead,2.41,NA,NA,NA
3018,No subculture,0.88,NA,NA,NA
3019,Raver,1.17,1.35,NA,NA
3027,Metalhead,2.23,NA,NA,NA
3028,Raver,1.64,NA,NA,NA
3029,Raver,2.14,NA,NA,NA
3030,No subculture,0.11,0.29,NA,NA
3031,Hipster,2.17,NA,NA,NA
3032,Raver,1.67,NA,NA,NA
3033,Raver,1,NA,NA,NA
3034,No subculture,0.88,NA,NA,NA
3035,No subculture,2.2,NA,NA,NA
3048,Metalhead,2.17,NA,NA,NA
3049,Raver,2.32,NA,NA,NA
3051,Raver,1.64,NA,NA,NA
3052,Raver,3,NA,NA,NA
3053,Raver,2.38,0.85,NA,NA
3054,Hipster,1.6,1.02,NA,NA
3055,Metalhead,1.58,NA,NA,NA
3056,Hipster,2.61,NA,NA,NA
3057,No subculture,1.44,0.05,0.2,-1.24
3064,No subculture,1.57,NA,NA,NA
3065,No subculture,2.32,NA,NA,NA
3068,Metalhead,1.14,NA,NA,NA
3069,Raver,1.93,NA,NA,NA
3070,Raver,2.47,NA,NA,NA
3072,Raver,2.29,NA,NA,NA
3073,No subculture,1,NA,NA,NA
3092,Metalhead,1.58,NA,NA,NA
3093,Metalhead,2.44,NA,NA,NA
3094,Metalhead,0.83,NA,NA,NA
3095,No subculture,2.71,0.78,0.33,-2.38
3096,Hipster,1.73,NA,NA,NA
3097,Hipster,1.58,NA,NA,NA
3098,No subculture,1.5,NA,NA,NA
3100,Raver,1.05,NA,NA,NA
3106,No subculture,2.05,NA,NA,NA
3107,Raver,2.63,NA,NA,NA
3109,Hipster,2.55,2.29,NA,NA
3111,Metalhead,2,NA,NA,NA
3112,No subculture,2,NA,NA,NA
3114,Hipster,1.32,NA,NA,NA
3116,Raver,3.14,NA,NA,NA
3118,Metalhead,1.44,NA,NA,NA
3129,No subculture,1.85,0.23,NA,NA
3131,Raver,1.41,0.44,NA,NA
3132,No subculture,1.94,NA,NA,NA
3133,Raver,2.91,NA,NA,NA
3135,No subculture,1.85,NA,NA,NA
3136,Metalhead,1.7,NA,NA,NA
3137,Metalhead,2.23,NA,NA,NA
3138,Raver,1.11,NA,NA,NA
3139,Raver,1.47,NA,NA,NA
3146,Metalhead,2.2,NA,NA,NA
3147,No subculture,1.82,NA,NA,NA
3148,No subculture,1.42,NA,NA,NA
3168,Hipster,2.44,NA,NA,NA
3171,No subculture,2.66,NA,NA,NA
3172,No subculture,1.52,NA,NA,NA
3173,No subculture,1.35,0.47,0.73,-0.6200000000000001
3180,No subculture,1.29,NA,NA,NA
3182,No subculture,2.32,NA,NA,NA
3190,Raver,0.78,NA,NA,NA
3192,Raver,2.84,NA,NA,NA
3202,No subculture,0.97,NA,NA,NA
3236,Raver,1.52,NA,NA,NA
3245,Raver,1.7,NA,NA,NA
3246,No subculture,0.94,1.17,1.29,0.3500000000000001
3247,No subculture,1.41,NA,NA,NA
3248,No subculture,1.79,NA,NA,NA
3249,No subculture,1.08,0.44,0.44,-0.6400000000000001
3250,Raver,1.47,NA,NA,NA
3251,No subculture,1.79,0.47,NA,NA
3253,Hipster,2,NA,NA,NA
3254,No subculture,0.76,NA,NA,NA
3255,Metalhead,2.2,NA,NA,NA
3256,Metalhead,0.94,0.17,NA,NA
3257,No subculture,1.38,NA,NA,NA
3258,No subculture,1.38,0.85,NA,NA
3260,Metalhead,0.32,NA,NA,NA
3261,No subculture,2.58,NA,NA,NA
3262,Metalhead,0.51,NA,NA,NA
3264,No subculture,0.32,NA,NA,NA
3267,Metalhead,0.91,1.11,1.7,0.7899999999999999
3273,No subculture,1.51,NA,NA,NA
3275,Metalhead,1.47,NA,NA,NA
3276,Raver,2.5,NA,NA,NA
3277,Metalhead,2.26,NA,NA,NA
3278,Hipster,2.81,NA,NA,NA
3279,Raver,1.87,NA,NA,NA
3281,No subculture,2,NA,NA,NA
3282,Raver,2.23,0.41,1.02,-1.21
3284,Metalhead,2,0.76,NA,NA
3290,Raver,1.41,NA,NA,NA
3291,Metalhead,1.64,NA,NA,NA
3292,Metalhead,1.64,NA,NA,NA
3296,Metalhead,1.26,NA,NA,NA
3306,Raver,1.52,0.55,1.88,0.3599999999999999
3307,Raver,2.44,1.02,0.76,-1.68
3308,Hipster,2.18,NA,NA,NA
3309,No subculture,3.02,NA,NA,NA
3310,Hipster,1.02,NA,NA,NA
3311,Metalhead,2.88,NA,NA,NA
3312,Metalhead,1.54,NA,NA,NA
3313,Metalhead,1.64,NA,NA,NA
3314,No subculture,2.44,2.5,1.7,-0.74
3315,No subculture,1.29,NA,NA,NA
3316,No subculture,1.61,0.32,0.26,-1.35
3321,Metalhead,1.77,NA,NA,NA
3325,Raver,0.91,0.17,NA,NA
3326,No subculture,0.85,0.2,0.38,-0.47
3327,No subculture,0.85,0.52,0.44,-0.41
3328,Metalhead,1.5,NA,NA,NA
3329,Raver,1.05,0.23,NA,NA
3338,No subculture,3.38,NA,NA,NA
3340,No subculture,1.42,0.52,2,0.5800000000000001
3341,Raver,1.85,NA,NA,NA
3348,Raver,1.91,0.84,NA,NA
3349,No subculture,0.82,0.26,NA,NA
3350,Hipster,1.32,0.76,NA,NA
3351,No subculture,2.23,0.85,0.39,-1.8399999999999999
3352,No subculture,1.47,1.52,0.17,-1.3
3363,No subculture,2.7,NA,NA,NA
3365,Metalhead,1.58,NA,NA,NA
3366,Raver,1,NA,NA,NA
3367,Raver,1.44,NA,NA,NA
3368,Hipster,2,NA,NA,NA
3369,No subculture,1.6,NA,NA,NA
3370,Metalhead,2.32,2.53,1.67,-0.6499999999999999
3371,Hipster,3.41,NA,NA,NA
3372,Metalhead,2.02,NA,NA,NA
3373,No subculture,0.64,0.52,NA,NA
3374,Raver,3.58,3.35,NA,NA
3375,No subculture,1.5,NA,NA,NA
3376,No subculture,1.08,NA,NA,NA
3377,Hipster,1.52,NA,NA,NA
3378,No subculture,1.26,NA,NA,NA
3379,Metalhead,1.68,NA,NA,NA
3380,No subculture,1.47,1.08,0.58,-0.89
3390,No subculture,1.47,NA,NA,NA
3391,No subculture,1.67,1.55,NA,NA
3392,Hipster,2.47,1.97,NA,NA
3393,Raver,1.82,NA,NA,NA
3394,Metalhead,2.17,NA,NA,NA
3395,Raver,3.21,NA,NA,NA
3397,No subculture,1.6,1.38,1.02,-0.5800000000000001
3398,No subculture,0.32,NA,NA,NA
3407,No subculture,0.55,NA,NA,NA
3411,No subculture,1.42,NA,NA,NA
3412,No subculture,1.14,NA,NA,NA
3413,Raver,2.64,NA,NA,NA
3416,No subculture,2.58,NA,NA,NA
3418,Metalhead,2.02,NA,NA,NA
3419,Metalhead,2,NA,NA,NA
3420,No subculture,2.9,NA,NA,NA
3423,Hipster,1.82,NA,NA,NA
3429,No subculture,0.5,NA,NA,NA
3431,Raver,1.53,NA,NA,NA
3449,No subculture,2.48,NA,NA,NA
3450,Raver,2.05,NA,NA,NA
3453,Raver,2.52,NA,NA,NA
3454,Metalhead,1.88,NA,NA,NA
3455,Hipster,2.73,NA,NA,NA
3456,Raver,2.88,NA,NA,NA
3457,No subculture,1.67,NA,NA,NA
3458,No subculture,1.93,NA,NA,NA
3460,Hipster,1.67,NA,NA,NA
3461,No subculture,1.2,NA,NA,NA
3464,No subculture,2.75,NA,NA,NA
3467,No subculture,1.94,0.97,NA,NA
3468,No subculture,0.59,NA,NA,NA
3469,Hipster,1.5,NA,NA,NA
3477,No subculture,1.58,0.94,0.94,-0.6400000000000001
3480,Hipster,2.23,0.11,0.17,-2.06
3483,No subculture,2.35,NA,NA,NA
3490,No subculture,2.55,0.82,0.29,-2.26
3493,No subculture,1.55,NA,NA,NA
3494,Metalhead,2.31,NA,NA,NA
3495,No subculture,2.23,NA,NA,NA
3500,No subculture,0.67,0.5,NA,NA
3501,Hipster,2.51,NA,NA,NA
3503,Hipster,1.08,0.58,0.61,-0.4700000000000001
3510,No subculture,2.44,NA,NA,NA
3511,No subculture,0.23,0.14,NA,NA
3512,Raver,2.17,NA,NA,NA
3518,Hipster,1.9,1.17,NA,NA
3519,No subculture,1.67,0.44,NA,NA
3521,No subculture,2,0.58,0.52,-1.48
3522,No subculture,2.44,NA,NA,NA
3523,No subculture,1.44,NA,NA,NA
3524,No subculture,0.82,NA,NA,NA
3525,Metalhead,2.5,NA,NA,NA
3526,No subculture,1.82,NA,NA,NA
3536,Raver,1.97,NA,NA,NA
3539,Raver,2.52,NA,NA,NA
3540,Raver,0.05,NA,NA,NA
3542,Hipster,2.08,NA,NA,NA
3545,Raver,2.39,NA,NA,NA
3546,No subculture,1.45,0.82,NA,NA
3551,Raver,2.58,NA,NA,NA
3557,No subculture,2.12,NA,NA,NA
3565,Metalhead,2.02,0.76,0.55,-1.47
3567,No subculture,1.78,1.14,0.44,-1.34
3568,No subculture,0.73,0.17,0.76,0.030000000000000027
3569,No subculture,2.26,0.9,1.85,-0.4099999999999997
3570,Metalhead,2.79,NA,NA,NA
3571,No subculture,0.43,0.67,0.14,-0.29
3572,No subculture,0.52,0.38,0.7,0.17999999999999994
3573,No subculture,2.32,NA,NA,NA
3574,No subculture,2.22,NA,NA,NA
3575,No subculture,0.58,NA,NA,NA
3576,Hipster,2,NA,NA,NA
3577,Metalhead,0.7,NA,NA,NA
3586,No subculture,1,NA,NA,NA
3587,No subculture,0.3,NA,NA,NA
3588,Hipster,1.52,NA,NA,NA
3593,No subculture,1.58,0.35,NA,NA
3594,Raver,2.34,NA,NA,NA
3595,No subculture,0.79,NA,NA,NA
3596,No subculture,2.26,NA,NA,NA
3597,Hipster,2.35,NA,NA,NA
3598,Metalhead,1.7,NA,NA,NA
3599,No subculture,3.09,NA,NA,NA
3600,Metalhead,1.52,NA,NA,NA
3601,No subculture,0.35,NA,NA,NA
3602,Raver,2.7,NA,NA,NA
3603,Metalhead,1.64,NA,NA,NA
3605,Hipster,0.82,NA,NA,NA
3606,No subculture,2.73,NA,NA,NA
3607,No subculture,2.23,NA,NA,NA
3609,No subculture,1.06,NA,NA,NA
3610,Raver,2.05,0.2,0.35,-1.6999999999999997
3613,Hipster,1.73,1.44,NA,NA
3614,No subculture,0.93,0.91,NA,NA
3620,Raver,2.5,2.44,NA,NA
3621,Raver,1.44,NA,NA,NA
3622,Raver,2.88,NA,NA,NA
3625,Metalhead,0.67,0.23,0.44,-0.23000000000000004
3626,No subculture,1.85,0.35,NA,NA
3627,No subculture,1.21,0.79,NA,NA
3628,No subculture,1.06,0.76,0.7,-0.3600000000000001
3629,No subculture,0.61,0.26,0.33,-0.27999999999999997
3631,Metalhead,2,NA,NA,NA
3634,Metalhead,1.17,0.73,1.17,0
3635,No subculture,1.48,0.79,1.55,0.07000000000000006
3645,No subculture,1.55,NA,NA,NA
3646,Metalhead,3.29,NA,NA,NA
3647,Raver,1.47,NA,NA,NA
3648,No subculture,0.96,NA,NA,NA
3649,No subculture,1,1.11,1.2,0.19999999999999996
3652,Metalhead,1.47,NA,NA,NA
3653,Hipster,2.55,2.38,NA,NA
3654,No subculture,0.44,0.06,NA,NA
3655,No subculture,2.35,2.41,NA,NA
3656,No subculture,1.71,0.85,NA,NA
3659,No subculture,1.84,0.58,0.7,-1.1400000000000001
3660,Metalhead,1.11,0.23,0.55,-0.56
3667,No subculture,1.38,NA,NA,NA
3669,No subculture,0.88,NA,NA,NA
3670,Raver,0.94,NA,NA,NA
3672,Raver,1.91,NA,NA,NA
3676,No subculture,2.76,NA,NA,NA
3677,Raver,1.55,0.32,0.47,-1.08
3678,No subculture,2.67,NA,NA,NA
3680,Metalhead,1.03,0.29,0.72,-0.31000000000000005
3696,Raver,2.5,NA,NA,NA
3697,No subculture,1.64,NA,NA,NA
3698,Metalhead,2.26,NA,NA,NA
3709,Raver,2.14,NA,NA,NA
3710,Raver,0.52,NA,NA,NA
3711,No subculture,1.08,NA,NA,NA
3712,No subculture,1.69,NA,NA,NA
3713,Metalhead,2.73,NA,NA,NA
3714,Raver,1.91,NA,NA,NA
3715,No subculture,1.73,NA,NA,NA
3716,Hipster,3.21,NA,NA,NA
3717,Raver,2.11,NA,NA,NA
3718,No subculture,2.05,NA,NA,NA
3719,No subculture,2.17,NA,NA,NA
3720,No subculture,2.17,NA,NA,NA
3721,Metalhead,2.3,NA,NA,NA
3722,Hipster,2.56,NA,NA,NA
3723,Metalhead,2.11,0.41,0.47,-1.64
3724,Metalhead,1.7,NA,NA,NA
3725,Raver,1.23,NA,NA,NA
3726,Raver,3.2,NA,NA,NA
3727,Raver,2.02,NA,NA,NA
3728,Raver,2.64,NA,NA,NA
3729,Raver,2.52,0.14,NA,NA
3730,No subculture,1.61,NA,NA,NA
3731,Metalhead,1.5,1.2,0.91,-0.59
3734,Hipster,1.15,0.45,0.44,-0.71
3736,Raver,1.82,NA,NA,NA
3753,No subculture,1.5,NA,NA,NA
3754,Metalhead,2.32,NA,NA,NA
3759,No subculture,2.92,NA,NA,NA
3764,No subculture,1.41,NA,NA,NA
3769,Hipster,1.35,NA,NA,NA
3778,Raver,0.61,0.14,NA,NA
3779,No subculture,0.73,NA,NA,NA
3782,No subculture,2.23,1.88,NA,NA
3783,No subculture,1.32,0.91,NA,NA
3784,No subculture,2.94,1.79,NA,NA
3785,No subculture,1.61,NA,NA,NA
3786,No subculture,1,NA,NA,NA
3787,Metalhead,3.15,3,NA,NA
3788,Hipster,2.88,NA,NA,NA
3791,Metalhead,2.09,1.21,NA,NA
3792,No subculture,1.32,1.7,2.29,0.97
3793,Raver,1.47,0.35,NA,NA
3794,Metalhead,1.61,NA,NA,NA
3796,No subculture,2.2,1.5,1.88,-0.3200000000000003
3797,Raver,2.78,NA,NA,NA
3798,No subculture,2.06,NA,NA,NA
3799,No subculture,0.47,NA,NA,NA
3804,Metalhead,2.87,NA,NA,NA
3826,Metalhead,1.14,NA,NA,NA
3828,No subculture,3.32,3.21,NA,NA
3831,Raver,2.08,1.38,NA,NA
3836,Metalhead,2.38,2.5,NA,NA
3837,Hipster,2.08,NA,NA,NA
3838,No subculture,1.85,NA,NA,NA
3840,Metalhead,1.38,NA,NA,NA
3844,Metalhead,1.14,NA,NA,NA
3846,Raver,1.58,NA,NA,NA
3849,Metalhead,1.23,0.7,1.02,-0.20999999999999996
3850,Hipster,2.53,NA,NA,NA
3851,No subculture,0.67,NA,NA,NA
3854,Raver,0.73,NA,NA,NA
3855,No subculture,1.34,NA,NA,NA
3856,No subculture,2.14,0.7,NA,NA
3857,No subculture,1,NA,NA,NA
3858,No subculture,1.35,NA,NA,NA
3859,Raver,1.94,0.79,NA,NA
3860,Hipster,0.5,NA,NA,NA
3869,Hipster,3.08,NA,NA,NA
3870,No subculture,2.88,NA,NA,NA
3871,No subculture,1.91,NA,NA,NA
3872,No subculture,1.41,NA,NA,NA
3873,Raver,2.02,NA,NA,NA
3874,No subculture,0.76,NA,NA,NA
3875,Metalhead,1.94,NA,NA,NA
3876,No subculture,0.67,0.28,NA,NA
3879,Raver,2.41,NA,NA,NA
3880,Metalhead,2.17,NA,NA,NA
3882,Metalhead,2.67,0.41,NA,NA
3883,Raver,1.94,0.64,NA,NA
3888,Metalhead,2.05,0.85,1.7,-0.34999999999999987
3890,Metalhead,2.17,NA,NA,NA
3909,No subculture,0.47,NA,NA,NA
3912,No subculture,0.62,0.76,NA,NA
3913,Raver,2,NA,NA,NA
3914,No subculture,0.45,NA,NA,NA
3916,Hipster,2.29,0.91,1.38,-0.9100000000000001
3917,Hipster,2.55,NA,NA,NA
3918,Metalhead,0.82,NA,NA,NA
3919,No subculture,3.12,2.2,NA,NA
3920,Raver,2.5,2.23,0.41,-2.09
3921,Hipster,1.79,NA,NA,NA
3922,No subculture,2.28,NA,NA,NA
3923,No subculture,0.58,1.05,0.58,0
3924,Metalhead,2.5,1.29,NA,NA
3925,Hipster,1.41,NA,NA,NA
3926,Metalhead,2.14,NA,NA,NA
3927,No subculture,0.76,0.26,NA,NA
3929,Metalhead,1.79,1.11,NA,NA
3930,No subculture,1.02,0.35,NA,NA
3932,Metalhead,2.62,NA,NA,NA
3942,Raver,0.88,NA,NA,NA
3944,No subculture,1.58,0.2,0.2,-1.3800000000000001
3945,No subculture,2.2,NA,NA,NA
3946,Raver,1.14,NA,NA,NA
3947,Metalhead,1.47,0.52,0.35,-1.12
3948,Metalhead,1.41,0.23,0.38,-1.0299999999999998
3949,No subculture,1.44,1.76,1.18,-0.26
3950,Metalhead,1.23,1.17,NA,NA
3951,No subculture,1.82,NA,NA,NA
3952,No subculture,2.44,NA,NA,NA
3954,Metalhead,1.94,1.2,NA,NA
3955,Metalhead,2.41,NA,NA,NA
3964,Raver,2.27,NA,NA,NA
3965,No subculture,1.79,0.23,NA,NA
3966,Metalhead,1.88,NA,NA,NA
3972,Raver,1.85,0.64,1.32,-0.53
3973,Hipster,2.21,NA,NA,NA
3986,No subculture,1.97,1.94,NA,NA
3987,Raver,2.51,NA,NA,NA
3988,Metalhead,2.05,NA,NA,NA
3989,Metalhead,1.29,1,0.82,-0.4700000000000001
3990,Hipster,2.05,NA,NA,NA
3991,No subculture,2.23,NA,NA,NA
3992,No subculture,1.76,NA,NA,NA
3993,No subculture,1.05,NA,NA,NA
3994,Raver,1.79,NA,NA,NA
3995,Metalhead,1.02,0.73,0.47,-0.55
3996,Raver,2.76,1.58,NA,NA
3997,Raver,1.67,0.55,NA,NA
4010,Raver,2.85,NA,NA,NA
4011,Metalhead,0.23,0.84,NA,NA
4012,No subculture,1.9,NA,NA,NA
4013,No subculture,1.23,0.52,NA,NA
4014,Hipster,1.97,NA,NA,NA
4015,Metalhead,1.5,NA,NA,NA
4016,No subculture,3.69,NA,NA,NA
4017,No subculture,0.5,NA,NA,NA
4022,Hipster,2.18,NA,NA,NA
4023,No subculture,2.17,NA,NA,NA
4024,No subculture,1.58,NA,NA,NA
4025,Raver,2.88,NA,NA,NA
4030,Metalhead,2.52,NA,NA,NA
4032,Metalhead,2.2,NA,NA,NA
4033,Metalhead,1.73,NA,NA,NA
4034,No subculture,2.23,NA,NA,NA
4079,Hipster,1.97,NA,NA,NA
4089,No subculture,1.2,0.67,0.91,-0.2899999999999999
4090,Hipster,2,NA,NA,NA
4092,Metalhead,1.91,NA,NA,NA
4093,Hipster,0.81,NA,NA,NA
4095,No subculture,1.31,NA,NA,NA
4096,No subculture,0.38,NA,NA,NA
4101,Hipster,1.97,NA,NA,NA
4104,Raver,0.38,NA,NA,NA
4105,Raver,2.11,0.76,0.85,-1.2599999999999998
4106,Metalhead,3.2,NA,NA,NA
4107,No subculture,0.02,NA,NA,NA
4109,No subculture,2.56,NA,NA,NA
4110,Hipster,2.02,NA,NA,NA
4111,Raver,2.3,NA,NA,NA
4114,Raver,2.02,NA,NA,NA
4147,Metalhead,2.05,NA,NA,NA
4148,Raver,1.7,NA,NA,NA
4149,Raver,1.61,NA,NA,NA
4150,Raver,0.73,NA,NA,NA
4151,Metalhead,2.5,1.64,NA,NA
4152,Metalhead,2.18,1.75,1.91,-0.27000000000000024
4153,Hipster,2.46,1.08,1.91,-0.55
4154,Metalhead,1.5,0.91,NA,NA
4155,No subculture,1.73,0.94,NA,NA
4156,Hipster,1.44,NA,NA,NA
4157,Hipster,1.64,0.32,0.52,-1.1199999999999999
4158,No subculture,2.02,2.44,NA,NA
4159,No subculture,1.2,0.17,0.2,-1
4160,No subculture,0.38,0.02,NA,NA
4161,Raver,1.58,1.54,1.76,0.17999999999999994
4162,Raver,1.67,0.5,NA,NA
4163,Raver,1,0.48,NA,NA
4164,No subculture,2.58,1.35,NA,NA
4165,Metalhead,2.82,2.61,3.02,0.20000000000000018
4166,Metalhead,2.29,2.05,NA,NA
4167,Raver,1.14,NA,NA,NA
4168,Raver,1.64,0.76,NA,NA
4171,Raver,1.82,0.08,NA,NA
4172,Raver,3.32,2.91,3.02,-0.2999999999999998
4193,No subculture,3.32,NA,NA,NA
4194,Raver,1.85,1,1.5,-0.3500000000000001
4195,Hipster,2.29,NA,NA,NA
4196,Raver,1.47,0.47,1.58,0.1100000000000001
4197,Metalhead,2.08,0.7,0.67,-1.4100000000000001
4198,Raver,2.2,NA,NA,NA
4199,Metalhead,1.06,1.45,NA,NA
4216,Metalhead,0.97,0.14,0.02,-0.95
4218,Raver,2,NA,NA,NA
4219,Metalhead,1.67,0.38,NA,NA
